name,price,rating,review_count,discount_percentage,image_url,product_url,rank
"에프킬라 수성 에어로졸 모기 살충제 무향, 500ml, 2개",6300,4.5,24558,41,//thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/189603554437670-ad3e2a20-16ea-4376-8e48-a2b6fc968f84.png,https://www.coupang.com/vp/products/7311837070?itemId=21473171763&lptag=A00344675&redirect=landing&searchId=83b4ef9b3690455e9cc7a44e4466b903&sourceType=brandstore-all_products&spec=10799999&src=1139998&storeId=346&subSourceType=brandstore-all_products&vendorId=A00344675&vendorItemId=88527455272&wPcid=48736601055732509002366,1
"퐁퐁 친환경 주방세제 오렌지향 리필, 1.2L, 4개",8260,5.0,14810,36,//thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/188628126210014-998d2794-75d5-4abf-91ab-c867cfdd65ea.jpg,https://www.coupang.com/vp/products/1269060382?itemId=8533643869&lptag=A00344675&redirect=landing&searchId=83b4ef9b3690455e9cc7a44e4466b903&sourceType=brandstore-all_products&spec=10799999&src=1139998&storeId=346&subSourceType=brandstore-all_products&vendorId=A00344675&vendorItemId=88353439345&wPcid=48736601055732509002366,2
"페리오 뉴 후레쉬 알파 치약, 170g, 10개",9710,4.5,42896,50,//thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/188403084963689-47857b3a-1ee0-4ddb-b30c-8cfa6b3c2f59.jpg,https://www.coupang.com/vp/products/48172?itemId=22617234707&lptag=A00344675&redirect=landing&searchId=83b4ef9b3690455e9cc7a44e4466b903&sourceType=brandstore-all_products&spec=10799999&src=1139998&storeId=346&subSourceType=brandstore-all_products&vendorId=A00344675&vendorItemId=89658808626&wPcid=48736601055732509002366,3
"온더바디 코튼풋 발을 씻자 풋샴푸 레몬민트향, 2개, 385ml",9200,5.0,37112,61,//thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/4929497022807713-bae91883-a847-4b2a-93e7-5b4a1aa63d5d.jpg,https://www.coupang.com/vp/products/116651697?itemId=19325071407&lptag=A00344675&redirect=landing&searchId=83b4ef9b3690455e9cc7a44e4466b903&sourceType=brandstore-all_products&spec=10799999&src=1139998&storeId=346&subSourceType=brandstore-all_products&vendorId=A00344675&vendorItemId=88458022003&wPcid=48736601055732509002366,4
"엘라스틴 프로틴 클리닉 10000 모로코 아르간 오일 단백질 고영양 샴푸 플로럴 머스크 향, 1L, 2개",16300,4.5,18875,59,//thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/1025_amir_coupang_oct_80k/f9b8/d87bfe7b9e19ca9e2cb4c873f9567d4325675ea7c583872790193a08de21.jpg,https://www.coupang.com/vp/products/6183360223?itemId=16823401810&lptag=A00344675&redirect=landing&searchId=83b4ef9b3690455e9cc7a44e4466b903&sourceType=brandstore-all_products&spec=10799999&src=1139998&storeId=346&subSourceType=brandstore-all_products&vendorId=A00344675&vendorItemId=88352725444&wPcid=48736601055732509002366,5
"OFF 미스트액 모기기피제, 177ml, 1개",5790,5.0,6647,40,//thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/31690209172683-ea63dcb6-0aae-4828-9272-6a902b7c9a69.png,https://www.coupang.com/vp/products/257380362?itemId=2655316219&lptag=A00344675&redirect=landing&searchId=83b4ef9b3690455e9cc7a44e4466b903&sourceType=brandstore-all_products&spec=10799999&src=1139998&storeId=346&subSourceType=brandstore-all_products&vendorId=A00344675&vendorItemId=88457368685&wPcid=48736601055732509002366,6
"온더바디 코튼풋 발을 씻자 풋샴푸 레몬민트향, 1개, 385ml",5350,5.0,37112,55,//thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/6691/eeb8f0e81e03cf1540b88ece539872db305aebaa040f76c6513988820e1c.jpg,https://www.coupang.com/vp/products/116651697?itemId=23220303309&lptag=A00344675&redirect=landing&searchId=83b4ef9b3690455e9cc7a44e4466b903&sourceType=brandstore-all_products&spec=10799999&src=1139998&storeId=346&subSourceType=brandstore-all_products&vendorId=A00344675&vendorItemId=88341541079&wPcid=48736601055732509002366,7
"홈스타 락스와 세제 스프레이 후로랄, 500ml, 3개",9450,5.0,11188,54,//thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/1025_amir_coupang_oct_80k/9dba/78bef756deab79b4f4fac9bfe82963f04f221636699c59c3d937131e567d.jpg,https://www.coupang.com/vp/products/7331962296?itemId=19801755357&lptag=A00344675&redirect=landing&searchId=83b4ef9b3690455e9cc7a44e4466b903&sourceType=brandstore-all_products&spec=10799999&src=1139998&storeId=346&subSourceType=brandstore-all_products&vendorId=A00344675&vendorItemId=88446291051&wPcid=48736601055732509002366,8
"홈스타 퍼펙트 세탁조 클리너, 450ml, 2개",5900,4.5,16502,50,//thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/262611440578440-dde0a3f9-d7e2-4ae9-bc46-b722571a77c8.jpg,https://www.coupang.com/vp/products/6939161968?itemId=16820812834&lptag=A00344675&redirect=landing&searchId=83b4ef9b3690455e9cc7a44e4466b903&sourceType=brandstore-all_products&spec=10799999&src=1139998&storeId=346&subSourceType=brandstore-all_products&vendorId=A00344675&vendorItemId=88446291923&wPcid=48736601055732509002366,9
"퐁퐁 베이킹소다 주방세제, 1.2L, 2개",5480,4.5,37811,53,//thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/c27b/28e9bfc41fbaadb9cb85b9c4d2d71fae9cd75876ff584dd65278ad0447de.jpg,https://www.coupang.com/vp/products/4691734596?itemId=23644296138&lptag=A00344675&redirect=landing&searchId=83b4ef9b3690455e9cc7a44e4466b903&sourceType=brandstore-all_products&spec=10799999&src=1139998&storeId=346&subSourceType=brandstore-all_products&vendorId=A00344675&vendorItemId=88353438010&wPcid=48736601055732509002366,10
