rank,rating,date,user,content,helpful_count,images,option_info,product_name
1,5,25.07.11.,khb4***,어제 저녁에 시켰는데 오늘 낮에 받았어요 배송 진짜 빠르네요 향은 계속 써오던 향이라 계속 재구매해요 섬유유연제는 아우라가 제일 괜찮아요,0,https://phinf.pstatic.net/checkout.phinf/20250711_171/1752225431958x1v4t_JPEG/IMG_9584.jpeg?type=f300_300,선택: 스모키머스크 1.7L 리필 2개,샤프란 아우라 리필 1.7L 스모키머스크 2개
2,5,25.07.16.,asan****,당일배송 감사합니다 수고하셨습니다 잘받았습니다,0,https://phinf.pstatic.net/checkout.phinf/20250716_31/1752676466664DdUrV_JPEG/1000004236.jpg?type=f300_300,선택: 스모키머스크 1.7L 리필 2개,샤프란 아우라 리필 1.7L 스모키머스크 2개
3,5,25.07.10.,quf1***,"[내일배송] 서비스로 편하게 수령했습니다.
아우라 라인은 전체적으로 향이 좋습니다.",0,https://phinf.pstatic.net/checkout.phinf/20250710_89/1752130436429I1qNI_JPEG/20250710_154232%281%29.jpg?type=f300_300,선택: 미드나잇골드 1.7L 리필 2개,샤프란 아우라 리필 1.7L 스모키머스크 2개
4,5,25.07.17.,ksj_******,계속 쓰던 향이라 좋아요,0,https://phinf.pstatic.net/checkout.phinf/20250717_44/1752734001696VNl7G_JPEG/IMG_9402.jpeg?type=f300_300,선택: 미드나잇골드 1.7L 리필 2개,샤프란 아우라 리필 1.7L 스모키머스크 2개
5,4,25.07.16.,dlaa********,향도 좋고 오래가서 좋아요,0,https://phinf.pstatic.net/checkout.phinf/20250716_271/1752665075126CYJEE_JPEG/1752665047053.jpg?type=f300_300,선택: 스모키머스크 1.7L 리필 2개,샤프란 아우라 리필 1.7L 스모키머스크 2개
6,5,25.07.16.,layl***,향이 좋고 항상 잘 쓰고 있어요.,0,https://phinf.pstatic.net/checkout.phinf/20250716_11/1752630824657MDd4f_JPEG/1000006350.jpg?type=f300_300,선택: 미드나잇골드 1.7L 리필 2개,샤프란 아우라 리필 1.7L 스모키머스크 2개
7,5,25.06.15.,ksjj****,"여러번 구매해서 사용합니다.
향도 좋고 가격도 저렴하여 이것만 사용합니다.",0,https://phinf.pstatic.net/checkout.phinf/20250615_258/1749995336660rEpi5_JPEG/KakaoTalk_20250615_224725053.jpg?type=f300_300,선택: 스모키머스크 1.7L 리필 2개,샤프란 아우라 리필 1.7L 스모키머스크 2개
8,5,25.07.20.,lcm4***,"토욜주문  일욜  오전도착
좋네요~",0,https://phinf.pstatic.net/checkout.phinf/20250720_221/1752990297623d83MK_JPEG/3630.jpg?type=f300_300,선택: 홀리데이 1.7L 리필 2개,샤프란 아우라 리필 1.7L 스모키머스크 2개
9,4,25.07.12.,wltj*****,늘 구매하는 제품입니다 강하지 않고 은은한향이 좋아서~  잘받았습니다 감사합니다  저번에는 25년 제조된걸 보내주셨는데 이번에는 작년걸 보내셔서 별하나 뺐어요ㅠ,0,,선택: 스모키머스크 1.7L 리필 2개,샤프란 아우라 리필 1.7L 스모키머스크 2개
10,5,25.07.11.,sonb*****,빠른 배송 감사드려요 무엇보다 엘리베이터가 고장이라 4층까지 계단으로 오르내리기 힘드셨읉 텐데 더운 날씨 감사드려요^^,0,,선택: 스모키머스크 1.7L 리필 2개,샤프란 아우라 리필 1.7L 스모키머스크 2개
