rank,rating,date,user,content,helpful_count,images,option_info,product_name
1,5,25.07.19.,hyej******,"맨날 피지만 쓰다가 테크한번사봅니다
이것도 좋을꺼같습니다
(아직사용전)
배송도 오늘배송으로빠르게받았습니다
박스는탄탄한데
포장을 제품을 눕혀서 포장하셔서
액체가 뚜껑에 직접적으로닿아서 새기직전까지가서 안좋아요ㅜㅜ
세워서 보내주세요ㅜㅜ",0,https://phinf.pstatic.net/checkout.phinf/20250719_135/1752855585975331hl_JPEG/1000050150.jpg?type=f300_300,옵션: 베+구 실내건조 일반3L 1개+증정,테크 베이킹소다+구연산 실내건조 액체세제 일반 용기 3L 1개+특별증정(1L 리필)
2,3,25.07.17.,sin2******,저렴하게 구입 했어요 만족합니다 세제 내용물이 나와서  실망했지만....,0,https://phinf.pstatic.net/checkout.phinf/20250717_64/1752763378395gtEFI_JPEG/1752763367971.jpg?type=f300_300,옵션: 진드기 제거 일반 3L + 증정,테크 베이킹소다+구연산 실내건조 액체세제 일반 용기 3L 1개+특별증정(1L 리필)
3,5,25.07.20.,sini***,빨래후 냄새가 좋네요. 제가 상상하던 깨끗하게 빨래 한 후 나는 냄새.,0,https://phinf.pstatic.net/checkout.phinf/20250720_28/17529818936447W1WI_PNG/IMG_0457.png?type=f300_300,옵션: 베+구 실내건조 드럼3L 1개+증정,테크 베이킹소다+구연산 실내건조 액체세제 일반 용기 3L 1개+특별증정(1L 리필)
4,5,25.07.14.,dew1***,늘 쓰는 제품. 괜찮은 거 같아요,0,https://phinf.pstatic.net/checkout.phinf/20250714_251/1752470348658CxBJl_JPEG/1000044830.jpg?type=f300_300,옵션: 베+구 실내건조 드럼3L 1개+증정,테크 베이킹소다+구연산 실내건조 액체세제 일반 용기 3L 1개+특별증정(1L 리필)
5,5,25.07.12.,warr*******,늘 구입하는 제품입니다. 추가상품도 와서 좋아요^^,0,https://phinf.pstatic.net/checkout.phinf/20250712_45/1752309083131J6mvw_JPEG/image.jpg?type=f300_300,옵션: 베+구 실내건조 일반3L 1개+증정,테크 베이킹소다+구연산 실내건조 액체세제 일반 용기 3L 1개+특별증정(1L 리필)
6,5,25.06.30.,nono***,"알러지케어와 진드기 제거에 효과가 있길바라며 이불빨래용으로 구매했어요~
큰 용량에 작은 용량 리필도 +1로 와서 굿!
뽀득뽀득 깨끗하게 세탁완료했습니다.",0,https://phinf.pstatic.net/checkout.phinf/20250630_130/1751290981183Wr73o_JPEG/F1FEDACD-71AA-4AE5-9537-B8218BBB289E.jpeg?type=f300_300,옵션: 진드기 제거 일반 3L + 증정,테크 베이킹소다+구연산 실내건조 액체세제 일반 용기 3L 1개+특별증정(1L 리필)
7,5,25.07.05.,pc****,배송은 빨라요. 수건에서 꿉꿉한 냄새때문에 주문 해봤어요 효과가 좋길바래요,0,https://phinf.pstatic.net/checkout.phinf/20250705_131/1751700646649WmV0l_JPEG/D15D6F1B-74CC-4C9F-B52D-53BAFD164DCC.jpeg?type=f300_300,옵션: 베+구 실내건조 드럼3L 1개+증정,테크 베이킹소다+구연산 실내건조 액체세제 일반 용기 3L 1개+특별증정(1L 리필)
8,5,25.07.18.,wjdg*******,"늘 썼던 거예요 ㅎ.ㅎ 
감사합니당~",0,https://phinf.pstatic.net/checkout.phinf/20250718_73/1752826226255h1wfH_JPEG/1000058345.jpg?type=f300_300,옵션: 베+구 실내건조 일반3L 1개+증정,테크 베이킹소다+구연산 실내건조 액체세제 일반 용기 3L 1개+특별증정(1L 리필)
9,5,25.07.11.,ghkd****,마트보다 저렴하게 샀어요 세탁도 잘 되네요,0,https://phinf.pstatic.net/checkout.phinf/20250711_19/1752220564048uuJJ9_JPEG/1000008053.jpg?type=f300_300,옵션: 베+구 실내건조 일반3L 1개+증정,테크 베이킹소다+구연산 실내건조 액체세제 일반 용기 3L 1개+특별증정(1L 리필)
10,5,25.07.08.,lovi*******,계속 쓰던 제품입니다. 리필도 같이 있어서 좋습니다,0,https://phinf.pstatic.net/checkout.phinf/20250708_183/1751961333891j1jrP_JPEG/IMG_6593.jpeg?type=f300_300,옵션: 실내건조 드럼 2.7L + 증정,테크 베이킹소다+구연산 실내건조 액체세제 일반 용기 3L 1개+특별증정(1L 리필)
