rank,rating,date,user,content,helpful_count,images,option_info,product_name
1,5,25.07.10.,outs********,향이 유칼립투스라 좋을 것 같아 샀는데 마음에 들어요,0,https://phinf.pstatic.net/checkout.phinf/20250710_171/1752120072227SGFx8_JPEG/1752120053137.jpg?type=f300_300,선택1: 연꽃 1개+증정,샤프란 꽃담초 연꽃 5.5L 용기 1개+특별증정(리필 1.6L 1개)
2,5,25.07.01.,hame*****,꽃담초 쓴지 거의 십년은 된거같아요! 특히 연꽃향은 순하고 향기 좋아 쟁겨두고 씁니다. 증정에 할인까지받아 저렴히 구입했네요!^^,0,https://phinf.pstatic.net/checkout.phinf/20250701_198/1751379030923ro2YH_JPEG/1000015945.jpg?type=f300_300,선택1: 연꽃 1개+증정,샤프란 꽃담초 연꽃 5.5L 용기 1개+특별증정(리필 1.6L 1개)
3,5,25.07.20.,suna********,"항상 여기꺼만 삽니다
이번에는 배송도 빠르네요",0,https://phinf.pstatic.net/checkout.phinf/20250720_29/1753023295435nk0ON_JPEG/1000014918.jpg?type=f300_300,선택1: 연꽃 1개+증정,샤프란 꽃담초 연꽃 5.5L 용기 1개+특별증정(리필 1.6L 1개)
4,5,25.07.20.,inee****,"꽃담초는 항상 만족합니다 
주변에도 많이 알렸습니다",0,https://phinf.pstatic.net/checkout.phinf/20250720_249/1752970150277jLWDb_JPEG/1000007353.jpg?type=f300_300,선택1: 연꽃 1개+증정,샤프란 꽃담초 연꽃 5.5L 용기 1개+특별증정(리필 1.6L 1개)
5,5,25.07.07.,yesa*****,빠른배송 감사드리고요 저렴한가격에 구매할수있어서 좋네요.,0,https://phinf.pstatic.net/checkout.phinf/20250707_21/1751856677408GRr8F_JPEG/20250707_115032.jpg?type=f300_300,선택1: 연꽃 1개+증정,샤프란 꽃담초 연꽃 5.5L 용기 1개+특별증정(리필 1.6L 1개)
6,5,25.07.20.,no****,"여름에 향상구매하는 제품입니다
빨래에 쉰내가 안나요",0,https://phinf.pstatic.net/checkout.phinf/20250720_70/1753005951599bPmKb_JPEG/1753005930827.jpg?type=f300_300,선택1: 연꽃 1개+증정,샤프란 꽃담초 연꽃 5.5L 용기 1개+특별증정(리필 1.6L 1개)
7,5,25.07.12.,runn****,항상쓰던 제품입니다. 사은품은 같이와서 너무 좋습니다. 추천합니다.,0,https://phinf.pstatic.net/checkout.phinf/20250712_184/17523279653811AzqL_JPEG/tmp_6516969157482101062.jpg?type=f300_300,선택1: 연꽃 1개+증정,샤프란 꽃담초 연꽃 5.5L 용기 1개+특별증정(리필 1.6L 1개)
8,5,25.07.11.,79in****,"향이 좋아요
포장도꼼꼼하고 배송도 빠르고 좋네요~",0,https://phinf.pstatic.net/checkout.phinf/20250711_38/1752232286145dIASF_JPEG/1000013358.jpg?type=f300_300,선택1: 연꽃 1개+증정,샤프란 꽃담초 연꽃 5.5L 용기 1개+특별증정(리필 1.6L 1개)
9,5,25.07.04.,aea4***,"용량도 많고 향도 좋아요
점성이 없어서 세탁기에 잔여물이 안 남아서 써요",0,https://phinf.pstatic.net/checkout.phinf/20250704_156/17515845036845PnYR_JPEG/17515844942292755278388022125499.jpg?type=f300_300,선택1: 연꽃 1개+증정,샤프란 꽃담초 연꽃 5.5L 용기 1개+특별증정(리필 1.6L 1개)
10,5,25.07.19.,gabd****,향도좋고 효과도 좋아요.,0,https://phinf.pstatic.net/checkout.phinf/20250719_134/1752930170389SNk8F_JPEG/1000008741.jpg?type=f300_300,선택1: 연꽃 1개+증정,샤프란 꽃담초 연꽃 5.5L 용기 1개+특별증정(리필 1.6L 1개)
11,5,25.06.19.,minh*****,"부모님댁에 세탁기, 건조기 구매하면서 같이 주문했네요. 안내문자는 받았는데..사은품(?)제품이 품절이라 늦은 배송에 다른제품으로 왔네요. 향은 좋다고 하시네요.",0,https://phinf.pstatic.net/checkout.phinf/20250619_191/1750299252730tLNm2_JPEG/1000101300.jpg?type=f300_300,선택1: 연꽃 1개+증정,샤프란 꽃담초 연꽃 5.5L 용기 1개+특별증정(리필 1.6L 1개)
12,5,25.07.08.,dleh*******,냄새 좋다고 추천 받아서 샀는데 너무 좋아서 앞으로 이것만 쓰려고요,0,https://phinf.pstatic.net/checkout.phinf/20250708_229/1751984234719Pno3c_JPEG/image.jpg?type=f300_300,선택1: 연꽃 1개+증정,샤프란 꽃담초 연꽃 5.5L 용기 1개+특별증정(리필 1.6L 1개)
13,5,25.07.07.,tose****,꽃담초 섬유탈취제 좋아해서 구매했릅니다. 배송도 빠르고 공홈에서 저렴하게 구매했어요.,0,https://phinf.pstatic.net/checkout.phinf/20250707_243/175185531890385YOq_JPEG/1000010525.jpg?type=f300_300,선택1: 연꽃 1개+증정,샤프란 꽃담초 연꽃 5.5L 용기 1개+특별증정(리필 1.6L 1개)
14,5,25.07.11.,ths0****,항상 사용해오던건데 저렴하게 잘 구입했습니다~,0,https://phinf.pstatic.net/checkout.phinf/20250711_108/1752234087976cfu8d_JPEG/IMG_4473.jpeg?type=f300_300,선택1: 연꽃 1개+증정,샤프란 꽃담초 연꽃 5.5L 용기 1개+특별증정(리필 1.6L 1개)
15,5,25.07.13.,park*****,증정용까지 용량이 아주 두둑하니 만족스럽습니다,0,https://phinf.pstatic.net/checkout.phinf/20250713_129/1752413971237A34pW_JPEG/1000038798.jpg?type=f300_300,선택1: 연꽃 1개+증정,샤프란 꽃담초 연꽃 5.5L 용기 1개+특별증정(리필 1.6L 1개)
