rank,rating,date,user,content,helpful_count,images,option_info,product_name
1,5,25.06.29.,nike****,일반 치약하고 아침저녁으로 번갈아가면서 사용하는데 드라마틱한 효과는 아니지만 확실히 하얘지는게 눈으로 보여서 좋아요!  인위적인 시원한 파스 느낌이아니라 자연스러운 시원한 파스 느낌이라 개운하고 좋아요! 가격이 좀 비싸지만 성분이 너무 좋고 효과가 눈에 보여서 좋네요🩷,0,https://phinf.pstatic.net/checkout.phinf/20250629_231/1751181881405DafRm_JPEG/1751181869730.jpg?type=f300_300,옵션: 본품 2개+특별증정(치약 20g 3종),유시몰 마이멜로디 화이트닝 치약 106g 2개+특별증정(소용량 20g 3종)
2,5,25.07.18.,popc******,하얗게 되는건 잘 모르겠어요   맛도 오리지널 보담 점 별로 ㅠㅜ,0,https://phinf.pstatic.net/checkout.phinf/20250718_218/1752806653399gYxVc_JPEG/image.jpg?type=f300_300,옵션: 본품 2개+특별증정(치약 20g 3종),유시몰 마이멜로디 화이트닝 치약 106g 2개+특별증정(소용량 20g 3종)
3,5,25.07.16.,shin****,"이가 하얘지는건가? ,, 거품 잘 안나는건 익숙한데 맛이 좀 별로예요 그래도 마멜이 귀여워서 좋아요",0,https://phinf.pstatic.net/checkout.phinf/20250716_161/1752668827094sNTe3_JPEG/image.jpg?type=f300_300,옵션: 본품 2개+특별증정(치약 20g 3종),유시몰 마이멜로디 화이트닝 치약 106g 2개+특별증정(소용량 20g 3종)
4,4,25.07.17.,jiwo*****,다른건 좋은데 생각보다 거품이 잘 안나요,0,https://phinf.pstatic.net/checkout.phinf/20250717_74/1752750790727W0q00_JPEG/image.jpg?type=f300_300,옵션: 본품 2개+특별증정(치약 20g 3종),유시몰 마이멜로디 화이트닝 치약 106g 2개+특별증정(소용량 20g 3종)
5,5,25.07.20.,rave****,주말에도 배송돼서 좋네요,0,https://phinf.pstatic.net/checkout.phinf/20250720_22/1752990431184WLFbo_JPEG/1000047590.jpg?type=f300_300,옵션: 본품 2개+특별증정(치약 20g 3종),유시몰 마이멜로디 화이트닝 치약 106g 2개+특별증정(소용량 20g 3종)
6,3,25.07.09.,wkdt*******,"맛은 오리지널이 더 괜찮은거 같아요..
적응하는데 시간이 걸릴것 같습니다 ㅜ",0,https://phinf.pstatic.net/checkout.phinf/20250709_223/1752020217025JydSY_JPEG/image.jpg?type=f300_300,옵션: 본품 2개+특별증정(치약 20g 3종),유시몰 마이멜로디 화이트닝 치약 106g 2개+특별증정(소용량 20g 3종)
7,5,25.07.19.,dj****,배송 상품 모든게 다 만족입니다.,0,https://phinf.pstatic.net/checkout.phinf/20250719_283/17529275153221fOzd_JPEG/IMG_3484.jpeg?type=f300_300,옵션: 본품 2개+특별증정(치약 20g 3종),유시몰 마이멜로디 화이트닝 치약 106g 2개+특별증정(소용량 20g 3종)
8,5,25.07.13.,jung*****,정말좋아요 이가 하해지는짐추첫,0,https://phinf.pstatic.net/checkout.phinf/20250713_118/1752392925688gV5N4_JPEG/image.jpg?type=f300_300,옵션: 본품 2개+특별증정(치약 20g 3종),유시몰 마이멜로디 화이트닝 치약 106g 2개+특별증정(소용량 20g 3종)
9,5,25.07.20.,sc****,좋은데 짜는것이 너무 불편합니다,0,https://phinf.pstatic.net/checkout.phinf/20250720_168/1753020635481D7oLf_JPEG/IMG_8885.jpeg?type=f300_300,옵션: 본품 2개+특별증정(치약 20g 3종),유시몰 마이멜로디 화이트닝 치약 106g 2개+특별증정(소용량 20g 3종)
10,5,25.07.19.,jung****,최애 치약으로 등극입니다^^,0,https://phinf.pstatic.net/checkout.phinf/20250719_138/1752900337799K4YCe_JPEG/1752900328836168340212401644360.jpg?type=f300_300,옵션: 본품 2개+특별증정(치약 20g 3종),유시몰 마이멜로디 화이트닝 치약 106g 2개+특별증정(소용량 20g 3종)
11,4,25.07.15.,wldu********,"배송도빠르고 괜찮습니다
많이 파세요",0,https://phinf.pstatic.net/checkout.phinf/20250715_117/1752577745011qgRpd_JPEG/1752577736305.jpg?type=f300_300,옵션: 본품 2개+특별증정(치약 20g 3종),유시몰 마이멜로디 화이트닝 치약 106g 2개+특별증정(소용량 20g 3종)
12,5,25.07.17.,cpfl*****,넘 개운하고 좋아요 진짜,0,https://phinf.pstatic.net/checkout.phinf/20250717_210/17527450957849TpVp_JPEG/20250303_112053.jpg?type=f300_300,옵션: 본품 2개+특별증정(치약 20g 3종),유시몰 마이멜로디 화이트닝 치약 106g 2개+특별증정(소용량 20g 3종)
13,5,25.07.11.,shar*****,일단예쁨. 화이트닝은 보라가 좀더 나은느낌,0,https://phinf.pstatic.net/checkout.phinf/20250711_139/1752195248017Udb4f_JPEG/20250711_095314.jpg?type=f300_300,옵션: 본품 2개+특별증정(치약 20g 3종),유시몰 마이멜로디 화이트닝 치약 106g 2개+특별증정(소용량 20g 3종)
14,4,25.07.13.,yuri****,한달 사용했는데 아직 치아가 밝아진거는 잘모르겠어요!,0,https://phinf.pstatic.net/checkout.phinf/20250713_216/1752391095949Gh3ec_JPEG/image.jpg?type=f300_300,옵션: 본품 2개+특별증정(치약 20g 3종),유시몰 마이멜로디 화이트닝 치약 106g 2개+특별증정(소용량 20g 3종)
15,5,25.07.14.,su****,치약 쓰고나면 개운하고 좋아요,0,https://phinf.pstatic.net/checkout.phinf/20250714_120/1752483786111inBTg_JPEG/1752483777085.jpg?type=f300_300,옵션: 본품 2개+특별증정(치약 20g 3종),유시몰 마이멜로디 화이트닝 치약 106g 2개+특별증정(소용량 20g 3종)
16,5,25.05.12.,ohj4***,"케이스가 쓰기 힘들다고 말만 들어봤는데 정말이네오..ㅎㅎ 록시땅 시어버터 대용량 핸드크림 케이스 느낌이에요. 화이트닝 성분이 산소랑 만나면 강력하게 산화가 되나봐요. 어쨌든 그 핸드크림을 많이 써봤기에 노하우를 가지고 뒤쪽부터 꾹꾹 눌러서 쓰고 있습니다.
사실 유시몰은 오리지널 치약 처음 써보고 너무 매워서 경악한 뒤로 다시 쓰지 않았는데 마이멜로디가 뭐라고..ㅠㅠ 구입했네요ㅎㅎ 근데 이건 써보니 엄청 맵진 않아요. 거품 내기 조금 힘든 편이고 치약이 이에 닿으면 시린 느낌이 나는데 금방 사라져요.
2주 썼는데 좀 하얘진 느낌이 나는 것도 같구요..ㅋㅋㅋ 기분 탓이겠죠? 두 개 샀으니 꾸준히 써보겠습니다!
아 그리고 여행용 소용량 3개 주신것도 잘 쓸게요^^",0,https://phinf.pstatic.net/checkout.phinf/20250512_125/1747049977582FH5n1_JPEG/image.jpg?type=f300_300,옵션: 본품 2개+특별증정(치약 20g 3종),유시몰 마이멜로디 화이트닝 치약 106g 2개+특별증정(소용량 20g 3종)
17,5,25.07.09.,ceru******,제품 잘 왔습니다. 패키지가 귀엽네요,0,https://phinf.pstatic.net/checkout.phinf/20250709_214/1752036161302IGNdn_JPEG/1000022857.jpg?type=f300_300,옵션: 본품 2개+특별증정(치약 20g 3종),유시몰 마이멜로디 화이트닝 치약 106g 2개+특별증정(소용량 20g 3종)
18,5,25.07.13.,firs********,맵다는 후기가 쫌 무섭지만 치아미백을 위해서..,0,https://phinf.pstatic.net/checkout.phinf/20250713_146/1752333446182KQGTC_JPEG/20250712_222400.jpg?type=f300_300,옵션: 본품 2개+특별증정(치약 20g 3종),유시몰 마이멜로디 화이트닝 치약 106g 2개+특별증정(소용량 20g 3종)
19,3,25.06.21.,lhj7***,"음..거품이 잘 안나는거 같아서 두번씩 짤때가 종종 있어요. 그리고 시원한감 보다는 냄새가 나는거 같아서 전 좀 별로인거 같아요
개운하지 않습니다. 미백효과도 모르겠어요",0,https://phinf.pstatic.net/checkout.phinf/20250621_91/17504678131019tB5U_JPEG/1750467804295.jpg?type=f300_300,옵션: 본품 2개+특별증정(치약 20g 3종),유시몰 마이멜로디 화이트닝 치약 106g 2개+특별증정(소용량 20g 3종)
20,5,25.07.11.,bej8***,잘쓰고있어요 감사합니다,0,https://phinf.pstatic.net/checkout.phinf/20250711_98/1752225355295gp8tE_JPEG/IMG_7681.jpeg?type=f300_300,옵션: 본품 2개+특별증정(치약 20g 3종),유시몰 마이멜로디 화이트닝 치약 106g 2개+특별증정(소용량 20g 3종)
