rank,rating,date,user,content,helpful_count,images,option_info,product_name
1,5,25.07.04.,sp****,아침에 구매했는데 저녁에 배송해주셨어요.. 우와.. 향기 좋고 재질이 부직포(?^^;;;)같은거라 기존 면같은 재질 아니어서 옷에 달라붙지 않아요.. 다른제품 샀을때 서비스로 줘서 이제품 써봤는데 맘에들어서 본품을 구매해봤습니다. 많이 파세요~^^,0,https://phinf.pstatic.net/checkout.phinf/20250704_56/1751584947552XDURm_JPEG/20250704_081957.jpg?type=f300_300,옵션: 윌유메리미향 100매 2개,아우라 드라이 건조기시트 Max 100매 2개(윌유메리미)
2,5,25.07.14.,ahns*******,건조기 사용하면서 일반 섬유유연제는 향이 다 날라가던데 이건 향기가 넘 좋게 남아요. 추천!!,0,https://phinf.pstatic.net/checkout.phinf/20250714_240/1752479318137uhwX5_JPEG/1000019422.jpg?type=f300_300,옵션: 윌유메리미향 100매 2개,아우라 드라이 건조기시트 Max 100매 2개(윌유메리미)
3,5,25.07.19.,heat*****,대박 인생향이이에요 전 두장 넣어서 돌려요 거실에 향기가 솔솔,0,https://phinf.pstatic.net/checkout.phinf/20250719_131/1752923243708WuC8i_JPEG/image.jpg?type=f300_300,옵션: 윌유메리미향 100매 2개,아우라 드라이 건조기시트 Max 100매 2개(윌유메리미)
4,3,25.07.20.,zzan*****,아 시대가 어느땜데 개별포장이 아니라니요 ㅠㅠ어쩐지 싸드라 ㅠㅠ,0,https://phinf.pstatic.net/checkout.phinf/20250720_202/1752974688354IxT2r_JPEG/1000017967.jpg?type=f300_300,옵션: 윌유메리미향 100매 2개,아우라 드라이 건조기시트 Max 100매 2개(윌유메리미)
5,5,25.07.11.,attr******,향이 너무 좋아요. 여름철 건조기 시트는 필수입니다,0,https://phinf.pstatic.net/checkout.phinf/20250711_15/1752198973707yUviL_JPEG/1000029214.jpg?type=f300_300,옵션: 윌유메리미향+드라이시트 10매 1개,아우라 드라이 건조기시트 Max 100매 2개(윌유메리미)
6,5,25.07.21.,popo*******,향을 좋아해서 늘 구매하고 있어요 ㅎ,0,https://phinf.pstatic.net/checkout.phinf/20250721_257/17530252991748FHDv_JPEG/1753025277361.jpg?type=f300_300,옵션: 윌유메리미향 100매 2개,아우라 드라이 건조기시트 Max 100매 2개(윌유메리미)
7,5,25.07.14.,0118******,좋아요!! 감사합니다 잘쓸게여,0,https://phinf.pstatic.net/checkout.phinf/20250714_69/1752473915395zLbe2_JPEG/IMG_7111.jpeg?type=f300_300,옵션: 윌유메리미향 100매 2개,아우라 드라이 건조기시트 Max 100매 2개(윌유메리미)
8,5,25.07.20.,jaho******,향좋아서 믿고구매했어요!!!,0,https://phinf.pstatic.net/checkout.phinf/20250720_207/1752970037247T08up_JPEG/1000002583.jpg?type=f300_300,옵션: 스윗만다린향 100매 2개,아우라 드라이 건조기시트 Max 100매 2개(윌유메리미)
9,5,25.07.06.,gyro****,일반 시트보다 크기가 좀 큰것 같아요 향도 오래가고 달달한 향이에요,0,https://phinf.pstatic.net/checkout.phinf/20250706_158/1751803740785vP0dn_JPEG/IMG_2338.jpeg?type=f300_300,옵션: 스윗만다린향 100매 2개,아우라 드라이 건조기시트 Max 100매 2개(윌유메리미)
10,5,25.07.07.,luir***,건조기 사용할때 필수인 건조기 시트. 아우라는 대체로 향이 좋아요.,0,https://phinf.pstatic.net/checkout.phinf/20250707_54/1751870339154TW2uf_JPEG/IMG_0136.jpeg?type=f300_300,옵션: 윌유메리미향 100매 2개,아우라 드라이 건조기시트 Max 100매 2개(윌유메리미)
11,5,25.07.01.,kth2***,"빠른배송 감사합니다
향이 너무 좋아요",0,https://phinf.pstatic.net/checkout.phinf/20250701_132/1751357373228rJsRv_JPEG/1000020986.jpg?type=f300_300,옵션: 윌유메리미향 100매 2개,아우라 드라이 건조기시트 Max 100매 2개(윌유메리미)
12,5,25.07.08.,koo1***,"건조기 돌리고 꿉꿉한 냄새가 없어졌습니다
향도 좋아요",0,https://phinf.pstatic.net/checkout.phinf/20250708_209/1751928344133hz9Tz_JPEG/1000019814.jpg?type=f300_300,옵션: 윌유메리미향 100매 2개,아우라 드라이 건조기시트 Max 100매 2개(윌유메리미)
13,5,25.07.18.,lka6***,매번 주문하고 있어요,0,https://phinf.pstatic.net/checkout.phinf/20250718_300/1752836553559b2Ly5_JPEG/1000014306.jpg?type=f300_300,옵션: 윌유메리미향 100매 2개,아우라 드라이 건조기시트 Max 100매 2개(윌유메리미)
14,5,25.07.09.,sdam***,여름 필수템!! 잘 쓸게요 ㅎㅎ,0,https://phinf.pstatic.net/checkout.phinf/20250709_223/1752034603846LDOtB_JPEG/PayApp_20250709_131637_9029294839020178689.jpg?type=f300_300,옵션: 매그놀리아향 100매 2개,아우라 드라이 건조기시트 Max 100매 2개(윌유메리미)
15,5,25.07.01.,j1****,댓글평 보고 구입했는데 ㅎㅎ 쓰고 있던 제품이네요,0,https://phinf.pstatic.net/checkout.phinf/20250701_92/1751363306315FmwrF_JPEG/1000037778.jpg?type=f300_300,옵션: 윌유메리미향 100매 2개,아우라 드라이 건조기시트 Max 100매 2개(윌유메리미)
16,5,25.07.17.,bb****,향기좋고 배송 빨라서 좋아요~가격도괜찮습니다~,0,,옵션: 스모키머스크향 100매 2개,아우라 드라이 건조기시트 Max 100매 2개(윌유메리미)
17,5,25.07.11.,byul****,배송 빠르고 좋아요,0,https://phinf.pstatic.net/checkout.phinf/20250711_7/1752207836623itkt6_JPEG/1000012040.jpg?type=f300_300,옵션: 스윗만다린향 100매 2개,아우라 드라이 건조기시트 Max 100매 2개(윌유메리미)
18,5,25.07.07.,mani******,"건조기 사용시 향이 날라서 구매했는데 
향 은은하고 넘 좋아요",0,https://phinf.pstatic.net/checkout.phinf/20250707_6/1751863497958nnehi_JPEG/1000005199.jpg?type=f300_300,옵션: 스모키머스크향 100매 2개,아우라 드라이 건조기시트 Max 100매 2개(윌유메리미)
19,5,25.07.02.,isqu*******,"써보고 후기다시남길께요 
일단 향은좋아요^^",0,https://phinf.pstatic.net/checkout.phinf/20250702_275/17514480709602c8Sy_JPEG/1751448054069.jpg?type=f300_300,옵션: 윌유메리미향 100매 2개,아우라 드라이 건조기시트 Max 100매 2개(윌유메리미)
20,5,25.06.27.,tjsd*******,배송 빠르고 안전하게 도착햇어요ㅎ 제가 써보고 괜찮아서 친정주려고 샀어요ㅎ,0,https://phinf.pstatic.net/checkout.phinf/20250627_131/1751031435299xXG4F_JPEG/1000008424.jpg?type=f300_300,옵션: 스윗만다린향 100매 2개,아우라 드라이 건조기시트 Max 100매 2개(윌유메리미)
21,5,25.07.04.,sp****,아침에 구매했는데 저녁에 배송해주셨어요.. 우와.. 향기 좋고 재질이 부직포(?^^;;;)같은거라 기존 면같은 재질 아니어서 옷에 달라붙지 않아요.. 다른제품 샀을때 서비스로 줘서 이제품 써봤는데 맘에들어서 본품을 구매해봤습니다. 많이 파세요~^^,0,https://phinf.pstatic.net/checkout.phinf/20250704_56/1751584947552XDURm_JPEG/20250704_081957.jpg?type=f300_300,옵션: 윌유메리미향 100매 2개,아우라 드라이 건조기시트 Max 100매 2개(윌유메리미)
22,5,25.07.14.,ahns*******,건조기 사용하면서 일반 섬유유연제는 향이 다 날라가던데 이건 향기가 넘 좋게 남아요. 추천!!,0,https://phinf.pstatic.net/checkout.phinf/20250714_240/1752479318137uhwX5_JPEG/1000019422.jpg?type=f300_300,옵션: 윌유메리미향 100매 2개,아우라 드라이 건조기시트 Max 100매 2개(윌유메리미)
23,5,25.07.19.,heat*****,대박 인생향이이에요 전 두장 넣어서 돌려요 거실에 향기가 솔솔,0,https://phinf.pstatic.net/checkout.phinf/20250719_131/1752923243708WuC8i_JPEG/image.jpg?type=f300_300,옵션: 윌유메리미향 100매 2개,아우라 드라이 건조기시트 Max 100매 2개(윌유메리미)
24,3,25.07.20.,zzan*****,아 시대가 어느땜데 개별포장이 아니라니요 ㅠㅠ어쩐지 싸드라 ㅠㅠ,0,https://phinf.pstatic.net/checkout.phinf/20250720_202/1752974688354IxT2r_JPEG/1000017967.jpg?type=f300_300,옵션: 윌유메리미향 100매 2개,아우라 드라이 건조기시트 Max 100매 2개(윌유메리미)
25,5,25.07.11.,attr******,향이 너무 좋아요. 여름철 건조기 시트는 필수입니다,0,https://phinf.pstatic.net/checkout.phinf/20250711_15/1752198973707yUviL_JPEG/1000029214.jpg?type=f300_300,옵션: 윌유메리미향+드라이시트 10매 1개,아우라 드라이 건조기시트 Max 100매 2개(윌유메리미)
26,5,25.07.21.,popo*******,향을 좋아해서 늘 구매하고 있어요 ㅎ,0,https://phinf.pstatic.net/checkout.phinf/20250721_257/17530252991748FHDv_JPEG/1753025277361.jpg?type=f300_300,옵션: 윌유메리미향 100매 2개,아우라 드라이 건조기시트 Max 100매 2개(윌유메리미)
27,5,25.07.14.,0118******,좋아요!! 감사합니다 잘쓸게여,0,https://phinf.pstatic.net/checkout.phinf/20250714_69/1752473915395zLbe2_JPEG/IMG_7111.jpeg?type=f300_300,옵션: 윌유메리미향 100매 2개,아우라 드라이 건조기시트 Max 100매 2개(윌유메리미)
28,5,25.07.20.,jaho******,향좋아서 믿고구매했어요!!!,0,https://phinf.pstatic.net/checkout.phinf/20250720_207/1752970037247T08up_JPEG/1000002583.jpg?type=f300_300,옵션: 스윗만다린향 100매 2개,아우라 드라이 건조기시트 Max 100매 2개(윌유메리미)
29,5,25.07.06.,gyro****,일반 시트보다 크기가 좀 큰것 같아요 향도 오래가고 달달한 향이에요,0,https://phinf.pstatic.net/checkout.phinf/20250706_158/1751803740785vP0dn_JPEG/IMG_2338.jpeg?type=f300_300,옵션: 스윗만다린향 100매 2개,아우라 드라이 건조기시트 Max 100매 2개(윌유메리미)
30,5,25.07.07.,luir***,건조기 사용할때 필수인 건조기 시트. 아우라는 대체로 향이 좋아요.,0,https://phinf.pstatic.net/checkout.phinf/20250707_54/1751870339154TW2uf_JPEG/IMG_0136.jpeg?type=f300_300,옵션: 윌유메리미향 100매 2개,아우라 드라이 건조기시트 Max 100매 2개(윌유메리미)
