rank,rating,date,user,content,helpful_count,images,option_info,product_name
1,5,25.07.19.,2lul***,평소에도 아우라를 즐겨쓰고 있는데 양재동 꽃시장 향이 궁금해서 구입해봤습니다. 향을 맡아보니 양재동 꽃시장에 있는 냄새가 진짜 나요. 말로는 설명할 수 없지만 꽃시장에서 맡을 수 있는 그 향이 정말 나더라구요. 아직 써보지는 않았지만 우선 향은 마음에 듭니다. 빨래 이후가 기대됩니다.,0,https://phinf.pstatic.net/checkout.phinf/20250719_141/1752914879159xtEnz_JPEG/1000015444.jpg?type=f300_300,옵션: 양재동꽃시장 1.7L 2개+1L 1개+증정,아우라 퍼퓸캡슐 양재동 꽃시장 1.7L 2개+1L 1개+특별증정(섬유유연제 200ml 1개)
2,5,25.07.20.,mkba*****,믿고 구매하는 엘지제품 향도 오래가고 너무 좋아요. 또 구매할게요^^,0,https://phinf.pstatic.net/checkout.phinf/20250720_185/1752976768596YgMWn_JPEG/1000010091.jpg?type=f300_300,옵션: 양재동꽃시장 1.7L 2개+1L 1개+증정,아우라 퍼퓸캡슐 양재동 꽃시장 1.7L 2개+1L 1개+특별증정(섬유유연제 200ml 1개)
3,5,25.07.11.,dase******,향기가 오래가서 좋아요 날이 더워 저희가족4명 다들 땀이 많이나는데 향기가 오래가서 땀꼬린내는 살짝 가려져서 밀족합니다,0,https://phinf.pstatic.net/checkout.phinf/20250711_134/1752191378462EGaNX_JPEG/1000019065.jpg?type=f300_300,옵션: 미스틱문라이즈 1.7L 2개+1L 1개+증정,아우라 퍼퓸캡슐 양재동 꽃시장 1.7L 2개+1L 1개+특별증정(섬유유연제 200ml 1개)
4,3,25.07.09.,ws****,세탁후 향이 많이 남지 않아 아쉬워요..은은향 꽃향기는 좋아요,0,https://phinf.pstatic.net/checkout.phinf/20250709_176/1752014865533lA19R_JPEG/1000010411.jpg?type=f300_300,옵션: 양재동꽃시장 1.7L 2개+1L 1개+증정,아우라 퍼퓸캡슐 양재동 꽃시장 1.7L 2개+1L 1개+특별증정(섬유유연제 200ml 1개)
5,5,25.07.12.,gaud***,향이 맘에 들어요 시어머니도 저희집오셨는데 빨래널으니 향이 좋다고 하셨어요,0,https://phinf.pstatic.net/checkout.phinf/20250712_117/1752295864418xaN0o_JPEG/1752295851657.jpg?type=f300_300,옵션: 양재동꽃시장 1.7L 2개+1L 1개+증정,아우라 퍼퓸캡슐 양재동 꽃시장 1.7L 2개+1L 1개+특별증정(섬유유연제 200ml 1개)
6,4,25.06.29.,blac********,냄새는 좋지만 진하지는 안아요.. 아무래도 다우니처럼 진하길 바라는건... 무리였을려나요..ㅠㅠ,0,https://phinf.pstatic.net/image.nmv/shopnbuyer_2025_06_29_33/PnX2jdAx7S_03.jpg?type=ffn300_300,옵션: 양재동꽃시장 1.7L 2개+1L 1개+증정,아우라 퍼퓸캡슐 양재동 꽃시장 1.7L 2개+1L 1개+특별증정(섬유유연제 200ml 1개)
7,5,25.07.21.,nurs*****,향도좋고 오래가는거 같아요,0,https://phinf.pstatic.net/checkout.phinf/20250721_126/1753027713198w4b9x_JPEG/1000070091.jpg?type=f300_300,옵션: 양재동꽃시장 1.7L 2개+1L 1개+증정,아우라 퍼퓸캡슐 양재동 꽃시장 1.7L 2개+1L 1개+특별증정(섬유유연제 200ml 1개)
8,5,25.07.11.,gusu*****,"엄청 향기해요~~~
친정집에 사드렷는데 탐나는 섬유유연제에요
또 사러올게요^^",0,https://phinf.pstatic.net/checkout.phinf/20250711_16/17522176895946Worm_JPEG/1000018924.jpg?type=f300_300,옵션: 스윗만다린 1.7L 2개+1L 1개+증정,아우라 퍼퓸캡슐 양재동 꽃시장 1.7L 2개+1L 1개+특별증정(섬유유연제 200ml 1개)
9,5,25.07.03.,gusr*****,냄새 넘 좋아오 ㅎㅎ 진짜 향기 오래가네요 사라진 것 같을 때 비비면 다시 나고 좋네용,0,https://phinf.pstatic.net/checkout.phinf/20250703_4/1751541218961lUI8V_JPEG/IMG_9744.jpeg?type=f300_300,옵션: 스윗만다린 1.7L 2개+1L 1개+증정,아우라 퍼퓸캡슐 양재동 꽃시장 1.7L 2개+1L 1개+특별증정(섬유유연제 200ml 1개)
10,5,25.06.22.,kkkh****,배송 빠르게 잘왔어요 섬유유연제 아우라만 사용하는데 신상 꽃시장 사용하다 얼마 없어 미스틱 문라이즈 주문해요 비염이 심해서 향을 잘 모르는데 딸아이가 향이 바뀔때마다 아네요 향도 은은해서 좋다고 해요,0,https://phinf.pstatic.net/checkout.phinf/20250622_10/1750595999465UhQEd_JPEG/1000005610.jpg?type=f300_300,옵션: 미스틱문라이즈 1.7L 2개+1L 1개+증정,아우라 퍼퓸캡슐 양재동 꽃시장 1.7L 2개+1L 1개+특별증정(섬유유연제 200ml 1개)
11,5,25.07.13.,zlzl*****,향이 진짜 꽃향이라 좋아요,0,https://phinf.pstatic.net/checkout.phinf/20250713_159/1752392911382Kvhbd_JPEG/1752392877575.jpg?type=f300_300,옵션: 양재동꽃시장 1.7L 2개+1L 1개+증정,아우라 퍼퓸캡슐 양재동 꽃시장 1.7L 2개+1L 1개+특별증정(섬유유연제 200ml 1개)
12,5,25.07.10.,pich****,엄마가 주길래 써보고 향이 좋아서 구매했어요~,0,https://phinf.pstatic.net/checkout.phinf/20250710_217/1752123976872MpP1U_PNG/aefaefeff.png?type=f300_300,옵션: 양재동꽃시장 1.7L 2개+1L 1개+증정,아우라 퍼퓸캡슐 양재동 꽃시장 1.7L 2개+1L 1개+특별증정(섬유유연제 200ml 1개)
13,5,25.07.16.,jump****,꽃향기가 좋아요~~~~~~,0,https://phinf.pstatic.net/checkout.phinf/20250716_285/1752659683993zGIWS_JPEG/1000036466.jpg?type=f300_300,옵션: 양재동꽃시장 1.7L 2개+1L 1개+증정,아우라 퍼퓸캡슐 양재동 꽃시장 1.7L 2개+1L 1개+특별증정(섬유유연제 200ml 1개)
14,5,25.06.21.,nkji*****,진항 향기가 있어 자꾸 더 넣고 싶게 되네요 잔향이 진해서 요즘 같은 여름철에 쓰기 너무 좋아요 :) 잘쓸게요,0,https://phinf.pstatic.net/checkout.phinf/20250621_121/1750463004973whoGK_JPEG/IMG_8290.jpeg?type=f300_300,옵션: 양재동꽃시장 1.7L 2개+1L 1개+증정,아우라 퍼퓸캡슐 양재동 꽃시장 1.7L 2개+1L 1개+특별증정(섬유유연제 200ml 1개)
15,5,25.07.11.,love******,원하는 향이라 아주 좋아요,0,https://phinf.pstatic.net/checkout.phinf/20250711_152/1752185209165bSngc_JPEG/1000011730.jpg?type=f300_300,옵션: 양재동꽃시장 1.7L 2개+1L 1개+증정,아우라 퍼퓸캡슐 양재동 꽃시장 1.7L 2개+1L 1개+특별증정(섬유유연제 200ml 1개)
16,4,25.06.07.,gsu0****,"헉슬리 모르칸가드너향 좋아해서 비슷한 향의 섬유유연제 찾다가 사보게 됐는데 비슷한 계열이지만 좀 다르네요. 미샤 양재동꽃시장 바디스프레이에서 좀 더 세제향이 나는 느낌? 입니다. 신선한 꽃향+세제향 같아요.
생각보다 향이 진하거나 오래가진 않아서 아쉬워요 ㅜ",0,https://phinf.pstatic.net/checkout.phinf/20250607_56/17492372467447CBtu_JPEG/PayApp_20250607_041320_4906388228479959277.jpg?type=f300_300,옵션: 양재동꽃시장 1.7L 2개+1L 1개+증정,아우라 퍼퓸캡슐 양재동 꽃시장 1.7L 2개+1L 1개+특별증정(섬유유연제 200ml 1개)
17,5,25.06.07.,dase******,향기가 너무 좋아서 매번 미스틱문라이즈만 구매합니다. 이번달도 잘 사용하고 다음달에도 구매하겠습니다.,0,https://phinf.pstatic.net/checkout.phinf/20250607_153/1749288425021kYOLu_JPEG/1000018449.jpg?type=f300_300,옵션: 미스틱문라이즈 1.7L 2개+1L 1개+증정,아우라 퍼퓸캡슐 양재동 꽃시장 1.7L 2개+1L 1개+특별증정(섬유유연제 200ml 1개)
18,5,25.06.30.,plue******,향이 아주 좋네요. 지속력이 오래가길 바래요,0,https://phinf.pstatic.net/checkout.phinf/20250630_64/1751267771615NYG6A_JPEG/KakaoTalk_20250630_155615209_04.jpg?type=f300_300,옵션: 양재동꽃시장 1.7L 2개+1L 1개+증정,아우라 퍼퓸캡슐 양재동 꽃시장 1.7L 2개+1L 1개+특별증정(섬유유연제 200ml 1개)
19,5,25.05.08.,kym2*****,"아내와 아이가 너무너무 좋아해요~
아이가 2명인데! 얼마전 출산했는데!
좋아서 죽을라고해요 너무 이쁘대요

매번 늘 감사한 마음을 담아 구매하고 있습니다
늘 애용하는 것 인것 만큼 소중한 마음으로 구매를 하고있구요~
저희 가족 그리고  아내와의 소중한 시간을 즐겁게 만들수 있게 해주셔서 감사합니다

제품은 진짜 말할 것도 없이 너무 좋습니다
그래서 당골이 된것 인지도 몰라요^-^
암튼 늘 감사 드리고 항상 삶이 축제이길 바랍니다
^^",0,https://phinf.pstatic.net/checkout.phinf/20250508_43/1746692960416fXBwG_JPEG/1000020627.jpg?type=f300_300,옵션: 양재동꽃시장 1.7L 2개+1L 1개+증정,아우라 퍼퓸캡슐 양재동 꽃시장 1.7L 2개+1L 1개+특별증정(섬유유연제 200ml 1개)
20,5,25.05.22.,ton1***,"섬유유연제 유목민이었던 제가 아우라로 바꾼뒤로 벌써 몇년째 n번째 구매인지 모르겠어요~~
근데 향기 리뉴얼을 자주해서 자꾸 새로운 구매욕구를 뿜뿜하게 만듭니다..ㅜㅜㅋ
우선 저는 최근 프레시 릴리향을 쓰고 있었는데..
양재동꽃시장 향이 너무너무 궁금한거예요~
마침 릴리향을 다 써서 드디어 드디어 양재동꽃시장 향을 구매해봤습니다~!!
요즘 디퓨저로도 많이 나오던데..
저는 아직 양재동꽃시장 향을 어디에서도 맡아본 적이 없었습니다.
처음 받자마자 향이 너무 궁금해 뚜껑을 열고 향을 맡았는데.....
읭??이게 무슨 향기지?? 모기패치향??
암튼 실망감이....ㅜㅜ
근데....오늘 빨래 하면서 써봤는데...
향기 좋네요~^^
우려감이 사라졌어요~ㅋㅋ
궁금하신 분은 한 번 써보셔도 좋을 것 같아요~",0,https://phinf.pstatic.net/checkout.phinf/20250522_239/1747912984483WEFTV_JPEG/1000038635.jpg?type=f300_300,옵션: 양재동꽃시장 1.7L 2개+1L 1개+증정,아우라 퍼퓸캡슐 양재동 꽃시장 1.7L 2개+1L 1개+특별증정(섬유유연제 200ml 1개)
21,5,25.07.19.,2lul***,평소에도 아우라를 즐겨쓰고 있는데 양재동 꽃시장 향이 궁금해서 구입해봤습니다. 향을 맡아보니 양재동 꽃시장에 있는 냄새가 진짜 나요. 말로는 설명할 수 없지만 꽃시장에서 맡을 수 있는 그 향이 정말 나더라구요. 아직 써보지는 않았지만 우선 향은 마음에 듭니다. 빨래 이후가 기대됩니다.,0,https://phinf.pstatic.net/checkout.phinf/20250719_141/1752914879159xtEnz_JPEG/1000015444.jpg?type=f300_300,옵션: 양재동꽃시장 1.7L 2개+1L 1개+증정,아우라 퍼퓸캡슐 양재동 꽃시장 1.7L 2개+1L 1개+특별증정(섬유유연제 200ml 1개)
22,5,25.07.20.,mkba*****,믿고 구매하는 엘지제품 향도 오래가고 너무 좋아요. 또 구매할게요^^,0,https://phinf.pstatic.net/checkout.phinf/20250720_185/1752976768596YgMWn_JPEG/1000010091.jpg?type=f300_300,옵션: 양재동꽃시장 1.7L 2개+1L 1개+증정,아우라 퍼퓸캡슐 양재동 꽃시장 1.7L 2개+1L 1개+특별증정(섬유유연제 200ml 1개)
23,5,25.07.11.,dase******,향기가 오래가서 좋아요 날이 더워 저희가족4명 다들 땀이 많이나는데 향기가 오래가서 땀꼬린내는 살짝 가려져서 밀족합니다,0,https://phinf.pstatic.net/checkout.phinf/20250711_134/1752191378462EGaNX_JPEG/1000019065.jpg?type=f300_300,옵션: 미스틱문라이즈 1.7L 2개+1L 1개+증정,아우라 퍼퓸캡슐 양재동 꽃시장 1.7L 2개+1L 1개+특별증정(섬유유연제 200ml 1개)
24,3,25.07.09.,ws****,세탁후 향이 많이 남지 않아 아쉬워요..은은향 꽃향기는 좋아요,0,https://phinf.pstatic.net/checkout.phinf/20250709_176/1752014865533lA19R_JPEG/1000010411.jpg?type=f300_300,옵션: 양재동꽃시장 1.7L 2개+1L 1개+증정,아우라 퍼퓸캡슐 양재동 꽃시장 1.7L 2개+1L 1개+특별증정(섬유유연제 200ml 1개)
25,5,25.07.12.,gaud***,향이 맘에 들어요 시어머니도 저희집오셨는데 빨래널으니 향이 좋다고 하셨어요,0,https://phinf.pstatic.net/checkout.phinf/20250712_117/1752295864418xaN0o_JPEG/1752295851657.jpg?type=f300_300,옵션: 양재동꽃시장 1.7L 2개+1L 1개+증정,아우라 퍼퓸캡슐 양재동 꽃시장 1.7L 2개+1L 1개+특별증정(섬유유연제 200ml 1개)
26,4,25.06.29.,blac********,냄새는 좋지만 진하지는 안아요.. 아무래도 다우니처럼 진하길 바라는건... 무리였을려나요..ㅠㅠ,0,https://phinf.pstatic.net/image.nmv/shopnbuyer_2025_06_29_33/PnX2jdAx7S_03.jpg?type=ffn300_300,옵션: 양재동꽃시장 1.7L 2개+1L 1개+증정,아우라 퍼퓸캡슐 양재동 꽃시장 1.7L 2개+1L 1개+특별증정(섬유유연제 200ml 1개)
27,5,25.07.21.,nurs*****,향도좋고 오래가는거 같아요,0,https://phinf.pstatic.net/checkout.phinf/20250721_126/1753027713198w4b9x_JPEG/1000070091.jpg?type=f300_300,옵션: 양재동꽃시장 1.7L 2개+1L 1개+증정,아우라 퍼퓸캡슐 양재동 꽃시장 1.7L 2개+1L 1개+특별증정(섬유유연제 200ml 1개)
28,5,25.07.11.,gusu*****,"엄청 향기해요~~~
친정집에 사드렷는데 탐나는 섬유유연제에요
또 사러올게요^^",0,https://phinf.pstatic.net/checkout.phinf/20250711_16/17522176895946Worm_JPEG/1000018924.jpg?type=f300_300,옵션: 스윗만다린 1.7L 2개+1L 1개+증정,아우라 퍼퓸캡슐 양재동 꽃시장 1.7L 2개+1L 1개+특별증정(섬유유연제 200ml 1개)
29,5,25.07.03.,gusr*****,냄새 넘 좋아오 ㅎㅎ 진짜 향기 오래가네요 사라진 것 같을 때 비비면 다시 나고 좋네용,0,https://phinf.pstatic.net/checkout.phinf/20250703_4/1751541218961lUI8V_JPEG/IMG_9744.jpeg?type=f300_300,옵션: 스윗만다린 1.7L 2개+1L 1개+증정,아우라 퍼퓸캡슐 양재동 꽃시장 1.7L 2개+1L 1개+특별증정(섬유유연제 200ml 1개)
30,5,25.06.22.,kkkh****,배송 빠르게 잘왔어요 섬유유연제 아우라만 사용하는데 신상 꽃시장 사용하다 얼마 없어 미스틱 문라이즈 주문해요 비염이 심해서 향을 잘 모르는데 딸아이가 향이 바뀔때마다 아네요 향도 은은해서 좋다고 해요,0,https://phinf.pstatic.net/checkout.phinf/20250622_10/1750595999465UhQEd_JPEG/1000005610.jpg?type=f300_300,옵션: 미스틱문라이즈 1.7L 2개+1L 1개+증정,아우라 퍼퓸캡슐 양재동 꽃시장 1.7L 2개+1L 1개+특별증정(섬유유연제 200ml 1개)
31,5,25.07.13.,zlzl*****,향이 진짜 꽃향이라 좋아요,0,https://phinf.pstatic.net/checkout.phinf/20250713_159/1752392911382Kvhbd_JPEG/1752392877575.jpg?type=f300_300,옵션: 양재동꽃시장 1.7L 2개+1L 1개+증정,아우라 퍼퓸캡슐 양재동 꽃시장 1.7L 2개+1L 1개+특별증정(섬유유연제 200ml 1개)
32,5,25.07.10.,pich****,엄마가 주길래 써보고 향이 좋아서 구매했어요~,0,https://phinf.pstatic.net/checkout.phinf/20250710_217/1752123976872MpP1U_PNG/aefaefeff.png?type=f300_300,옵션: 양재동꽃시장 1.7L 2개+1L 1개+증정,아우라 퍼퓸캡슐 양재동 꽃시장 1.7L 2개+1L 1개+특별증정(섬유유연제 200ml 1개)
