rank,rating,date,user,content,helpful_count,images,option_info,product_name
1,3,25.07.16.,kukb****,좋다고 해서 주문했어요. 그런데 액체가 흘려서 배송되었습니다. 소량이라 그냥 사용하겠습니다. 포장 신경써주세요~,0,https://phinf.pstatic.net/checkout.phinf/20250716_260/17526694902230j91C_JPEG/1000071495.jpg?type=f300_300,옵션: 세제 2.2L 2개+세탁조클리너,"[반려동물 비린내, 털제거][겸용] 피지 펫패밀리 실내건조 세탁세제 2.2L 2개+특별증정(피지 펫패밀리 세탁조 클리너 200gX2포) 강아지털 고양이털 강아지냄새 제거"
2,5,25.07.20.,gda6***,완벽히 용해가 되는지는 잘 모르겠지만 그래도 없는것보다는 있는게 좋은거같아요 강아지 비린내도 싹 잡아주고 섬유유연제 안넣어도 향이 좋아요 !!,0,https://phinf.pstatic.net/checkout.phinf/20250720_261/1752957694305wbJCj_JPEG/IMG_1498.jpeg?type=f300_300,옵션: 세제 2.2L 2개+세탁조클리너,"[반려동물 비린내, 털제거][겸용] 피지 펫패밀리 실내건조 세탁세제 2.2L 2개+특별증정(피지 펫패밀리 세탁조 클리너 200gX2포) 강아지털 고양이털 강아지냄새 제거"
3,5,25.06.29.,by****,강아지가 있어서 항상 구매해서 쓰고 있는데 이번에 여기서 할인해서 구매하게ㅜ되어서 세탁조 클리너까지 혜택을 받아서 처음사용해보게되어 좋아요,0,https://phinf.pstatic.net/checkout.phinf/20250629_102/1751132041885ddGq5_JPEG/1751132032603.jpg?type=f300_300,옵션: 세제 2.2L 2개+세탁조클리너,"[반려동물 비린내, 털제거][겸용] 피지 펫패밀리 실내건조 세탁세제 2.2L 2개+특별증정(피지 펫패밀리 세탁조 클리너 200gX2포) 강아지털 고양이털 강아지냄새 제거"
4,3,25.07.15.,yuon***,"고양이 두마리 키우는데 털 제거는 아주 잘 되는 것 같습니다. 세탁 후 건조기 먼지통에 고양이 털 모아진 것 보면 효과 있구나 느낍니다. 
다만 향이 많이 강합니다. 달달한 향 특히 복숭아 향인지?? 이런 류의 향은 구토감도 느껴지고 정말 불호인데 그 달달한 향이 심해요. 
무향이나 시트러스, 비누향 정도의 호불호 덜한 향도 출시되면 무조건 구매합니다. 
냄새 때문에 재구매 의사는 없습니다.",0,,옵션: 세제 2.2L 2개+세탁조클리너,"[반려동물 비린내, 털제거][겸용] 피지 펫패밀리 실내건조 세탁세제 2.2L 2개+특별증정(피지 펫패밀리 세탁조 클리너 200gX2포) 강아지털 고양이털 강아지냄새 제거"
5,2,25.06.11.,eund*****,"노견이라 치주염때문에 피와 침냄새 이런것 때문에 주문했어요~  우연히 엘지생건에서 이걸 판매한다는 광고를보고 다른 제품들있었는데 우선 제일 먼저 구매했네요~ 써보고 효과있음 계속 쓰고 아니면 여러가지 경험해보려고 합니다~
배송 다음날왔고 빨라서 아주 좋은데, 포장... 
신경써주세요. 저렇게 클리너는 누가 밟았나요? 뜯자마자 저런 모습이면 누구라도 기분 별로에요.
그리고 뽁뽁이 그냥 의무적으로 하나 툭 넣는거면 넣지마세요~  효과도없어보여요~ 왜넣지?싶은.. 하려면 제대로하고 어설프게 하실거면 역효과나요.",0,https://phinf.pstatic.net/checkout.phinf/20250611_60/1749603962500r9uW7_JPEG/1000019867.jpg?type=f300_300,옵션: 세제 2.2L 2개+세탁조클리너,"[반려동물 비린내, 털제거][겸용] 피지 펫패밀리 실내건조 세탁세제 2.2L 2개+특별증정(피지 펫패밀리 세탁조 클리너 200gX2포) 강아지털 고양이털 강아지냄새 제거"
6,5,25.07.05.,yeo1***,우연찮게 구매했다가 아주 잘 쓰고 있어요. 다른 세제 사용했을땐 개 특유의 냄새가 그전에도 났었는진 솔직히 잘 모르겠지만 지금은 일부러 빨래후 맡아보는데 확실히 못 느끼겠어요.,0,https://phinf.pstatic.net/checkout.phinf/20250705_233/1751694797499vIgdX_JPEG/1751694785649.jpg?type=f300_300,옵션: 세제 2.2L 2개+세탁조클리너,"[반려동물 비린내, 털제거][겸용] 피지 펫패밀리 실내건조 세탁세제 2.2L 2개+특별증정(피지 펫패밀리 세탁조 클리너 200gX2포) 강아지털 고양이털 강아지냄새 제거"
7,5,25.07.10.,sk****,"효과 좋아요
옷에 묻은 얼룩 제거는 잘 모르겟지만, 냄새 부분에서 확실하게 효과가 좋아요
강아지 옷 빨아보니까 더 확실히 냄새가 안났어요",0,https://phinf.pstatic.net/checkout.phinf/20250710_264/1752118546946vuSbs_JPEG/IMG_0439.jpeg?type=f300_300,옵션: 세제 2.2L 2개+세탁조클리너,"[반려동물 비린내, 털제거][겸용] 피지 펫패밀리 실내건조 세탁세제 2.2L 2개+특별증정(피지 펫패밀리 세탁조 클리너 200gX2포) 강아지털 고양이털 강아지냄새 제거"
8,4,25.07.21.,gkdu*****,아직 써보기 전이지만 리트리버를 키우는 입장에서 효과가 좋았으면 좋겠어요,0,https://phinf.pstatic.net/checkout.phinf/20250721_241/1753061425421ukJto_JPEG/1000032564.jpg?type=f300_300,옵션: 세제 2.2L 2개+강아지 발씻자,"[반려동물 비린내, 털제거][겸용] 피지 펫패밀리 실내건조 세탁세제 2.2L 2개+특별증정(피지 펫패밀리 세탁조 클리너 200gX2포) 강아지털 고양이털 강아지냄새 제거"
9,5,25.07.07.,ks****,고양이는 향에 민감해서 세제 선택할때마다 고민이었는데 향도 좋고 넘 좋아요. 가격만 조금 더 저렴하면 좋겠어요 ㅠㅠ,0,https://phinf.pstatic.net/checkout.phinf/20250707_89/17518667894012RG9v_JPEG/IMG_8093.jpeg?type=f300_300,옵션: 세제 2.2L 2개+세탁조클리너,"[반려동물 비린내, 털제거][겸용] 피지 펫패밀리 실내건조 세탁세제 2.2L 2개+특별증정(피지 펫패밀리 세탁조 클리너 200gX2포) 강아지털 고양이털 강아지냄새 제거"
10,5,25.07.19.,nkj0******,"냥님들 두분 모시는 집사인데 털제거에 좋다구해 구매해봅니다
후기 좋으니 기대가 크네요",0,https://phinf.pstatic.net/checkout.phinf/20250719_201/1752898458149PfXny_JPEG/1000005242.jpg?type=f300_300,옵션: 세제 2.2L 2개+세탁조클리너,"[반려동물 비린내, 털제거][겸용] 피지 펫패밀리 실내건조 세탁세제 2.2L 2개+특별증정(피지 펫패밀리 세탁조 클리너 200gX2포) 강아지털 고양이털 강아지냄새 제거"
