rank,rating,date,user,content,helpful_count,images,option_info,product_name
1,5,25.07.08.,dieo****,"세정력 차이가 있냐없냐는 모르겠지만
일단 짱구에디션이라니 ~
향이 너무좋아요
민트초코 좋아하는데 향을 맡아보지 않아서 긴가민가하면서 샀어요 
딱 초코민트향입니다
끝까지 민트향이 나서 시원한?그런느낌이구요
첨 달달한 초코향도 진짜좋았어요
복숭아향 그닥 안좋아하는게 잘못사면 끝에남는잔향이 이상하더라구요
걱정됬는데 이건 진짜 처음에 천도복숭아향이 상큼하게났어요
대신 나중엔 진짜 흔한 복숭아 방향제 향이더라구요
더운데 산뜻한향이라 전 나쁘지않았어요
코가 좀예민해서 향이 중요한데
제개인적으로는 만족합니다~
미스트는첨보는건데
아이 발냄새에 좋을꺼같아서 기대되네요
사용전이라 평은 없어요",0,https://phinf.pstatic.net/checkout.phinf/20250708_189/1751982464756KJz0m_JPEG/1000029781.jpg?type=f300_300,옵션: 복숭아향2개+민트초코향1개+미스트향/냄새아주 만족해요흡수력아주 만족해요촉촉함촉촉해요,(짱구에디션) 온더바디 코튼풋 발을씻자 풋샴푸 385ml 복숭아향 2개+민트초코향 1개+증정
2,5,25.07.19.,tsub*******,기존에 쓰던 발을씻자 자몽향 다써서 짱구로 구매했는데 패키지도 귀엽고 복숭아향은 진짜 복숭아 냄새가 가득해요 아직 초코비는 안써봤지만 워낙 유명하니 말해뭐하겠어요ㅎㅎ,0,https://phinf.pstatic.net/checkout.phinf/20250719_137/1752890940807tuWtp_JPEG/IMG_9593.jpeg?type=f300_300,옵션: 복숭아향2개+민트초코향1개+미스트향/냄새괜찮아요흡수력괜찮아요촉촉함촉촉해요,(짱구에디션) 온더바디 코튼풋 발을씻자 풋샴푸 385ml 복숭아향 2개+민트초코향 1개+증정
3,5,25.07.16.,dptm*****,발을싯자 최고에요 새로운향 도 너무 좋아요!!!,0,https://phinf.pstatic.net/checkout.phinf/20250716_241/1752671472124Xtt0E_JPEG/image.jpg?type=f300_300,옵션: 복숭아향2개+민트초코향1개+미스트향/냄새아주 만족해요흡수력아주 만족해요촉촉함촉촉해요,(짱구에디션) 온더바디 코튼풋 발을씻자 풋샴푸 385ml 복숭아향 2개+민트초코향 1개+증정
4,5,25.07.01.,jenn****,"러기지택 갖고싶어서 짱구 구매했어요. 생각보다 커서 귀엽고, 생각보다 좀 어두운색이에요. 노란캐리어에 잘어울릴듯~",0,https://phinf.pstatic.net/checkout.phinf/20250701_236/1751370006911nJMxO_JPEG/1000030545.jpg?type=f300_300,옵션: 복숭아향2개+민트초코향1개+짱구 러기지택향/냄새아주 만족해요흡수력아주 만족해요촉촉함건조해요,(짱구에디션) 온더바디 코튼풋 발을씻자 풋샴푸 385ml 복숭아향 2개+민트초코향 1개+증정
5,5,25.06.18.,uu****,밖에서 열심히 일하는 남편.. 학교생활 열심히하는 아들.. 발에 향기나라고 주문했어요.. 씻고나니 발에서 향기가 나네요 ㅋㅋㅋ 너무 좋아요👍👍 모든 남편들 아들들 화이팅입니다 👍😊,0,https://phinf.pstatic.net/checkout.phinf/20250618_83/1750237997373e1tTM_JPEG/tmp_2693225653600877189.jpg?type=f300_300,옵션: 복숭아향2개+민트초코향1개+짱구 러기지택향/냄새아주 만족해요흡수력아주 만족해요촉촉함촉촉해요,(짱구에디션) 온더바디 코튼풋 발을씻자 풋샴푸 385ml 복숭아향 2개+민트초코향 1개+증정
6,5,25.07.05.,md****,발냄새 제거에 특효네요. 발 말고도 각종 찌든 때 제거도 끝판왕입니다,0,https://phinf.pstatic.net/checkout.phinf/20250705_129/1751723854040k98Xc_JPEG/1751723833889.jpg?type=f300_300,옵션: 복숭아향2개+민트초코향1개+미스트향/냄새아주 만족해요흡수력아주 만족해요촉촉함촉촉해요,(짱구에디션) 온더바디 코튼풋 발을씻자 풋샴푸 385ml 복숭아향 2개+민트초코향 1개+증정
7,5,25.06.24.,love********,짱구 에디션에 끌려서 구매햇지만 그동안 코튼향 잘 썼어서 매우매우 만족입니당 패키징 최고에여,0,https://phinf.pstatic.net/checkout.phinf/20250624_71/1750724911082wivM4_JPEG/1000027775.jpg?type=f300_300,옵션: 복숭아향2개+민트초코향1개+짱구 러기지택향/냄새아주 만족해요흡수력아주 만족해요촉촉함촉촉해요,(짱구에디션) 온더바디 코튼풋 발을씻자 풋샴푸 385ml 복숭아향 2개+민트초코향 1개+증정
8,5,25.07.10.,yoon*****,복숭아향이 좋아서 시켜봤습니다 아주 상큼하네요 민초버전은 아직 써보지않았습니다,0,,옵션: 복숭아향2개+민트초코향1개+미스트향/냄새아주 만족해요흡수력아주 만족해요촉촉함촉촉해요,(짱구에디션) 온더바디 코튼풋 발을씻자 풋샴푸 385ml 복숭아향 2개+민트초코향 1개+증정
9,5,25.06.21.,shkj*****,발 씻기 편해서 없으면 안 되는 제품이에요. 같이 준 여권 케이스도 정말 귀엽네요.,0,https://phinf.pstatic.net/checkout.phinf/20250621_174/1750488221220H3WaN_JPEG/1000065223.jpg?type=f300_300,옵션: 복숭아향2개+민트초코향1개+짱구여권케이스향/냄새아주 만족해요흡수력아주 만족해요촉촉함촉촉해요,(짱구에디션) 온더바디 코튼풋 발을씻자 풋샴푸 385ml 복숭아향 2개+민트초코향 1개+증정
10,5,25.07.03.,po****,만능 필수템 발을씻자!,0,https://phinf.pstatic.net/checkout.phinf/20250703_58/1751497822347mEEbm_JPEG/IMG_4455.jpeg?type=f300_300,옵션: 복숭아향2개+민트초코향1개+미스트향/냄새괜찮아요흡수력괜찮아요촉촉함보통이에요,(짱구에디션) 온더바디 코튼풋 발을씻자 풋샴푸 385ml 복숭아향 2개+민트초코향 1개+증정
