rank,rating,date,user,content,helpful_count,images,option_info,product_name
1,5,25.07.17.,cml8***,늘 쓰는 치약인데 요즘 들어 시린이도 있었는데 계속 쓰다 보니 덜 하더라고요. 식구들도 처음에는 모르겠다 하면서 등하시 하던이 계속 쓰다 보니 좋은지 요 치약만 쓰네요😂 용량이 작다 보니 금방 쓰다 보니 6개 구매 해서 잘 쓰고 있어요.,0,https://phinf.pstatic.net/checkout.phinf/20250717_220/1752729142896vdsfB_JPEG/1752729100814.jpg?type=f300_300,선택1: 클린민트3입1개+칫솔1개,[치과대학임상완료 유투브 대란템 연예인 치약] 죽염 메디케어 글루타치온 함유 잇몸 시린이 고불소 불소치약 클린민트 100G 3개+증정
2,5,25.07.20.,chld*******,"동생집에서 사용하고
너무 좋아서 구입했어요.
잘 사용하고 있어요. 이 치약으로 정착했어요❤️",0,https://phinf.pstatic.net/checkout.phinf/20250720_162/1753018609249fLCtq_JPEG/IMG_1568.jpeg?type=f300_300,선택1: 클린민트3입1개+칫솔1개,[치과대학임상완료 유투브 대란템 연예인 치약] 죽염 메디케어 글루타치온 함유 잇몸 시린이 고불소 불소치약 클린민트 100G 3개+증정
3,5,25.07.20.,geni******,"잇몸에도 도움되는 치약이라해서 쓰고 있어요 
거품도 잘나고 입도 개운하고 좋아요",0,https://phinf.pstatic.net/checkout.phinf/20250720_295/17530026545376bzdx_JPEG/5A25A25D-6CEC-4330-B8DF-71909ADF4452.jpeg?type=f300_300,선택1: 클린민트3입1개+칫솔1개,[치과대학임상완료 유투브 대란템 연예인 치약] 죽염 메디케어 글루타치온 함유 잇몸 시린이 고불소 불소치약 클린민트 100G 3개+증정
4,5,25.07.19.,erin***,부담없어서 만족해요 안맵고 안달아서 좋아요,0,https://phinf.pstatic.net/checkout.phinf/20250719_132/1752883031091uuI71_JPEG/1752883020883.jpg?type=f300_300,선택1: 클린 민트100G 3개+20G1개,[치과대학임상완료 유투브 대란템 연예인 치약] 죽염 메디케어 글루타치온 함유 잇몸 시린이 고불소 불소치약 클린민트 100G 3개+증정
5,5,25.07.16.,sf****,치약이 생각보다 괜찮네요~~깔끔하고 묵직한데 좋습니다,0,https://phinf.pstatic.net/checkout.phinf/20250716_53/1752645508461Rt7XH_JPEG/IMG_5941.jpeg?type=f300_300,선택1: 클린민트3입1개+칫솔1개,[치과대학임상완료 유투브 대란템 연예인 치약] 죽염 메디케어 글루타치온 함유 잇몸 시린이 고불소 불소치약 클린민트 100G 3개+증정
6,5,25.07.20.,lan0***,잘사용하구있어요잇몸이좋아지는듯해요,0,https://phinf.pstatic.net/checkout.phinf/20250720_27/1753005235210P4Lp8_JPEG/1753005219761.jpg?type=f300_300,선택1: 클린민트3입1개+칫솔1개,[치과대학임상완료 유투브 대란템 연예인 치약] 죽염 메디케어 글루타치온 함유 잇몸 시린이 고불소 불소치약 클린민트 100G 3개+증정
7,5,25.07.07.,dizz****,치약 맛이 처음엔 살짝 이상했는데 계속 쓰다보니 맵지 않아서 좋고 잇몸 피 나는 증상이 많이 사라져서 좋습니다,0,https://phinf.pstatic.net/checkout.phinf/20250707_102/17518428512678IiR9_JPEG/IMG_5940.jpeg?type=f300_300,선택1: 후레쉬민트3입1개+칫솔1개,[치과대학임상완료 유투브 대란템 연예인 치약] 죽염 메디케어 글루타치온 함유 잇몸 시린이 고불소 불소치약 클린민트 100G 3개+증정
8,5,25.07.18.,386v****,양치하는동안 입안이 상쾌하고 양을 조금만 사용해도 입안이 개운하고 좋아요.,0,https://phinf.pstatic.net/checkout.phinf/20250718_254/17527852328525DTbt_JPEG/1000028365.jpg?type=f300_300,선택1: 후레쉬민트3입1개+칫솔1개,[치과대학임상완료 유투브 대란템 연예인 치약] 죽염 메디케어 글루타치온 함유 잇몸 시린이 고불소 불소치약 클린민트 100G 3개+증정
9,5,25.07.16.,jgj6*****,치약이 넘 좋아요 딤에도 주문할거예요,0,https://phinf.pstatic.net/checkout.phinf/20250716_163/1752669054684QViiV_JPEG/1752669020144.jpg?type=f300_300,선택1: 클린민트3입1개+칫솔1개,[치과대학임상완료 유투브 대란템 연예인 치약] 죽염 메디케어 글루타치온 함유 잇몸 시린이 고불소 불소치약 클린민트 100G 3개+증정
10,5,25.07.08.,djaa*****,"딱히 잇몸이 좋아진거는 잘모르겠어요~
양치할때 안매워서 좋아요~",0,https://phinf.pstatic.net/checkout.phinf/20250708_14/1751969565623TMUNm_JPEG/1000014305.jpg?type=f300_300,선택1: 후레쉬민트100G 3개+20G1개,[치과대학임상완료 유투브 대란템 연예인 치약] 죽염 메디케어 글루타치온 함유 잇몸 시린이 고불소 불소치약 클린민트 100G 3개+증정
11,5,25.07.08.,uo****,"엄마도 꾸준히 사용하고 계시고
이번에 저도 써보라고 하나 주셨어요 ㅋㅋ
무난하게 편하게 사용중입니당",0,https://phinf.pstatic.net/checkout.phinf/20250708_203/1751969087632mDItW_JPEG/IMG_0674.jpeg?type=f300_300,선택1: 클린 민트100G 3개+20G1개,[치과대학임상완료 유투브 대란템 연예인 치약] 죽염 메디케어 글루타치온 함유 잇몸 시린이 고불소 불소치약 클린민트 100G 3개+증정
