rank,rating,date,user,content,helpful_count,images,option_info,product_name
1,4,25.07.18.,alon*****,먼저 클린민트 였어서 이번에 다른 걸로 주문해봤습니다.  써보고 좋은거로 결정하려구요.,0,https://phinf.pstatic.net/checkout.phinf/20250718_228/1752807661264Pe1cD_JPEG/tmp_8613258718049943499.jpg?type=f300_300,선택1: 후레쉬민트3입1개+칫솔1개,[치과대학임상완료] 죽염 메디케어 글루타치온 함유 잇몸 시린이 고불소 불소치약 후레쉬민트 100G 3개+히말라야핑크솔트부드러운칫솔1개
2,5,25.06.16.,seun********,"ㅇN배송으로 주문 후 익일 바로 배송을 받았습니다. 향은 은은한 민트향으로 거부감이 없고 1회사용 후 첫 느낌은 약 30분리 지난 시점에서, 상쾌함이 꽤 오래 지속되는 듯 합니다... 잇몸에 관련된 내용은 한달리뷰에서 디테일하게 적어 볼께요.",1,https://phinf.pstatic.net/checkout.phinf/20250616_120/17500612806401cDNV_JPEG/1000004389.jpg?type=f300_300,선택1: 후레쉬민트3입1개+칫솔1개,[치과대학임상완료] 죽염 메디케어 글루타치온 함유 잇몸 시린이 고불소 불소치약 후레쉬민트 100G 3개+히말라야핑크솔트부드러운칫솔1개
3,4,25.07.04.,yeon*******,"좋은거 같아요 
평소에 쓰던 기타 치약이.. 
목이 건조해져 자다가 켁켁 거리고 
물마셨는데.. 
이건 그러한 증상 없고요.! 
상쾌하고 맵고 없지만요.! 
무소식이 희소식 이랄까 ㅎㅎㅎ",0,https://phinf.pstatic.net/checkout.phinf/20250704_257/1751613989341N7vRe_JPEG/image.jpg?type=f300_300,선택1: 후레쉬민트3입1개+칫솔1개,[치과대학임상완료] 죽염 메디케어 글루타치온 함유 잇몸 시린이 고불소 불소치약 후레쉬민트 100G 3개+히말라야핑크솔트부드러운칫솔1개
4,5,25.07.06.,sun7***,단맛이 많이 없어서 좋아요! 치약이 너무 달면 양치후에도 개운하지 않고 단맛이오래 남아서...,0,https://phinf.pstatic.net/checkout.phinf/20250706_16/175180734220611Otu_JPEG/image.jpg?type=f300_300,선택1: 클린 민트100G 3개+20G1개,[치과대학임상완료] 죽염 메디케어 글루타치온 함유 잇몸 시린이 고불소 불소치약 후레쉬민트 100G 3개+히말라야핑크솔트부드러운칫솔1개
5,4,25.07.11.,zizi***,"글루타치온 들어갔다고 해서 주문해봤어요
일반치약보단 살짝 작은 사이즈인가 싶지만
뚜껑이 돌려쓰는게 아니라 편할꺼 같아요",0,https://phinf.pstatic.net/checkout.phinf/20250711_206/1752224713212b6KuH_JPEG/20250710_145758.jpg?type=f300_300,선택1: 클린민트3입1개+칫솔1개,[치과대학임상완료] 죽염 메디케어 글루타치온 함유 잇몸 시린이 고불소 불소치약 후레쉬민트 100G 3개+히말라야핑크솔트부드러운칫솔1개
6,4,25.07.08.,dm****,"어느정도 효과는 있는것같구요
흠이라면 너무 치약맛 안나고 바나나우유맛이나서 자꾸 삼키고싶다는..ㅋ",0,https://phinf.pstatic.net/checkout.phinf/20250708_59/1751967733846SupkT_JPEG/20250704_184244.jpg?type=f300_300,선택1: 후레쉬민트3입1개+칫솔1개,[치과대학임상완료] 죽염 메디케어 글루타치온 함유 잇몸 시린이 고불소 불소치약 후레쉬민트 100G 3개+히말라야핑크솔트부드러운칫솔1개
7,5,25.07.16.,disc***,설명서대로 시린부분이  코팅이 되는지  차가운물이 닿아도 덜 시려요,0,https://phinf.pstatic.net/checkout.phinf/20250716_7/1752629867081Gt3Qu_JPEG/1000002798.jpg?type=f300_300,선택1: 클린민트3입1개+칫솔1개,[치과대학임상완료] 죽염 메디케어 글루타치온 함유 잇몸 시린이 고불소 불소치약 후레쉬민트 100G 3개+히말라야핑크솔트부드러운칫솔1개
8,5,25.07.11.,d3****,너무 좋아요. 다음에도 무조건 이거 사용하려고요.,0,https://phinf.pstatic.net/checkout.phinf/20250711_167/1752206608248ztDoa_JPEG/1752206599545.jpg?type=f300_300,선택1: 클린민트3입1개+칫솔1개,[치과대학임상완료] 죽염 메디케어 글루타치온 함유 잇몸 시린이 고불소 불소치약 후레쉬민트 100G 3개+히말라야핑크솔트부드러운칫솔1개
9,5,25.07.16.,ah****,배송도빠르고 칫솔도 주고 제품도 좋아요^^,0,https://phinf.pstatic.net/checkout.phinf/20250716_290/1752631204658ky2DS_JPEG/1000022083.jpg?type=f300_300,선택1: 클린민트3입1개+칫솔1개,[치과대학임상완료] 죽염 메디케어 글루타치온 함유 잇몸 시린이 고불소 불소치약 후레쉬민트 100G 3개+히말라야핑크솔트부드러운칫솔1개
10,5,25.07.16.,ah****,확실히 잇몸이 편해졌어요 계속 재구매할거에요^^,0,https://phinf.pstatic.net/checkout.phinf/20250716_28/1752631264939NtcbD_JPEG/1000022083.jpg?type=f300_300,선택1: 클린민트3입1개+칫솔1개,[치과대학임상완료] 죽염 메디케어 글루타치온 함유 잇몸 시린이 고불소 불소치약 후레쉬민트 100G 3개+히말라야핑크솔트부드러운칫솔1개
11,5,25.07.06.,902y***,"어머니가 원하셔서 구매했네요~

아직 안써봤지만 쓰고 만족한다면 재구매 후기 남길게요~",0,https://phinf.pstatic.net/checkout.phinf/20250706_97/17518048386245gayC_JPEG/ECB998EC95BD.jpg?type=f300_300,선택1: 후레쉬민트3입1개+칫솔1개,[치과대학임상완료] 죽염 메디케어 글루타치온 함유 잇몸 시린이 고불소 불소치약 후레쉬민트 100G 3개+히말라야핑크솔트부드러운칫솔1개
12,5,25.07.13.,lumi****,맵지않고 자극없이 온가족이 쓰기 좋아요,0,https://phinf.pstatic.net/checkout.phinf/20250713_181/1752409679833shm61_JPEG/1000014771.jpg?type=f300_300,선택1: 후레쉬민트3입1개+칫솔1개,[치과대학임상완료] 죽염 메디케어 글루타치온 함유 잇몸 시린이 고불소 불소치약 후레쉬민트 100G 3개+히말라야핑크솔트부드러운칫솔1개
13,5,25.06.18.,seun********,어머니도 최근 앗몸이 좋지 못하셔서 고민 하셔서 보내드림. 일단 처음 사용해 보신 소감은 향이 강하지 않아 좋은 것과 처음 사용을 해 보셨음에도 왠지 꽉 접아주는(?) 느낌이 있으시다고 하심.,0,https://phinf.pstatic.net/checkout.phinf/20250618_235/1750220225979rG4dk_JPEG/1000004389.jpg?type=f300_300,선택1: 후레쉬민트3입1개+칫솔1개,[치과대학임상완료] 죽염 메디케어 글루타치온 함유 잇몸 시린이 고불소 불소치약 후레쉬민트 100G 3개+히말라야핑크솔트부드러운칫솔1개
14,5,25.07.16.,kky1***,효과는아직잘모르겟지만 만족합니다.,0,https://phinf.pstatic.net/checkout.phinf/20250716_177/1752674507715YfC2C_JPEG/20250716_020403.jpg?type=f300_300,선택1: 후레쉬민트100G 3개+20G1개,[치과대학임상완료] 죽염 메디케어 글루타치온 함유 잇몸 시린이 고불소 불소치약 후레쉬민트 100G 3개+히말라야핑크솔트부드러운칫솔1개
15,2,25.07.14.,lov1***,양치하면 개운 함을 못느낌니다 다른 치약과병행즁,0,https://phinf.pstatic.net/checkout.phinf/20250714_25/1752432877865xvY0G_JPEG/image.jpg?type=f300_300,선택1: 클린민트3입1개+칫솔1개,[치과대학임상완료] 죽염 메디케어 글루타치온 함유 잇몸 시린이 고불소 불소치약 후레쉬민트 100G 3개+히말라야핑크솔트부드러운칫솔1개
16,5,25.07.10.,jc****,"좋은지 모르겠지만최소 일반 2080보다 불소 많아요
사업 번창하세용",0,https://phinf.pstatic.net/checkout.phinf/20250710_292/1752151504208WPlOT_JPEG/image.jpg?type=f300_300,선택1: 클린민트3입1개+칫솔1개,[치과대학임상완료] 죽염 메디케어 글루타치온 함유 잇몸 시린이 고불소 불소치약 후레쉬민트 100G 3개+히말라야핑크솔트부드러운칫솔1개
17,5,25.07.17.,unio****,덕분에 좋아진 것 같습니다. 최고,0,https://phinf.pstatic.net/checkout.phinf/20250717_166/1752740592383e7jdP_JPEG/EBA6ACEBB7B0EC9AA920EC82ACECA784.jpg?type=f300_300,선택1: 클린민트3입1개+칫솔1개,[치과대학임상완료] 죽염 메디케어 글루타치온 함유 잇몸 시린이 고불소 불소치약 후레쉬민트 100G 3개+히말라야핑크솔트부드러운칫솔1개
18,5,25.07.10.,hakw******,잘사용중입니다. 감사합니다.,0,https://phinf.pstatic.net/checkout.phinf/20250710_150/1752117603812nz0Hi_JPEG/PayApp_20250710_121858_5564569507876210330.jpg?type=f300_300,선택1: 클린민트3입1개+칫솔1개,[치과대학임상완료] 죽염 메디케어 글루타치온 함유 잇몸 시린이 고불소 불소치약 후레쉬민트 100G 3개+히말라야핑크솔트부드러운칫솔1개
19,5,25.06.19.,qwer******,민트 향기가 부드럽고 살짝 씹히는 글루타치온이 좋아요 미니로 받은 초록치약도 너무 좋았고 지금은 핑크치약 계속 쓰고있네요 잇몸 피 덜나고 좋아요,0,https://phinf.pstatic.net/checkout.phinf/20250619_190/1750319003508dqJsO_JPEG/1750318994336.jpg?type=f300_300,선택1: 후레쉬민트100G 3개+20G1개,[치과대학임상완료] 죽염 메디케어 글루타치온 함유 잇몸 시린이 고불소 불소치약 후레쉬민트 100G 3개+히말라야핑크솔트부드러운칫솔1개
20,5,25.06.22.,chul*****,성분보고 주문했다 사용해보니 적은 양 사용에도 양치 후 개운하고 자극적이지않아 엄마도 주문해드렸어요 앞으로도 꾸준히 사용할 예정입니다. 가격 행사가 많았으면 좋겠어요,0,https://phinf.pstatic.net/checkout.phinf/20250622_272/1750584283907VUli0_JPEG/1000017490.jpg?type=f300_300,선택1: 클린민트3입1개+칫솔1개,[치과대학임상완료] 죽염 메디케어 글루타치온 함유 잇몸 시린이 고불소 불소치약 후레쉬민트 100G 3개+히말라야핑크솔트부드러운칫솔1개
