rank,rating,date,user,content,helpful_count,images,option_info,product_name
1,5,25.07.19.,doro******,아직 써보기 전이에요. 배송과 유통기한은 아주 맘에 들어요. 완변하진 않겠지만 여름철 신경쓰는 거 줄이들기를요,0,https://phinf.pstatic.net/checkout.phinf/20250719_218/1752911223296obImc_JPEG/1000062547.jpg?type=f300_300,필수선택: 클린솝향 600ml 1개세정력보통이에요거품적당해요촉촉함보통이에요,46CM 체취케어 데오드란트 바디워시 클린솝향 600ml 1개
2,4,25.07.09.,vos1*****,여름이라서 냄새날까봐 한 번 써보려고 샀어요. 기대했던 향은 아니지만 만족합니다.,0,https://phinf.pstatic.net/checkout.phinf/20250709_245/1751996915833rXS3p_JPEG/IMG_3682.jpeg?type=f300_300,필수선택: 클린솝향 600ml 1개피부타입복합성모공거품풍부해요촉촉함보통이에요세정력아주 만족해요,46CM 체취케어 데오드란트 바디워시 클린솝향 600ml 1개
3,4,25.07.08.,fkfk****,"처음 주문해봤는데 향도 좋고 .씻고나면 개운한 느낌이네요 ㅎㅎ 
뽀송뽀송한 느낌이 여름에 딱인 제품",0,https://phinf.pstatic.net/checkout.phinf/20250708_249/17519579305808cKdI_JPEG/1000185080.jpg?type=f300_300,필수선택: 클린솝향 600ml 1개세정력보통이에요거품적당해요촉촉함보통이에요,46CM 체취케어 데오드란트 바디워시 클린솝향 600ml 1개
4,5,25.07.08.,ku****,다른향 구매했다가 좋아서 클린솝향도 구매해보았는데. 클립솝이 더 취향이메요! 배송도 빠르고 좋았습니다,0,https://phinf.pstatic.net/checkout.phinf/20250708_282/17519651882378lD7k_JPEG/IMG_9093.jpeg?type=f300_300,필수선택: 클린솝향 600ml 1개피부타입복합성민감성홍조거품풍부해요촉촉함촉촉해요세정력아주 만족해요,46CM 체취케어 데오드란트 바디워시 클린솝향 600ml 1개
5,5,25.07.15.,kimm********,냄새 좋아요 뭔가 스크럽 비슷한듯?,0,https://phinf.pstatic.net/checkout.phinf/20250715_120/1752583906182D2bsk_JPEG/IMG_2222.jpeg?type=f300_300,필수선택: 클린솝향 600ml 1개세정력보통이에요거품적당해요촉촉함보통이에요,46CM 체취케어 데오드란트 바디워시 클린솝향 600ml 1개
6,5,25.07.02.,gksk***,"광고보고 주문했어요
뚜껑열고 냄새맡아봤는데 부드러운 비누향이네요
냄새가 강한거 같지는 않은데 직접 몸에 샤워했을때는 어떨지 사용하고 리뷰남겨볼께요",1,https://phinf.pstatic.net/checkout.phinf/20250702_299/1751445675324eVUl9_JPEG/1000036917.jpg?type=f300_300,필수선택: 클린솝향 600ml 1개거품풍부해요촉촉함촉촉해요세정력아주 만족해요,46CM 체취케어 데오드란트 바디워시 클린솝향 600ml 1개
7,5,25.07.17.,love*******,"세정력이 좋은것 같아요
살짝 건조한 피부타입인데 팔,다리가 건조한 느낌을 받을때가 있어요 신랑은 괜찮은지 별말없네요
평소에 향에 민감해서 향수도 안쓰고해서 땀 많이 흘렸을때 냄새 날까봐 처음 사서 써보고 재구매해서 쓰고 있어요",0,,필수선택: 클린솝향 600ml 1개거품풍부해요촉촉함건조해요세정력아주 만족해요,46CM 체취케어 데오드란트 바디워시 클린솝향 600ml 1개
8,4,25.07.17.,nymp*****,상큼한 향이 샤워후에 아주 기분 좋게 해줘요.,0,https://phinf.pstatic.net/checkout.phinf/20250717_36/1752758835761Jfw42_JPEG/1000011622.jpg?type=f300_300,필수선택: 클린솝향 600ml 1개세정력보통이에요거품적당해요촉촉함촉촉해요,46CM 체취케어 데오드란트 바디워시 클린솝향 600ml 1개
9,5,25.06.25.,dalm*********,"손으로 거품을 내서 사용할때가 많은데
세정력이 아주 좋아요~~
각질제거가 잘되는듯~~
향은 처음엔 강하지만 서서히 옅어 집니다~~",0,https://phinf.pstatic.net/checkout.phinf/20250625_13/1750835034771xxsm4_JPEG/1750834988898.jpg?type=f300_300,필수선택: 클린솝향 600ml 1개피부타입복합성잡티탄력거품풍부해요촉촉함촉촉해요세정력아주 만족해요,46CM 체취케어 데오드란트 바디워시 클린솝향 600ml 1개
10,5,25.06.19.,rlag*******,"✨ 46cm 체취케어 데오드란트 바디워시 후기 ✨

요즘 땀이 많아져서 체취 걱정이 있었는데, 이 바디워시 쓰고 확실히 냄새가 덜 나는 느낌이에요!
향도 은은하고 상쾌해서 샤워할 때 기분까지 좋아져요 😊
운동하고 난 후나 더운 날 외출하고 왔을 때 특히 효과 좋은 것 같아요.

💦 거품도 잘 나고 세정력도 만족!
👃 하루 종일 개운하고 뽀송한 느낌이 유지돼서 너무 좋아요.
🤍 단, 살짝 건조한 편이라 건성 피부는 바디로션 같이 쓰면 더 좋을 듯해요!

✔️ 체취 고민 있으신 분들께 강력 추천합니다. 재구매 의사 있어요!",0,,필수선택: 클린솝향 600ml 1개피부타입건성피지트러블세정력보통이에요거품풍부해요촉촉함보통이에요,46CM 체취케어 데오드란트 바디워시 클린솝향 600ml 1개
