rank,rating,date,user,content,helpful_count,images,option_info,product_name
1,5,25.06.03.,jood****,"1. [개운함] 씻고 나면 개운~~함. 약산성이라서.. 씻어낼 때 미끌거리고 안 씻긴 기분이 들었는데, 막상 샤워 후엔 개운!해서 만족.  
2. [알갱이, 세정력] 작은 알갱이가 들어있는데 이것이 
→ 스크럽 같은 기능을 해서, 전체적으로 세정이 잘 되게 함.
3. [자몽 같은 향] 향기는 묵직한   자몽 향에,  오렌지 청량음료 같은   단 향이 섞여 있음.
→ 시원 새콤한 레몬 향이 아니고,  묵직 달달한 자몽 향기에 가까움. 

4. [향 지속성 낮은 편] 샤워 중에는 향이 나지만, 
씻고 나면 향이 잘 안 남. 
→ 잘 날아가는 시트러스 향이라서,  향 지속성이 좀 떨어지는 듯.

5. [총알 배송 🔫] 아침에 주문했는데, 당일 저녁에 도착함. 빠른 배송에 깜짝 놀람. 

6. [몸 온도를 낮춰줌] 씻고 나면 신체 온도를 좀 낮춰줘서
→ 여름에 쓰기 좋음.

7. [넉넉한 유통기한] 유통기한은 2028년 4월 28일까지로 
→ 기한이 넉넉한 제품을 보내줌. 

8. [국산품] 제조한 곳은 한국 청주로
→ 국산 제품이라서 만족. 신토불이!!
------
- 땀 억제, 체취 케어는, 아직 사용 초반이라 잘 모르겠음. 유효한 효과를 느낀다면 나중에 추가하겠음.",5,https://phinf.pstatic.net/image.nmv/shopnbuyer_2025_06_03_2695/oRwLD9Kta7_03.jpg?type=ffn300_300,필수선택: 시트러스향 600ml 1개거품풍부해요촉촉함촉촉해요세정력아주 만족해요,46cm 체취케어 데오드란트 바디워시 시트러스향 600ml 1개
2,5,25.07.17.,mapi****,제품 성능 만족도 최상이에요 ㅠ 효과가 있을까 했는데 여름에 쓰기 너무 좋아요! 허벌향인 뭔지 몰라서 두려웠는데 향기도 너무너무 좋아요!,0,https://phinf.pstatic.net/checkout.phinf/20250717_94/1752720539639mGIOc_JPEG/IMG_7228.jpeg?type=f300_300,필수선택: 허벌향 600ml 1개거품풍부해요촉촉함촉촉해요세정력아주 만족해요,46cm 체취케어 데오드란트 바디워시 시트러스향 600ml 1개
3,5,25.07.17.,mapi****,시트러스 써보고 다른 향도 궁금해서 구매했어요! 개인적으론 겨울에 쓰기 좋은 향 같아요~,0,https://phinf.pstatic.net/checkout.phinf/20250717_190/17527204375448RMIy_JPEG/IMG_7228.jpeg?type=f300_300,필수선택: 클린솝향 600ml 1개거품풍부해요촉촉함촉촉해요세정력아주 만족해요,46cm 체취케어 데오드란트 바디워시 시트러스향 600ml 1개
4,3,25.05.23.,jhw0***,"많은 양을 사용하지 않는 이상 미끈거림이 심하지 않아 일단 세정력은 괜찮고요. 향은 제가 생각했던 시트러스 계열 향수의 향과는 완전히 달라서 아쉽고요. 향을 맡아보고 살 수는 없으니 일단 쓰면서 떠올랐던 게 오렌지, 귤, 자몽 등 만다린 계열 과일의 상큼한 향+달콤하면서
묵직한 향인데 가볍고 상큼함 보다는 달콤하고 묵직함이 더 크고요. 환타 오렌지맛 냄새도 섞여있는 향이에요.
샤워하면서 피부에 문질러보니 미세한 알갱이가 섞여있네요. 그리고 헹굴때는 약간 남자화장품 향이 느껴져서
호불호가 갈릴것같고요. 헹구고 타올로 물기 닦는 순간
피부에 대고 킁킁 거리며 냄새를 맡는게 아닌 이상은
향이 느껴지지않아서 아쉬워요. 체취케어는 일단 꾸준히
써봐야 알것같아 저에게는 여러 부분에서 아쉬운 점이 많은 제품이네요ㅠ",5,https://phinf.pstatic.net/checkout.phinf/20250523_288/1747981650162QQkr4_JPEG/1000019251.jpg?type=f300_300,필수선택: 시트러스향 600ml 1개피부타입복합성잡티트러블블랙헤드거품적당해요촉촉함보통이에요세정력아주 만족해요,46cm 체취케어 데오드란트 바디워시 시트러스향 600ml 1개
5,5,25.07.19.,eden***,첨에는 샤워볼에만 펑핑해서 몰랐는데 미세한 알갱이가 있더라고요~ㅋㅋ 그래서인지 확실히 세정력 좋아요. 샤워 후 잔향은 진하지 않고 아~주 은은하고 여름이여서 인지는 모르겠으나 건조함은 없어요,0,,필수선택: 시트러스향 600ml 1개거품풍부해요촉촉함촉촉해요세정력아주 만족해요,46cm 체취케어 데오드란트 바디워시 시트러스향 600ml 1개
6,5,25.07.05.,kks0*****,거품도 너무잘나오고 향이 자몽향이라 달콤하면서 상쾌한느낌이 들어서 좋네요 거기다 약산성이라니 잘쓰겠습니다^^,0,https://phinf.pstatic.net/checkout.phinf/20250705_134/1751687863402BNojy_JPEG/IMG_8366.jpeg?type=f300_300,필수선택: 시트러스향 600ml 1개거품풍부해요촉촉함촉촉해요세정력아주 만족해요,46cm 체취케어 데오드란트 바디워시 시트러스향 600ml 1개
7,5,25.07.08.,ddor*****,"향이 은은한게 좋네요
땀냄새가 많이나서 찝찝한데 사용해보니 상쾌한것같아 좋습니다",0,https://phinf.pstatic.net/checkout.phinf/20250708_132/1751965765144BSGFS_JPEG/1751965754721.jpg?type=f300_300,필수선택: 클린솝향 600ml 1개거품풍부해요촉촉함촉촉해요세정력아주 만족해요,46cm 체취케어 데오드란트 바디워시 시트러스향 600ml 1개
8,5,25.07.05.,love******,손으로만 씻는데 거품이 잘 나요~샤워 후 몸에 남아있는 향이 세지는 않아요 그래서 더 좋아요,0,https://phinf.pstatic.net/checkout.phinf/20250705_215/1751723173408ksDlB_JPEG/1000005050.jpg?type=f300_300,필수선택: 시트러스향 600ml 1개피부타입건성주름각질모공거품풍부해요촉촉함촉촉해요세정력아주 만족해요,46cm 체취케어 데오드란트 바디워시 시트러스향 600ml 1개
9,3,25.06.22.,free****,"한달은 더써봐야 알거 같아요 
일주정도 써보니 거품 세정 갠찬아요 
향도 좋구요 평소 시트러스 좋아해서 만족합니다 
밀리거나 하는그런느낌엄네요잘쓸께요",1,https://phinf.pstatic.net/checkout.phinf/20250622_280/1750568470544cbkds_JPEG/image.jpg?type=f300_300,필수선택: 시트러스향 600ml 1개피부타입지성피지각질트러블거품풍부해요촉촉함보통이에요세정력아주 만족해요,46cm 체취케어 데오드란트 바디워시 시트러스향 600ml 1개
10,5,25.07.09.,patr****,미세한 스크럽이 들어있어 냄새분자를 떼어내고 더 오래 향을 유지하게 피부에 잡아둔다고 해서 여름대비용으로 구입하게 되었습니다.,0,https://phinf.pstatic.net/checkout.phinf/20250709_260/1752068100257hBCmB_JPEG/tmp_6111543071378473683.jpg?type=f300_300,필수선택: 시트러스향 600ml 1개피부타입건성잡티미백주름거품풍부해요촉촉함보통이에요세정력아주 만족해요,46cm 체취케어 데오드란트 바디워시 시트러스향 600ml 1개
