rank,rating,date,user,content,helpful_count,images,option_info,product_name
1,5,25.07.16.,isga***,"요즘 캡슐 세탁세제를 처음 써봤는데, 왜 이제야 썼나 싶어요.
특히 너무 만족스러운 점은 오래된 빨래에서 나는 꿉꿉한 쉰내를 확실히 잡아준다는 거예요.

한동안 장롱에 넣어뒀던 이불커버랑 수건을 꺼내서 세탁했는데, 평소 액체세제로는 잘 안 빠지던 그 특유의 눅눅한 냄새가 이번엔 정말 깨끗하게 사라졌어요.
빨래 건조기 돌리고 나니까 마치 햇빛에 잘 말린 새 옷처럼 산뜻한 향만 남더라고요.

또 하나 마음에 드는 건 캡슐이라 양 조절할 필요도 없고 손에 묻을 일도 없다는 점! 세제 하나 톡 넣고 그냥 돌리기만 하면 되니 너무 간편해요. 세탁력도 좋고 향기도 은은해서 과하지 않아 좋아요.

습기 많은 장마철이나, 오랫동안 안 입은 옷 세탁할 때 강력 추천합니다.
진짜 꿉꿉한 냄새 고민하신다면, 이 세제 한 번 써보세요. 후회 안 하실 거예요!",0,https://phinf.pstatic.net/checkout.phinf/20250716_139/1752635139116mXK7i_JPEG/image.jpg?type=f300_300,옵션: 코튼 26입 2개+코튼 5입,피지 모락셀라 빨래쉰내 땀 냄새제거부스터 코튼향 실내건조 교복세탁 일반드럼 겸용 26입 2개 + 5입 증정
2,5,25.07.17.,hoo0***,과학을 보다에서 보고 구매하게 됐습니다. 이 세제 냄새 진짜 잘 잡아요. 좀 신기할 정도.. 냄새제거 부스터랑 같이 넣고 돌렸는데 세탁기에서 꺼낼 때 향이 은은하게 돌아서 건조기에 섬유유연제 시트 안 넣고 돌렸는데요. 빨래 다 된 후 냄새 맡아보니 왜 그 향으로 덮인 느낌의 냄새가 아니고 청결한 느낌나면서 은은한 향이 돌아요. 어제 잘 때 배개커버에서도 향이 은은하게 감돌아서 잘잤어요. 그리고 이거 생각보다 적게 넣는 거더라구요. 암튼 뚜껑에 용량 표시되어 있어서 좋구요. 입구가 보면 따르기 편하게 되어있어요. 깔끔하게 따라지더라구요. 그리고 또 이건 그냥 세제에 만족해서 그렇게 느껴지는 걸 수도 있지만 통도 무게 분산 같은 거 고려한 건지 다른 세제 통 대비 가볍게 들리는 느낌? 이예요.,0,https://phinf.pstatic.net/checkout.phinf/20250717_217/1752741537967JUDXJ_JPEG/tmp_2542994174761609077.jpg?type=f300_300,옵션: 코튼 26입 2개+코튼 5입,피지 모락셀라 빨래쉰내 땀 냄새제거부스터 코튼향 실내건조 교복세탁 일반드럼 겸용 26입 2개 + 5입 증정
3,5,25.07.20.,mini******,"요즘 최애 세탁세제에요^^ 신기하게도 쉰내가 나질 않아요~ 액체세제보단 비싼감이 있지만 냄새 나는것보단 나으니 당분간은 요걸로 정착할려구요~
향도 은은한 코튼향 너무 좋아요^^",0,https://phinf.pstatic.net/checkout.phinf/20250720_268/1752988505456Dv3KK_JPEG/1752988406595.jpg?type=f300_300,옵션: 코튼 26입 2개+코튼 5입,피지 모락셀라 빨래쉰내 땀 냄새제거부스터 코튼향 실내건조 교복세탁 일반드럼 겸용 26입 2개 + 5입 증정
4,5,25.07.15.,hahl***,최욱의 웃다가 시청 후 구매해 봤는데 마음에 듭니다. 장마철에 빨래에서 나는 나쁜 냄새가 완전히 잡히네요. 세탁력도 좋고 냄새도 잡고 너무나 맘족합니다.,0,https://phinf.pstatic.net/checkout.phinf/20250715_117/1752585475820I2Gxc_JPEG/1000040952.jpg?type=f300_300,옵션: 코튼 26입 2개+코튼 5입,피지 모락셀라 빨래쉰내 땀 냄새제거부스터 코튼향 실내건조 교복세탁 일반드럼 겸용 26입 2개 + 5입 증정
5,4,25.07.19.,gale****,"두번 정도 써 봤어요.
괜찮아 보여서 계속 써 볼 생각입니다. 
여름애는 하루만 입어도 땀 때문에 매일 빨아야 하고 그래도 땀 냄새가 남는 기분이었네요.",0,https://phinf.pstatic.net/checkout.phinf/20250719_194/17529182330160K5yD_JPEG/1000072792.jpg?type=f300_300,옵션: 피치 26개입 2개+코튼 5입,피지 모락셀라 빨래쉰내 땀 냄새제거부스터 코튼향 실내건조 교복세탁 일반드럼 겸용 26입 2개 + 5입 증정
6,4,25.07.19.,happ*******,"대박!!
너무 좋아요
이것 저것 사다가 써봤는데 조금씩 냄새가 났었는데 이게 요물이네요~
잘쓰겠습니다 감사합니다",0,https://phinf.pstatic.net/checkout.phinf/20250719_41/1752902505198CVMc3_JPEG/1752902492035.jpg?type=f300_300,옵션: 코튼 26입 2개+코튼 5입,피지 모락셀라 빨래쉰내 땀 냄새제거부스터 코튼향 실내건조 교복세탁 일반드럼 겸용 26입 2개 + 5입 증정
7,5,25.07.20.,milk****,섬유유연제를 사용하도 빨래 뒤 향도 안 나고 이상한 냄새 나서 바로 사서 빨래뒤 건조한 후에도 좋은 향이 지속되서 너무 만족합니다,0,https://phinf.pstatic.net/checkout.phinf/20250720_37/1753002806088rFAzL_JPEG/IMG_1894.jpeg?type=f300_300,옵션: 코튼 26입 2개+코튼 5입,피지 모락셀라 빨래쉰내 땀 냄새제거부스터 코튼향 실내건조 교복세탁 일반드럼 겸용 26입 2개 + 5입 증정
8,5,25.07.03.,sj****,완전 신세계를 경험했네요... 한개 넣어서 빨고 건조기까지 돌렸는데도 은은한 피치향이 남아있어요... 저희 신랑이 처음에 뭔 세제를 그렇게 비싸게 주고 사냐더니 빨래한번하고 옷을입더니 그얘기는 쏙 들어갔답니다.. 다른향기는 아직 안써봤는데 기대가 됩니다.. 여름에는 건조기로 돌려도 워낙 땀을 많이 흘려서 좀 걱정되었는데 이거 하나로 걱정거리 줄었네요... 다쓰면 다른향으로 재구매할게요,1,https://phinf.pstatic.net/checkout.phinf/20250703_277/1751501488120GSJLq_JPEG/KakaoTalk_20250703_090844601.jpg?type=f300_300,옵션: 피치 26개입 2개+ 코튼 5입,피지 모락셀라 빨래쉰내 땀 냄새제거부스터 코튼향 실내건조 교복세탁 일반드럼 겸용 26입 2개 + 5입 증정
9,5,25.07.07.,artr****,"확실히 냄새 잘 잡아주네요. 
특히 운동복 밴드 부분은 땀 찌든내가 잘 안가시는데 냄새가 안나요. 만족합니다. 
섬유유연제도 썼지만 피치향이 더 강하게 남아요. 
향도 좋습니다.",0,https://phinf.pstatic.net/checkout.phinf/20250707_168/1751865740677cUIFP_JPEG/image.jpg?type=f300_300,옵션: 피치 26개입 2개+ 코튼 5입,피지 모락셀라 빨래쉰내 땀 냄새제거부스터 코튼향 실내건조 교복세탁 일반드럼 겸용 26입 2개 + 5입 증정
10,5,25.05.10.,kj****,"일반세제보다 캡슐세제의 장점이 많은거 같아 사용해보고 싶다는 마음은 있었지만,
하루에 세탁을 적어도 두번 많으면 서너번을 할때도 있어서 고민이 많이 되더라구요!
(세탁이 취미? 세탁할때 빨래널고 개킬때,입고 생활할때 기분 좋은 향이 나는걸 좋아해  한번만 입어도 세탁을 해요)
저희집은 4인 가족이고 벌써 반팔 반바지를 입어요.
교복같은 경우는 세탁기에 한두가지 넣고 돌리기도 해서 세제 사용이 애매할것 같더라구요.
그러다가 엘지 L사에서 제가 좋아하는 피치향이 출시되어 살때 눈여겨 봤던 A사 제품과 C사 제품도 함께 구입해 보았습니다.
그리하여 지극히 개인적인 평을 조심스럽게 해보려합니다.
A사 캡슐은 42개 들어있고,제가 구입한 금액 기준으로 1개450원이에요.
향기는 종류가 젤 많아 개인 취향대로 구입하시면 기분좋게 세탁을 할수 있겠어요.
저도 제가 젤 좋아할것 같은 향으로 구입을 했는데요,
기대만큼..섬유유연제 만큼 향이 진하거나 오래가진 않아 약간은 실망스러웠어요.
반팔4개,반바지4개,수건4개,속옷 팬티3개,브라팬티1 세트기준으로 1개도 넣어보고 향이 너무 약해서 다음번엔2개도 넣어보았어요.
2개가 적당한거 같았고 교복 반팔1ea과 이너반팔1ea에 1개 넣으니 만족스러운 향의 정도가 되더라구요.
지속력은 아쉽지만 별5개 만점에 별4개정도,
피지L사는 52개 들어있구 1개에 465원이고 
향기 지속력은 별5개입니다.
C사는 40개 들어있구 1개에 395원으로 가장 착한 가격이였지만,
아쉽게도 향기 지속력은 별3개입니다.
A사는 할인도 자주 하고 예쁜 용기에 여러가지 향들이 있어 취향따라 기분따라 골라 세탁한 재미도 있을것 같아요.
개봉은 피지 제품이 젤 힘들고  불편해요.
모양도 젤 이뿌지 않고 평범하였지만 향기 지속력 하나로 별점이5개입니다.",4,https://phinf.pstatic.net/checkout.phinf/20250510_91/1746877119027rMYIR_JPEG/1000006974.jpg?type=f300_300,옵션: 피치26개입2개+세탁조클리너+코튼5입,피지 모락셀라 빨래쉰내 땀 냄새제거부스터 코튼향 실내건조 교복세탁 일반드럼 겸용 26입 2개 + 5입 증정
