rank,rating,date,user,content,helpful_count,images,option_info,product_name
1,5,25.07.05.,boss*******,"빨래를 하고 나서도 꿉꿉한 냄새가 나서 고민이었는데, 허브향을 사용해보고 확실히 효과가 있어서 다른 향인 피치향으로도 구매했어요. 허브향이 다른 나쁜냄새를 잡아주어서 좋았지만 저한테는 조금 향이 느끼하게 느껴져서 아쉬웠는데, 피치향은 상큼하고 깔끔한 향이라 더 좋았어요. 캡슐세제 껍질도 잔여물이 없이 물에 깔끔하게 잘 녹아서 좋아요. 효과가 확실히 좋아서 앞으로도 잘 사용할 것 같아요.",0,https://phinf.pstatic.net/checkout.phinf/20250705_193/1751708522684szNum_JPEG/1000074723.jpg?type=f300_300,옵션: 피치에디션 26개입 + 코튼 5입,피지 모락셀라 빨래쉰내 땀 냄새제거부스터 피치향 실내건조 교복세탁 일반드럼 겸용 26입
2,5,25.06.27.,suga*******,운동복을 매일 빨기도 힘들고 며칠 있다가 빨면 빨아도 쿰쿰한 냄새가 나서 어떡하나 하다가 섬유유연제 사려고 보다가 이런 게 새로 나온 거 보고 반신반의하며 샀는데 효과가 좋아요! 냄새에 예민해서 조금이라도 쉰내나면 아는데 진짜 하나도 안 나네요! 실험? 해보려고 일부러 한동안 모아서 방치했다가 빨았는데 아주 만족합니다! 피치향이 후기에 호불호가 있던데 저는 원래 피치향을 좋아해서 괜찮았어요~ 수건도 여름이라 꿉꿉해서 젖은채로 잘 안 말라서 냄새나던 거 빨아보니까 냄새 하나도 안 나네요! 아주 만족합니다~ 주위에 추천하고 있어요!,0,https://phinf.pstatic.net/checkout.phinf/20250627_39/1750993071483M6ytC_JPEG/1000032836.jpg?type=f300_300,옵션: 피치에디션 26개입 + 코튼 5입,피지 모락셀라 빨래쉰내 땀 냄새제거부스터 피치향 실내건조 교복세탁 일반드럼 겸용 26입
3,4,25.06.09.,west***,"모락셀라 냄새제거 부스터 시리즈를 다 사용하고 있는데 피치는 멀미나고 두통이 발생하는 방향제 같은 냄새라서 가족, 친구, 지인이 다 별로라고 하네요 그래서 수건을 모아서 세탁할때 사용하고 있어요 피치향은 비추합니다.",6,https://phinf.pstatic.net/image.nmv/shopnbuyer_2025_06_09_3951/FP4Iw1a6Px_03.jpg?type=ffn300_300,옵션: 피치에디션 26개입 + 코튼 5입,피지 모락셀라 빨래쉰내 땀 냄새제거부스터 피치향 실내건조 교복세탁 일반드럼 겸용 26입
4,5,25.07.19.,sh****,"빨래냄새 제거에 효과적이라는 광고를 보고 구매하게 되었습니다
피치향이 지인이 좋다고 추천해주어 사용했어요
만족합니다
빨래후 혹은 장마철 마를 때 향기가 좋아요
재구매의사 있어요
주면에도 추천하고 있어요
무엇보다 빠른배송 감사합니다
수고하세요",0,,옵션: 피치향 26입 1개 + 70ml 2개,피지 모락셀라 빨래쉰내 땀 냄새제거부스터 피치향 실내건조 교복세탁 일반드럼 겸용 26입
5,5,25.07.17.,joeu*****,"향도 좋구 땀냄새 제거에도 탁월해서 재구매 했어요!
폭우였는데 배송도 안전하게 도착해 더 감동이예요!",0,https://phinf.pstatic.net/checkout.phinf/20250717_117/1752726439204xONfy_JPEG/20250717_132414.jpg?type=f300_300,옵션: 피치향 26입 1개 + 70ml 2개,피지 모락셀라 빨래쉰내 땀 냄새제거부스터 피치향 실내건조 교복세탁 일반드럼 겸용 26입
6,4,25.07.08.,cocc****,"향은 무난하고요.. 저는 다른 사람보다 행굼을 여러번 추가하는 편이라 그런지 딱히 향이 강하거나 하진 않았어요. 
바로 세탁해보니 일부는 효과가 아주 좋았고 수건은 (지난 5월에 사용하기 시작한 새것인데도 불구하고 ㅜㅜ 최근 너무 날이 흐렸어서 그런지) 젖은 상태에선 아주 조금 냄새가 났어요.

 그래도 전보단 훨씬 낫고 효과가 있는 거 같아요. 장마철이 끝날 때까진 계속 사용할 것 같아요. 좀 더 사용해보면 더 확실한 후기가 가능하겠쥬? 재구매 의사 확실히 있어요.",0,,옵션: 피치에디션 26개입 + 코튼 5입,피지 모락셀라 빨래쉰내 땀 냄새제거부스터 피치향 실내건조 교복세탁 일반드럼 겸용 26입
7,5,25.07.01.,drea*******,"운동 좋아하는 중등 아들...여름이라 땀도 많이 흘리니 옷에서 꿈꿈한 냄새가 더 나고 삶을 수 없는 기능성 옷들의 냄새를 없애고 싶어 주문 했고 정말 냄새를 잘 잡아 줍니다. 남편과 아들 옷과 수건 세탁할땐 무조건 부스터를 넣고 세탁합니다.
가격은 조금 부담스럽지만 향과 기능은 너무 만족해서 계속 구매할 예정입니다~~~",0,https://phinf.pstatic.net/checkout.phinf/20250701_243/17513325486484RHCv_JPEG/1000015757.jpg?type=f300_300,옵션: 피치에디션 26개입 + 코튼 5입,피지 모락셀라 빨래쉰내 땀 냄새제거부스터 피치향 실내건조 교복세탁 일반드럼 겸용 26입
8,5,25.07.10.,ooje*****,"향이 은은해서 좋고 실내에서 말릴 때 두꺼운 허리부분 안 마르면 냄새나는데 그 부분을 정말로 해결해서 냄새 없애주네요~
장마기간이나 습할 때 아주 제격이네요~",0,https://phinf.pstatic.net/checkout.phinf/20250710_181/1752125030677UbMFp_JPEG/1000028125.jpg?type=f300_300,옵션: 피치향 26입 1개 + 70ml 2개,피지 모락셀라 빨래쉰내 땀 냄새제거부스터 피치향 실내건조 교복세탁 일반드럼 겸용 26입
9,5,25.07.05.,pny0***,"요즘 옷 마다 짙게 배어있는 땀냄새에 너무 신경쓰이는데  이거 사용한 첫빨래감을 꺼내니 향이~
이래서 좋은 세제 쓰고 다양한 제품들이 나오나 봅니다.
세제에 돈 아꼈던 게 부끄럽네요. 올 여름 잘 쓰겠습니다.",0,https://phinf.pstatic.net/checkout.phinf/20250705_95/1751670275608QoKo2_JPEG/1000016907.jpg?type=f300_300,옵션: 피치에디션 26개입 + 코튼 5입,피지 모락셀라 빨래쉰내 땀 냄새제거부스터 피치향 실내건조 교복세탁 일반드럼 겸용 26입
10,1,25.07.16.,ulim***,"냄새가 최악 ㅜㅜ 플리스틱 싸구려방향제 냄새남 ㅜㅜ
그냥 원래쓰던 보라색 모라셀라가 훨씬 나음 ㅜㅜ",0,https://phinf.pstatic.net/checkout.phinf/20250716_191/1752652491615cTLDw_JPEG/PayApp_20250716_165438_823051894379377488.jpg?type=f300_300,옵션: 피치향 26입 1개 + 70ml 2개,피지 모락셀라 빨래쉰내 땀 냄새제거부스터 피치향 실내건조 교복세탁 일반드럼 겸용 26입
