rank,rating,date,user,content,helpful_count,images,option_info,product_name
1,5,25.07.15.,re****,"배송이 진짜 빨라요. 더운날에도 감사합니다.
샤프란이 아우라로 변경되고 또 엘지꺼였군요. 
리뉴얼되서 첨 써보고 좋네요. 사은품도 큰걸로 주시고... 향 맡아봤는데 존슨즈 베드타임 향과 비슷해서
더욱 더 좋았어요.!",0,https://phinf.pstatic.net/checkout.phinf/20250715_131/1752583976886Gz4gR_JPEG/1000026077.jpg?type=f300_300,옵션: 스모키머스크5.5L+피오니로즈680ml,아우라 윌유메리미 대용량 섬유유연제 5.5L+특별증정(아우라 리필 680ml 피오니로즈향)
2,5,25.07.20.,hyem******,"한번 아우라 쓰니 계속 이것만 쓰게되네요 
샘플로 보내주신 향도 너무좋아요
배송도빠르고 무거운걸 쉽게 받아볼수도 있고 너무좋습니다",0,https://phinf.pstatic.net/checkout.phinf/20250720_275/17530023787565FNml_JPEG/IMG_3153.jpeg?type=f300_300,옵션: 스모키머스크5.5L+피오니로즈680ml,아우라 윌유메리미 대용량 섬유유연제 5.5L+특별증정(아우라 리필 680ml 피오니로즈향)
3,5,25.07.17.,octo****,"입구가 2가지버전이라서 사용할때 매우 편리합니다. 아무래도 무거우니까 통입구는 콸콸 쏟아질때도 있는데, 버튼식 입구는 짜담기도 매우 편리해서 굿. 향도 좋아서 이번에는 초록색말고 이향 사본건데 이향 역시 좋아요 추천",0,https://phinf.pstatic.net/checkout.phinf/20250717_205/1752709342190foBn7_JPEG/KakaoTalk_20250717_084048847_01.jpg?type=f300_300,옵션: 피오니블러썸 5.5L+피오니로즈680ml,아우라 윌유메리미 대용량 섬유유연제 5.5L+특별증정(아우라 리필 680ml 피오니로즈향)
4,5,25.06.13.,ducj***,다른 제품을 구매 했었는데 급재고 부족 하다고 배송이 늦는다고 하여 다른 제품을 보다가 구매 하였습니다. 이미 앞전에도 다른 향 제품을 만족스럽게 사용을 했던지라 이번에는 다른 향 으로 주문을 하였습니다. 배송은 다음날 바로 왔고 오자마자 타이밍 좋게 빨래를 돌려야 되서 바로 사용 해봤는데 역시나 향이 좋네여^^ 이제 장마 이고 빨래 잘못 말리면 냄새가 나기 때문에 섬유유연제는 필수 인데 가격도 좋고 양도 넉넉 하고 무엇보다 향도 좋아서 마음에 드네요^^ 다음에도 주문 하겠습니다.,0,https://phinf.pstatic.net/checkout.phinf/20250613_296/1749805019042zBXq4_JPEG/1000008730.jpg?type=f300_300,옵션: 피오니블러썸 5.5L+피오니로즈680ml,아우라 윌유메리미 대용량 섬유유연제 5.5L+특별증정(아우라 리필 680ml 피오니로즈향)
5,4,25.07.13.,love*******,"아우라는 처음 써보는거 같아요 
신랑이 형이 진한걸 좋아해서 시켜봤어요
용량이.큰데 저렴하게 구매했어요
아직 사용 전인데 향이 좋고 오래 남으면 또 주문해서 사용할게요",0,https://phinf.pstatic.net/checkout.phinf/20250713_50/1752356995868fjWxU_JPEG/1752356986397.jpg?type=f300_300,옵션: 윌유메리미 5.5L+피오니로즈680ml,아우라 윌유메리미 대용량 섬유유연제 5.5L+특별증정(아우라 리필 680ml 피오니로즈향)
6,5,25.07.10.,hi****,"늘 사용하는 섬유유연제입니다. 향이 강하지 않고 은은하고 고급스런 느낌이라 실내에서 건조 시 냄새도 안나이것만 자꾸 구매하게 됩니다.
용량도 대용량이고 배송도 빨라  한동안 잊고 쓸수 있어서 편안합니다.",0,https://phinf.pstatic.net/checkout.phinf/20250710_75/1752095347720vXEV4_JPEG/20250710_060825.jpg?type=f300_300,옵션: 윌유메리미 5.5L+피오니로즈680ml,아우라 윌유메리미 대용량 섬유유연제 5.5L+특별증정(아우라 리필 680ml 피오니로즈향)
7,5,25.07.20.,jan2***,향도 오래가고 쏙마음에 들어요 벌써 계속 사용중입니다.  배송도 빨라 너무 맘에 들어요,0,https://phinf.pstatic.net/checkout.phinf/20250720_67/1752985682781cqbpn_JPEG/1000028289.jpg?type=f300_300,옵션: 스모키머스크5.5L+피오니로즈680ml,아우라 윌유메리미 대용량 섬유유연제 5.5L+특별증정(아우라 리필 680ml 피오니로즈향)
8,5,25.07.09.,mi****,사용해봤던 향이라서 바로 주문했구요 배송 빠르고 포장도 꼼꼼하게 왔어요,0,https://phinf.pstatic.net/checkout.phinf/20250709_291/17519969687066tPtr_JPEG/1000007768.jpg?type=f300_300,옵션: 스모키머스크5.5L+피오니로즈680ml,아우라 윌유메리미 대용량 섬유유연제 5.5L+특별증정(아우라 리필 680ml 피오니로즈향)
9,5,25.06.25.,yb****,"다이소에서 사다 써보고 향이 좋아서 샤프란 아우라 윌유메리미랑 스모키머스크를 꾸준히 사용하고 있었는데, 사다 나르기 무겁기도 하고 ㅎㅎ 포인트 적립 계산하면 여기서 다이소보다 더 저렴하게 구입했네요.ㅎㅎ 앞으로 여기서 꾸준히 구입하려구요. 잘쓸께요~",0,https://phinf.pstatic.net/checkout.phinf/20250625_218/1750836286191Gewo2_JPEG/20250625_161822.jpg?type=f300_300,옵션: 윌유메리미 5.5L+피오니로즈680ml,아우라 윌유메리미 대용량 섬유유연제 5.5L+특별증정(아우라 리필 680ml 피오니로즈향)
10,4,25.07.20.,ailr****,다른 제품  쓰다가 가격에 혹해서주문하게 되었네요  향도 제가 좋아하는 것이고 빠르게 담날 배송 왔네요,0,https://phinf.pstatic.net/checkout.phinf/20250720_151/1753003862928owNU7_JPEG/1000001464.jpg?type=f300_300,옵션: 스모키머스크5.5L+피오니로즈680ml,아우라 윌유메리미 대용량 섬유유연제 5.5L+특별증정(아우라 리필 680ml 피오니로즈향)
11,4,25.07.16.,book****,"요즘같이 비오는날 실내 건조해야해서 가성비도 좋고해서 샀는데 향이 은은하고 좋네요.
배송도 빠르게 해주셨네요.",0,https://phinf.pstatic.net/checkout.phinf/20250716_99/1752628869463mn1Fv_JPEG/tmp_2445206672615515086.jpg?type=f300_300,옵션: 윌유메리미 5.5L+피오니로즈680ml,아우라 윌유메리미 대용량 섬유유연제 5.5L+특별증정(아우라 리필 680ml 피오니로즈향)
12,5,25.07.17.,love*****,비오는 날이라 걱정 했는데 밤에 주문 하고 저녁 9시58분쯤 도착 했어요 오늘배송이라 빠르고 박스에 담겨 왔어요,0,https://phinf.pstatic.net/checkout.phinf/20250717_35/1752757781398MXMGG_JPEG/20250717_220815.jpg?type=f300_300,옵션: 스모키머스크5.5L+피오니로즈680ml,아우라 윌유메리미 대용량 섬유유연제 5.5L+특별증정(아우라 리필 680ml 피오니로즈향)
