rank,rating,date,user,content,helpful_count,images,option_info,product_name
1,5,25.07.15.,pooh******,"아우라 스모키머스크 대용량 제품은 향에 민감하신 분들께 정말 추천드리고 싶은 섬유유연제예요.
처음 개봉했을 때 은은하면서도 고급스러운 스모키+우디 향이 퍼지는데, 마치 향수처럼 잔향이 오래 남으면서도 부담스럽지 않아 너무 좋았어요.

빨래를 널어두기만 해도 공간 전체에 향이 퍼져서 마치 룸스프레이를 뿌린 듯한 기분이 들고,
옷을 입을 때마다 은은하게 남은 향이 하루 종일 기분 좋게 만들어줘요.

저는 특히 이런 어른스러운 무드의 잔향을 좋아해서 작은 용량보다 대용량으로 바로 정착했는데,
용량도 넉넉하고 향도 만족스러워서 꾸준히 사용할 것 같아요.

고급스러운 향을 원하시거나, 섬유유연제 향으로 분위기를 바꾸고 싶으신 분들께 딱이에요.",0,,옵션선택: 아우라5.5L스모키머스크,아우라 스모키머스크 대용량 섬유유연제 5.5L
2,5,25.07.19.,cher******,지인 집에 놀러갔다가 향기가 너무 좋아서 물어봤어요 ㅎㅎㅎ 온 집안에 향이 폴~폴~~♡ 너무 좋습니다. 자꾸 빨래하고 싶어져요 ㅋ,0,https://phinf.pstatic.net/checkout.phinf/20250719_31/1752927349166Flfqs_JPEG/image.jpg?type=f300_300,옵션선택: 아우라5.5L스모키머스크,아우라 스모키머스크 대용량 섬유유연제 5.5L
3,5,25.07.17.,hu****,향도 좋고 배송도 빨라서 좋아요,0,https://phinf.pstatic.net/checkout.phinf/20250717_250/1752751803658EetkO_JPEG/1752751793433.jpg?type=f300_300,옵션선택: 아우라5.5L스모키머스크,아우라 스모키머스크 대용량 섬유유연제 5.5L
4,5,25.06.25.,sapi******,처음써보는 향이라 기대반 걱정반이었습니다. 선택을 잘 했어요. 이불세탁하고 거실에 넣어두니 집안에서 향기가 난다고 향이 좋다고 하니 빨래도 더 자주 하게 되네요. ㅎㅎ,0,https://phinf.pstatic.net/checkout.phinf/20250625_90/1750823960294mLdRm_JPEG/IMG_5619.jpeg?type=f300_300,옵션선택: 아우라5.5L스모키머스크,아우라 스모키머스크 대용량 섬유유연제 5.5L
5,4,25.07.18.,ban8******,향이 좋아서 재주문 하고 있어요,0,https://phinf.pstatic.net/checkout.phinf/20250718_72/1752815943950HMBQ3_JPEG/1000010170.jpg?type=f300_300,옵션선택: 아우라5.5L스모키머스크,아우라 스모키머스크 대용량 섬유유연제 5.5L
6,5,25.07.17.,kte5***,늘 머스크 향이 좋아 이 제품만 사용하고 있어요. 무거워서 못 사고 택배로 신청했는데 택배 아저씨한테 미안했어요.  무거워서...  하지만 대용량이라 오래 쓸 수 있어 좋았어요.,0,,옵션선택: 아우라5.5L스모키머스크,아우라 스모키머스크 대용량 섬유유연제 5.5L
7,5,25.07.18.,jae_******,제 취향으로는 향이 제일 좋습니다.,0,https://phinf.pstatic.net/checkout.phinf/20250718_116/1752814441094pzhXg_JPEG/20250403_190409.jpg?type=f300_300,옵션선택: 아우라5.5L스모키머스크,아우라 스모키머스크 대용량 섬유유연제 5.5L
8,5,25.07.14.,once***,배송도 빠르고 싸게 잘 구매했삽니다,0,https://phinf.pstatic.net/checkout.phinf/20250714_194/17524844415942S2k8_JPEG/image.jpg?type=f300_300,옵션선택: 아우라5.5L스모키머스크,아우라 스모키머스크 대용량 섬유유연제 5.5L
9,5,25.07.01.,only*******,저흰 섬유린스 아우라만 써요. 더구나 스모키머스크는 향이 좋아서 재재구매하고 있습니다~,0,https://phinf.pstatic.net/checkout.phinf/20250701_2/17513534284755mGip_PNG/EC8AA4ED81ACEBA6B0EC83B7202025-07-0120160246.png?type=f300_300,옵션선택: 아우라5.5L스모키머스크,아우라 스모키머스크 대용량 섬유유연제 5.5L
10,5,25.07.04.,your******,머스크향 좋아해서 구매했어요 아직 써보기 전인데 향이 기대됩니다,0,https://phinf.pstatic.net/checkout.phinf/20250704_88/1751596838249E6JTp_JPEG/1000031942.jpg?type=f300_300,옵션선택: 아우라5.5L스모키머스크,아우라 스모키머스크 대용량 섬유유연제 5.5L
