rank,rating,date,user,content,helpful_count,images,option_info,product_name
1,5,25.07.16.,zoot********,"무심코 비슷하게 생겨서 구매했는데 요 전에 구매했던 것 보다 훨씬 큰 용량이었네요 ;;
들다가 무거워서 죽을뻔... 한 3년은 쓰겠는데요? ㅎㅎㅎ",0,https://phinf.pstatic.net/checkout.phinf/20250716_91/1752642451167YSmnM_JPEG/1000007359.jpg?type=f300_300,선택: 수퍼테크 대용량 액체세제 14L (겸용),테크 클린앤리프레시 세탁세제 일반드럼 겸용 대용량 8L
2,5,25.07.17.,tlst*****,맘에들어요 진자 가격저렴이 한몫,0,https://phinf.pstatic.net/checkout.phinf/20250717_294/1752756647196M2oI6_JPEG/image.jpg?type=f300_300,선택: 테크 클린앤리프레쉬 대용량 액체세제8L(겸용),테크 클린앤리프레시 세탁세제 일반드럼 겸용 대용량 8L
3,5,25.07.09.,aqua******,"가격최고ᆢ대용량이라 덜어서 쓰는 번거로움만 있을뿐.
세정력좋고, 빨래많은 울집에 쓰기에 넘좋아요",0,https://phinf.pstatic.net/checkout.phinf/20250709_264/1752025358968aLteG_JPEG/20250708_210954.jpg?type=f300_300,선택: 테크 클린앤리프레쉬 대용량 액체세제8L(겸용),테크 클린앤리프레시 세탁세제 일반드럼 겸용 대용량 8L
4,5,25.07.13.,kimb******,재구매한제품입니다 요즘은섬유유연제안써도. 빨래에서 향기나고 조금만써도. 세태잘됩니다,0,https://phinf.pstatic.net/checkout.phinf/20250713_300/1752403420550gXbaH_JPEG/1000041927.jpg?type=f300_300,선택: 수퍼테크 대용량 액체세제 14L (겸용),테크 클린앤리프레시 세탁세제 일반드럼 겸용 대용량 8L
5,5,25.07.20.,kkaa****,"세탁을 자주하는 우리집 
용량 많고 세탁도 잘되고 딱좋아요",0,https://phinf.pstatic.net/checkout.phinf/20250720_96/1752998264226mOmMN_JPEG/1752998234653.jpg?type=f300_300,선택: 테크 클린앤리프레쉬 대용량 액체세제8L(겸용),테크 클린앤리프레시 세탁세제 일반드럼 겸용 대용량 8L
6,5,25.07.04.,sosj*****,항상 잘 쓰고 있는 제품입니다. 도착배송 으로 빨리 받아볼수있어 좋고 무엇보다 택배기사님 항상 감사합니다,0,https://phinf.pstatic.net/checkout.phinf/20250704_247/1751630684544F6yBW_JPEG/IMG_5513.jpeg?type=f300_300,선택: 테크 클린앤리프레쉬 대용량 액체세제8L(겸용),테크 클린앤리프레시 세탁세제 일반드럼 겸용 대용량 8L
7,5,25.07.19.,juhy*******,택배빠르고 꼼꼼하게 잘왔어요,0,https://phinf.pstatic.net/checkout.phinf/20250719_120/17529026583889r34f_JPEG/1000060380.jpg?type=f300_300,선택: 테크 클린앤리프레쉬 대용량 액체세제8L(겸용),테크 클린앤리프레시 세탁세제 일반드럼 겸용 대용량 8L
8,5,25.07.17.,sunk****,"항상 쓰는 제품 입니다
잘 쓸게요",0,https://phinf.pstatic.net/checkout.phinf/20250717_156/1752717797432aPqhO_JPEG/1000015232.jpg?type=f300_300,선택: 테크 클린앤리프레쉬 대용량 액체세제8L(겸용),테크 클린앤리프레시 세탁세제 일반드럼 겸용 대용량 8L
9,5,25.07.08.,kiss******,배송이너무 빨라서 좋아요 여기서만 사는이유,0,https://phinf.pstatic.net/checkout.phinf/20250708_162/1751954253559MTNE6_JPEG/1751954241536.jpg?type=f300_300,선택: 테크 클린앤리프레쉬 대용량 액체세제8L(겸용),테크 클린앤리프레시 세탁세제 일반드럼 겸용 대용량 8L
10,5,25.07.16.,paul****,아직 사용은 못했지만 잘쓰겠습니다.,0,https://phinf.pstatic.net/checkout.phinf/20250716_297/1752592897728qQpMe_JPEG/1000007987.jpg?type=f300_300,선택: 테크 클린앤리프레쉬 대용량 액체세제8L(겸용),테크 클린앤리프레시 세탁세제 일반드럼 겸용 대용량 8L
