rank,rating,date,user,content,helpful_count,images,option_info,product_name
1,5,25.07.15.,hees*****,"작년에 우연히 써보고는 줄곧 이 펌핑치약만 씁니다.
사용하기에 깔끔하고 좋아요.
집근처 마트에는 없어서 주문했어요.
빠르게 보내주셔서 잘 받았습니다.
또주문하러 올게요.^^/",0,https://phinf.pstatic.net/checkout.phinf/20250715_156/1752572030041ypqz8_JPEG/1000069303.jpg?type=f300_300,선택1: 펌핑아이스285g 2개+칫솔1개,히말라야 핑크솔트 아이스민트 펌핑치약 285g 2개 + 특별증정(칫솔 1개)
2,5,25.07.19.,bell***,"몇년째 사용중인 제품입니다. 원터치로 눌러서 사용하니 편리하고, 무엇보다 끝까지 알뜰하게 사용할수있어서 좋아요.사용감도 상쾌하고 거품도 잘나고 개운해요.",0,https://phinf.pstatic.net/checkout.phinf/20250719_266/1752897775698Jxbmo_JPEG/1000015264.jpg?type=f300_300,선택1: 펌핑아이스285g 2개+칫솔1개,히말라야 핑크솔트 아이스민트 펌핑치약 285g 2개 + 특별증정(칫솔 1개)
3,5,25.07.18.,wnsd*****,재주문했어요. 자극적이지 않고 입안이 개운해서 만족합니다.,0,https://phinf.pstatic.net/checkout.phinf/20250718_296/1752806515250gEzNH_JPEG/image.jpg?type=f300_300,선택1: 펌핑아이스285g 2개+칫솔1개,히말라야 핑크솔트 아이스민트 펌핑치약 285g 2개 + 특별증정(칫솔 1개)
4,5,25.07.16.,yrlo*****,어젯밤에 주문했는데 오늘 배송받았어요. 배송 정말 빠르네요!,0,https://phinf.pstatic.net/checkout.phinf/20250716_186/1752652231192MeRQO_JPEG/1000089949.jpg?type=f300_300,선택1: 펌핑아이스285g 2개+칫솔1개,히말라야 핑크솔트 아이스민트 펌핑치약 285g 2개 + 특별증정(칫솔 1개)
5,5,25.07.20.,jhpa***,사용하기 펀하고 잘 닦여서 항상 사용하고 있는제품입니다.,0,https://phinf.pstatic.net/checkout.phinf/20250720_175/1752941729346V1bIb_JPEG/1000031582.jpg?type=f300_300,선택1: 펌핑아이스285g 2개+칫솔1개,히말라야 핑크솔트 아이스민트 펌핑치약 285g 2개 + 특별증정(칫솔 1개)
6,5,25.07.16.,kind****,세번째 구매예요 이것만 써요 좋아요,0,https://phinf.pstatic.net/checkout.phinf/20250716_72/1752640428714WSGFs_JPEG/image.jpg?type=f300_300,선택1: 펌핑아이스285g 2개+칫솔1개,히말라야 핑크솔트 아이스민트 펌핑치약 285g 2개 + 특별증정(칫솔 1개)
7,5,25.07.19.,song****,공간 많이 차지않고 사용이 편합니다,0,https://phinf.pstatic.net/checkout.phinf/20250719_58/1752903951144lMFcf_JPEG/1752903939642.jpg?type=f300_300,선택1: 펌핑아이스285g 2개+칫솔1개,히말라야 핑크솔트 아이스민트 펌핑치약 285g 2개 + 특별증정(칫솔 1개)
8,5,25.07.13.,myth******,보라랑 번갈아가면서 쓰는데 2인가구 꽤 오래 씁니다 요거쓰다가 일반 짜서 쓰는 치약은 못쓰겠어요,0,https://phinf.pstatic.net/checkout.phinf/20250713_183/1752407652873N5pKW_JPEG/1000031899.jpg?type=f300_300,선택1: 펌핑아이스285g 2개+칫솔1개,히말라야 핑크솔트 아이스민트 펌핑치약 285g 2개 + 특별증정(칫솔 1개)
9,5,25.07.19.,kong****,예전에 사용했는데 좋아서 다시 구매했어요,0,https://phinf.pstatic.net/checkout.phinf/20250719_293/1752931139608ti7AS_JPEG/image.jpg?type=f300_300,선택1: 펌핑아이스285g 2개+칫솔1개,히말라야 핑크솔트 아이스민트 펌핑치약 285g 2개 + 특별증정(칫솔 1개)
10,5,25.07.15.,5k****,좋아요 먀번 쓰는 제품이애요 원플원 구매하먄 좋음,0,https://phinf.pstatic.net/checkout.phinf/20250715_33/17525824025236lzij_JPEG/image.jpg?type=f300_300,선택1: 펌핑아이스285g 2개+칫솔1개,히말라야 핑크솔트 아이스민트 펌핑치약 285g 2개 + 특별증정(칫솔 1개)
