rank,rating,date,user,content,helpful_count,images,option_info,product_name
1,5,25.07.17.,j7****,잘 닦이는것 같아요~항상 쟁여놓고 쓰고있습니다!!,0,https://phinf.pstatic.net/checkout.phinf/20250717_48/1752720922102ce7KU_JPEG/20250717_084758.jpg?type=f300_300,선택1: 펌핑바이옴치약285g 2개+칫솔 1개,히말라야 핑크솔트 바이옴 펌핑치약 285g 2개 + 특별증정(칫솔 1개)
2,5,25.07.18.,kms1*****,"또 재구매합니다~ 
아이들은 이것만 사용하네요.",0,https://phinf.pstatic.net/checkout.phinf/20250718_82/1752798950325LDy6y_JPEG/1000004574.jpg?type=f300_300,선택1: 펌핑바이옴치약285g 2개+칫솔 1개,히말라야 핑크솔트 바이옴 펌핑치약 285g 2개 + 특별증정(칫솔 1개)
3,5,25.06.20.,eunf*****,일반치약과 달리 펌핑타입이라서 편하게 사용하기 좋아요. 일반치약은 가운데부터 짜서쓰는 습관이 있어서 말끔히 사용하기 쉽지 않은데 펌핑이라서 편하고 맵지않아서 아이들과 사용하기 좋아요.,0,https://phinf.pstatic.net/checkout.phinf/20250620_277/1750419276986pQgu1_JPEG/1000016033.jpg?type=f300_300,선택1: 펌핑바이옴치약285g 2개+칫솔 1개,히말라야 핑크솔트 바이옴 펌핑치약 285g 2개 + 특별증정(칫솔 1개)
4,3,25.07.10.,ssss*****,좋아요 좋아요 좋아요 좋아요 좋아요 좋아요 좋아요 좋아요 좋아요 좋아요 😆 😀 👍 😄 😍 😁 😆,0,https://phinf.pstatic.net/checkout.phinf/20250710_5/1752134494269bjWKU_JPEG/tmp_101579459415546992.jpg?type=f300_300,선택1: 펌핑바이옴치약285g 2개+칫솔 1개,히말라야 핑크솔트 바이옴 펌핑치약 285g 2개 + 특별증정(칫솔 1개)
5,5,25.06.26.,hayo******,"아이들이 할머니댁가서 요걸로 써보더니
이 치약으로 주문해달래서 주문했는데
총알배송으로 받았네요!!
배송도 빠르고 좋아요^^",0,https://phinf.pstatic.net/checkout.phinf/20250626_207/1750905984148p5wgz_JPEG/17509059650182728601611256536958.jpg?type=f300_300,선택1: 펌핑바이옴치약285g 2개+칫솔 1개,히말라야 핑크솔트 바이옴 펌핑치약 285g 2개 + 특별증정(칫솔 1개)
6,5,25.06.19.,blue****,"배송 빨랐고 꼭 쿠팡 로켓쇼핑처럼 가격은 조금 비싸고 배송은 삐르고 그렇네요~^^;
근데 포장이 뽁뽁이를 넘  아끼셔서 ㅋ 
띨랑 한장으로 위에 덮혀 있더라구여~
모징77? 했네요 ^^;",0,https://phinf.pstatic.net/checkout.phinf/20250619_68/17503252196470hYh8_JPEG/IMG_1868.jpeg?type=f300_300,선택1: 펌핑바이옴치약285g 2개+칫솔 1개,히말라야 핑크솔트 바이옴 펌핑치약 285g 2개 + 특별증정(칫솔 1개)
7,5,25.07.05.,qogk****,히말라야 펌핑치약 욕실에서 너무 깔끔하고 향도 인위적이지 않아 더 좋아요 :),0,https://phinf.pstatic.net/checkout.phinf/20250705_163/1751696606881uBLem_JPEG/1000014354.jpg?type=f300_300,선택1: 펌핑바이옴치약285g 2개+칫솔 1개,히말라야 핑크솔트 바이옴 펌핑치약 285g 2개 + 특별증정(칫솔 1개)
8,5,25.07.13.,sssh****,"만족합니다.
감사합니다.",0,https://phinf.pstatic.net/checkout.phinf/20250713_95/1752412099571JReko_JPEG/image.jpg?type=f300_300,선택1: 펌핑바이옴치약285g 2개+칫솔 1개,히말라야 핑크솔트 바이옴 펌핑치약 285g 2개 + 특별증정(칫솔 1개)
9,5,25.07.12.,th****,잘사용중입니다 편하고 쓰기좋아요,0,https://phinf.pstatic.net/checkout.phinf/20250712_88/1752296206839NIpKS_JPEG/image.jpg?type=f300_300,선택1: 펌핑바이옴치약285g 2개+칫솔 1개,히말라야 핑크솔트 바이옴 펌핑치약 285g 2개 + 특별증정(칫솔 1개)
10,5,25.07.10.,09yo******,펜션에서 이치약있었는데 좋았어서 집와서 주문해요,0,https://phinf.pstatic.net/checkout.phinf/20250710_184/1752130394387ipKz7_JPEG/1752130385729.jpg?type=f300_300,선택1: 펌핑바이옴치약285g 2개+칫솔 1개,히말라야 핑크솔트 바이옴 펌핑치약 285g 2개 + 특별증정(칫솔 1개)
