rank,rating,date,user,content,helpful_count,images,option_info,product_name
1,5,25.07.20.,twin******,싱크대가 막혀서 사봤어요 탈수기가 있는데 사용하지말라구ㅠ 모르고샀네요 그래도 안에가 꽉막힌 느낌이라 사용해봅니다,0,https://phinf.pstatic.net/checkout.phinf/20250720_118/1752988075032BcSrr_JPEG/17529880602782912094523090412832.jpg?type=f300_300,선택: 맥스 싱크대 배수관 클리너 x 2 + 증정,홈스타 맥스 싱크대 배수관 클리너 2개 + 특별증정( 바르는 곰팡이 싹 120ml)
2,5,25.07.20.,twin******,배송완전 빨라요 싱크대 세면대 배수관 냄새덜나고 뻥뚫리길 바라는마음으로 구입했네요,0,https://phinf.pstatic.net/checkout.phinf/20250720_241/1752988166373c3sh5_JPEG/17529881588587255528732057059459.jpg?type=f300_300,선택: 맥스 세면대 배수관 클리너 x 2 + 증정,홈스타 맥스 싱크대 배수관 클리너 2개 + 특별증정( 바르는 곰팡이 싹 120ml)
3,5,25.07.15.,rodu***,싱크대는 안해보고 우선 화장실 세면대에 해봤는데 지금 물이 잘 내려가서 좋아요! 효과가 얼마나 갈지는 좀 더 봐야할것 같아요!,0,https://phinf.pstatic.net/checkout.phinf/20250715_142/17525427210918qHfO_JPEG/IMG_5984.jpeg?type=f300_300,선택: 맥스 싱크대 배수관 클리너 x 2 + 증정,홈스타 맥스 싱크대 배수관 클리너 2개 + 특별증정( 바르는 곰팡이 싹 120ml)
4,4,25.06.18.,yaga*******,두셋트가 들어잇는데 청소할때마다 한세트를 사용 하는거엿어요 저는 발포세정제 인줄 알고 주문했는데;; 제실수죠 ㅋㅋ 하지만 붓고 두시간 기다리니 깔끔해졋어요 평소에는 과탄산소다에 뜨거운 물부어서 사용햣는데 그렇게 하니까 플라스틱 소재 하수구?에 금이 가서 워험해보여 이걸로 햇어여 근대 금액이 좀 쎄서 재 사영 할지는 모르겟네여;;,1,https://phinf.pstatic.net/checkout.phinf/20250618_218/1750212572332VKR7I_JPEG/IMG_4858.jpeg?type=f300_300,선택: 맥스 싱크대 배수관 클리너 x 2 + 증정,홈스타 맥스 싱크대 배수관 클리너 2개 + 특별증정( 바르는 곰팡이 싹 120ml)
5,5,25.07.09.,sp****,마트에서 구매해보고 사용하기도 쉽고 효과는 눈에 띄는건 없지만 그래도 믿고  ..여름이라 자주 해보려고 구매했어요 사은품도 유명한거라서 좋네요ㅎㅎ,0,https://phinf.pstatic.net/checkout.phinf/20250709_283/17520588909964bdmg_JPEG/1000020943.jpg?type=f300_300,선택: 맥스 싱크대 배수관 클리너 x 2 + 증정,홈스타 맥스 싱크대 배수관 클리너 2개 + 특별증정( 바르는 곰팡이 싹 120ml)
6,4,25.07.10.,se****,"붓기만 하면 묵은때 악취제거라기에 사용해 봤어요.
청소에 도움이 됩니다.",0,https://phinf.pstatic.net/checkout.phinf/20250710_239/1752102074182xEw2u_JPEG/1000008908.jpg?type=f300_300,선택: 맥스 퍼펙트 변기 클리너 x 2 + 증정,홈스타 맥스 싱크대 배수관 클리너 2개 + 특별증정( 바르는 곰팡이 싹 120ml)
7,5,25.07.16.,an82***,예전에 주믄해서 사용해봤는데 상당히 만족했던 제품이고 증정품도 잘 왔어요.,0,https://phinf.pstatic.net/checkout.phinf/20250716_44/1752642903170Qm30T_JPEG/tmp_6124857689893134224.jpg?type=f300_300,선택: 맥스 싱크대 배수관 클리너 x 2 + 증정,홈스타 맥스 싱크대 배수관 클리너 2개 + 특별증정( 바르는 곰팡이 싹 120ml)
8,5,25.07.15.,b4****,확실히 깨끗해지긴하네요! 주기적으로 가끔 한번씩 구매해서 청소할게요.,0,https://phinf.pstatic.net/checkout.phinf/20250715_252/1752575068580VaPT3_JPEG/1000030913.jpg?type=f300_300,선택: 맥스 싱크대 배수관 클리너 x 2 + 증정,홈스타 맥스 싱크대 배수관 클리너 2개 + 특별증정( 바르는 곰팡이 싹 120ml)
9,5,25.07.12.,ph****,"오우
효과짱이네요
씽크하수구속이환해졌어요
한번했는데깨끗하게청소되어재구매했어요",0,https://phinf.pstatic.net/checkout.phinf/20250712_220/17522674581599pbzH_JPEG/1000014779.jpg?type=f300_300,선택: 맥스 싱크대 배수관 클리너 x 2 + 증정,홈스타 맥스 싱크대 배수관 클리너 2개 + 특별증정( 바르는 곰팡이 싹 120ml)
10,5,25.07.11.,jnk1***,"냄새가 나서 써보려고 샀어요
효과가 좋았으면 좋겠네요",0,https://phinf.pstatic.net/checkout.phinf/20250711_35/17522229717496Plp8_JPEG/20250708_090657.jpg?type=f300_300,선택: 맥스 퍼펙트 변기 클리너 x 2 + 증정,홈스타 맥스 싱크대 배수관 클리너 2개 + 특별증정( 바르는 곰팡이 싹 120ml)
