rank,rating,date,user,content,helpful_count,images,option_info,product_name
1,5,25.07.13.,juyo*******,향이 너무 좋아서 주문 했답니다~건조기 넣기전에 향이 너무 좋아요~^^,0,https://phinf.pstatic.net/image.nmv/shopnbuyer_2025_07_13_340/Vtdpz8Ij8O_03.jpg?type=ffn300_300,옵션: 연꽃 1.6L 리필 4개+모락셀라허브5입,샤프란 꽃담초 연꽃 실내건조 섬유유연제 리필 1.6L 4개+특별증정 (모락셀라 냄새제거부스터 허브향 5입)
2,3,25.07.18.,park*****,"배송빠르고
향기맘에들어요
고농축이라  더좋아요",0,https://phinf.pstatic.net/checkout.phinf/20250718_142/1752819231086WpwAA_JPEG/1752819215099.jpg?type=f300_300,옵션: 연꽃 1.6L 리필 4개+모락셀라허브5입,샤프란 꽃담초 연꽃 실내건조 섬유유연제 리필 1.6L 4개+특별증정 (모락셀라 냄새제거부스터 허브향 5입)
3,5,25.07.19.,ap****,"배송잘받았어요
배송도 빠르고 포장도좋도 담에또구입할게요",0,https://phinf.pstatic.net/checkout.phinf/20250719_99/1752923421882AK2vr_JPEG/1000027198.jpg?type=f300_300,옵션: 연꽃 1.6L 리필 4개+모락셀라허브5입,샤프란 꽃담초 연꽃 실내건조 섬유유연제 리필 1.6L 4개+특별증정 (모락셀라 냄새제거부스터 허브향 5입)
4,5,25.07.19.,spri*****,향이 은은하니  너무 만족해요 배송도 엄청 빠르구요,0,https://phinf.pstatic.net/checkout.phinf/20250719_219/1752929334683Gy1Jj_JPEG/1752929322204.jpg?type=f300_300,옵션: 연꽃 1.6L 리필 4개+모락셀라허브5입,샤프란 꽃담초 연꽃 실내건조 섬유유연제 리필 1.6L 4개+특별증정 (모락셀라 냄새제거부스터 허브향 5입)
5,5,25.07.13.,lbab*******,다른 유연제 쓰다가 예전에 좋았던게 생각나서 샀어요! 향 좋아요,0,https://phinf.pstatic.net/checkout.phinf/20250713_42/1752388725951mp8vn_JPEG/1752388707424.jpg?type=f300_300,옵션: 연꽃 1.6L 리필 4개+모락셀라허브5입,샤프란 꽃담초 연꽃 실내건조 섬유유연제 리필 1.6L 4개+특별증정 (모락셀라 냄새제거부스터 허브향 5입)
6,5,25.07.07.,muse****,"요즘 마트에서 구하기가 너무 어려워져서
검색중였는데 강세일에 떠서 재빨리 주문했어요.
어제 저녁에 주문했는데 오늘 낮에 배송되었어요.
쟁여두기 잘 안하는데 이건 4개나 구매했어요.",0,https://phinf.pstatic.net/checkout.phinf/20250707_276/1751864372043cjtQp_JPEG/1000039737.jpg?type=f300_300,옵션: 연꽃 1.6L 리필 4개+모락셀라허브5입,샤프란 꽃담초 연꽃 실내건조 섬유유연제 리필 1.6L 4개+특별증정 (모락셀라 냄새제거부스터 허브향 5입)
7,5,25.07.16.,gkst*****,꿉꿉한 날에 쓰려고 구매했어요! 건조 후 은은한향이 좋아요,0,https://phinf.pstatic.net/checkout.phinf/20250716_116/1752629179559Ha6m4_JPEG/1000011671.jpg?type=f300_300,옵션: 연꽃 1.6L 리필 4개+모락셀라허브5입,샤프란 꽃담초 연꽃 실내건조 섬유유연제 리필 1.6L 4개+특별증정 (모락셀라 냄새제거부스터 허브향 5입)
8,5,25.07.16.,stop*****,배송빨라요 터진골 없이 잘 욌어요냄새는 호블허 타겠으나 난 좋아,0,https://phinf.pstatic.net/checkout.phinf/20250716_128/1752660027587uTe5j_JPEG/IMG_8659.jpeg?type=f300_300,옵션: 연꽃 1.6L 리필 4개+모락셀라허브5입,샤프란 꽃담초 연꽃 실내건조 섬유유연제 리필 1.6L 4개+특별증정 (모락셀라 냄새제거부스터 허브향 5입)
9,5,25.07.09.,osun*****,꿉꿉한 냄새 잡고 뽀송뽀송 빨래건조엔 꽃담초가 최고인것같아요 향기도 좋아요,0,https://phinf.pstatic.net/checkout.phinf/20250709_36/1752059667475LUwiH_JPEG/1752059655154.jpg?type=f300_300,옵션: 연꽃 1.6L 리필 4개+모락셀라허브5입,샤프란 꽃담초 연꽃 실내건조 섬유유연제 리필 1.6L 4개+특별증정 (모락셀라 냄새제거부스터 허브향 5입)
10,5,25.07.10.,gks0***,재구매해서 잘 사용하고있어요 은은한 향기가좋아 이것만 쓰고있고 사은품주신거도 좋아요 안써본제품도 샘플로 써보고 좋으면 또 쓰게 되니까 감사해요^^,0,https://phinf.pstatic.net/checkout.phinf/20250710_168/1752110724145jwGwi_JPEG/1752110680965.jpg?type=f300_300,옵션: 연꽃 1.6L 리필 4개+모락셀라허브5입,샤프란 꽃담초 연꽃 실내건조 섬유유연제 리필 1.6L 4개+특별증정 (모락셀라 냄새제거부스터 허브향 5입)
