rank,rating,date,user,content,helpful_count,images,option_info,product_name
1,5,25.06.05.,s2****,6입짜리인데 4개나 구매했어요 그만큼 좋다는 거죠! 칫솔이 너무 뻣뻣하면 양치하고나서 잇몸이 자주 부어 오르는데 엘지생활건강 죽염 잇몸전문칫솔은 그런 불편함이 전혀 없어서 꾸준히 쓰고 있는 제품입니다^^* 공식 스토어라 가격도 적당하고 믿을 수 있었고 잇몸이 부어 오르지도 않고 양치도 편한하게 할 수 있어 아주 만족입니다 네이버 플러스 스토어 앱도 이거 사느라 처음 앱 설치했는데 그래서 그런가 배송도 빠르게 왔어요 제조일자도 올해초네요 짱임 감사해요 잘 쓸게요🐰👋,1,https://phinf.pstatic.net/checkout.phinf/20250605_252/1749103050848fyQaS_JPEG/1000007877.jpg?type=f300_300,옵션: 죽염 초극세모 잇몸 전문칫솔 6입,죽염 초극세모 잇몸 전문칫솔 6입 1개
2,5,25.07.11.,dlgh******,솔이 부드럽고 개운해서 좋아요.,0,https://phinf.pstatic.net/image.nmv/shopnbuyer_2025_07_11_1955/g0WLK1cRRE_03.jpg?type=ffn300_300,옵션: 죽염 초극세모 잇몸 전문칫솔 6입,죽염 초극세모 잇몸 전문칫솔 6입 1개
3,5,25.07.12.,kjj9***,배송도 빠르고 잘 받았어요.칫솔 좋습니다,0,https://phinf.pstatic.net/checkout.phinf/20250712_270/1752279925211wOBNY_JPEG/1752279905854.jpg?type=f300_300,옵션: 죽염 초극세모 잇몸 전문칫솔 6입,죽염 초극세모 잇몸 전문칫솔 6입 1개
4,4,25.07.03.,maxm*****,"배송도 빠르고
포장도 존네여
잘쓰고 리뷰할게여",0,https://phinf.pstatic.net/checkout.phinf/20250703_109/1751549841807mTDXR_JPEG/1000039044.jpg?type=f300_300,옵션: 죽염 초극세모 잇몸 전문칫솔 6입,죽염 초극세모 잇몸 전문칫솔 6입 1개
5,5,25.07.06.,ysse***,"몇년째 이 칫솔만 쓰고있네요!
색상도 3가지라서 가족끼리 구분해서
쓰기 편합니다",0,https://phinf.pstatic.net/checkout.phinf/20250706_118/1751798508099CBPJG_JPEG/1751798497616.jpg?type=f300_300,옵션: 죽염 초극세모 잇몸 전문칫솔 6입,죽염 초극세모 잇몸 전문칫솔 6입 1개
6,5,25.07.16.,khc4***,칫솔감이 아주 좋습니다.,0,https://phinf.pstatic.net/checkout.phinf/20250716_261/1752669853014qDnc1_JPEG/1752669841760.jpg?type=f300_300,옵션: 죽염 초극세모 잇몸 전문칫솔 6입,죽염 초극세모 잇몸 전문칫솔 6입 1개
7,5,25.06.25.,nmk4***,맨날 쓰는 칫솔 뒷면에 혓바닥 닦는것도 있어서 너무 좋구요 이 칫솔 아니면 이빨을 닦은 느낌이 안들어요,0,https://phinf.pstatic.net/checkout.phinf/20250625_129/1750837145586jjsYc_JPEG/image.jpg?type=f300_300,옵션: 죽염 초극세모 잇몸 전문칫솔 6입,죽염 초극세모 잇몸 전문칫솔 6입 1개
8,5,25.06.26.,sw****,"남편이 잇몸에서 피가 많이났었는데
이거쓰고 안나서 항상 이제품써요! 
좀비싸지만 좋습니다",0,https://phinf.pstatic.net/checkout.phinf/20250626_208/1750944286434uKcyS_JPEG/image.jpg?type=f300_300,옵션: 죽염 초극세모 잇몸 전문칫솔 6입,죽염 초극세모 잇몸 전문칫솔 6입 1개
9,5,25.07.18.,hj****,잇몸에 좋다길래 구매했어용!! 부모님댁에 나눠쓰기 좋아요!,0,,옵션: 죽염 초극세모 잇몸 전문칫솔 6입,죽염 초극세모 잇몸 전문칫솔 6입 1개
10,5,25.07.03.,adh5****,"항상 쓰는 칫솔입니다
적당한 부드러움과 마찰력
다른건 못써요",0,https://phinf.pstatic.net/checkout.phinf/20250703_42/1751524827356HtJjl_JPEG/1751524805410.jpg?type=f300_300,옵션: 죽염 초극세모 잇몸 전문칫솔 6입,죽염 초극세모 잇몸 전문칫솔 6입 1개
