rank,rating,date,user,content,helpful_count,images,option_info,product_name
1,5,25.07.03.,jang****,칫솔 유목민이었는데 지금까지 쓰던거중에 제일 만족스러워요 페리오 칫솔 진짜 부드러웠던거 있는데 그건 단종인가봐요ㅠㅠ 그거 다음으로 적당히 부드럽고 적당히 힘있어서 쓰기 좋아요,0,https://phinf.pstatic.net/checkout.phinf/20250703_123/1751532272777kYV1t_JPEG/1000015618.jpg?type=f300_300,옵션: 초극세모 칫솔 5+5입,페리오 이지클리닉 초극세모 칫솔 5+5입(색상랜덤)
2,3,25.07.18.,suzi*****,빠른배송 좋습니다 사용 전입니다 미세모가 좋은 느낌은 아니네요.,0,https://phinf.pstatic.net/checkout.phinf/20250718_277/1752844929858afN9n_JPEG/1000014769.jpg?type=f300_300,옵션: 초극세모 칫솔 5+5입,페리오 이지클리닉 초극세모 칫솔 5+5입(색상랜덤)
3,5,25.06.13.,sg****,"첫째, 우리 가족에게 맞춤 치솔입니다. 신랑과 아들은 탄력모를 사용하고 딸과 저는 초극세모를 사용합니다
둘째, 양치를 할 때마다 개운함을 더해 줍니다. 그리고 치아도 더불어 건강해지는 듯합니다.
셋째, 가격이 많이 저렴합니다. 몇년째 이 제품을 사용하고 있는 데 만족도가 높습니다. 다음에도 계속 구입할 계획입니다.",1,https://phinf.pstatic.net/checkout.phinf/20250613_190/17497758113624Jbfk_JPEG/KakaoTalk_20250613_083647204.jpg?type=f300_300,옵션: 초극세모 칫솔 5+5입,페리오 이지클리닉 초극세모 칫솔 5+5입(색상랜덤)
4,5,25.07.21.,sh****,"저렴하게 잘 구입했습니다
아이들은 초극세모 쓰게하려구요",0,https://phinf.pstatic.net/checkout.phinf/20250721_118/1753057224992K2ELk_JPEG/1000005047.jpg?type=f300_300,옵션: 초극세모 칫솔 5+5입,페리오 이지클리닉 초극세모 칫솔 5+5입(색상랜덤)
5,5,25.07.09.,sshi***,배송빠르구요.. 페리오칫솔 항상사용하던거라 좋습니다,0,https://phinf.pstatic.net/checkout.phinf/20250709_110/1752042116018u44yV_JPEG/1000028440.jpg?type=f300_300,옵션: 초극세모 칫솔 5+5입,페리오 이지클리닉 초극세모 칫솔 5+5입(색상랜덤)
6,5,25.07.21.,taka*****,좋은 상품 잘 받았습니다.,0,https://phinf.pstatic.net/checkout.phinf/20250721_17/17530655020762cyms_JPEG/ECB998EC95BD.jpg?type=f300_300,옵션: 초극세모 칫솔 5+5입,페리오 이지클리닉 초극세모 칫솔 5+5입(색상랜덤)
7,5,25.07.10.,love****,쓰던거인데 디자인이 바뀌어서 한참 찾아다녓어요 ㅠㅠ,0,https://phinf.pstatic.net/checkout.phinf/20250710_193/1752152159882xKXQt_JPEG/1000024568.jpg?type=f300_300,옵션: 초극세모 칫솔 5+5입,페리오 이지클리닉 초극세모 칫솔 5+5입(색상랜덤)
8,5,25.07.12.,sonj*****,아이가 잘닦인다고 만족해요,0,https://phinf.pstatic.net/checkout.phinf/20250712_264/1752265831436ggK8H_JPEG/image.jpg?type=f300_300,옵션: 탄력모 칫솔 1입 10개,페리오 이지클리닉 초극세모 칫솔 5+5입(색상랜덤)
9,3,25.06.27.,kkas***,아직 사용전이라서 정확한 후기를 작성할 수가 없어요. 부드러웠으면 좋겠네요. 가성비는 좋아요.,0,https://phinf.pstatic.net/checkout.phinf/20250627_25/1751009490846z7uPu_JPEG/ECB998EC95BD20ECB9ABEC8694.jpg?type=f300_300,옵션: 초극세모 칫솔 5+5입,페리오 이지클리닉 초극세모 칫솔 5+5입(색상랜덤)
10,5,25.07.13.,jy****,기대됩니다 잘 사용할께요,0,https://phinf.pstatic.net/checkout.phinf/20250713_157/1752405020311o3e6K_JPEG/1000086064.jpg?type=f300_300,옵션: 초극세모 칫솔 5+5입,페리오 이지클리닉 초극세모 칫솔 5+5입(색상랜덤)
