rank,rating,date,user,content,helpful_count,images,option_info,product_name
1,5,25.06.30.,jylo********,"진짜~~ 너무 좋은 향기🌸🌸🌸
어디수 나는 향기냐고 물어봐요🤗
40매씩 포장되어있어요👍🏻
같은 향의 섬유탈취제라니?🙏🏻
넘 갖고 싶었어요🎶🥰🥰❤️❤️",0,https://phinf.pstatic.net/checkout.phinf/20250630_291/1751286045186G4qD6_JPEG/IMG_6472.jpeg?type=f300_300,옵션: 윌유메리미 120매+섬유향수,아우라 드라이 건조기시트 120매 1개(윌유메리미)+특별증정(아우라 섬유향수 윌유메리미 400ML 1개)
2,5,25.07.10.,hjun***,건조기시트 알아보다가 가격도 좋고 양도 많아 구입했어요 기존에 사용하던 브랜드라서 믿고 구매했어요 향도 좋고 다음엔 또 다른 향으로 구매 해 봐야 겠어요~,0,https://phinf.pstatic.net/checkout.phinf/20250710_91/1752115096064ycgMH_JPEG/20250707_112840.jpg?type=f300_300,옵션: 윌유메리미 120매+섬유향수,아우라 드라이 건조기시트 120매 1개(윌유메리미)+특별증정(아우라 섬유향수 윌유메리미 400ML 1개)
3,5,25.07.20.,luke*****,향이 오래가고 좋아요 중성적인 향으로 딱 좋아요,0,https://phinf.pstatic.net/checkout.phinf/20250720_65/1752993052545uMLAq_JPEG/IMG_5588.jpeg?type=f300_300,옵션: 스모키머스크 120매+섬유향수,아우라 드라이 건조기시트 120매 1개(윌유메리미)+특별증정(아우라 섬유향수 윌유메리미 400ML 1개)
4,5,25.07.17.,kiss******,향기가 좋아서 자주 사용합니다 :) 구성도 좋아요!,0,https://phinf.pstatic.net/checkout.phinf/20250717_170/1752711284222HE7ui_PNG/KakaoTalk_20250717_091420372.png?type=f300_300,옵션: 윌유메리미 120매+섬유향수,아우라 드라이 건조기시트 120매 1개(윌유메리미)+특별증정(아우라 섬유향수 윌유메리미 400ML 1개)
5,5,25.07.20.,pej9***,항상 쓰던거거에요 향이 젤좋아요,0,https://phinf.pstatic.net/checkout.phinf/20250720_196/17529798938390of3w_JPEG/1752979878365.jpg?type=f300_300,옵션: 윌유메리미 120매+섬유향수,아우라 드라이 건조기시트 120매 1개(윌유메리미)+특별증정(아우라 섬유향수 윌유메리미 400ML 1개)
6,5,25.07.15.,soop****,"항상 쓰는제품이에요
섬유유연제 안쓰고 건조시트를 쓰니 옷감도 향도 좋아지는것 같아요",0,https://phinf.pstatic.net/checkout.phinf/20250715_14/1752573810359ImRKx_JPEG/image.jpg?type=f300_300,옵션: 스윗만다린120매+섬유향수,아우라 드라이 건조기시트 120매 1개(윌유메리미)+특별증정(아우라 섬유향수 윌유메리미 400ML 1개)
7,5,25.07.08.,shkj*****,향 좋아서 다른 거 쓰다가도 다시 찾게됩니다. 다만 향 지속력은 약해요. 섬유 향수 잘 쓸게요.,0,https://phinf.pstatic.net/checkout.phinf/20250708_38/17519685826088hztn_JPEG/1000065832.jpg?type=f300_300,옵션: 윌유메리미 120매+섬유향수,아우라 드라이 건조기시트 120매 1개(윌유메리미)+특별증정(아우라 섬유향수 윌유메리미 400ML 1개)
8,5,25.07.15.,reli******,건조기 돌리고 쓰려고 샀어요. 하루만에 배송 와서 좋아요,0,https://phinf.pstatic.net/checkout.phinf/20250715_169/17525760838649asHc_JPEG/image.jpg?type=f300_300,옵션: 스모키머스크 120매+섬유향수,아우라 드라이 건조기시트 120매 1개(윌유메리미)+특별증정(아우라 섬유향수 윌유메리미 400ML 1개)
9,5,25.07.15.,jsa5***,건조기 30분 남았을때 넣어주니 향이 잔잔하게 남아있어요~예전에쓴 분홍색보다 노란색이 향이 훨좋네요ㅋ,0,https://phinf.pstatic.net/checkout.phinf/20250715_151/1752588696105vDf8I_JPEG/20250715_120546.jpg?type=f300_300,옵션: 윌유메리미 120매+섬유향수,아우라 드라이 건조기시트 120매 1개(윌유메리미)+특별증정(아우라 섬유향수 윌유메리미 400ML 1개)
10,5,25.07.17.,jina****,배송도 빠르고 향기가 좋아서 마음에 들어요^^,0,https://phinf.pstatic.net/checkout.phinf/20250717_44/1752717864670bQthH_JPEG/1000034027.jpg?type=f300_300,옵션: 윌유메리미 120매+섬유향수,아우라 드라이 건조기시트 120매 1개(윌유메리미)+특별증정(아우라 섬유향수 윌유메리미 400ML 1개)
