rank,rating,date,user,content,helpful_count,images,option_info,product_name
1,5,25.07.19.,bo****,여름철 빨래 쉰내 확실히 잡아줍니다. 액체 쓰다 너무 헤퍼서 가루로 주문해보았어요. 쟁겨놓고 쓰는 세제입니다,0,https://phinf.pstatic.net/checkout.phinf/20250719_211/17528531817284Jl0E_JPEG/1000042104.jpg?type=f300_300,옵션: 테크 특유취제거 분말 4KG 2개,테크 특유취 제거 가루세제 세탁세제 4KG 1개+1개
2,5,25.07.20.,just******,배송 빠르고 포장도 깔끔해요 ㅋㅋ 감사합니다 ㅎㅎ,0,https://phinf.pstatic.net/checkout.phinf/20250720_85/1753010638572Lm0cY_JPEG/20231205_074325.jpg?type=f300_300,옵션: 테크 특유취제거 분말 4KG 2개,테크 특유취 제거 가루세제 세탁세제 4KG 1개+1개
3,5,25.07.16.,kkss*****,믿고쓰는테크세제 세탁력은 말할것도없어요 넘좋은세제입니다.,0,https://phinf.pstatic.net/checkout.phinf/20250716_24/1752624777652rpdgh_JPEG/1000144051.jpg?type=f300_300,옵션: 테크 특유취제거 분말 4KG 2개,테크 특유취 제거 가루세제 세탁세제 4KG 1개+1개
4,5,25.07.18.,ejis*****,"한번에 몽땅 구입했어요
요즘 가루세제가 판매가 많이없네요
액체세제가 대세인가봅니다",0,https://phinf.pstatic.net/checkout.phinf/20250718_4/1752804026304w1KRf_JPEG/20250718_070933.jpg?type=f300_300,옵션: 테크 특유취제거 분말 4KG 2개,테크 특유취 제거 가루세제 세탁세제 4KG 1개+1개
5,5,25.07.18.,22****,배송 빨라요 좋아요,0,https://phinf.pstatic.net/checkout.phinf/20250718_215/1752839995265xpUxH_JPEG/1000008179.jpg?type=f300_300,옵션: 테크 특유취제거 분말 4KG 2개,테크 특유취 제거 가루세제 세탁세제 4KG 1개+1개
6,5,25.07.10.,hsm1***,"잘 받았어요
재구매 해서 쓰고 있어요",0,https://phinf.pstatic.net/checkout.phinf/20250710_12/1752149249593RPqCm_JPEG/1000019158.jpg?type=f300_300,옵션: 테크 특유취제거 분말 4KG 2개,테크 특유취 제거 가루세제 세탁세제 4KG 1개+1개
7,5,25.06.17.,caca*******,"특유취제거란게 뭔가 했는데 빨고나면  무슨 독특한 향이 있어요. 저는 특유취때문에 구매한건 아닌데 그냥 빨래잘되는거 고른건데요, 살짝 저의 취향은 아니예요;;;
아! 빨래는 깨끗하게 개운하게 됩니다만....",1,https://phinf.pstatic.net/checkout.phinf/20250617_73/17501220622257rna0_JPEG/tmp_6206886517913007019.jpg?type=f300_300,옵션: 테크 특유취제거 분말 4KG 2개,테크 특유취 제거 가루세제 세탁세제 4KG 1개+1개
8,5,25.07.19.,bigb*******,계속 재구매입니다~,0,https://phinf.pstatic.net/checkout.phinf/20250719_138/1752904465657chCjC_JPEG/1000003824.jpg?type=f300_300,옵션: 테크 특유취제거 분말 4KG 2개,테크 특유취 제거 가루세제 세탁세제 4KG 1개+1개
9,5,25.07.02.,blue****,항상 쓰는 제품이예요. 세정력 좋은거같아요.,0,https://phinf.pstatic.net/checkout.phinf/20250702_198/1751456892775DOC7q_JPEG/1751456874425.jpg?type=f300_300,옵션: 테크 특유취제거 분말 4KG 2개,테크 특유취 제거 가루세제 세탁세제 4KG 1개+1개
10,4,25.06.28.,inmy********,항상 사용하는 세제예요. 가격부담으로 액체에서 가루로 넘어왔습니다,0,https://phinf.pstatic.net/checkout.phinf/20250628_207/1751089588617tDJla_JPEG/20230829_184658.jpg?type=f300_300,옵션: 테크 특유취제거 분말 4KG 2개,테크 특유취 제거 가루세제 세탁세제 4KG 1개+1개
