rank,rating,date,user,content,helpful_count,images,option_info,product_name
1,5,25.07.16.,me_l****,항상 쓰믄거에요. 다른브랜드제품사고싶엇는데 액체형이 없더라구요~~세제는 고체보다 액체가 좋아요!!,0,https://phinf.pstatic.net/checkout.phinf/20250716_137/1752672243769t8XzI_JPEG/image.jpg?type=f300_300,옵션: 자연퐁 식기세척기전용 액체세제 1L 1+1개,자연퐁 스팀워시 식기세척기 전용 액체세제 1L 1+1개 식세기세제
2,5,25.07.09.,dngh*****,"항상쓰는 제품이에요
사용하기 편리해요
양조절 좋아요",0,https://phinf.pstatic.net/checkout.phinf/20250709_274/17520501153877pcx3_JPEG/1752050107077.jpg?type=f300_300,옵션: 자연퐁 식기세척기전용 액체세제 1L 1+1개,자연퐁 스팀워시 식기세척기 전용 액체세제 1L 1+1개 식세기세제
3,5,25.07.13.,pret*******,타블렛 사용하다 액체 써보니 용량 조절 가능해서 좋아요,0,https://phinf.pstatic.net/checkout.phinf/20250713_8/1752377983995aBkgw_JPEG/1752377960868.jpg?type=f300_300,옵션: 자연퐁 식기세척기전용 액체세제 1L 1+1개,자연퐁 스팀워시 식기세척기 전용 액체세제 1L 1+1개 식세기세제
4,5,25.07.19.,tomb********,예전에 구입한적 있어 또 구입해요,0,https://phinf.pstatic.net/checkout.phinf/20250719_52/1752931058243cjfbs_JPEG/IMG_9373.jpeg?type=f300_300,옵션: 자연퐁 식기세척기전용 액체세제 1L 1+1개,자연퐁 스팀워시 식기세척기 전용 액체세제 1L 1+1개 식세기세제
5,5,25.07.09.,dngh*****,"항상쓰는 제품입니다
사용하기 편리하고 양조절도 쉽고
양도 많아서 좋습니다",0,https://phinf.pstatic.net/checkout.phinf/20250709_250/17520491115797Q9AA_JPEG/1752049097407.jpg?type=f300_300,옵션: 자연퐁 식기세척기전용 액체세제 1L 1+1개,자연퐁 스팀워시 식기세척기 전용 액체세제 1L 1+1개 식세기세제
6,5,25.07.08.,fran*****,여러가지 써봤는데 자연퐁으로 정착했어요. 세정력좋아앋,0,https://phinf.pstatic.net/checkout.phinf/20250708_8/1751936607681nEvTI_JPEG/1751936590301.jpg?type=f300_300,옵션: 자연퐁 식기세척기전용 액체세제 1L 1+1개,자연퐁 스팀워시 식기세척기 전용 액체세제 1L 1+1개 식세기세제
7,4,25.07.06.,happ*****,"세정력이 좋다는 후기를 보고 궁금해서 사보았습니다. 너무 묽은 타입이 아니고 정확한 젤타입이라 그 점도 좋았고,, 냄새는 호불호가 있을 것 같긴한데,, 저는 괜찮다는 쪽입니다~~ 
세제 양도 많은 것 같구,, 세제통 입구가 좁아서,, 식기 세척기 세제통에 정확하게 조준해서 넣을 수 있는 것 같아요~~ 만족스럽습니다~~",0,,옵션: 자연퐁 식기세척기전용 액체세제 1L 1+1개,자연퐁 스팀워시 식기세척기 전용 액체세제 1L 1+1개 식세기세제
8,4,25.07.14.,yata******,타블렛형보다 액체용이 좋아 사용합니다,0,https://phinf.pstatic.net/checkout.phinf/20250714_106/1752463615935BGT1U_JPEG/1000038055.jpg?type=f300_300,옵션: 자연퐁 식기세척기전용 액체세제 1L 1+1개,자연퐁 스팀워시 식기세척기 전용 액체세제 1L 1+1개 식세기세제
9,5,25.07.06.,noth*****,고체 세제는 잘라서 사용해야해서 가루 날리고해서 액체세제로 바꿔보려 합니다,0,https://phinf.pstatic.net/checkout.phinf/20250706_131/1751777325948ikILF_JPEG/1000012654.jpg?type=f300_300,옵션: 자연퐁 식기세척기전용 액체세제 1L 1+1개,자연퐁 스팀워시 식기세척기 전용 액체세제 1L 1+1개 식세기세제
10,3,25.06.26.,dhtj*****,"고체만쓰다
이웃이알려줌
이것도나쁘진않네요
아직까진
쏘쏘

괜찮네요

번창하시길바래요
꾸버덕",0,https://phinf.pstatic.net/checkout.phinf/20250626_229/1750932217217KhmRf_JPEG/1750932201353.jpg?type=f300_300,옵션: 자연퐁 식기세척기전용 액체세제 1L 1+1개,자연퐁 스팀워시 식기세척기 전용 액체세제 1L 1+1개 식세기세제
