rank,rating,date,user,content,helpful_count,images,option_info,product_name
1,5,25.07.17.,kmh5*****,다른칫솔 쓰다가 바꿔봤어요 좋음 또 구매할께요,0,https://phinf.pstatic.net/checkout.phinf/20250717_164/1752709451865uGu3R_JPEG/20250717_082441.jpg?type=f300_300,선택1: 힘있는 미세모 4입 1+1개,페리오 토탈7 힘있는 미세모 칫솔 4입 1+1개
2,5,25.07.13.,00so****,"칫솔모도 탄력있는 미세모라서 잘닦이네요
가성기도 좋고 만족합니다^^",0,https://phinf.pstatic.net/checkout.phinf/20250713_161/1752396111916j2exR_JPEG/1000018875.jpg?type=f300_300,선택1: 힘있는 미세모 4입 1+1개,페리오 토탈7 힘있는 미세모 칫솔 4입 1+1개
3,5,25.07.08.,kd****,"요런 솔모양의 칫솔 처음 써보는데 아주 좋네요.
신랑도 맘에 들어합니다~",0,https://phinf.pstatic.net/checkout.phinf/20250708_10/1751974431247nLUev_JPEG/1000022057.jpg?type=f300_300,선택1: 힘있는 미세모 4입 1+1개,페리오 토탈7 힘있는 미세모 칫솔 4입 1+1개
4,5,25.07.19.,ka****,"금요일 밤 주문 토요일 도착
배송 완전 빨라용",0,https://phinf.pstatic.net/checkout.phinf/20250719_221/1752910929669g6HBw_JPEG/IMG_0541.jpeg?type=f300_300,선택1: 힘있는 미세모 4입 1+1개,페리오 토탈7 힘있는 미세모 칫솔 4입 1+1개
5,5,25.07.09.,oodo***,재구매 합니다. 녹차랑 같이 주문하는데 다음에도 또 구매할께요.,0,https://phinf.pstatic.net/checkout.phinf/20250709_264/1752021294768yzhHo_JPEG/1000037637.jpg?type=f300_300,선택1: 힘있는 미세모 4입 1+1개,페리오 토탈7 힘있는 미세모 칫솔 4입 1+1개
6,5,25.07.05.,viva******,"온가족이 쓰는 칫솔입니다
참조아요~~",0,https://phinf.pstatic.net/image.nmv/shopnbuyer_2025_07_05_665/nh4oT1khdZ_03.jpg?type=ffn300_300,선택1: 힘있는 미세모 4입 1+1개,페리오 토탈7 힘있는 미세모 칫솔 4입 1+1개
7,5,25.07.09.,oodo***,재구매합니다. 사용해보니 좋더라구요.,0,https://phinf.pstatic.net/checkout.phinf/20250709_74/1752021229717BUb1E_JPEG/1000037637.jpg?type=f300_300,선택1: 부드러운 미세모 4입 1+1개,페리오 토탈7 힘있는 미세모 칫솔 4입 1+1개
8,5,25.07.15.,dydw****,잘받았습니다 잘쓸게요,0,https://phinf.pstatic.net/checkout.phinf/20250715_214/1752571935537f9x7g_JPEG/17525719285301964115886339012969.jpg?type=f300_300,선택1: 힘있는 미세모 4입 1+1개,페리오 토탈7 힘있는 미세모 칫솔 4입 1+1개
9,5,25.07.11.,kkdy***,좋아요 매번 쟁여놓고 써요,0,https://phinf.pstatic.net/checkout.phinf/20250711_180/1752201917757DejTP_JPEG/IMG_3278.jpeg?type=f300_300,선택1: 부드러운 미세모 4입 1+1개,페리오 토탈7 힘있는 미세모 칫솔 4입 1+1개
10,5,25.06.03.,dwf1****,이 전에는 페리오를 구입하다 2080 으로 갈아탔는데 페리오 치약이 괜찮아서 칫솔도 바꿨어요 다른 칫솔보다 힘이 있을 것 같네요 마니 파세요,0,https://phinf.pstatic.net/image.nmv/shopnbuyer_2025_06_03_2169/IYCkJYBSOg_03.jpg?type=ffn300_300,선택1: 힘있는 미세모 4입 1+1개,페리오 토탈7 힘있는 미세모 칫솔 4입 1+1개
