rank,rating,date,user,content,helpful_count,images,option_info,product_name
1,5,25.07.06.,moon****,세탁된 빨래를 건조기에 넣고 그 위에 건조기시트를 살포시 2개 얹어 돌린답니다. 주름이 잘 펴지고 향도 아주 좋아요.,0,https://phinf.pstatic.net/checkout.phinf/20250706_265/1751794614827UtNfL_JPEG/image.jpg?type=f300_300,선택: 아우라 드라이시트 매그놀리아 40매 x3개,아우라 드라이 건조기시트 40매 3개(매그놀리아)
2,5,25.07.03.,zin_***,빠르게 잘 받았습니다.,0,https://phinf.pstatic.net/checkout.phinf/20250703_219/17515380721533rrCb_JPEG/1000147602.jpg?type=f300_300,선택: 아우라 드라이시트 매그놀리아 40매 x3개,아우라 드라이 건조기시트 40매 3개(매그놀리아)
3,5,25.07.10.,miz1***,"배송 빠르고 
좋은 제품 할인받아 잘 샀어요
두고두고 잘. 쓸께요",0,https://phinf.pstatic.net/checkout.phinf/20250710_92/175215177364258bVP_JPEG/1752151749347.jpg?type=f300_300,선택: 아우라 드라이시트 매그놀리아 40매 x3개,아우라 드라이 건조기시트 40매 3개(매그놀리아)
4,5,25.07.02.,tjdg******,향도 좋고ㅎㅎㅎ 타사 제품은 건조기 필터에 이물을 남기면서 끈적거림이 있는데 끈적거림도 없이 만족합니다~,0,https://phinf.pstatic.net/checkout.phinf/20250702_139/1751465324797H1Jg8_JPEG/IMG_7510.jpeg?type=f300_300,선택: 아우라 드라이시트 매그놀리아 40매 x3개,아우라 드라이 건조기시트 40매 3개(매그놀리아)
5,5,25.06.24.,jjun****,"향좋아요~~ 재꾸매로 꾸준히 사용중입니다. 
빠른배송도 너무 만족하구요",0,https://phinf.pstatic.net/checkout.phinf/20250624_84/1750764804313OLF9O_JPEG/image.jpg?type=f300_300,선택: 아우라 드라이시트 매그놀리아 40매 x3개,아우라 드라이 건조기시트 40매 3개(매그놀리아)
6,5,25.07.21.,bt****,아우라 섬유유연제를 사용하면서 같은 제품인 건조기 시트도 함께 사용합니다 향도 좋아서 지속적으로 구매해서 사용중입니다.,0,,선택: 아우라 드라이시트 매그놀리아 40매 x3개,아우라 드라이 건조기시트 40매 3개(매그놀리아)
7,5,25.07.07.,35****,"배송빠릅니다 
향 강하지 않아서 좋아요",0,https://phinf.pstatic.net/checkout.phinf/20250707_274/1751887384362sCApc_JPEG/1751887337686.jpg?type=f300_300,선택: 아우라 드라이시트 매그놀리아 40매 x3개,아우라 드라이 건조기시트 40매 3개(매그놀리아)
8,5,25.07.08.,sm77*****,향이 좋아 건조기에서 자주사용합니다,0,https://phinf.pstatic.net/checkout.phinf/20250708_159/17519704124298DtMk_JPEG/image.jpg?type=f300_300,선택: 아우라 드라이시트 매그놀리아 40매 x3개,아우라 드라이 건조기시트 40매 3개(매그놀리아)
9,5,25.06.26.,yuri***,향 진하고 오래가서 너무좋아요 건조기 필수템,0,https://phinf.pstatic.net/checkout.phinf/20250626_221/1750898040752RXfL7_JPEG/image.jpg?type=f300_300,선택: 아우라 드라이시트 매그놀리아 40매 x3개,아우라 드라이 건조기시트 40매 3개(매그놀리아)
10,5,25.06.30.,oa92****,향이좋네요 재구매의사있습니다,0,https://phinf.pstatic.net/checkout.phinf/20250630_246/1751261671770goAO6_JPEG/1751261649093.jpg?type=f300_300,선택: 아우라 드라이시트 스윗만다린 40매 x3개,아우라 드라이 건조기시트 40매 3개(매그놀리아)
