rank,rating,date,user,content,helpful_count,images,option_info,product_name
1,5,25.05.25.,stni*****,"미장셴 쓰다가 다 써서 임시로 명절선물세트에 있던 샴푸린스를 며칠 썼어요 근데 어찌나 뻑뻑하고 푸석해지던지 깜짝 놀랐어요 머릿결도 그렇고 스타일링도  너무 안 좋길래 바로 구매했어요 사실 엘라스틴을 인지하고 산 건 아닌데 대용량에 익숙한 브랜드, 다음날 배송이라서 구매한 거예요 예전에 엘라스틴 많이 사용했는데 한 제품만 쓰다보면 다른 거 써보고 싶어서 바꾸기도 하잖아요 꽤 오래 쓰다가 머릿결 고민이 있어서 미장셴으로 바꿨는데 만족하고 그것도 오래 썼어요 
아! 결론은 엘라스틴 너무 마음에 들어요 명절선물용이 너무 안 맞아서 스트레스 받다가 바꿔서 더 드라마틱 한 것 같긴하지만 어제 사용했어요 감을 때는 잘 모르는데 말리면서 부드러워진 게 느껴져요 드라이하고 빗질할 때 기분이 좋아지더라고요 대용량이라 오래 걱정없이 지낼 수 있을 것 같아요",0,https://phinf.pstatic.net/checkout.phinf/20250525_128/1748143119839aPMMF_JPEG/IMG_1484.jpeg?type=f300_300,옵션: 고영양샴푸 1개+트리트먼트 1개머릿결개선아주 좋아요,약산성 단백질 손상모케어 고영양_엘라스틴 프로틴클리닉 샴푸1000ml 1개+트리트먼트 700ml 1개
2,5,25.07.04.,ejzz*****,"두피샴푸를 주로 사용했었는데 푸석해질수있단말에 바꿔봤어요 그런데..
완전좋습니다..이제품에 정착할것같아용
쫀쫀하고, 머리에 윤기를 더해줍니다. 
타샴푸후 비교시 확연하게 느껴져요..",0,https://phinf.pstatic.net/checkout.phinf/20250704_253/1751584202256IRLa3_JPEG/image.jpg?type=f300_300,옵션: 고영양샴푸 1개+트리트먼트 1개헤어지성윤기 부족머릿결개선아주 좋아요,약산성 단백질 손상모케어 고영양_엘라스틴 프로틴클리닉 샴푸1000ml 1개+트리트먼트 700ml 1개
3,5,25.07.09.,bbbb******,너무좋내요재구매의향있습ㅋ니다삶의질이올라가요꼭구매하새요굳굳입니다아주,0,https://phinf.pstatic.net/checkout.phinf/20250709_264/1752029668093nCApn_JPEG/IMG_3187.jpeg?type=f300_300,옵션: 고영양샴푸 1개+트리트먼트 1개머릿결개선아주 좋아요,약산성 단백질 손상모케어 고영양_엘라스틴 프로틴클리닉 샴푸1000ml 1개+트리트먼트 700ml 1개
4,5,25.07.20.,chor*******,향기도 좋고 세정력이 좋습니다.,0,https://phinf.pstatic.net/checkout.phinf/20250720_255/1752988326637vwb4s_JPEG/1000037233.jpg?type=f300_300,옵션: 샴푸1000ml 2개+샴푸리필900ml1개헤어지성비듬머릿결개선아주 좋아요,약산성 단백질 손상모케어 고영양_엘라스틴 프로틴클리닉 샴푸1000ml 1개+트리트먼트 700ml 1개
5,5,25.07.05.,mix5***,용량도 크고 배송도 빨라요 향기도 좋고 머리도 부드러워지는듯..더. 사용해봐야 알겠지만^^;,0,https://phinf.pstatic.net/checkout.phinf/20250705_36/17516847967098OJte_JPEG/1751684775305.jpg?type=f300_300,옵션: 고영양샴푸 1개+트리트먼트 1개머릿결개선아주 좋아요,약산성 단백질 손상모케어 고영양_엘라스틴 프로틴클리닉 샴푸1000ml 1개+트리트먼트 700ml 1개
6,5,25.07.14.,mysj****,엘라스틴 중에 제일 판매 높은 순으로 사봤어요~ 부드러운거 같아요,0,https://phinf.pstatic.net/checkout.phinf/20250714_184/1752455402049g75XW_JPEG/1000067099.jpg?type=f300_300,옵션: 고영양샴푸 1000ml 2개머릿결개선만족해요,약산성 단백질 손상모케어 고영양_엘라스틴 프로틴클리닉 샴푸1000ml 1개+트리트먼트 700ml 1개
7,5,25.07.09.,ef****,"상품평이 좋아서 구매하게 되었습니다.
기대하고 있는데 한달사용후기 남길께요",0,https://phinf.pstatic.net/checkout.phinf/20250709_48/1752049649802TquE9_JPEG/1752049585495.jpg?type=f300_300,옵션: 고영양샴푸 1개+트리트먼트 1개헤어건성볼륨 부족가는 모발머릿결개선아주 좋아요,약산성 단백질 손상모케어 고영양_엘라스틴 프로틴클리닉 샴푸1000ml 1개+트리트먼트 700ml 1개
8,5,25.07.08.,cltn***,컨디셔너 냄새도 좋고 아주 만족입니다ㅎㅎ 재구매 할게요~!,0,https://phinf.pstatic.net/checkout.phinf/20250708_140/1751977046128Sj0pM_JPEG/image.jpg?type=f300_300,옵션: 트리트먼트 700ml 2개헤어복합성지루성 두피머릿결개선아주 좋아요,약산성 단백질 손상모케어 고영양_엘라스틴 프로틴클리닉 샴푸1000ml 1개+트리트먼트 700ml 1개
9,5,25.07.08.,jung******,"트리트먼트 향이 좋아요~샴푸는 아직 사용전이라 ,,",0,https://phinf.pstatic.net/checkout.phinf/20250708_298/17519327223556kj0V_JPEG/IMG_6865.jpeg?type=f300_300,옵션: 고영양샴푸 1개+트리트먼트 1개머릿결개선만족해요,약산성 단백질 손상모케어 고영양_엘라스틴 프로틴클리닉 샴푸1000ml 1개+트리트먼트 700ml 1개
10,5,25.07.10.,eysi***,후기 보고 구매했는데 너무 좋아요 금방 머릿결 달라요,0,https://phinf.pstatic.net/checkout.phinf/20250710_279/1752102719781B3x8H_JPEG/image.jpg?type=f300_300,옵션: 고영양샴푸 1000ml 2개머릿결개선아주 좋아요,약산성 단백질 손상모케어 고영양_엘라스틴 프로틴클리닉 샴푸1000ml 1개+트리트먼트 700ml 1개
