rank,rating,date,user,content,helpful_count,images,option_info,product_name
1,5,25.07.18.,ssao****,자주애용하는 제품이예요~ 화장실 청소하기 걸레빨기에 넘 좋습니다,0,https://phinf.pstatic.net/checkout.phinf/20250718_96/1752844097016JouNJ_JPEG/IMG_3401.jpeg?type=f300_300,옵션: (젤타입 750ml) 후로랄파인 4개,홈스타 락스와세제 후로랄파인 750ml 2개+2개
2,4,25.07.19.,gkfk***,매번 쓰는 제품입니다. 때도 잘나가고 좋습니다. 감사합니다,0,https://phinf.pstatic.net/checkout.phinf/20250719_277/1752908036968nFCLa_JPEG/1000004355.jpg?type=f300_300,옵션: (젤타입 750ml) 후로랄파인 4개,홈스타 락스와세제 후로랄파인 750ml 2개+2개
3,5,25.07.18.,abc1***,재구매합니다 배송빠르고 가격도 저렴해요,0,https://phinf.pstatic.net/checkout.phinf/20250718_244/1752816286723FQVRd_JPEG/1752816275732503695197010441239.jpg?type=f300_300,옵션: (젤타입 750ml) 후로랄파인 4개,홈스타 락스와세제 후로랄파인 750ml 2개+2개
4,5,25.07.17.,ysch******,화장실 청소할때 필수아이템  때마침 세제 똑 떨어져 구매하려 할때  가격이 싸게 나와서  구매함,0,https://phinf.pstatic.net/checkout.phinf/20250717_44/1752733866377bFOlW_JPEG/1000034511.jpg?type=f300_300,옵션: (젤타입 750ml) 후로랄파인 4개,홈스타 락스와세제 후로랄파인 750ml 2개+2개
5,5,25.07.04.,abse*****,"청소할때 사용하면 좋아요~
계속 사용하고 있습니다~",0,https://phinf.pstatic.net/image.nmv/shopnbuyer_2025_07_04_2485/P7GK3F6jZK_03.jpg?type=ffn300_300,옵션: (젤타입 750ml) 후로랄파인 4개,홈스타 락스와세제 후로랄파인 750ml 2개+2개
6,5,25.07.21.,qmff****,배송빠르고좋습니다.굿,0,https://phinf.pstatic.net/checkout.phinf/20250721_59/1753057119118UB9cG_JPEG/IMG_9940.jpeg?type=f300_300,옵션: (젤타입 750ml) 후로랄파인 4개,홈스타 락스와세제 후로랄파인 750ml 2개+2개
7,5,25.07.18.,ti****,좋아요. 늘 만족합니다아,0,https://phinf.pstatic.net/checkout.phinf/20250718_52/1752821977276cIooq_JPEG/IMG_0807.jpeg?type=f300_300,옵션: (젤타입 750ml) 허벌시트러스 4개,홈스타 락스와세제 후로랄파인 750ml 2개+2개
8,5,25.07.09.,yani****,"화장실 청소 할 때 없어서는 안 될 필수 아이템 ㅎ
향기도 강하지 않아서 좋아요",0,https://phinf.pstatic.net/checkout.phinf/20250709_88/1752058236093zxgnK_JPEG/IMG_2004.jpeg?type=f300_300,옵션: (젤타입 750ml) 후로랄 2개+허벌 2개,홈스타 락스와세제 후로랄파인 750ml 2개+2개
9,5,25.06.28.,hell******,"변기가 자꾸 거뭇거뭇 곰팡이가 가득해서 파란용기 일반 락스로 해도 소용없더라고요 ㅠㅠ... 락스냄새까지 힘들어서 예전에 사용한 상품을 오랜만에 주문했습니다 ㅎㅎ
2+2인데 하나는 받자마자 바로 사용해서 사진엔 안나왔어요",0,https://phinf.pstatic.net/checkout.phinf/20250628_165/1751115044294HETAX_JPEG/IMG_3086.jpeg?type=f300_300,옵션: (젤타입 750ml) 후로랄 2개+허벌 2개,홈스타 락스와세제 후로랄파인 750ml 2개+2개
10,5,25.07.16.,wjdw***,여름철이라 곰팡이가 자주 생겨서 구매해 보았어요,0,https://phinf.pstatic.net/checkout.phinf/20250716_115/1752633204405jEDkD_JPEG/17526331690345445052544166140866.jpg?type=f300_300,옵션: (젤타입 750ml) 후로랄파인 4개,홈스타 락스와세제 후로랄파인 750ml 2개+2개
11,5,25.07.09.,gisu*****,욕실청소 할때 매일 쓰게되네요.편리함이 좋네요.,0,https://phinf.pstatic.net/checkout.phinf/20250709_181/1751989753692lThGS_JPEG/1751989736117.jpg?type=f300_300,옵션: (젤타입 750ml) 후로랄파인 4개,홈스타 락스와세제 후로랄파인 750ml 2개+2개
12,5,25.06.27.,thdb*****,"남편이 청소할때마다 쓰는 제품인데 대형마트보다 저렴하네요ㅎㅎ
배송도 빠르고 애용하겠습니다",0,https://phinf.pstatic.net/checkout.phinf/20250627_187/1751028633292uUhE2_JPEG/image.jpg?type=f300_300,옵션: (젤타입 750ml) 허벌시트러스 4개,홈스타 락스와세제 후로랄파인 750ml 2개+2개
13,5,25.07.06.,pink*****,여름이라 화장실청소 더 깨끗이 하려고 샀어요 좋으면 계속 쓸게요,0,https://phinf.pstatic.net/checkout.phinf/20250706_112/175177254935212444_JPEG/1751772507691.jpg?type=f300_300,옵션: (젤타입 750ml) 후로랄파인 4개,홈스타 락스와세제 후로랄파인 750ml 2개+2개
14,5,25.07.14.,oneh******,욕실 청소할때 이. 제품이 제일 좋은거 같아요,0,https://phinf.pstatic.net/checkout.phinf/20250714_200/1752493886028zUNo0_JPEG/20250714_202431.jpg?type=f300_300,옵션: (젤타입 750ml) 후로랄파인 4개,홈스타 락스와세제 후로랄파인 750ml 2개+2개
15,5,25.07.04.,hard***,뽁뽁이 포장으로 터짐 없이 잘 받았습니다. 향이 좋아요,0,https://phinf.pstatic.net/checkout.phinf/20250704_82/1751595094424DLEad_JPEG/EB9DBDEC8AA4EC998020EC84B8ECA09C20250701.jpg?type=f300_300,옵션: (젤타입 750ml) 후로랄파인 4개,홈스타 락스와세제 후로랄파인 750ml 2개+2개
16,4,25.07.13.,kpl0***,화장실 청소용으로 구매했어요,0,https://phinf.pstatic.net/checkout.phinf/20250713_45/1752397349820DVfnH_JPEG/1752397339434.jpg?type=f300_300,옵션: (젤타입 750ml) 후로랄파인 4개,홈스타 락스와세제 후로랄파인 750ml 2개+2개
17,5,25.06.29.,dais*****,향도 괜찮고 배송이 무엇보다 엄청 빨라서 좋네요 그리고 세정력도 너무 좋습니다!,0,https://phinf.pstatic.net/checkout.phinf/20250629_79/1751160644407Cs4oe_JPEG/image.jpg?type=f300_300,옵션: (젤타입 750ml) 후로랄 2개+허벌 2개,홈스타 락스와세제 후로랄파인 750ml 2개+2개
18,5,25.07.13.,jhma****,늘 사용하지만 효과만점립이다,0,https://phinf.pstatic.net/checkout.phinf/20250713_146/1752366797228r7Mq0_JPEG/IMG_3694.jpeg?type=f300_300,옵션: (젤타입 750ml) 후로랄파인 4개,홈스타 락스와세제 후로랄파인 750ml 2개+2개
19,5,25.07.18.,0_0s****,항상 변기 청소할때 써요... 다른곳보다 싸게 샀네요ㅎㅎㅎ 다쓰면 또사러왈게여~~~ 배송도빠르네요,0,,옵션: (젤타입 750ml) 후로랄 2개+허벌 2개,홈스타 락스와세제 후로랄파인 750ml 2개+2개
20,5,25.07.08.,me****,배송 빨라요 잘받았습니다,0,https://phinf.pstatic.net/checkout.phinf/20250708_26/1751953865739PQAQy_JPEG/IMG_2313.jpeg?type=f300_300,옵션: (젤타입 750ml) 후로랄파인 4개,홈스타 락스와세제 후로랄파인 750ml 2개+2개
21,5,25.07.18.,ssao****,자주애용하는 제품이예요~ 화장실 청소하기 걸레빨기에 넘 좋습니다,0,https://phinf.pstatic.net/checkout.phinf/20250718_96/1752844097016JouNJ_JPEG/IMG_3401.jpeg?type=f300_300,옵션: (젤타입 750ml) 후로랄파인 4개,홈스타 락스와세제 후로랄파인 750ml 2개+2개
22,4,25.07.19.,gkfk***,매번 쓰는 제품입니다. 때도 잘나가고 좋습니다. 감사합니다,0,https://phinf.pstatic.net/checkout.phinf/20250719_277/1752908036968nFCLa_JPEG/1000004355.jpg?type=f300_300,옵션: (젤타입 750ml) 후로랄파인 4개,홈스타 락스와세제 후로랄파인 750ml 2개+2개
23,5,25.07.18.,abc1***,재구매합니다 배송빠르고 가격도 저렴해요,0,https://phinf.pstatic.net/checkout.phinf/20250718_244/1752816286723FQVRd_JPEG/1752816275732503695197010441239.jpg?type=f300_300,옵션: (젤타입 750ml) 후로랄파인 4개,홈스타 락스와세제 후로랄파인 750ml 2개+2개
24,5,25.07.17.,ysch******,화장실 청소할때 필수아이템  때마침 세제 똑 떨어져 구매하려 할때  가격이 싸게 나와서  구매함,0,https://phinf.pstatic.net/checkout.phinf/20250717_44/1752733866377bFOlW_JPEG/1000034511.jpg?type=f300_300,옵션: (젤타입 750ml) 후로랄파인 4개,홈스타 락스와세제 후로랄파인 750ml 2개+2개
25,5,25.07.04.,abse*****,"청소할때 사용하면 좋아요~
계속 사용하고 있습니다~",0,https://phinf.pstatic.net/image.nmv/shopnbuyer_2025_07_04_2485/P7GK3F6jZK_03.jpg?type=ffn300_300,옵션: (젤타입 750ml) 후로랄파인 4개,홈스타 락스와세제 후로랄파인 750ml 2개+2개
26,5,25.07.21.,qmff****,배송빠르고좋습니다.굿,0,https://phinf.pstatic.net/checkout.phinf/20250721_59/1753057119118UB9cG_JPEG/IMG_9940.jpeg?type=f300_300,옵션: (젤타입 750ml) 후로랄파인 4개,홈스타 락스와세제 후로랄파인 750ml 2개+2개
27,5,25.07.18.,ti****,좋아요. 늘 만족합니다아,0,https://phinf.pstatic.net/checkout.phinf/20250718_52/1752821977276cIooq_JPEG/IMG_0807.jpeg?type=f300_300,옵션: (젤타입 750ml) 허벌시트러스 4개,홈스타 락스와세제 후로랄파인 750ml 2개+2개
28,5,25.07.09.,yani****,"화장실 청소 할 때 없어서는 안 될 필수 아이템 ㅎ
향기도 강하지 않아서 좋아요",0,https://phinf.pstatic.net/checkout.phinf/20250709_88/1752058236093zxgnK_JPEG/IMG_2004.jpeg?type=f300_300,옵션: (젤타입 750ml) 후로랄 2개+허벌 2개,홈스타 락스와세제 후로랄파인 750ml 2개+2개
29,5,25.06.28.,hell******,"변기가 자꾸 거뭇거뭇 곰팡이가 가득해서 파란용기 일반 락스로 해도 소용없더라고요 ㅠㅠ... 락스냄새까지 힘들어서 예전에 사용한 상품을 오랜만에 주문했습니다 ㅎㅎ
2+2인데 하나는 받자마자 바로 사용해서 사진엔 안나왔어요",0,https://phinf.pstatic.net/checkout.phinf/20250628_165/1751115044294HETAX_JPEG/IMG_3086.jpeg?type=f300_300,옵션: (젤타입 750ml) 후로랄 2개+허벌 2개,홈스타 락스와세제 후로랄파인 750ml 2개+2개
30,5,25.07.16.,wjdw***,여름철이라 곰팡이가 자주 생겨서 구매해 보았어요,0,https://phinf.pstatic.net/checkout.phinf/20250716_115/1752633204405jEDkD_JPEG/17526331690345445052544166140866.jpg?type=f300_300,옵션: (젤타입 750ml) 후로랄파인 4개,홈스타 락스와세제 후로랄파인 750ml 2개+2개
31,5,25.07.09.,gisu*****,욕실청소 할때 매일 쓰게되네요.편리함이 좋네요.,0,https://phinf.pstatic.net/checkout.phinf/20250709_181/1751989753692lThGS_JPEG/1751989736117.jpg?type=f300_300,옵션: (젤타입 750ml) 후로랄파인 4개,홈스타 락스와세제 후로랄파인 750ml 2개+2개
32,5,25.06.27.,thdb*****,"남편이 청소할때마다 쓰는 제품인데 대형마트보다 저렴하네요ㅎㅎ
배송도 빠르고 애용하겠습니다",0,https://phinf.pstatic.net/checkout.phinf/20250627_187/1751028633292uUhE2_JPEG/image.jpg?type=f300_300,옵션: (젤타입 750ml) 허벌시트러스 4개,홈스타 락스와세제 후로랄파인 750ml 2개+2개
33,5,25.07.06.,pink*****,여름이라 화장실청소 더 깨끗이 하려고 샀어요 좋으면 계속 쓸게요,0,https://phinf.pstatic.net/checkout.phinf/20250706_112/175177254935212444_JPEG/1751772507691.jpg?type=f300_300,옵션: (젤타입 750ml) 후로랄파인 4개,홈스타 락스와세제 후로랄파인 750ml 2개+2개
34,5,25.07.14.,oneh******,욕실 청소할때 이. 제품이 제일 좋은거 같아요,0,https://phinf.pstatic.net/checkout.phinf/20250714_200/1752493886028zUNo0_JPEG/20250714_202431.jpg?type=f300_300,옵션: (젤타입 750ml) 후로랄파인 4개,홈스타 락스와세제 후로랄파인 750ml 2개+2개
