rank,rating,date,user,content,helpful_count,images,option_info,product_name
1,5,25.07.18.,nono***,"여름이 되니 기능성 의류를 많이 착용해 중성세제를 많이 사용하게 되네요~ 
테크 울드라이! 리필형으로 저렴하게 잘 구입했습니다!",0,https://phinf.pstatic.net/checkout.phinf/20250718_247/1752818505139r9uGu_JPEG/C3F8000F-6CFB-4AA2-AD87-0BEF350F7E73.jpeg?type=f300_300,옵션: 테크 중성세제 울드라이 리필 1.3L 2개,테크 울드라이 중성세제 리필 1.3L 2개
2,5,25.07.20.,jhjh****,"여름철 땀이 많이 나는 운동복어ㅣ사용하고 있는데, 옷에 냄새가 안 나네요^^",0,https://phinf.pstatic.net/checkout.phinf/20250720_68/1752974708110MiU06_JPEG/20250720_102331.jpg?type=f300_300,옵션: 테크 중성세제 울드라이 리필 1.3L 2개,테크 울드라이 중성세제 리필 1.3L 2개
3,5,25.07.20.,4001*****,속옷빨때 좋아요. 빠른 배송 감사합니다.,0,https://phinf.pstatic.net/checkout.phinf/20250720_81/1752947386814ULf00_JPEG/1000001434.jpg?type=f300_300,옵션: 테크 중성세제 울드라이 리필 1.3L 2개,테크 울드라이 중성세제 리필 1.3L 2개
4,5,25.07.19.,lish********,"향이 너무 진하지 않고,세탁소 안가고 저렴하게 집에서 잘 할수 있어 좋아요.",0,https://phinf.pstatic.net/checkout.phinf/20250719_286/1752854226373ypmlM_JPEG/image.jpg?type=f300_300,옵션: 테크 중성세제 울드라이 리필 1.3L 2개,테크 울드라이 중성세제 리필 1.3L 2개
5,5,25.07.05.,pkrm***,늘 사용하는 세제입니다. 배송도 엄청 빨랐어요. 리필용이지만 플라스틱 뚜껑이라 그냥 사용하기도 편해요,0,https://phinf.pstatic.net/checkout.phinf/20250705_204/1751707253064M4S2K_JPEG/1000010302.jpg?type=f300_300,옵션: 테크 중성세제 울드라이 리필 1.3L 2개,테크 울드라이 중성세제 리필 1.3L 2개
6,5,25.07.15.,poni******,"처음 주문해보았는데 오자마자 세탁기 돌려봅니다
기대해 봅니다
예전에 테크 호르몬제거 제품도 좋았는데 기대 해봅니다",0,https://phinf.pstatic.net/checkout.phinf/20250715_4/1752567065164GI59W_JPEG/image.jpg?type=f300_300,옵션: 테크 중성세제 울드라이 리필 1.3L 2개,테크 울드라이 중성세제 리필 1.3L 2개
7,5,25.07.04.,haru*****,LG생활건강 테크 울드라이 중성세제 좋아요 계속 구매해서 사용하고 있어요 네이버스토어에서 저렴하게 잘 구매해서 만족합니다,0,https://phinf.pstatic.net/checkout.phinf/20250704_134/1751640596438Sr0ac_JPEG/1000011800.jpg?type=f300_300,옵션: 테크 중성세제 울드라이 리필 1.3L 2개,테크 울드라이 중성세제 리필 1.3L 2개
8,5,25.07.14.,scub****,여러모로 만족합니다. 앞으로도 계속이용할께요,0,https://phinf.pstatic.net/checkout.phinf/20250714_92/17524826717701X6NO_JPEG/1752482654324.jpg?type=f300_300,옵션: 테크 중성세제 울드라이 리필 1.3L 2개,테크 울드라이 중성세제 리필 1.3L 2개
9,5,25.07.12.,kuch***,까다로운 옷세탁에  좋아요 앞으로도 구매할까합니다,0,https://phinf.pstatic.net/checkout.phinf/20250712_215/1752322297585KyfxI_JPEG/1000004951.jpg?type=f300_300,옵션: 테크 중성세제 울드라이 리필 1.3L 2개,테크 울드라이 중성세제 리필 1.3L 2개
10,5,25.06.27.,tmdw*****,배송도 빠르고 항상 구매하던 제품을 저렴하게 구했네요ㅋ 감사합니다!,0,https://phinf.pstatic.net/checkout.phinf/20250627_234/17510214812297TWne_JPEG/1000013606.jpg?type=f300_300,옵션: 테크 중성세제 울드라이 리필 1.3L 2개,테크 울드라이 중성세제 리필 1.3L 2개
11,5,25.07.19.,zmst*******,배송도 빠르고 제품 좋아요^^,0,https://phinf.pstatic.net/checkout.phinf/20250719_47/1752916464792HHmxU_JPEG/1752916457284.jpg?type=f300_300,옵션: 테크 중성세제 울드라이 리필 1.3L 2개,테크 울드라이 중성세제 리필 1.3L 2개
12,5,25.06.30.,crys******,니트종류 옷이 많은데 세탁소에 맡기면 비싸기만 하고 세탁을 안하고 스팀다림질만 해서 주는 것 같아 제가 직접 세탁하려고 주문했어요~ 사용해보니 좋아요~,0,https://phinf.pstatic.net/checkout.phinf/20250630_56/1751281735332NYIWb_JPEG/1000002840.jpg?type=f300_300,옵션: 테크 중성세제 울드라이 리필 1.3L 2개,테크 울드라이 중성세제 리필 1.3L 2개
13,4,25.07.18.,jc****,배송도 빠르고 제품도 좋아요,0,https://phinf.pstatic.net/checkout.phinf/20250718_113/1752829819219tA7Xc_JPEG/1000027061.jpg?type=f300_300,옵션: 테크 중성세제 울드라이 리필 1.3L 2개,테크 울드라이 중성세제 리필 1.3L 2개
14,5,25.07.19.,heam*****,좋아요 항상 쓰던제품입니다,0,https://phinf.pstatic.net/checkout.phinf/20250719_116/17528864446015wU1c_JPEG/IMG_1411.jpeg?type=f300_300,옵션: 테크 중성세제 울드라이 리필 1.3L 2개,테크 울드라이 중성세제 리필 1.3L 2개
15,5,25.07.13.,lbab*******,확실히 사용하면 옷감 손상이 덜해서 계속 주문해서 씁니다,0,https://phinf.pstatic.net/checkout.phinf/20250713_91/17523888114042JYj1_JPEG/1752388799748.jpg?type=f300_300,옵션: 테크 중성세제 울드라이 리필 1.3L 2개,테크 울드라이 중성세제 리필 1.3L 2개
