rank,rating,date,user,content,helpful_count,images,option_info,product_name
1,4,25.07.16.,hipp******,"세정력 좋아요 거품도 잘 나고
전에 순한 제품 썼다보니 조금만 써도 손에서 너무 기름기가 쫙 빠지고 향이 좀 강한게 단점이에요",0,https://phinf.pstatic.net/checkout.phinf/20250716_79/1752641755050zre1b_JPEG/IMG_2636.jpeg?type=f300_300,옵션명: 2.친환경 주방세제 코코넛 1.2L,퐁퐁 친환경 주방세제 오렌지향 리필 1.2L 4개
2,5,25.07.20.,pjc8***,배송. 빠르고 품질도 좋을거라 생각됨,0,https://phinf.pstatic.net/checkout.phinf/20250720_264/1753003216474Jt4H5_JPEG/17530031994304722401108800492443.jpg?type=f300_300,옵션명: 2.친환경 주방세제 코코넛 1.2L,퐁퐁 친환경 주방세제 오렌지향 리필 1.2L 4개
3,5,25.07.20.,pjc8***,빠른배송되었고 잘쓰겠습니다,0,https://phinf.pstatic.net/checkout.phinf/20250720_193/1753003132021UTSRl_JPEG/17530031036524024651392691761372.jpg?type=f300_300,옵션명: 1.친환경 주방세제 오렌지 1.2L,퐁퐁 친환경 주방세제 오렌지향 리필 1.2L 4개
4,5,25.07.03.,sdok****,오늘 오전에 주문했는데 오후에 빠르게 와서 놀랐고 세정력이 좋아요! 다음에도 떨어지면 재주문할께요~,0,https://phinf.pstatic.net/checkout.phinf/20250703_146/1751549157773VF797_JPEG/20250703_222118.jpg?type=f300_300,옵션명: 1.친환경 주방세제 오렌지 1.2L,퐁퐁 친환경 주방세제 오렌지향 리필 1.2L 4개
5,5,25.07.11.,suhw****,오전에 신청했는데 저녁에 받았습니다~ 적극추천합니다^^,0,https://phinf.pstatic.net/checkout.phinf/20250711_98/1752194202105JA7sU_JPEG/20250711_085225.jpg?type=f300_300,옵션명: 1.친환경 주방세제 오렌지 1.2L,퐁퐁 친환경 주방세제 오렌지향 리필 1.2L 4개
6,5,25.07.15.,juli*******,저렴하게 잘  샀네요.재구매할께요,0,https://phinf.pstatic.net/checkout.phinf/20250715_13/1752577411075QVceY_JPEG/1752577395718.jpg?type=f300_300,옵션명: 2.친환경 주방세제 코코넛 1.2L,퐁퐁 친환경 주방세제 오렌지향 리필 1.2L 4개
7,5,25.07.09.,sn****,"항상쓰던거 여기에서 주문하네요
저렴해요
잘쓸께요",0,https://phinf.pstatic.net/checkout.phinf/20250709_86/1752054649872ewTbz_JPEG/1752054634675.jpg?type=f300_300,옵션명: 1.친환경 주방세제 오렌지 1.2L,퐁퐁 친환경 주방세제 오렌지향 리필 1.2L 4개
8,5,25.07.14.,chat****,"배송도 빠르고 
저렴하게 잘 구매했습니다^^",0,https://phinf.pstatic.net/checkout.phinf/20250714_15/1752453981260nWzqa_JPEG/1000005163.jpg?type=f300_300,옵션명: 1.친환경 주방세제 오렌지 1.2L,퐁퐁 친환경 주방세제 오렌지향 리필 1.2L 4개
9,5,25.07.18.,gw****,너무너무 좋아요 재구매할거예요,0,https://phinf.pstatic.net/checkout.phinf/20250718_200/1752846012734BhQ5f_JPEG/1000036846.jpg?type=f300_300,옵션명: 1.친환경 주방세제 오렌지 1.2L,퐁퐁 친환경 주방세제 오렌지향 리필 1.2L 4개
10,5,25.07.19.,yodr****,잘 사용하고 있습니다,0,https://phinf.pstatic.net/checkout.phinf/20250719_287/17529116641324e1wn_JPEG/1000009344.jpg?type=f300_300,옵션명: 1.친환경 주방세제 오렌지 1.2L,퐁퐁 친환경 주방세제 오렌지향 리필 1.2L 4개
11,5,25.07.13.,lees*****,배송도 빠르고 좋아요,0,https://phinf.pstatic.net/checkout.phinf/20250713_282/1752412474144kN0bd_JPEG/1752412438746.jpg?type=f300_300,옵션명: 1.친환경 주방세제 오렌지 1.2L,퐁퐁 친환경 주방세제 오렌지향 리필 1.2L 4개
12,5,25.07.09.,eunb******,"친환경 주방세제 오렌지향은
항상 쟁여두고 있답니다
언제나 믿고 쓰는 엘지생활건강 :)",0,https://phinf.pstatic.net/checkout.phinf/20250709_227/1752040330543A319J_JPEG/1752040285174.jpg?type=f300_300,옵션명: 1.친환경 주방세제 오렌지 1.2L,퐁퐁 친환경 주방세제 오렌지향 리필 1.2L 4개
13,5,25.07.07.,rock****,순하고 세정력 좋고 좋은 가격 구매해서 만족 합니다,0,https://phinf.pstatic.net/checkout.phinf/20250707_271/1751893692866mcO1g_JPEG/1000062248.jpg?type=f300_300,옵션명: 1.친환경 주방세제 오렌지 1.2L,퐁퐁 친환경 주방세제 오렌지향 리필 1.2L 4개
14,5,25.06.26.,chro****,세척력은 정말 좋은거 같애요 향이 은은하니 강하지 않고 설거지가 수월합니다,0,https://phinf.pstatic.net/checkout.phinf/20250626_29/1750873899055sfuRt_JPEG/IMG_7434.jpeg?type=f300_300,옵션명: 1.친환경 주방세제 오렌지 1.2L,퐁퐁 친환경 주방세제 오렌지향 리필 1.2L 4개
