rank,rating,date,user,content,helpful_count,images,option_info,product_name
1,5,25.07.20.,pobi****,배송도 너무너무  빨 고  향도 좋아요  다  써고 또 주문 할께요.,0,https://phinf.pstatic.net/checkout.phinf/20250720_68/1752995416484X84b7_JPEG/1752995404993.jpg?type=f300_300,옵션선택: 샤프란 아로마 프레쉬 3.1L 4개,샤프란 아로마 소프트 코튼 섬유유연제 용기 3.1L 4개
2,5,25.07.12.,kisi****,샤프란 섬유유연제 저렴하게 나와서 구매했어요. 좋은 냄새 보장되어 있고.. 배송 빨라요.,0,https://phinf.pstatic.net/checkout.phinf/20250712_65/1752319792287HrzYJ_JPEG/PayApp_20250712_202945_3649793412555090591.jpg?type=f300_300,옵션선택: 샤프란 아로마 바닐라 핑크 3.1L 4개,샤프란 아로마 소프트 코튼 섬유유연제 용기 3.1L 4개
3,5,25.07.19.,boob*****,"배송빠르게 왔고 항상 잘 사용하던 제품이라
향기도 괜찮습니다",0,https://phinf.pstatic.net/checkout.phinf/20250719_161/1752899796401e2Bo5_JPEG/1000010761.jpg?type=f300_300,옵션선택: 샤프란 아로마 코튼 3.1L 4개,샤프란 아로마 소프트 코튼 섬유유연제 용기 3.1L 4개
4,5,25.07.14.,wish****,"향이 너무 좋아요!
매번 잘 사용하고 있습니다!!",0,https://phinf.pstatic.net/checkout.phinf/20250714_137/1752460634048CzRoz_JPEG/1000042228.jpg?type=f300_300,옵션선택: 샤프란 아로마 코튼 3.1L 4개,샤프란 아로마 소프트 코튼 섬유유연제 용기 3.1L 4개
5,5,25.07.10.,flow******,택배 기사분이 무거운데도 현관 앞에 까지 배달해 주셔서 감사했구요 샤프란 ~냄새도  좋구요 쟁여 놓으니까 든든한 기분이 드네요^;^,0,https://phinf.pstatic.net/checkout.phinf/20250710_14/175212453821813xVM_JPEG/1000008714.jpg?type=f300_300,옵션선택: 샤프란 아로마 코튼 3.1L 4개,샤프란 아로마 소프트 코튼 섬유유연제 용기 3.1L 4개
6,5,25.07.03.,junh******,고민없이 또 구매합니다  향도 오래가고 좋아요,0,https://phinf.pstatic.net/image.nmv/shopnbuyer_2025_07_03_204/jdQVPjLSLK_03.jpg?type=ffn300_300,옵션선택: 샤프란 아로마 코튼 3.1L 4개,샤프란 아로마 소프트 코튼 섬유유연제 용기 3.1L 4개
7,5,25.07.08.,euns*****,"향기가 너무너무좋아요
미세플라스틱이 없다고하니 안심하고
자주사용하고 있습니다
양도 많고 만족합니다
다쓰면 재구매할께요",0,https://phinf.pstatic.net/checkout.phinf/20250708_65/1751953531619vnaC3_JPEG/image.jpg?type=f300_300,옵션선택: 샤프란 아로마 코튼 3.1L 4개,샤프란 아로마 소프트 코튼 섬유유연제 용기 3.1L 4개
8,5,25.07.14.,tpdu*****,늘 잘 쓰는 제품 또 저렴하게 구입해서 좋습니다ㅎㅎ잘 쓸게요~!!,0,https://phinf.pstatic.net/checkout.phinf/20250714_54/175250495226291eBc_JPEG/1000115508.jpg?type=f300_300,옵션선택: 샤프란 아로마 코튼 3.1L 4개,샤프란 아로마 소프트 코튼 섬유유연제 용기 3.1L 4개
9,5,25.07.14.,medi***,"항상 쓰는 제품입니다 
향도 은은하고 고농축이 아니라 맘 놓고 쓰고 있어요",0,https://phinf.pstatic.net/checkout.phinf/20250714_112/1752492378264giuhi_JPEG/IMG_2429.jpeg?type=f300_300,옵션선택: 샤프란 아로마 코튼 3.1L 4개,샤프란 아로마 소프트 코튼 섬유유연제 용기 3.1L 4개
10,5,25.07.19.,csad***,항상 사용하는 제품 강세일해서 쟁여놉니다 ㅎㅎ,0,https://phinf.pstatic.net/checkout.phinf/20250719_284/1752924546529Ql5Wk_JPEG/1000068314.jpg?type=f300_300,옵션선택: 샤프란 아로마 프레쉬 3.1L 4개,샤프란 아로마 소프트 코튼 섬유유연제 용기 3.1L 4개
11,5,25.07.16.,oj****,향이 좋고 배송도 빠르게 왔어요,0,https://phinf.pstatic.net/checkout.phinf/20250716_269/1752657521932FNlgl_JPEG/1000013048.jpg?type=f300_300,옵션선택: 샤프란 아로마 코튼 3.1L 4개,샤프란 아로마 소프트 코튼 섬유유연제 용기 3.1L 4개
12,5,25.07.20.,aw****,배송 빠르고 좋아요!~,0,https://phinf.pstatic.net/checkout.phinf/20250720_2/1752996663565AcMb4_JPEG/20250720_162840.jpg?type=f300_300,옵션선택: 샤프란 아로마 코튼 3.1L 4개,샤프란 아로마 소프트 코튼 섬유유연제 용기 3.1L 4개
13,5,25.07.18.,gusr*****,배송하루만에 왓어요,0,https://phinf.pstatic.net/checkout.phinf/20250718_223/1752828228445jtiLD_JPEG/1000020210.jpg?type=f300_300,옵션선택: 샤프란 아로마 프레쉬 3.1L 4개,샤프란 아로마 소프트 코튼 섬유유연제 용기 3.1L 4개
14,5,25.07.11.,ehdt********,늘 애용하는제품입니다 가성비좋아요,0,https://phinf.pstatic.net/checkout.phinf/20250711_36/1752207921617hCKJh_JPEG/1000047669.jpg?type=f300_300,옵션선택: 샤프란 아로마 코튼 3.1L 4개,샤프란 아로마 소프트 코튼 섬유유연제 용기 3.1L 4개
15,5,25.07.17.,dldd*******,늘 잘 쓰고 있습니다,0,https://phinf.pstatic.net/checkout.phinf/20250717_1/1752758016778dVWei_JPEG/20240624_221118.jpg?type=f300_300,옵션선택: 샤프란 아로마 프레쉬 3.1L 4개,샤프란 아로마 소프트 코튼 섬유유연제 용기 3.1L 4개
16,4,25.07.02.,chec***,"잘 받았어요.
주말에 주문했는데, 배송이 빠르네요.

향은 연한편이예요.",0,https://phinf.pstatic.net/checkout.phinf/20250702_99/1751460361965jbuo0_JPEG/1000028741.jpg?type=f300_300,옵션선택: 샤프란 아로마 코튼 3.1L 4개,샤프란 아로마 소프트 코튼 섬유유연제 용기 3.1L 4개
17,5,25.07.14.,ytf5***,향이 좋아서 계속 사용하고 있어요.,0,https://phinf.pstatic.net/checkout.phinf/20250714_26/1752481418255gRkgw_JPEG/20250701_161004.jpg?type=f300_300,옵션선택: 샤프란 아로마 프레쉬 3.1L 4개,샤프란 아로마 소프트 코튼 섬유유연제 용기 3.1L 4개
18,5,25.07.16.,assa****,이상없이 잘 받았습니다.,0,https://phinf.pstatic.net/checkout.phinf/20250716_144/1752665663677lu5YX_JPEG/IMG_4385.jpeg?type=f300_300,옵션선택: 샤프란 아로마 코튼 3.1L 4개,샤프란 아로마 소프트 코튼 섬유유연제 용기 3.1L 4개
19,5,25.06.24.,hwan******,"향기좋아요 세탁기 돌릴때 노총각 아저씨냄새 말고 좋은 향기라도 
날수있게 듬북 넣슴다 베리굿",0,https://phinf.pstatic.net/checkout.phinf/20250624_123/1750731389675JjdeD_JPEG/20250624_105856.jpg?type=f300_300,옵션선택: 샤프란 아로마 코튼 3.1L 4개,샤프란 아로마 소프트 코튼 섬유유연제 용기 3.1L 4개
20,5,25.06.28.,mink******,향기좋아서 이거만 써요 배달빠르고 포장상태 좋아요,0,https://phinf.pstatic.net/checkout.phinf/20250628_58/1751101659571ehb0r_JPEG/20250628_180713.jpg?type=f300_300,옵션선택: 샤프란 아로마 코튼 3.1L 4개,샤프란 아로마 소프트 코튼 섬유유연제 용기 3.1L 4개
21,5,25.07.20.,pobi****,배송도 너무너무  빨 고  향도 좋아요  다  써고 또 주문 할께요.,0,https://phinf.pstatic.net/checkout.phinf/20250720_68/1752995416484X84b7_JPEG/1752995404993.jpg?type=f300_300,옵션선택: 샤프란 아로마 프레쉬 3.1L 4개,샤프란 아로마 소프트 코튼 섬유유연제 용기 3.1L 4개
22,5,25.07.12.,kisi****,샤프란 섬유유연제 저렴하게 나와서 구매했어요. 좋은 냄새 보장되어 있고.. 배송 빨라요.,0,https://phinf.pstatic.net/checkout.phinf/20250712_65/1752319792287HrzYJ_JPEG/PayApp_20250712_202945_3649793412555090591.jpg?type=f300_300,옵션선택: 샤프란 아로마 바닐라 핑크 3.1L 4개,샤프란 아로마 소프트 코튼 섬유유연제 용기 3.1L 4개
23,5,25.07.19.,boob*****,"배송빠르게 왔고 항상 잘 사용하던 제품이라
향기도 괜찮습니다",0,https://phinf.pstatic.net/checkout.phinf/20250719_161/1752899796401e2Bo5_JPEG/1000010761.jpg?type=f300_300,옵션선택: 샤프란 아로마 코튼 3.1L 4개,샤프란 아로마 소프트 코튼 섬유유연제 용기 3.1L 4개
24,5,25.07.14.,wish****,"향이 너무 좋아요!
매번 잘 사용하고 있습니다!!",0,https://phinf.pstatic.net/checkout.phinf/20250714_137/1752460634048CzRoz_JPEG/1000042228.jpg?type=f300_300,옵션선택: 샤프란 아로마 코튼 3.1L 4개,샤프란 아로마 소프트 코튼 섬유유연제 용기 3.1L 4개
