rank,rating,date,user,content,helpful_count,images,option_info,product_name
1,5,25.07.16.,sson*******,엄청 시원한 느낌은 아니지만 하고나면 약간의 상쾌함이 있어요. 타 히말라야핑크솔트 치약보단 좋아요. 배송빠르고 가성비 좋습니나,0,https://phinf.pstatic.net/checkout.phinf/20250716_131/1752645516311KYjtH_JPEG/IMG_9423.jpeg?type=f300_300,선택1: 플로럴100g 8개,히말라야 핑크솔트 플로럴민트 튜브치약 100g 8개
2,5,25.07.20.,rhdq********,늘 사용하고 있는 치약입니다. 플로럴민트향이 제일 좋아서 항상 이걸로 구매해요!,0,https://phinf.pstatic.net/checkout.phinf/20250720_18/1753012405769cSLMM_JPEG/1000017991.jpg?type=f300_300,선택1: 플로럴100g 8개,히말라야 핑크솔트 플로럴민트 튜브치약 100g 8개
3,5,25.07.17.,goid******,항상 사용하고 있는 제품이라 믿음도 가고 좋아요..감사합니다..,0,https://phinf.pstatic.net/checkout.phinf/20250717_223/1752751176179X2EML_JPEG/17527454652725B15D.jpg?type=f300_300,선택1: 플로럴100g 8개,히말라야 핑크솔트 플로럴민트 튜브치약 100g 8개
4,4,25.07.09.,best*****,재구매 입니다 배송 잘 받았습니다 맵지도 않고 화한 맛이 좋아요 소금성분이 이에 좋아요 잘 쓰겠습니다,0,https://phinf.pstatic.net/checkout.phinf/20250709_58/1752054851744SfFKx_JPEG/1000008200.jpg?type=f300_300,선택1: 플로럴100g 8개,히말라야 핑크솔트 플로럴민트 튜브치약 100g 8개
5,5,25.07.21.,jhjs****,이것만 늘 씁니다!배송도 빠르고 가격도 합리적입니다.,0,https://phinf.pstatic.net/checkout.phinf/20250721_31/1753059258360abCno_JPEG/1753059248609.jpg?type=f300_300,선택1: 플로럴100g 8개,히말라야 핑크솔트 플로럴민트 튜브치약 100g 8개
6,5,25.07.12.,suwo*****,깔끄뫄니 좋은 것 같습니다.. 이번에는 민트향기 나는 제품으로 바꿨습니다.,0,https://phinf.pstatic.net/checkout.phinf/20250712_190/1752306187580v9dXG_JPEG/20250712_145648.jpg?type=f300_300,선택1: 플로럴100g 8개,히말라야 핑크솔트 플로럴민트 튜브치약 100g 8개
7,5,25.06.27.,ange*****,"히말라야 핑크솔트 아이스향 치약 써보고 너무 시원해서 후기 남깁니다❄️

요즘 날씨도 더운데, 이 치약은 정말 양치할 때마다 입안이 얼얼하게 시원해서 아침마다 개운하게 하루를 시작할 수 있어요! 일반 민트보다 훨씬 청량하고, 쿨링감이 오래 가는 편이라 여름철에 딱입니다.

히말라야 핑크솔트 성분 덕분인지 양치 후에도 입안이 깔끔하고, 자극 없이 부드럽게 닦여요. 튜브 디자인도 깔끔하고 고급스러워서 욕실에 두기에도 예쁘네요.

시원하고 청량한 치약 찾는 분들께 강력 추천합니다! 아이스향 좋아하신다면 후회 없으실 거예요 👍",0,,선택1: 아이스100g 8개,히말라야 핑크솔트 플로럴민트 튜브치약 100g 8개
8,3,25.07.21.,thdg****,순하고 부드러워서 좋아요~,0,https://phinf.pstatic.net/checkout.phinf/20250721_234/1753061667650Ateda_JPEG/IMG_3053.jpeg?type=f300_300,선택1: 플로럴100g 8개,히말라야 핑크솔트 플로럴민트 튜브치약 100g 8개
9,5,25.07.20.,dltj********,"엄마가 좋아하는치약이에요~
히말라야 핑크솔트는 플로럴이 좋데요
다쓰면 재구매하겠습니다.",0,https://phinf.pstatic.net/checkout.phinf/20250720_76/17529896547402QHq0_JPEG/1752989633029.jpg?type=f300_300,선택1: 플로럴100g 8개,히말라야 핑크솔트 플로럴민트 튜브치약 100g 8개
10,5,25.07.11.,dsch******,애용하는 치약 입니다. 마트에서 그때 그때 구매하여 사용 했는데 이번에 8개를  한번에 구매 했습니다. 잘 쓰겠습니다.,0,https://phinf.pstatic.net/checkout.phinf/20250711_98/1752189054011mpuRq_JPEG/1000002966.jpg?type=f300_300,선택1: 플로럴100g 8개,히말라야 핑크솔트 플로럴민트 튜브치약 100g 8개
11,5,25.07.17.,pp****,저렴하게 잘샀어요 막쓰기 좋아요,0,https://phinf.pstatic.net/checkout.phinf/20250717_68/1752723214034a2XI1_JPEG/1752723189189.jpg?type=f300_300,선택1: 아이스100g 8개,히말라야 핑크솔트 플로럴민트 튜브치약 100g 8개
12,5,25.07.16.,od****,빠른배송 감사합니다 제품 잘 받았습니다,0,https://phinf.pstatic.net/checkout.phinf/20250716_58/1752629597714pGX74_JPEG/1000007799.jpg?type=f300_300,선택1: 플로럴100g 8개,히말라야 핑크솔트 플로럴민트 튜브치약 100g 8개
13,5,25.07.21.,jmpa******,배송이 원활하며 품질도 만족스럽습니다.,0,https://phinf.pstatic.net/checkout.phinf/20250721_175/1753056180058Se8nF_JPEG/1744170216563.jpg?type=f300_300,선택1: 아이스100g 8개,히말라야 핑크솔트 플로럴민트 튜브치약 100g 8개
14,5,25.07.21.,rock****,양치하고 나면 개운하니 좋아요~,0,https://phinf.pstatic.net/checkout.phinf/20250721_159/1753057134150nXAh2_JPEG/1000010106.jpg?type=f300_300,선택1: 플로럴100g 8개,히말라야 핑크솔트 플로럴민트 튜브치약 100g 8개
15,5,25.07.08.,wawa****,잘 사용중입니다 편하게 좋아요 또 이용할께요 많이 파세요~,0,https://phinf.pstatic.net/checkout.phinf/20250708_295/1751965613662BuWfp_JPEG/1751965607526.jpg?type=f300_300,선택1: 플로럴100g 8개,히말라야 핑크솔트 플로럴민트 튜브치약 100g 8개
16,5,25.07.13.,bts4***,"향이조아요
저렴하구 굿",0,https://phinf.pstatic.net/checkout.phinf/20250713_131/1752410971265VG4tn_JPEG/1752410962952.jpg?type=f300_300,선택1: 아이스100g 8개,히말라야 핑크솔트 플로럴민트 튜브치약 100g 8개
17,5,25.07.13.,cmy9*****,반투명 치약으로 동생 집에서 써보고 주문했습니다 잘 쓰겠습니다,0,https://phinf.pstatic.net/checkout.phinf/20250713_19/1752405613272AIpj1_JPEG/1752405579113.jpg?type=f300_300,선택1: 플로럴100g 8개,히말라야 핑크솔트 플로럴민트 튜브치약 100g 8개
18,3,25.06.20.,thdg****,순하고 부드러워서 좋아요,0,https://phinf.pstatic.net/checkout.phinf/20250620_17/1750396033038hAgF0_JPEG/IMG_3055.jpeg?type=f300_300,선택1: 플로럴100g 8개,히말라야 핑크솔트 플로럴민트 튜브치약 100g 8개
19,5,25.07.17.,lime******,배송 빠르게 잘 왔습니다~~ 항상 쓰는 제품인데 넘 좋아요! 가격도 합리적인 것 같아서 더 만족입니당~~ ^^,0,,선택1: 플로럴100g 8개,히말라야 핑크솔트 플로럴민트 튜브치약 100g 8개
20,5,25.07.15.,cap1****,"맵지않고 개운해요
항상 이것만 써요~^^",0,https://phinf.pstatic.net/checkout.phinf/20250715_57/1752555497077aU99N_JPEG/1752555486975.jpg?type=f300_300,선택1: 플로럴100g 8개,히말라야 핑크솔트 플로럴민트 튜브치약 100g 8개
21,5,25.07.16.,sson*******,엄청 시원한 느낌은 아니지만 하고나면 약간의 상쾌함이 있어요. 타 히말라야핑크솔트 치약보단 좋아요. 배송빠르고 가성비 좋습니나,0,https://phinf.pstatic.net/checkout.phinf/20250716_131/1752645516311KYjtH_JPEG/IMG_9423.jpeg?type=f300_300,선택1: 플로럴100g 8개,히말라야 핑크솔트 플로럴민트 튜브치약 100g 8개
22,5,25.07.20.,rhdq********,늘 사용하고 있는 치약입니다. 플로럴민트향이 제일 좋아서 항상 이걸로 구매해요!,0,https://phinf.pstatic.net/checkout.phinf/20250720_18/1753012405769cSLMM_JPEG/1000017991.jpg?type=f300_300,선택1: 플로럴100g 8개,히말라야 핑크솔트 플로럴민트 튜브치약 100g 8개
23,5,25.07.17.,goid******,항상 사용하고 있는 제품이라 믿음도 가고 좋아요..감사합니다..,0,https://phinf.pstatic.net/checkout.phinf/20250717_223/1752751176179X2EML_JPEG/17527454652725B15D.jpg?type=f300_300,선택1: 플로럴100g 8개,히말라야 핑크솔트 플로럴민트 튜브치약 100g 8개
24,4,25.07.09.,best*****,재구매 입니다 배송 잘 받았습니다 맵지도 않고 화한 맛이 좋아요 소금성분이 이에 좋아요 잘 쓰겠습니다,0,https://phinf.pstatic.net/checkout.phinf/20250709_58/1752054851744SfFKx_JPEG/1000008200.jpg?type=f300_300,선택1: 플로럴100g 8개,히말라야 핑크솔트 플로럴민트 튜브치약 100g 8개
25,5,25.07.21.,jhjs****,이것만 늘 씁니다!배송도 빠르고 가격도 합리적입니다.,0,https://phinf.pstatic.net/checkout.phinf/20250721_31/1753059258360abCno_JPEG/1753059248609.jpg?type=f300_300,선택1: 플로럴100g 8개,히말라야 핑크솔트 플로럴민트 튜브치약 100g 8개
26,5,25.07.12.,suwo*****,깔끄뫄니 좋은 것 같습니다.. 이번에는 민트향기 나는 제품으로 바꿨습니다.,0,https://phinf.pstatic.net/checkout.phinf/20250712_190/1752306187580v9dXG_JPEG/20250712_145648.jpg?type=f300_300,선택1: 플로럴100g 8개,히말라야 핑크솔트 플로럴민트 튜브치약 100g 8개
27,5,25.06.27.,ange*****,"히말라야 핑크솔트 아이스향 치약 써보고 너무 시원해서 후기 남깁니다❄️

요즘 날씨도 더운데, 이 치약은 정말 양치할 때마다 입안이 얼얼하게 시원해서 아침마다 개운하게 하루를 시작할 수 있어요! 일반 민트보다 훨씬 청량하고, 쿨링감이 오래 가는 편이라 여름철에 딱입니다.

히말라야 핑크솔트 성분 덕분인지 양치 후에도 입안이 깔끔하고, 자극 없이 부드럽게 닦여요. 튜브 디자인도 깔끔하고 고급스러워서 욕실에 두기에도 예쁘네요.

시원하고 청량한 치약 찾는 분들께 강력 추천합니다! 아이스향 좋아하신다면 후회 없으실 거예요 👍",0,,선택1: 아이스100g 8개,히말라야 핑크솔트 플로럴민트 튜브치약 100g 8개
28,3,25.07.21.,thdg****,순하고 부드러워서 좋아요~,0,https://phinf.pstatic.net/checkout.phinf/20250721_234/1753061667650Ateda_JPEG/IMG_3053.jpeg?type=f300_300,선택1: 플로럴100g 8개,히말라야 핑크솔트 플로럴민트 튜브치약 100g 8개
29,5,25.07.20.,dltj********,"엄마가 좋아하는치약이에요~
히말라야 핑크솔트는 플로럴이 좋데요
다쓰면 재구매하겠습니다.",0,https://phinf.pstatic.net/checkout.phinf/20250720_76/17529896547402QHq0_JPEG/1752989633029.jpg?type=f300_300,선택1: 플로럴100g 8개,히말라야 핑크솔트 플로럴민트 튜브치약 100g 8개
30,5,25.07.11.,dsch******,애용하는 치약 입니다. 마트에서 그때 그때 구매하여 사용 했는데 이번에 8개를  한번에 구매 했습니다. 잘 쓰겠습니다.,0,https://phinf.pstatic.net/checkout.phinf/20250711_98/1752189054011mpuRq_JPEG/1000002966.jpg?type=f300_300,선택1: 플로럴100g 8개,히말라야 핑크솔트 플로럴민트 튜브치약 100g 8개
31,5,25.07.17.,pp****,저렴하게 잘샀어요 막쓰기 좋아요,0,https://phinf.pstatic.net/checkout.phinf/20250717_68/1752723214034a2XI1_JPEG/1752723189189.jpg?type=f300_300,선택1: 아이스100g 8개,히말라야 핑크솔트 플로럴민트 튜브치약 100g 8개
32,5,25.07.16.,od****,빠른배송 감사합니다 제품 잘 받았습니다,0,https://phinf.pstatic.net/checkout.phinf/20250716_58/1752629597714pGX74_JPEG/1000007799.jpg?type=f300_300,선택1: 플로럴100g 8개,히말라야 핑크솔트 플로럴민트 튜브치약 100g 8개
33,5,25.07.21.,jmpa******,배송이 원활하며 품질도 만족스럽습니다.,0,https://phinf.pstatic.net/checkout.phinf/20250721_175/1753056180058Se8nF_JPEG/1744170216563.jpg?type=f300_300,선택1: 아이스100g 8개,히말라야 핑크솔트 플로럴민트 튜브치약 100g 8개
34,5,25.07.21.,rock****,양치하고 나면 개운하니 좋아요~,0,https://phinf.pstatic.net/checkout.phinf/20250721_159/1753057134150nXAh2_JPEG/1000010106.jpg?type=f300_300,선택1: 플로럴100g 8개,히말라야 핑크솔트 플로럴민트 튜브치약 100g 8개
35,5,25.07.08.,wawa****,잘 사용중입니다 편하게 좋아요 또 이용할께요 많이 파세요~,0,https://phinf.pstatic.net/checkout.phinf/20250708_295/1751965613662BuWfp_JPEG/1751965607526.jpg?type=f300_300,선택1: 플로럴100g 8개,히말라야 핑크솔트 플로럴민트 튜브치약 100g 8개
36,5,25.07.13.,bts4***,"향이조아요
저렴하구 굿",0,https://phinf.pstatic.net/checkout.phinf/20250713_131/1752410971265VG4tn_JPEG/1752410962952.jpg?type=f300_300,선택1: 아이스100g 8개,히말라야 핑크솔트 플로럴민트 튜브치약 100g 8개
37,5,25.07.13.,cmy9*****,반투명 치약으로 동생 집에서 써보고 주문했습니다 잘 쓰겠습니다,0,https://phinf.pstatic.net/checkout.phinf/20250713_19/1752405613272AIpj1_JPEG/1752405579113.jpg?type=f300_300,선택1: 플로럴100g 8개,히말라야 핑크솔트 플로럴민트 튜브치약 100g 8개
38,3,25.06.20.,thdg****,순하고 부드러워서 좋아요,0,https://phinf.pstatic.net/checkout.phinf/20250620_17/1750396033038hAgF0_JPEG/IMG_3055.jpeg?type=f300_300,선택1: 플로럴100g 8개,히말라야 핑크솔트 플로럴민트 튜브치약 100g 8개
39,5,25.07.17.,lime******,배송 빠르게 잘 왔습니다~~ 항상 쓰는 제품인데 넘 좋아요! 가격도 합리적인 것 같아서 더 만족입니당~~ ^^,0,,선택1: 플로럴100g 8개,히말라야 핑크솔트 플로럴민트 튜브치약 100g 8개
40,5,25.07.15.,cap1****,"맵지않고 개운해요
항상 이것만 써요~^^",0,https://phinf.pstatic.net/checkout.phinf/20250715_57/1752555497077aU99N_JPEG/1752555486975.jpg?type=f300_300,선택1: 플로럴100g 8개,히말라야 핑크솔트 플로럴민트 튜브치약 100g 8개
41,5,25.07.16.,sson*******,엄청 시원한 느낌은 아니지만 하고나면 약간의 상쾌함이 있어요. 타 히말라야핑크솔트 치약보단 좋아요. 배송빠르고 가성비 좋습니나,0,https://phinf.pstatic.net/checkout.phinf/20250716_131/1752645516311KYjtH_JPEG/IMG_9423.jpeg?type=f300_300,선택1: 플로럴100g 8개,히말라야 핑크솔트 플로럴민트 튜브치약 100g 8개
