rank,rating,date,user,content,helpful_count,images,option_info,product_name
1,5,25.07.10.,love********,"세탁조 청소 처음 해봤습니다. 세탁기 새로 사고나서 몇 년동안 한 번도 안 했다가 최근 빨래에 검은 조각들이 묻어나와서 구입했습니다. 저희집 통돌이는 16kg이구요. 음 왜 다들 통세척모드로 안 하시고 표준모드로 불려서 하실까요? 그래서 여러번 세척하셨다는 상품평도 있던데, 그냥 한 통 붓고 통세척 모드 누르면 5시간 동안 불림작업 후 남은 1시간 동안 세탁, 행굼, 탈수모드 순서로 진행됩니다. 왜 불림시간이 길까 했는데 정말 충분히 불려줘야 한 번에 때가 다 빠집니다. 불림시간동안 수시로 세탁조 돌아가면서 통 전체에 물 뿌리고 회전 시켜주기 때문에 꼭 통세척모드로 돌리세요. 
사진을 보시면 통세척 시작부터 조각들 쏟아져 나오고 5시간 불리면 난리나 있습니다.ㅋㅋㅋ 수많은 조각과 누런 물색상ㅋㅋ 충격적이죠. 이제 세탁조 청소 자주 해야겠어요. 역시 세제는 LG생건이 최고♡",1,https://phinf.pstatic.net/image.nmv/shopnbuyer_2025_07_10_209/qT4P8ZWCrj_03.jpg?type=ffn300_300,옵션: 세탁조클리너 450ml 3개,홈스타 2배 강력한 세탁조 클리너 450ml 3개
2,5,25.07.20.,sohy*******,드럼통에 뿌리고 세제 넣는 곳에도 살짝 뿌리고 일반으로 돌렸어요. 혹시 몰라서 헹굼모드로도 돌리고 나니까 반짝하게 깨끗해졌더라구요. 주기적으로 사용해주려고 합니다!,0,https://phinf.pstatic.net/checkout.phinf/20250720_164/17530163009330CK6O_JPEG/image.jpg?type=f300_300,옵션: 세탁조클리너 450ml 3개,홈스타 2배 강력한 세탁조 클리너 450ml 3개
3,5,25.07.12.,valk********,"좋습니다. 아주 좋아요.!!
여태 써본 것 중에 최고입니다!!
통뿐만 아니라 거름망 곰팡이가 한 번에 다 없어졌어요..
불린 다음에 칫솔로 닦아 줬었는데, 효과가 최고입니다. 
더운데 건강 조심하시고 부자 되세요, 사장님!!",0,https://phinf.pstatic.net/checkout.phinf/20250712_298/1752329046199IbbiF_JPEG/IMG_2713.jpeg?type=f300_300,옵션: 세탁조클리너 450ml 3개,홈스타 2배 강력한 세탁조 클리너 450ml 3개
4,5,25.07.08.,chic******,"매년 분기별로 주기적으로 통세척 하고 있어요. 
저희집 같은 대용량 통돌이 세탁기는 사용설명서 처럼 쓰면 절대 안깨끗해지더라구요. 
1통만 넣고 돌리면 검은 물이끼? 곰팡이? 계속 나옴
찬물을 최고 수위로 채워서 세탁조 클리너 3통 한번에 다 넣고 뚜껑 닫고 한시간 정도 불린뒤에 표준모드에서 세척 25분, 헹굼 3회, 탈수 중으로 하면 깨끗해져요.",1,https://phinf.pstatic.net/checkout.phinf/20250708_72/1751979307063qE3iz_JPEG/IMG_5509.jpeg?type=f300_300,옵션: 세탁조클리너 450ml 3개,홈스타 2배 강력한 세탁조 클리너 450ml 3개
5,5,25.07.19.,suga*****,3통 한 번에 넣고 돌렸든데 일단 전에 비해 검은 찌꺼기가 많이 안나오네요!! 박멸하려면 더 사다가 돌려야할듯요. 어느정도 만족합니다 :):):) 환기는 필수네요.,0,https://phinf.pstatic.net/checkout.phinf/20250719_20/17529355781963iEgc_JPEG/IMG_6379.jpeg?type=f300_300,옵션: 세탁조클리너 450ml 3개,홈스타 2배 강력한 세탁조 클리너 450ml 3개
6,5,25.07.20.,torp***,일요일 배송으로 주문후 하루이내에 도착했어요. 세탁기 청소를 3개월에 한번은 하려고 3개 구매했네요.,0,https://phinf.pstatic.net/checkout.phinf/20250720_298/17530007129313hUei_JPEG/1000021526.jpg?type=f300_300,옵션: 세탁조클리너 450ml 3개,홈스타 2배 강력한 세탁조 클리너 450ml 3개
7,5,25.07.04.,hahy********,"lg전자와 공동 개발 했다고 해서 구입
버블부터 사용해봤는데
그동안 2~3주마다 세탁조청소 했는데 효과가 없었나봅니다 
홈스타로 하니 엄청나게 나오네요
40도 2포 90분후 표준으로 돌리고
40도 헹굼,탈수1번
미온수 표준 한번 더 하고 헹굼,탈수 2번하고 깨끗해졌어요",1,https://phinf.pstatic.net/checkout.phinf/20250704_41/1751569119254fa9ad_JPEG/IMG_3490.jpeg?type=f300_300,옵션: 세탁조클리너 450ml 3개,홈스타 2배 강력한 세탁조 클리너 450ml 3개
8,5,25.07.16.,yang******,"요즘 가전제품은 똑똑해서,
통세척하라고 뜨더라구요~
드럼쓰다가 , 고장나서 통돌이로 바꿨는데 
요즘은 통돌이도,드럼처럼 터치식에 스크린화면으로 좋아졌네요 ~ 
통세척. 잘됬으면 합니다~",0,https://phinf.pstatic.net/checkout.phinf/20250716_276/1752648442131X81LV_JPEG/20250716_140423.jpg?type=f300_300,옵션: 세탁조클리너 450ml 3개,홈스타 2배 강력한 세탁조 클리너 450ml 3개
9,5,25.07.09.,at****,"엘지 통돌이 세탁기라 엘지전자랑 개발한 제품 쓰면 되겠거니 해서 샀어요 씽큐앱으로 통세척 걸고 보니 염소계 성분 포함된 거 쓰면 부식이나 변색 올 수 있다고 쓰지말라는 주의사항이 있네요.

 앞으로도 염소계 성분 포함한 이 제품을 살지는 모르겠어요.",0,https://phinf.pstatic.net/checkout.phinf/20250709_24/1752066227912Ry04i_JPEG/922.jpg?type=f300_300,옵션: 세탁조클리너 450ml 3개,홈스타 2배 강력한 세탁조 클리너 450ml 3개
10,5,25.06.13.,heeu****,"저희 집 세탁기는 21kg대용량 통돌이구요. 세탁기의 무세제통세척 기능만 믿고 사용하다가 갑자기 나오기 시작한 갈색 찌꺼기에 고생한 1인입니다. 저희집은 찌꺼기가 세탁조벽보다는 프로펠러가 돌아가는 바닥쪽에 많았어요. 중수위보다 저수위로 세탁할때 찌꺼기가 많이 나왔거든요. 그래서 여러가지 통세척세제를 써보고, 이세제가 가장 마음에 들어서 안착했어요. 세탁조 청소전에 온수로 가득 채워서 1시간이상 불린 후에 이 세제를 사용해 보세요. 저는 찌꺼기가 안나올때까지 청소하기로 작정하고 하루에 1회씩, 3일을 연속으로 반복했더니 찌꺼기가 안나오더라구요. 그 이후로는 한달에 한번씩 세탁조 청소할때마다 이 세제를 사용하는데, 아직까지는 세제 찌꺼기가 안나와요.  그리고 세탁기의 무세제통세척 기능을 과신하지 마세요. 저처럼 갑자기 고생합니다.",6,https://phinf.pstatic.net/checkout.phinf/20250613_135/1749780262050BNKlL_JPEG/1749780248811.jpg?type=f300_300,옵션: 세탁조클리너 450ml 3개,홈스타 2배 강력한 세탁조 클리너 450ml 3개
11,5,25.07.20.,kmj9*****,할인 덕에 저렴하게 구매했습니다 ㅎㅎ 두달에 한번은 세탁조 청소 필수죠~!,0,https://phinf.pstatic.net/checkout.phinf/20250720_273/17529907464715Dh8J_JPEG/IMG_1608.jpeg?type=f300_300,옵션: 세탁조클리너 450ml 3개,홈스타 2배 강력한 세탁조 클리너 450ml 3개
12,5,25.07.18.,miea****,"세탁기 청소를 하고나면 반짝반짝 빛이 나더라구요
남편이 청소직후 세탁기를 보더니 너무 깨끗하다고 ㅎ
만족스런 클리너입니다^^",0,https://phinf.pstatic.net/checkout.phinf/20250718_280/17528126089583758F_JPEG/1752812583392.jpg?type=f300_300,옵션: 세탁조클리너 450ml 3개,홈스타 2배 강력한 세탁조 클리너 450ml 3개
13,5,25.07.15.,joun***,"필요할때 주문해서 사용하고 있어요
세탁기가 깨끗해 지는 느낌이 들어요
빠른배송 감사합니다",0,https://phinf.pstatic.net/checkout.phinf/20250715_260/1752561322470HQGpf_JPEG/20250715_151129.jpg?type=f300_300,옵션: 세탁조클리너 450ml 3개,홈스타 2배 강력한 세탁조 클리너 450ml 3개
14,2,25.07.14.,jyts****,"한번으로는 효과 못보는듯.
통살균후  5회 헹굼하고도
고무패킹에 찌꺼기가 있어 닦아내긴 했는데
빨래해보니 아직이네요ㅜ
한번 더 통살균해야하나?",0,https://phinf.pstatic.net/checkout.phinf/20250714_138/1752454525126OwnAz_JPEG/1000224178.jpg?type=f300_300,옵션: 세탁조클리너 450ml 3개,홈스타 2배 강력한 세탁조 클리너 450ml 3개
15,4,25.07.17.,blue******,쓰던 제품에 LG전자와 공동연구로 개발했다니 믿음이 가서 재구매했습니다~ 한 달 뒤 후기로 올게요~,0,https://phinf.pstatic.net/checkout.phinf/20250717_193/1752748504202m27nD_JPEG/1000048292.jpg?type=f300_300,옵션: 세탁조클리너 450ml 3개,홈스타 2배 강력한 세탁조 클리너 450ml 3개
16,5,25.07.20.,doyy***,"한 달에 한 번은 꼭 해줘야 하는, 세탁조 클리너! 자주 해주면 좋겟지만요.",0,https://phinf.pstatic.net/checkout.phinf/20250720_31/17529904634513pg20_JPEG/IMG_7909.jpeg?type=f300_300,옵션: 세탁조클리너 450ml 3개,홈스타 2배 강력한 세탁조 클리너 450ml 3개
17,4,25.07.18.,tjxm***,예전에 가루형태만 쓰다가 lg라는 타이틀이 믿음직해서 처음 액체형을 구매해봤어요 깨끗하게 잘 청소 되었으면 좋겠습니다!,0,https://phinf.pstatic.net/checkout.phinf/20250718_213/1752802389085lrzKv_JPEG/1000025159.jpg?type=f300_300,옵션: 세탁조클리너 450ml 3개,홈스타 2배 강력한 세탁조 클리너 450ml 3개
18,5,25.07.13.,rkku***,배송이 정말 빠릅니다. 급하게 필요하게 되어 주문했는데 확실히 효과가 좋아요. 꾸준히 사용해야겠어요.,0,https://phinf.pstatic.net/checkout.phinf/20250713_24/1752376778353Ovjbj_JPEG/1000011639.jpg?type=f300_300,옵션: 세탁조클리너 450ml 3개,홈스타 2배 강력한 세탁조 클리너 450ml 3개
19,5,25.07.11.,erun****,세탁조 클리너 청소하라고 계속 떠서 엘지에는 엘지생건이지! 하며 샀어요. 근데 넘 작은 양으로 청소하래서 이게 맞나 싶지만 냄새는 청소한 냄새가 나요 ㅎ,0,https://phinf.pstatic.net/checkout.phinf/20250711_270/1752195682522wDNas_JPEG/tmp_3664058267759864868.jpg?type=f300_300,옵션: 세탁조클리 450ml 1개+1개(&1개추가),홈스타 2배 강력한 세탁조 클리너 450ml 3개
20,5,25.07.01.,mj****,"배송은 당일배송이라 빠르게 받았고, 배송 상자에 뽁뽁이도 들어있어서 안전하게 받을 수 있었고, 제조일자도 최근이에요~ 세탁조클리너 유목민인데 홈스타는 처음 써보네요! 효과가 좋길 바래요~~",0,https://phinf.pstatic.net/checkout.phinf/20250701_16/1751321940473iiWq5_JPEG/1000077755.jpg?type=f300_300,옵션: 세탁조클리너 450ml 3개,홈스타 2배 강력한 세탁조 클리너 450ml 3개
21,5,25.07.10.,love********,"세탁조 청소 처음 해봤습니다. 세탁기 새로 사고나서 몇 년동안 한 번도 안 했다가 최근 빨래에 검은 조각들이 묻어나와서 구입했습니다. 저희집 통돌이는 16kg이구요. 음 왜 다들 통세척모드로 안 하시고 표준모드로 불려서 하실까요? 그래서 여러번 세척하셨다는 상품평도 있던데, 그냥 한 통 붓고 통세척 모드 누르면 5시간 동안 불림작업 후 남은 1시간 동안 세탁, 행굼, 탈수모드 순서로 진행됩니다. 왜 불림시간이 길까 했는데 정말 충분히 불려줘야 한 번에 때가 다 빠집니다. 불림시간동안 수시로 세탁조 돌아가면서 통 전체에 물 뿌리고 회전 시켜주기 때문에 꼭 통세척모드로 돌리세요. 
사진을 보시면 통세척 시작부터 조각들 쏟아져 나오고 5시간 불리면 난리나 있습니다.ㅋㅋㅋ 수많은 조각과 누런 물색상ㅋㅋ 충격적이죠. 이제 세탁조 청소 자주 해야겠어요. 역시 세제는 LG생건이 최고♡",1,https://phinf.pstatic.net/image.nmv/shopnbuyer_2025_07_10_209/qT4P8ZWCrj_03.jpg?type=ffn300_300,옵션: 세탁조클리너 450ml 3개,홈스타 2배 강력한 세탁조 클리너 450ml 3개
22,5,25.07.20.,sohy*******,드럼통에 뿌리고 세제 넣는 곳에도 살짝 뿌리고 일반으로 돌렸어요. 혹시 몰라서 헹굼모드로도 돌리고 나니까 반짝하게 깨끗해졌더라구요. 주기적으로 사용해주려고 합니다!,0,https://phinf.pstatic.net/checkout.phinf/20250720_164/17530163009330CK6O_JPEG/image.jpg?type=f300_300,옵션: 세탁조클리너 450ml 3개,홈스타 2배 강력한 세탁조 클리너 450ml 3개
23,5,25.07.12.,valk********,"좋습니다. 아주 좋아요.!!
여태 써본 것 중에 최고입니다!!
통뿐만 아니라 거름망 곰팡이가 한 번에 다 없어졌어요..
불린 다음에 칫솔로 닦아 줬었는데, 효과가 최고입니다. 
더운데 건강 조심하시고 부자 되세요, 사장님!!",0,https://phinf.pstatic.net/checkout.phinf/20250712_298/1752329046199IbbiF_JPEG/IMG_2713.jpeg?type=f300_300,옵션: 세탁조클리너 450ml 3개,홈스타 2배 강력한 세탁조 클리너 450ml 3개
24,5,25.07.08.,chic******,"매년 분기별로 주기적으로 통세척 하고 있어요. 
저희집 같은 대용량 통돌이 세탁기는 사용설명서 처럼 쓰면 절대 안깨끗해지더라구요. 
1통만 넣고 돌리면 검은 물이끼? 곰팡이? 계속 나옴
찬물을 최고 수위로 채워서 세탁조 클리너 3통 한번에 다 넣고 뚜껑 닫고 한시간 정도 불린뒤에 표준모드에서 세척 25분, 헹굼 3회, 탈수 중으로 하면 깨끗해져요.",1,https://phinf.pstatic.net/checkout.phinf/20250708_72/1751979307063qE3iz_JPEG/IMG_5509.jpeg?type=f300_300,옵션: 세탁조클리너 450ml 3개,홈스타 2배 강력한 세탁조 클리너 450ml 3개
25,5,25.07.19.,suga*****,3통 한 번에 넣고 돌렸든데 일단 전에 비해 검은 찌꺼기가 많이 안나오네요!! 박멸하려면 더 사다가 돌려야할듯요. 어느정도 만족합니다 :):):) 환기는 필수네요.,0,https://phinf.pstatic.net/checkout.phinf/20250719_20/17529355781963iEgc_JPEG/IMG_6379.jpeg?type=f300_300,옵션: 세탁조클리너 450ml 3개,홈스타 2배 강력한 세탁조 클리너 450ml 3개
26,5,25.07.20.,torp***,일요일 배송으로 주문후 하루이내에 도착했어요. 세탁기 청소를 3개월에 한번은 하려고 3개 구매했네요.,0,https://phinf.pstatic.net/checkout.phinf/20250720_298/17530007129313hUei_JPEG/1000021526.jpg?type=f300_300,옵션: 세탁조클리너 450ml 3개,홈스타 2배 강력한 세탁조 클리너 450ml 3개
27,5,25.07.04.,hahy********,"lg전자와 공동 개발 했다고 해서 구입
버블부터 사용해봤는데
그동안 2~3주마다 세탁조청소 했는데 효과가 없었나봅니다 
홈스타로 하니 엄청나게 나오네요
40도 2포 90분후 표준으로 돌리고
40도 헹굼,탈수1번
미온수 표준 한번 더 하고 헹굼,탈수 2번하고 깨끗해졌어요",1,https://phinf.pstatic.net/checkout.phinf/20250704_41/1751569119254fa9ad_JPEG/IMG_3490.jpeg?type=f300_300,옵션: 세탁조클리너 450ml 3개,홈스타 2배 강력한 세탁조 클리너 450ml 3개
