rank,rating,date,user,content,helpful_count,images,option_info,product_name
1,5,25.07.17.,mari********,아이들이 늘 사용하는 치약입니다.  다썼다고 해서 난감했는데 당일 배송으로 빠르게 받아서 사용했습니다. 다행이네요! 추천합니다!,0,https://phinf.pstatic.net/checkout.phinf/20250717_112/1752706037846dk5gw_JPEG/image.jpg?type=f300_300,선택1: 아이스100g 7개+칫솔1개,히말라야 핑크솔트 아이스민트 튜브치약 100g 7개 + 특별증정(칫솔 1개)
2,5,25.07.17.,swo1***,히말라야 핑크숄트 아이스민트 시원하고 너무 좋아요. 개운한 양치 하고 있어요.,0,https://phinf.pstatic.net/checkout.phinf/20250717_57/1752756574223vjJUT_JPEG/1752756551073.jpg?type=f300_300,선택1: 아이스100g 7개+칫솔1개,히말라야 핑크솔트 아이스민트 튜브치약 100g 7개 + 특별증정(칫솔 1개)
3,5,25.07.20.,lhj5*****,"늘쓰는 상품으로 향도강하지않고
부드러워서 잘쓰고있어요",0,https://phinf.pstatic.net/checkout.phinf/20250720_174/1753009726480n4lSU_JPEG/1753009694383.jpg?type=f300_300,선택1: 아이스100g 7개+칫솔1개,히말라야 핑크솔트 아이스민트 튜브치약 100g 7개 + 특별증정(칫솔 1개)
4,3,25.07.14.,hyun*******,싸게 잘산것같고 아이들이 좋아하네요 빠른배송 좋습니다 ㅎㅎ,0,https://phinf.pstatic.net/checkout.phinf/20250714_158/1752479185688g8QQ3_JPEG/image.jpg?type=f300_300,선택1: 아이스100g 7개+칫솔1개,히말라야 핑크솔트 아이스민트 튜브치약 100g 7개 + 특별증정(칫솔 1개)
5,5,25.07.18.,ca71****,"늘 구매하는 제품이에요
향도 좋고 양치후 입안도 개운하고
울가족 모두 좋아하는 치약이에요
계속 구매 예정이에요",0,https://phinf.pstatic.net/checkout.phinf/20250718_175/1752817254276sTi0k_JPEG/1752817229359.jpg?type=f300_300,선택1: 아이스100g 7개+칫솔1개,히말라야 핑크솔트 아이스민트 튜브치약 100g 7개 + 특별증정(칫솔 1개)
6,5,25.07.20.,yung***,첨써보는데 맛도 괜찮고 좋아요,0,https://phinf.pstatic.net/checkout.phinf/20250720_241/1752979685671snLux_JPEG/1000121243.jpg?type=f300_300,선택1: 플로럴100g 7개+칫솔1개,히말라야 핑크솔트 아이스민트 튜브치약 100g 7개 + 특별증정(칫솔 1개)
7,5,25.07.19.,tp****,언젠가부터 선물로 들어온거 쓰고부터는 이치약이 젤 좋은거같아서. 샀어요,0,https://phinf.pstatic.net/checkout.phinf/20250719_231/1752892537650IQ8lT_JPEG/1752892513266.jpg?type=f300_300,선택1: 아이스100g 7개+칫솔1개,히말라야 핑크솔트 아이스민트 튜브치약 100g 7개 + 특별증정(칫솔 1개)
8,5,25.07.18.,asha***,이 치약만 써요. 이 라인으로 나온 칫솔도 아주 좋아요.,0,https://phinf.pstatic.net/checkout.phinf/20250718_23/1752845421802RTGha_JPEG/image.jpg?type=f300_300,선택1: 아이스100g 7개+칫솔1개,히말라야 핑크솔트 아이스민트 튜브치약 100g 7개 + 특별증정(칫솔 1개)
9,5,25.07.21.,homi***,너무 맵지도 않고 양치 후에 산뜻하고 좋아요,0,https://phinf.pstatic.net/checkout.phinf/20250721_151/1753062348197S6pnT_JPEG/1000015635.jpg?type=f300_300,선택1: 아이스100g 7개+칫솔1개,히말라야 핑크솔트 아이스민트 튜브치약 100g 7개 + 특별증정(칫솔 1개)
10,5,25.07.17.,ding*****,양치 후 개운해요. 이 치약으로 정착한지 몇 년 되었습니다.,0,https://phinf.pstatic.net/checkout.phinf/20250717_177/1752731920877Nig9l_JPEG/1000051600.jpg?type=f300_300,선택1: 아이스100g 7개+칫솔1개,히말라야 핑크솔트 아이스민트 튜브치약 100g 7개 + 특별증정(칫솔 1개)
11,5,25.07.12.,enju****,"사용하다보니 이게 젤 편하니 좋네요~
맵지않고 적당히 상쾌해서 맘에들어요!",0,https://phinf.pstatic.net/checkout.phinf/20250712_143/1752323934181aYoBm_JPEG/1752323922791.jpg?type=f300_300,선택1: 아이스100g 7개+칫솔1개,히말라야 핑크솔트 아이스민트 튜브치약 100g 7개 + 특별증정(칫솔 1개)
12,4,25.07.07.,bban********,"계속 쓰던 제품이예요
맛이 쎄지않아서 좋아요 ㅡ 배송 빨랏어요",0,https://phinf.pstatic.net/checkout.phinf/20250707_125/1751866711490LsK79_JPEG/IMG_1307.jpeg?type=f300_300,선택1: 플로럴100g 7개+칫솔1개,히말라야 핑크솔트 아이스민트 튜브치약 100g 7개 + 특별증정(칫솔 1개)
13,5,25.07.17.,ykh1***,엄마가 다른 치약보다 덜 매워서 좋다고 하세요 잘 사용중입니다,0,https://phinf.pstatic.net/checkout.phinf/20250717_84/1752711686308POO57_JPEG/image.jpg?type=f300_300,선택1: 아이스100g 7개+칫솔1개,히말라야 핑크솔트 아이스민트 튜브치약 100g 7개 + 특별증정(칫솔 1개)
14,5,25.07.15.,apte******,"항상 비치하고 있는 치약입니딘
개운하고 좋아요
배송도 빠르고 좋아용",0,https://phinf.pstatic.net/checkout.phinf/20250715_178/1752571517328XImqy_JPEG/17525715024256934621337560587368.jpg?type=f300_300,선택1: 아이스100g 7개+칫솔1개,히말라야 핑크솔트 아이스민트 튜브치약 100g 7개 + 특별증정(칫솔 1개)
15,5,25.07.18.,rt****,배송도 빠르고 격도 착하고 제품도 좋아서 계속 사용하고 있어요,0,https://phinf.pstatic.net/checkout.phinf/20250718_85/1752825486858yvAKL_JPEG/image.jpg?type=f300_300,선택1: 플로럴100g 7개+칫솔1개,히말라야 핑크솔트 아이스민트 튜브치약 100g 7개 + 특별증정(칫솔 1개)
16,5,25.07.19.,twa0****,항상 이 치약만 사용 하는데 너무 좋아요,0,https://phinf.pstatic.net/checkout.phinf/20250719_7/1752908431195lmnhu_JPEG/IMG_7771.jpeg?type=f300_300,선택1: 아이스100g 7개+칫솔1개,히말라야 핑크솔트 아이스민트 튜브치약 100g 7개 + 특별증정(칫솔 1개)
17,5,25.07.09.,h_se****,히말라야 치약만 써서 여기서 주문해요! 배송도 빠르고 저렴합니다,0,https://phinf.pstatic.net/checkout.phinf/20250709_18/1752058889733qHMAx_JPEG/IMG_2905.jpeg?type=f300_300,선택1: 아이스100g 7개+칫솔1개,히말라야 핑크솔트 아이스민트 튜브치약 100g 7개 + 특별증정(칫솔 1개)
