rank,rating,date,user,content,helpful_count,images,option_info,product_name
1,5,25.07.11.,sinm****,"배송이 엄청 빠릅니다
빨래가 너무 잘됩니다
계속 주문해서 사용하고 있습니다
또 주문하겠습니다",0,https://phinf.pstatic.net/image.nmv/shopnbuyer_2025_07_11_870/PLHWdUP5Um_03.jpg?type=ffn300_300,선택1: 수퍼타이 찬물 전용 딥클린 리필 10kg 2개,수퍼타이 찬물 전용 딥클린 실내건조 분말세제 효소 세탁세제 일반드럼 겸용 리필 10KG 2개
2,5,25.07.19.,kork***,와~ 우~ 매우 빨리 도착했어요. 잘 쓰겠습니다.,0,https://phinf.pstatic.net/checkout.phinf/20250719_181/1752914042868EBG4E_JPEG/20250719_154717.jpg?type=f300_300,선택1: 수퍼타이 찬물 전용 딥클린 리필 10kg 2개,수퍼타이 찬물 전용 딥클린 실내건조 분말세제 효소 세탁세제 일반드럼 겸용 리필 10KG 2개
3,5,25.07.15.,whis*******,와 가성비 최고네요 팍팍 사용하고 있어요 실내건조해도 냄새가 안나서 좋아요,0,https://phinf.pstatic.net/checkout.phinf/20250715_25/1752579486737Cnl9U_JPEG/IMG_1232.jpeg?type=f300_300,선택1: 수퍼타이 찬물 전용 딥클린 리필 10kg 2개,수퍼타이 찬물 전용 딥클린 실내건조 분말세제 효소 세탁세제 일반드럼 겸용 리필 10KG 2개
4,5,25.07.11.,wkrd******,"늘사용하는 세제에요.
예전에 마트에서 행사한금액보다는 비싸지만 그래도 다른사이트보다는 저렴하네요.",0,https://phinf.pstatic.net/checkout.phinf/20250711_98/1752204781128QQS1D_JPEG/1000013615.jpg?type=f300_300,선택1: 수퍼타이 찬물 전용 딥클린 리필 10kg 2개,수퍼타이 찬물 전용 딥클린 실내건조 분말세제 효소 세탁세제 일반드럼 겸용 리필 10KG 2개
5,5,25.07.16.,xhxh*****,"세탁이 참 때가 잘 빠져요.
다음에 또 재구매 의사 있어요^^",0,https://phinf.pstatic.net/checkout.phinf/20250716_31/17526643286527FNdm_JPEG/20250626_234559.jpg?type=f300_300,선택1: 수퍼타이 찬물 전용 딥클린 리필 10kg 2개,수퍼타이 찬물 전용 딥클린 실내건조 분말세제 효소 세탁세제 일반드럼 겸용 리필 10KG 2개
6,4,25.06.21.,kkin***,"액상세제 쓰다 세탁이 잘 안되는것 같아 구매, 우려했던 세제가 풀리지 않고 가루로 남아있는 현상 없이 잘 풀리고 세척력도 좋아요 다만 용가가 들어 있지 않아 덜어 쓰기에 불편합니다",0,https://phinf.pstatic.net/checkout.phinf/20250621_148/1750465878092EY506_JPEG/tmp_9071836053073800345.jpg?type=f300_300,선택1: 수퍼타이 찬물 전용 딥클린 리필 10kg 2개,수퍼타이 찬물 전용 딥클린 실내건조 분말세제 효소 세탁세제 일반드럼 겸용 리필 10KG 2개
7,5,25.07.19.,dlaw****,빠른배송 감사합니다,0,https://phinf.pstatic.net/checkout.phinf/20250719_296/17528972714089cBT7_JPEG/1752897240306.jpg?type=f300_300,선택1: 수퍼타이 찬물 전용 딥클린 리필 10kg 2개,수퍼타이 찬물 전용 딥클린 실내건조 분말세제 효소 세탁세제 일반드럼 겸용 리필 10KG 2개
8,5,25.07.14.,y991***,"일반 통돌이 세탁기 사용중인데
찬물에도 잘녹고  세탁 헹굼 모두
만족합니다.",0,https://phinf.pstatic.net/checkout.phinf/20250714_140/1752449393082Sw85n_JPEG/1752449356013.jpg?type=f300_300,선택1: 수퍼타이 찬물 전용 딥클린 리필 10kg 2개,수퍼타이 찬물 전용 딥클린 실내건조 분말세제 효소 세탁세제 일반드럼 겸용 리필 10KG 2개
9,5,25.07.03.,ec****,슈퍼타이 가루세제를 주로 사용합니다. 액체세제와 섞어서 사용중인데요. 가성비가 좋아서 2개 구매했습니다. 열심히 빨래 할께요. ^^,0,https://phinf.pstatic.net/checkout.phinf/20250703_185/1751523010168HQdwf_JPEG/4852.jpg?type=f300_300,선택1: 수퍼타이 찬물 전용 딥클린 리필 10kg 2개,수퍼타이 찬물 전용 딥클린 실내건조 분말세제 효소 세탁세제 일반드럼 겸용 리필 10KG 2개
10,5,25.07.19.,wind******,늘 애용하는 제품입니다,0,https://phinf.pstatic.net/checkout.phinf/20250719_263/1752860365653X1b0j_JPEG/1752860333974.jpg?type=f300_300,선택1: 수퍼타이 찬물 전용 딥클린 리필 10kg 2개,수퍼타이 찬물 전용 딥클린 실내건조 분말세제 효소 세탁세제 일반드럼 겸용 리필 10KG 2개
11,5,25.07.14.,emer*********,6k통에 전부 들어가서 통하나 있으면 쓰기 편해요,0,https://phinf.pstatic.net/checkout.phinf/20250714_240/1752486295133xeDgk_JPEG/tmp_2107461815553304088.jpg?type=f300_300,선택1: 수퍼타이 찬물 전용 딥클린 리필 10kg 2개,수퍼타이 찬물 전용 딥클린 실내건조 분말세제 효소 세탁세제 일반드럼 겸용 리필 10KG 2개
