rank,rating,date,user,content,helpful_count,images,option_info,product_name
1,5,25.07.19.,flyb****,"제품과 가격면 모두 괜찮은 제품인거 같습니다. 
어느순간부터 테크만 사용하는거 같습니다.
배송 또한 빨라 만족합니다.",0,https://phinf.pstatic.net/checkout.phinf/20250719_183/1752883506175hcYuB_JPEG/image.jpg?type=f300_300,옵션: (드럼)딥클린 3L 4개,테크 딥클린 실내건조 액체세제 일반 용기 3L 2+2개
2,5,25.07.17.,hwan******,"빠른 배송 감사합니다.
잘 사용중입니다.",0,https://phinf.pstatic.net/checkout.phinf/20250717_89/1752744544008uaOom_JPEG/1000011131.jpg?type=f300_300,옵션: (일반)딥클린 3L 4개,테크 딥클린 실내건조 액체세제 일반 용기 3L 2+2개
3,5,25.07.21.,xhsl*****,배송도 빠르고 좋네요,0,https://phinf.pstatic.net/checkout.phinf/20250721_288/17530610404827IwHD_JPEG/IMG_8130.jpeg?type=f300_300,옵션: (일반)딥클린 3L 4개,테크 딥클린 실내건조 액체세제 일반 용기 3L 2+2개
4,5,25.07.02.,elfh***,"늘 쓰고 있는 세제 테크인데 이번에 실내건조용으로 사봤어요.
건조기가 있어도 실내 건조가 필요한때가 있는데
꿉꿉한 냄새는 확실히 줄어든듯해요~",0,https://phinf.pstatic.net/checkout.phinf/20250702_5/1751428224374WxK2t_JPEG/1751428145407.jpg?type=f300_300,옵션: (일반)딥클린 3L 4개,테크 딥클린 실내건조 액체세제 일반 용기 3L 2+2개
5,5,25.07.16.,yang*****,좋은 가격에 빠른 배송 감사드려요.,0,https://phinf.pstatic.net/checkout.phinf/20250716_52/1752619136633WOFA8_JPEG/1000016394.jpg?type=f300_300,옵션: (드럼)딥클린 3L 4개,테크 딥클린 실내건조 액체세제 일반 용기 3L 2+2개
6,5,25.07.16.,ob****,잘받았습니다 감사합니다,0,https://phinf.pstatic.net/checkout.phinf/20250716_279/1752603919533k8n8a_JPEG/1752603911679.jpg?type=f300_300,옵션: (드럼)딥클린 3L 4개,테크 딥클린 실내건조 액체세제 일반 용기 3L 2+2개
7,5,25.07.11.,ch3c*****,늘쓰던 제품 입니다 좋아요 저렴하게 샀어요,0,https://phinf.pstatic.net/checkout.phinf/20250711_175/1752197744788MSQbL_JPEG/1000014022.jpg?type=f300_300,옵션: (드럼)딥클린 3L 4개,테크 딥클린 실내건조 액체세제 일반 용기 3L 2+2개
8,5,25.07.16.,plan***,신속한배송 감사합니다,0,https://phinf.pstatic.net/checkout.phinf/20250716_254/1752622847721dmdIj_JPEG/1752622838763.jpg?type=f300_300,옵션: (드럼)딥클린 3L 4개,테크 딥클린 실내건조 액체세제 일반 용기 3L 2+2개
9,5,25.07.18.,sose*****,좋아요 늘 시키던거,0,https://phinf.pstatic.net/checkout.phinf/20250718_276/17528315184715x5Qr_JPEG/image.jpg?type=f300_300,옵션: (일반)딥클린 3L 4개,테크 딥클린 실내건조 액체세제 일반 용기 3L 2+2개
10,4,25.07.10.,pi****,배송 빠르고 저렴하게 구매한거 같아요,0,https://phinf.pstatic.net/checkout.phinf/20250710_284/1752126119191vsRXE_JPEG/20250709_073003.jpg?type=f300_300,옵션: (드럼)딥클린 3L 4개,테크 딥클린 실내건조 액체세제 일반 용기 3L 2+2개
