rank,rating,date,user,content,helpful_count,images,option_info,product_name
1,5,25.07.14.,htke*****,"매일은 아니고 치아 안좋을때 마다 쓰는데 좋아요
그리고 이번에 사은품으로 온 스퀴저 가지고 있는 20g에 해보니 치약이 깔끔히 다 짜질까 의문은 들지만 이쁘네요",0,https://phinf.pstatic.net/checkout.phinf/20250714_151/1752492900626CQ7Ml_JPEG/20250714_202840.jpg?type=f300_300,선택1: 치약106g3개+20g1개+스퀴저,유시몰 오리지널 치약 106g 3개 + 특별증정(치약 20g 2개)
2,5,25.07.21.,dltj*******,"칫솔은 그저그랬는데 치약이 확실히 다르네요 
잘쓰겠습니다",0,https://phinf.pstatic.net/checkout.phinf/20250721_45/1753030431575CaBsx_JPEG/1000008651.jpg?type=f300_300,선택1: 치약106g3개+20g2개,유시몰 오리지널 치약 106g 3개 + 특별증정(치약 20g 2개)
3,4,25.07.17.,misu****,입안이 화한 느낌이 괜찬앗어요. 꾸준히 써보고 효과를 기대해봅니다,0,https://phinf.pstatic.net/checkout.phinf/20250717_26/1752758591506K3wF2_JPEG/1752758577413.jpg?type=f300_300,선택1: 치약106g3개+20g2개,유시몰 오리지널 치약 106g 3개 + 특별증정(치약 20g 2개)
4,4,25.07.13.,kmj7******,"유시몰 치약 사용해보니 깔끔하고 자고 일어나도 입 안이 개운하여 구매했어요.
지속적으로 사용해보고 좋으면 끝까지 함께 갈께요~~",0,https://phinf.pstatic.net/checkout.phinf/20250713_77/1752384159949EKnI4_JPEG/17523841184126134470581429628597.jpg?type=f300_300,선택1: 치약106g3개+20g2개,유시몰 오리지널 치약 106g 3개 + 특별증정(치약 20g 2개)
5,5,25.07.14.,art4***,늘 쓰던건데 엄마가 써보시고 차석도 잘닦이고 입안 냄세부터 입이 개운하시다고^^ 주문합니다.,0,https://phinf.pstatic.net/checkout.phinf/20250714_134/1752469592973D90tI_JPEG/1000038880.jpg?type=f300_300,선택1: 치약106g3개+20g2개,유시몰 오리지널 치약 106g 3개 + 특별증정(치약 20g 2개)
6,5,25.06.29.,carn*******,처음엔 멘소래당 냄새 같아서 훔칫했는데 이 치약을 쓰니 입냄새가 안나는 게 오래 유지되어요. 저희 부모님도 사다드렸는데 요것만 쓰세요. 배송도 빠르고 좋아요~,0,https://phinf.pstatic.net/checkout.phinf/20250629_142/1751153543956I9mxo_JPEG/1000015571.jpg?type=f300_300,선택1: 치약106g3개+20g2개,유시몰 오리지널 치약 106g 3개 + 특별증정(치약 20g 2개)
7,4,25.07.15.,naky******,"파스 냄새가 나는거 같지만 개운하고 좋아요
근데 조금 남으면 짜는게 힘들어요",0,https://phinf.pstatic.net/checkout.phinf/20250715_272/1752570694412AErjQ_JPEG/1000096326.jpg?type=f300_300,선택1: 치약106g3개+20g2개,유시몰 오리지널 치약 106g 3개 + 특별증정(치약 20g 2개)
8,5,25.07.13.,reco******,"몇면째 이 치약 사용 중입니다. 다른 제품 써보다 다시 돌아오곤 합니다.
이렇게 개운한 치약이 없는 것 같아요",0,https://phinf.pstatic.net/checkout.phinf/20250713_242/1752365501219lhpOE_JPEG/IMG_8017.jpeg?type=f300_300,선택1: 치약106g3개+20g2개,유시몰 오리지널 치약 106g 3개 + 특별증정(치약 20g 2개)
9,4,25.07.11.,stev***,만족하면서 사용하고 있습니다. 시원해서 좋아요.,0,https://phinf.pstatic.net/checkout.phinf/20250711_266/17522271531756oQoc_JPEG/image.jpg?type=f300_300,선택1: 치약106g3개+20g2개,유시몰 오리지널 치약 106g 3개 + 특별증정(치약 20g 2개)
10,5,25.07.06.,ljs0****,딸아이 치약인데.. 이치약 사용해보고는  개운하다고 이제품만 쓰려고 하네요. 또 재구매할께요.,0,https://phinf.pstatic.net/checkout.phinf/20250706_188/1751783410616s0SU3_JPEG/1000029507.jpg?type=f300_300,선택1: 치약106g3개+20g2개,유시몰 오리지널 치약 106g 3개 + 특별증정(치약 20g 2개)
11,5,25.07.18.,kkir******,양치질하고 나면 개운하고 좋아요,0,https://phinf.pstatic.net/checkout.phinf/20250718_154/17527988080712yJPV_JPEG/tmp_4350126414593164349.jpg?type=f300_300,선택1: 치약106g3개+20g2개,유시몰 오리지널 치약 106g 3개 + 특별증정(치약 20g 2개)
12,5,25.07.14.,sssy****,가글느낌인데 더 깔끔하고 좋아요,0,https://phinf.pstatic.net/checkout.phinf/20250714_194/1752483741074hqjfo_JPEG/17524837318938979764011096574691.jpg?type=f300_300,선택1: 치약106g3개+20g2개,유시몰 오리지널 치약 106g 3개 + 특별증정(치약 20g 2개)
13,5,25.07.08.,ss****,항상 사용하는 제품이에요. 개운하고 좋아요,0,https://phinf.pstatic.net/checkout.phinf/20250708_51/1751937958611u9yGW_JPEG/IMG_2924.jpeg?type=f300_300,선택1: 치약106g3개+20g2개,유시몰 오리지널 치약 106g 3개 + 특별증정(치약 20g 2개)
14,5,25.07.16.,ktha*****,"사용감좋아요
꾸준히 이용중입니다",0,https://phinf.pstatic.net/checkout.phinf/20250716_188/1752663421806JKsdR_JPEG/PayApp_20250716_195652_7868461928985314621.jpg?type=f300_300,선택1: 치약106g3개+20g2개,유시몰 오리지널 치약 106g 3개 + 특별증정(치약 20g 2개)
15,5,25.07.12.,johe********,늘 사용중입니다. 상쾌해오,0,https://phinf.pstatic.net/checkout.phinf/20250712_188/1752307668639A9cpq_JPEG/image.jpg?type=f300_300,선택1: 치약106g3개+20g1개+가글90ml1개,유시몰 오리지널 치약 106g 3개 + 특별증정(치약 20g 2개)
16,5,25.07.03.,haej*****,"매번 사용하는 제품이고~
양치후 깔끔함과 더불어
구치와 잇몸염증 까지 줄어드는것 같아요",0,https://phinf.pstatic.net/checkout.phinf/20250703_288/1751526985865RkkYV_JPEG/1751526967547.jpg?type=f300_300,선택1: 치약106g3개+20g2개,유시몰 오리지널 치약 106g 3개 + 특별증정(치약 20g 2개)
17,5,25.07.15.,wate********,항상 사용하는 치약이에요,0,https://phinf.pstatic.net/checkout.phinf/20250715_1/1752575614681drMpo_JPEG/20240716_205536.jpg?type=f300_300,선택1: 치약106g3개+20g2개,유시몰 오리지널 치약 106g 3개 + 특별증정(치약 20g 2개)
18,5,25.07.17.,myda*****,이거쓰다가 다른건 못써요,0,https://phinf.pstatic.net/checkout.phinf/20250717_5/1752743686057laxx2_JPEG/image.jpg?type=f300_300,선택1: 치약106g3개+20g2개,유시몰 오리지널 치약 106g 3개 + 특별증정(치약 20g 2개)
19,5,25.07.18.,hhhh****,늘 쓰는데품 조어요엉,0,https://phinf.pstatic.net/checkout.phinf/20250718_39/1752815691454TAU4x_JPEG/IMG_6842.jpeg?type=f300_300,선택1: 치약106g3개+20g2개,유시몰 오리지널 치약 106g 3개 + 특별증정(치약 20g 2개)
20,5,25.07.13.,q_****,가격대비 최고입니다,0,https://phinf.pstatic.net/checkout.phinf/20250713_106/1752334500297M13wP_JPEG/IMG_2454.jpeg?type=f300_300,선택1: 치약106g3개+20g1개+스퀴저,유시몰 오리지널 치약 106g 3개 + 특별증정(치약 20g 2개)
