rank,rating,date,user,content,helpful_count,images,option_info,product_name
1,5,25.07.13.,rmsi***,"항상 잘사용 하고 있는 제품입니다. 다용도로 쓰고 있다 보니 용기 제품보다는 대용량이 필요해서 가성비 좋은 리필 제품으로 구매하고 있습니다. 자몽향만 쓰다가 다른 향도 써보고 싶어서 이번에는 레몬향으로 구매해봤어요. 여전히 상쾌하고 좋고요. 

이 제품을 맹신하는 첫번째 이유는 우리 무좀 때문에 각질이 발바닥에 비듬처럼 붙어 있는데 어느날 무심코 남편 발바닥을 보니까 보드랍게 바뀌어 있더라고요. 무좀 관련 약을 먹지도 않았는데 발바닥이 바뀌어 있었어요. 완치는 아니지만 많이 바뀐 발다닥 보고 제품력을 맹신하게 되었답니다. 

그리고 제가 그 날만 되면 속옷에 조금씩 새어나온 혈흔이 굳으면 어떤 세제로 빨아도 잘지워지지 않았는데 이걸 뿌리고 문대면 아주 기가 막히게 지워진답니다. 이거 말고도 많지만 할말하않 하겠습니다. 암튼 절대 절판하면 안돼요.",0,https://phinf.pstatic.net/checkout.phinf/20250713_199/1752338861585jA8YK_JPEG/1000007946.jpg?type=f300_300,옵션: [레몬]리필3+ 필링팩향/냄새아주 만족해요흡수력아주 만족해요촉촉함촉촉해요,온더바디 코튼풋 발을씻자 풋샴푸 리필 500ml 레몬 3개
2,5,25.07.02.,peti******,"기존에 사용하던 제품이 있는데, 새 제품을 구입하기엔...플라스틱이 너무 많이 나와서 고민하던 찰나에 리필 묶음을 발견하고 구매했어요~
늘 사용하던 향과 질이어서 만족해요.
다만...본품은 약380ml 인데, 이 제품은 500ml 여서 에매한 것 같아요...
차라리 리필 제품의 용량이 700ml 정도면 딱 2회 충전 가능이 될테니까 그게 더 좋지않나?라는 생각이 듭니다.",0,https://phinf.pstatic.net/checkout.phinf/20250702_63/1751431301737fWRV2_JPEG/IMG_1444.jpeg?type=f300_300,옵션: [자몽]리필3향/냄새괜찮아요흡수력괜찮아요촉촉함보통이에요,온더바디 코튼풋 발을씻자 풋샴푸 리필 500ml 레몬 3개
3,5,25.07.19.,pink***,세정력도 좋고 씻고 나면 뽀송뽀송함과 향이 좋아요!!,0,https://phinf.pstatic.net/checkout.phinf/20250719_136/1752910561989uH92E_JPEG/4440.jpg?type=f300_300,옵션: [레몬]리필3향/냄새아주 만족해요흡수력아주 만족해요촉촉함촉촉해요,온더바디 코튼풋 발을씻자 풋샴푸 리필 500ml 레몬 3개
4,5,25.07.19.,hije*****,계속 쓰고있는 제품이에요 리필이 나와서 더 좋습니다,0,https://phinf.pstatic.net/checkout.phinf/20250719_91/1752893981171KnIhu_JPEG/17528939627731552129777769206427.jpg?type=f300_300,옵션: [레몬]리필2+[자몽]리필1향/냄새아주 만족해요흡수력아주 만족해요촉촉함촉촉해요,온더바디 코튼풋 발을씻자 풋샴푸 리필 500ml 레몬 3개
5,5,25.07.20.,mich********,리필용 대량으로 사서 보관해두기 좋습니다,0,https://phinf.pstatic.net/checkout.phinf/20250720_162/1752988640199dIonu_JPEG/image.jpg?type=f300_300,옵션: [쿨링]리필3향/냄새아주 만족해요흡수력아주 만족해요촉촉함촉촉해요,온더바디 코튼풋 발을씻자 풋샴푸 리필 500ml 레몬 3개
6,5,25.07.21.,jini****,늘 쓰던거예요 좋아요,0,https://phinf.pstatic.net/checkout.phinf/20250721_66/1753043125812HhM6H_JPEG/1000053023.jpg?type=f300_300,옵션: [레몬]리필3향/냄새괜찮아요흡수력괜찮아요촉촉함보통이에요,온더바디 코튼풋 발을씻자 풋샴푸 리필 500ml 레몬 3개
7,5,25.07.10.,dong*******,한 통보다는 조금 더 들어가요. 옛날엔 무좀도 완치해주는 줄 알았는데 그 정도는 아닌 듯.,0,https://phinf.pstatic.net/checkout.phinf/20250710_140/1752141791684nCgLB_JPEG/1000014822.jpg?type=f300_300,옵션: [레몬]리필3향/냄새아주 만족해요흡수력아주 만족해요촉촉함건조해요,온더바디 코튼풋 발을씻자 풋샴푸 리필 500ml 레몬 3개
8,5,25.07.06.,dlck******,발을 씻자 하나에 딱 들어가요 너무 좋습니다,0,https://phinf.pstatic.net/checkout.phinf/20250706_245/175180811350035UgY_JPEG/1000045717.jpg?type=f300_300,옵션: [레몬]리필3향/냄새아주 만족해요흡수력아주 만족해요촉촉함촉촉해요,온더바디 코튼풋 발을씻자 풋샴푸 리필 500ml 레몬 3개
9,5,25.07.17.,kjw6***,항상 편하게 사용중인 풋샴푸 너무 좋습니다,0,https://phinf.pstatic.net/checkout.phinf/20250717_164/1752756826796KXtmP_JPEG/20250717_214609.jpg?type=f300_300,옵션: [레몬]리필3향/냄새아주 만족해요흡수력아주 만족해요촉촉함촉촉해요,온더바디 코튼풋 발을씻자 풋샴푸 리필 500ml 레몬 3개
10,5,25.07.17.,soul******,애착템 빠른배송 좋아요~,0,https://phinf.pstatic.net/checkout.phinf/20250717_187/1752734939319PI3Ew_JPEG/image.jpg?type=f300_300,옵션: [레몬]리필3향/냄새아주 만족해요흡수력아주 만족해요촉촉함촉촉해요,온더바디 코튼풋 발을씻자 풋샴푸 리필 500ml 레몬 3개
