rank,rating,date,user,content,helpful_count,images,option_info,product_name
1,5,25.07.21.,kjh3****,"늘 사용하던 풋샴푸에요! 
떨어지면 또 사러올께요 ㅎ ㅎ",0,https://phinf.pstatic.net/checkout.phinf/20250721_297/1753068353273q1F4u_JPEG/20250721_122054.jpg?type=f300_300,옵션: [레몬]리필2+[자몽]리필1향/냄새아주 만족해요흡수력아주 만족해요촉촉함촉촉해요,온더바디 코튼풋 발을씻자 풋샴푸 리필 500ml 자몽 3개
2,1,25.06.11.,azsx****,"제품력은 좋은데요..
배송너무 오래걸려서 별점 적게줍니다.
일주일넘게 걸려서 받았구요.
파손됬다고 택배사에서 임의반송했다는데..
이걸 소비자가 어떻게 알아요;;;; 
택배완료문자받았는데 도착지가 이상한 차고지여서 따로 물어봐서 확인했네요 ==;;
오늘에서야 받았는데 통에서 샜는지 박스 바닥 젖어있구요;; 아니 이럴거면 뽁뽁이는 왜 넣어주신건지;; 통을 감싸둔것도 아니고 그냥 위에 얹어져있어서 배송오다가 뿌리는통 또 박살날뻔했던거 같구요..
네이버톡톡 답장도 너무 느리고, 네이버배송쓰는 이유가 다음날 도착이라 주문하는건데
이렇게 배송하면 다시는 여기서 주문하고 싶지않을것 같아요.",0,https://phinf.pstatic.net/checkout.phinf/20250611_123/174962225778020bGQ_JPEG/1749622250429.jpg?type=f300_300,옵션: [레몬]본품1+[레몬]리필2+ 필링팩향/냄새괜찮아요흡수력괜찮아요촉촉함보통이에요,온더바디 코튼풋 발을씻자 풋샴푸 리필 500ml 자몽 3개
3,5,25.07.12.,aayo***,"만족스러워요 항상쓰던거지만 통계속 버려서 아까워서
리필로 구매했는데 좋아요!",0,https://phinf.pstatic.net/checkout.phinf/20250712_292/1752282763132bmnMl_JPEG/IMG_8487.jpeg?type=f300_300,옵션: [자몽]리필500ml 3개향/냄새아주 만족해요흡수력아주 만족해요촉촉함촉촉해요,온더바디 코튼풋 발을씻자 풋샴푸 리필 500ml 자몽 3개
4,5,25.07.02.,mrkk*****,빠른배송에 감사합니다 발에 땀이 많고 운동화.안전화 오래신는분 그리고 무좀에 각질 이제품 완전 굿입니다,0,https://phinf.pstatic.net/checkout.phinf/20250702_33/1751419469399quSWz_JPEG/1000010498.jpg?type=f300_300,옵션: [레몬]리필500ml 3개향/냄새아주 만족해요흡수력아주 만족해요촉촉함촉촉해요,온더바디 코튼풋 발을씻자 풋샴푸 리필 500ml 자몽 3개
5,5,25.07.17.,sayk*****,사용해보니 향기도 좋고 발냄새도 제거되어 정말 좋았습니다.,0,https://phinf.pstatic.net/checkout.phinf/20250717_24/1752746097522JcPGz_JPEG/20250717_184125.jpg?type=f300_300,옵션: [레몬]리필500ml 3개향/냄새아주 만족해요흡수력아주 만족해요촉촉함촉촉해요,온더바디 코튼풋 발을씻자 풋샴푸 리필 500ml 자몽 3개
6,5,25.06.23.,gptn***,"우선 급하게 주문했는데
진짜 빨리 왔어요
빠른배송 굿굿
통에 부으면서 자몽향이 솔솔 났어요
향이 참 좋아요",0,https://phinf.pstatic.net/checkout.phinf/20250623_77/1750683717585JDcWJ_JPEG/IMG_1081.jpeg?type=f300_300,옵션: [자몽]리필500ml 3개향/냄새아주 만족해요흡수력아주 만족해요촉촉함촉촉해요,온더바디 코튼풋 발을씻자 풋샴푸 리필 500ml 자몽 3개
7,5,25.07.13.,ohda*******,"발을 씻을때 편하게 씻고 있어요~^^
그리고 한번씩 화장실 청소할때도
좋아용~~~",0,https://phinf.pstatic.net/checkout.phinf/20250713_46/1752385152061Wmqyw_JPEG/1000064030.jpg?type=f300_300,옵션: [레몬]리필500ml 3개향/냄새아주 만족해요흡수력아주 만족해요촉촉함촉촉해요,온더바디 코튼풋 발을씻자 풋샴푸 리필 500ml 자몽 3개
8,5,25.07.18.,anst**********,항상쓰던거이제는이거없으면안돼요,0,https://phinf.pstatic.net/checkout.phinf/20250718_219/1752824885188yJx1Q_JPEG/image.jpg?type=f300_300,옵션: [자몽]리필500ml 3개향/냄새아주 만족해요흡수력아주 만족해요촉촉함촉촉해요,온더바디 코튼풋 발을씻자 풋샴푸 리필 500ml 자몽 3개
9,4,25.06.27.,bboy******,바깥놀이를 좋아하는 땀많은 아이들 때문에 늘 쟁여두고 씁니다. 리필이라 절약도 되고 환경도 생각할 수 있어서 좋아요. 하루만에 배송완료!,0,https://phinf.pstatic.net/checkout.phinf/20250627_88/1751030652215HSBMi_JPEG/1000002533.jpg?type=f300_300,옵션: [자몽]리필3+ 필링팩향/냄새아주 만족해요흡수력괜찮아요촉촉함촉촉해요,온더바디 코튼풋 발을씻자 풋샴푸 리필 500ml 자몽 3개
10,5,25.07.17.,sz****,일단은 이게젤좋아서쓰긴하는데.. 암튼 뭐 그렇습니다,0,https://phinf.pstatic.net/checkout.phinf/20250717_83/1752756756301vIuf9_JPEG/IMG_0981.jpeg?type=f300_300,옵션: [자몽]리필500ml 3개향/냄새아주 만족해요흡수력아주 만족해요촉촉함촉촉해요,온더바디 코튼풋 발을씻자 풋샴푸 리필 500ml 자몽 3개
