rank,rating,date,user,content,helpful_count,images,option_info,product_name
1,5,25.07.11.,kgos***,벌써 여러번 재구매인데 대용량이 있어서 사봤어요. 매번 용기만 주문하다 리필도 보여서 같이 주문했습니다. 발이 엄청 건조해서 여름에도 관리안하면 쩍쩍 갈라질 정도인데 발을씻자로 씻으면서 많이 개선됐어요. 촉촉함을 어느정도 유지해주는것 같아요. 5세 아이 발도 이걸로 씻겨주는데 칙칙 뿌리면 재밌어합니다. 발씻기 습관들이기엔 좋은제품인것 같아요. 재구매 의사 있습니다.,0,https://phinf.pstatic.net/checkout.phinf/20250711_67/17521960772508xeCy_JPEG/tmp_4324649260558320155.jpg?type=f300_300,옵션: [레몬]본품1+[레몬]리필2향/냄새아주 만족해요흡수력아주 만족해요촉촉함촉촉해요,(가성비대용량)온더바디 코튼풋 발을씻자 풋샴푸 510ml 레몬 1개+리필 500ml 레몬 2개
2,5,25.07.04.,daeb******,"항상 재구매합니다!!! 다이소보다 용량이 커서 사용하기 더 편합니다~~발을 씻자쓰면 훨씬 덜 귀찮아서 좋아요 청소할 때도 칙칙
사은품도 줘서 좋아요",0,https://phinf.pstatic.net/checkout.phinf/20250704_161/1751640883733E6JgF_JPEG/1000092356.jpg?type=f300_300,옵션: [쿨링]본품1+[레몬]리필2+ 필링팩향/냄새괜찮아요흡수력괜찮아요촉촉함보통이에요,(가성비대용량)온더바디 코튼풋 발을씻자 풋샴푸 510ml 레몬 1개+리필 500ml 레몬 2개
3,5,25.07.06.,sina*****,"잘 팔려서 그런지 네이버에서 직접(?) 관리하는 제품처럼 오후 늦게 주문했는데도 다음날 바로 배송됐습니다.
다양한 향을 사용할 수 있는 제품 구성이어서 좋았어요.
발에 물기가 있는 상태에서 2~3번 뿌리고 발을 비비면 거품이 많이 나서 굳이 손으로 씻을 필요가 없습니다.
수건으로 닦아도 향이 남아 있어 발냄새가 거의 나지 않는 듯합니다.
계속 사용하면 발냄새 걱정은 없을 거 같습니다.
주변에 없으면 선물용으로 좋을 듯하네요.
잘 쓰겠습니다.",0,https://phinf.pstatic.net/checkout.phinf/20250706_281/1751767007433HC0tR_JPEG/1000008521.jpg?type=f300_300,옵션: [레몬]본품1+[자몽]리필1+[쿨링]리필1향/냄새아주 만족해요흡수력아주 만족해요촉촉함촉촉해요,(가성비대용량)온더바디 코튼풋 발을씻자 풋샴푸 510ml 레몬 1개+리필 500ml 레몬 2개
4,5,25.07.19.,ahte*******,발을씻자 너무 편하구 좋아요 레몬향은 처음인데 괜찮네요! 배송도 매우 빠릅니다~,0,https://phinf.pstatic.net/checkout.phinf/20250719_178/1752935752402BB4TJ_JPEG/IMG_9544.jpeg?type=f300_300,옵션: [레몬]본품1+[자몽]리필2향/냄새아주 만족해요흡수력괜찮아요촉촉함보통이에요,(가성비대용량)온더바디 코튼풋 발을씻자 풋샴푸 510ml 레몬 1개+리필 500ml 레몬 2개
5,5,25.07.14.,jjih******,"원래 자몽이라 레몬만 쓰다가 여름이라 쿨링으로 주문했는데 더 시원한 느낌은 별로 없어요~
그래도 향이 너무 좋아 잘 사용하고 있습니다^^",0,https://phinf.pstatic.net/checkout.phinf/20250714_212/17524863151782UY6w_JPEG/1000010504.jpg?type=f300_300,옵션: [쿨링]본품1+리필2+ 필링팩향/냄새아주 만족해요흡수력괜찮아요촉촉함보통이에요,(가성비대용량)온더바디 코튼풋 발을씻자 풋샴푸 510ml 레몬 1개+리필 500ml 레몬 2개
6,5,25.07.19.,rock****,배송빨랐어요. 서너가지 향 중에 저는 자몽이 젤 좋더라구요.,1,https://phinf.pstatic.net/checkout.phinf/20250719_186/17528878423407tGHO_JPEG/IMG_3902.jpeg?type=f300_300,옵션: [자몽]본품1+[자몽]리필2향/냄새아주 만족해요흡수력괜찮아요촉촉함보통이에요,(가성비대용량)온더바디 코튼풋 발을씻자 풋샴푸 510ml 레몬 1개+리필 500ml 레몬 2개
7,5,25.07.07.,dowl***,"늘 사용중인 제품이에요!
쿨링은 한번도 사용해 본 적이 없는데, 여름이기도 해서 구입해봤습니다 😆
오프라인보다 온라인이 훨씬 저렴하게 살 수 있어서 좋아요!",0,https://phinf.pstatic.net/checkout.phinf/20250707_140/1751878294163Yi9Je_JPEG/IMG_7911.jpeg?type=f300_300,옵션: [쿨링]본품1+[레몬]리필1+[자몽]리필1향/냄새아주 만족해요흡수력아주 만족해요촉촉함촉촉해요,(가성비대용량)온더바디 코튼풋 발을씻자 풋샴푸 510ml 레몬 1개+리필 500ml 레몬 2개
8,5,25.07.21.,gkrr******,배송이 진짜 빠르네요. 발씻기 편하고 용량 커서 좋아요.,0,https://phinf.pstatic.net/checkout.phinf/20250721_201/1753054154870AHu0F_JPEG/image.jpg?type=f300_300,옵션: [레몬]본품1+[레몬]리필2향/냄새괜찮아요흡수력괜찮아요촉촉함보통이에요,(가성비대용량)온더바디 코튼풋 발을씻자 풋샴푸 510ml 레몬 1개+리필 500ml 레몬 2개
9,5,25.06.28.,moon****,"향도 좋고 발도 뽀드득 거리는것 같고 해서 풋샴푸의 기능도 좋은데 이게 세정력이 너무 좋아서 빨래시에도 너무 좋더라구요. 풋샴푸인지, 빨래세제인지 모를 정도에요. 인기 있는 이유가 확실하네요👍🏻",0,https://phinf.pstatic.net/checkout.phinf/20250628_262/1751066986448MTpfD_JPEG/IMG_9406.jpeg?type=f300_300,옵션: [레몬]본품1+[리필]자몽1+쿨링1+ 필링팩향/냄새아주 만족해요흡수력아주 만족해요촉촉함촉촉해요,(가성비대용량)온더바디 코튼풋 발을씻자 풋샴푸 510ml 레몬 1개+리필 500ml 레몬 2개
10,5,25.07.15.,74****,매번 사용하는 제품입니다. 배송 빠르고 좋아요,0,https://phinf.pstatic.net/checkout.phinf/20250715_30/1752571939468uaebM_JPEG/1752571919693.jpg?type=f300_300,옵션: [레몬]본품1+[레몬]리필2향/냄새괜찮아요흡수력괜찮아요촉촉함보통이에요,(가성비대용량)온더바디 코튼풋 발을씻자 풋샴푸 510ml 레몬 1개+리필 500ml 레몬 2개
