rank,rating,date,user,content,helpful_count,images,option_info,product_name
1,5,25.07.20.,6463****,"항상 쓰던 치약인데 온라인이 더 저렴하네요!!
합리적인 가격에 산 것 같아 기분이 좋아요ㅎㅎ
앞으로도 많이 팔아주세요~",0,https://phinf.pstatic.net/checkout.phinf/20250720_276/1753017287959veF3i_JPEG/1753017278062.jpg?type=f300_300,선택1: 죽염 잇몸고 치약 120g 5개+칫솔 2개,죽염 잇몸고 치약 120g 5개+특별증정(칫솔 2개)
2,4,25.07.18.,khdh****,늘 사용하는 제품인데 저렴하게 잘 샀어요 사은품 치솔  감사합니다,0,https://phinf.pstatic.net/checkout.phinf/20250718_255/1752790026099Gj27P_JPEG/1000021170.jpg?type=f300_300,선택1: 죽염 잇몸고 치약 120g 5개+칫솔 2개,죽염 잇몸고 치약 120g 5개+특별증정(칫솔 2개)
3,5,25.07.14.,ok****,"토요일에 주문했는데 일요일에 왔어요..ㅠ
급하게 필요한 건 아니었는데, 빠른 배송 감사합니다.
죽염이 쓰기 제일 좋다고 해서 주문했습니닼",0,https://phinf.pstatic.net/checkout.phinf/20250714_229/17524825184238yU2D_JPEG/IMG_8191.jpeg?type=f300_300,선택1: 죽염 잇몸고 치약 120g 5개+칫솔 2개,죽염 잇몸고 치약 120g 5개+특별증정(칫솔 2개)
4,5,25.07.17.,hosi***,좋은가격에 칫솔까지 선물로 너무 좋아요 칫솔도 늘 사용하던 거라 반가웠어요,0,https://phinf.pstatic.net/checkout.phinf/20250717_66/1752745065987u6QjR_JPEG/IMG_4724.jpeg?type=f300_300,선택1: 죽염 잇몸고 치약 120g 5개+칫솔 2개,죽염 잇몸고 치약 120g 5개+특별증정(칫솔 2개)
5,5,25.07.16.,bazz***,잇몸치약으로 항상 사용 중인 죽염치약. 사용 후 입안이 깔끔해서 좋아요,0,https://phinf.pstatic.net/checkout.phinf/20250716_145/1752622930845TrtRx_JPEG/2e88c49d-386e-4ea9-b20a-09c371dbc203-1_all_2660.jpg?type=f300_300,선택1: 죽염 잇몸고 치약 120g 5개+칫솔 2개,죽염 잇몸고 치약 120g 5개+특별증정(칫솔 2개)
6,5,25.07.14.,idov***,치솔이 너무 맘에 들어요. 사은품이라 허접 할거라 예상했는데 고퀄리티 치솔을 2개나 주셔서 넘 좋아요~,0,https://phinf.pstatic.net/checkout.phinf/20250714_153/1752474000591S0fl9_JPEG/IMG_0186.jpeg?type=f300_300,선택1: 죽염 잇몸고 치약 120g 5개+칫솔 2개,죽염 잇몸고 치약 120g 5개+특별증정(칫솔 2개)
7,5,25.07.21.,with*****,마트에서 구매하다가 처음으로 주문해봅니다. 유효기간도 길고 편하네요,0,https://phinf.pstatic.net/checkout.phinf/20250721_300/1753023638199mclVg_JPEG/20250715_203644.jpg?type=f300_300,선택1: 죽염 잇몸고 치약 120g 5개+칫솔 2개,죽염 잇몸고 치약 120g 5개+특별증정(칫솔 2개)
8,5,25.07.17.,ksks***,죽염치약 애호가 입니다.  최고랍니다. 저희집 주인님 말씀이지요.,0,https://phinf.pstatic.net/checkout.phinf/20250717_256/1752713492314ngeB7_JPEG/1752713432174.jpg?type=f300_300,선택1: 죽염 잇몸고 치약 120g 3개,죽염 잇몸고 치약 120g 5개+특별증정(칫솔 2개)
9,5,25.07.17.,ekfr********,임신 중 쓸 수 있는 치약 중 유일해요 다른건 향료향이 너무 강해요,0,https://phinf.pstatic.net/checkout.phinf/20250717_86/1752759191227hyFEI_JPEG/17527591634886632123032660701609.jpg?type=f300_300,선택1: 죽염 잇몸고 치약 120g 5개+칫솔 2개,죽염 잇몸고 치약 120g 5개+특별증정(칫솔 2개)
10,4,25.07.15.,swee*****,괜찬아요 칫솔도 무난한듯,0,https://phinf.pstatic.net/checkout.phinf/20250715_43/1752584021803iywIu_JPEG/1000029896.jpg?type=f300_300,선택1: 죽염 잇몸고 치약 120g 5개+칫솔 2개,죽염 잇몸고 치약 120g 5개+특별증정(칫솔 2개)
11,5,25.07.13.,nets***,"잇몸 이 관리에 죽염치약만한게 없어요
다른 유명한 거 써봤는데 이게 최고에요",0,https://phinf.pstatic.net/checkout.phinf/20250713_173/1752375335528YtN66_JPEG/1000010896.jpg?type=f300_300,선택1: 죽염 잇몸고 치약 120g 5개+칫솔 2개,죽염 잇몸고 치약 120g 5개+특별증정(칫솔 2개)
12,5,25.07.18.,cha7****,항상 죽염치약만 써요 칫솔까지 주시고 너무 좋아요,0,https://phinf.pstatic.net/checkout.phinf/20250718_80/1752822290540eKc4i_JPEG/1000006784.jpg?type=f300_300,선택1: 죽염 잇몸고 치약 120g 5개+칫솔 2개,죽염 잇몸고 치약 120g 5개+특별증정(칫솔 2개)
13,5,25.07.21.,dbsk******,치약은 죽염만 써요. 다른 건 개운한 느낌이 없더라구요,0,https://phinf.pstatic.net/checkout.phinf/20250721_227/1753029033465mfDi0_JPEG/image.jpg?type=f300_300,선택1: 죽염 잇몸고 치약 120g 5개+칫솔 2개,죽염 잇몸고 치약 120g 5개+특별증정(칫솔 2개)
14,5,25.07.18.,mrwo***,늘쓰는치약입니다 싸게사서좋고 재품도 좋습니다 칫솔도 주니 너무좋아요,0,https://phinf.pstatic.net/checkout.phinf/20250718_207/17528371904794xDNI_JPEG/20250718_201053.jpg?type=f300_300,선택1: 죽염 잇몸고 치약 120g 5개+칫솔 2개,죽염 잇몸고 치약 120g 5개+특별증정(칫솔 2개)
15,5,25.07.08.,ohl0***,좋아요! 치주염 예방용으로 괜찮고 양치 후 개운함도 국내에선 최상급이네요 짠맛은 금방적응됐어요,0,https://phinf.pstatic.net/checkout.phinf/20250708_211/1751938511868IS4ER_JPEG/1000044604.jpg?type=f300_300,선택1: 죽염 잇몸고 치약 120g 5개+칫솔 2개,죽염 잇몸고 치약 120g 5개+특별증정(칫솔 2개)
16,5,25.07.15.,tomm****,항상 사용하는 제품입니다 배송도 빨라서 좋아요,0,https://phinf.pstatic.net/checkout.phinf/20250715_279/1752588316565zMDBo_JPEG/ECA3BDEC97BC.JPG?type=f300_300,선택1: 죽염 잇몸고 치약 120g 5개+칫솔 2개,죽염 잇몸고 치약 120g 5개+특별증정(칫솔 2개)
17,5,25.07.17.,k408*****,우리집 최애치약. 정말좋아요,0,https://phinf.pstatic.net/checkout.phinf/20250717_114/1752715352384CV4Cl_JPEG/tmp_4323854870159899615.jpg?type=f300_300,선택1: 죽염 잇몸고 치약 120g 5개+칫솔 2개,죽염 잇몸고 치약 120g 5개+특별증정(칫솔 2개)
18,5,25.07.19.,sour******,"아이가 좋아하는 치약입니다.
초등생인데 죽염치약을 제일 좋아해요.",0,https://phinf.pstatic.net/checkout.phinf/20250719_35/1752895848070Fia7L_JPEG/1000032282.jpg?type=f300_300,선택1: 죽염 잇몸고 치약 120g 5개+칫솔 2개,죽염 잇몸고 치약 120g 5개+특별증정(칫솔 2개)
19,5,25.07.03.,lgh6***,"죽염 잇몸고에 정착해서 쓰고 있는데 
확실히 다른 치약보다는 좋은 것 같아요 ㅎㅎ
특가로 저렴하게 잘 샀네요~
유통기한은 28년으로 상당히 깁니다.
보내주신 칫솔도 잘 쓸게요 ^_^",0,https://phinf.pstatic.net/checkout.phinf/20250703_85/1751553867601bkx62_JPEG/1751553815095.jpg?type=f300_300,선택1: 죽염 잇몸고 치약 120g 5개+칫솔 2개,죽염 잇몸고 치약 120g 5개+특별증정(칫솔 2개)
20,5,25.07.16.,park******,배송빠르고좋네요 가족들이 요치약이젤좋다네요,0,https://phinf.pstatic.net/checkout.phinf/20250716_174/1752640687938x4Iz9_JPEG/1000006480.jpg?type=f300_300,선택1: 죽염 잇몸고 치약 120g 5개+칫솔 2개,죽염 잇몸고 치약 120g 5개+특별증정(칫솔 2개)
21,5,25.07.20.,6463****,"항상 쓰던 치약인데 온라인이 더 저렴하네요!!
합리적인 가격에 산 것 같아 기분이 좋아요ㅎㅎ
앞으로도 많이 팔아주세요~",0,https://phinf.pstatic.net/checkout.phinf/20250720_276/1753017287959veF3i_JPEG/1753017278062.jpg?type=f300_300,선택1: 죽염 잇몸고 치약 120g 5개+칫솔 2개,죽염 잇몸고 치약 120g 5개+특별증정(칫솔 2개)
22,4,25.07.18.,khdh****,늘 사용하는 제품인데 저렴하게 잘 샀어요 사은품 치솔  감사합니다,0,https://phinf.pstatic.net/checkout.phinf/20250718_255/1752790026099Gj27P_JPEG/1000021170.jpg?type=f300_300,선택1: 죽염 잇몸고 치약 120g 5개+칫솔 2개,죽염 잇몸고 치약 120g 5개+특별증정(칫솔 2개)
23,5,25.07.14.,ok****,"토요일에 주문했는데 일요일에 왔어요..ㅠ
급하게 필요한 건 아니었는데, 빠른 배송 감사합니다.
죽염이 쓰기 제일 좋다고 해서 주문했습니닼",0,https://phinf.pstatic.net/checkout.phinf/20250714_229/17524825184238yU2D_JPEG/IMG_8191.jpeg?type=f300_300,선택1: 죽염 잇몸고 치약 120g 5개+칫솔 2개,죽염 잇몸고 치약 120g 5개+특별증정(칫솔 2개)
24,5,25.07.17.,hosi***,좋은가격에 칫솔까지 선물로 너무 좋아요 칫솔도 늘 사용하던 거라 반가웠어요,0,https://phinf.pstatic.net/checkout.phinf/20250717_66/1752745065987u6QjR_JPEG/IMG_4724.jpeg?type=f300_300,선택1: 죽염 잇몸고 치약 120g 5개+칫솔 2개,죽염 잇몸고 치약 120g 5개+특별증정(칫솔 2개)
25,5,25.07.16.,bazz***,잇몸치약으로 항상 사용 중인 죽염치약. 사용 후 입안이 깔끔해서 좋아요,0,https://phinf.pstatic.net/checkout.phinf/20250716_145/1752622930845TrtRx_JPEG/2e88c49d-386e-4ea9-b20a-09c371dbc203-1_all_2660.jpg?type=f300_300,선택1: 죽염 잇몸고 치약 120g 5개+칫솔 2개,죽염 잇몸고 치약 120g 5개+특별증정(칫솔 2개)
26,5,25.07.14.,idov***,치솔이 너무 맘에 들어요. 사은품이라 허접 할거라 예상했는데 고퀄리티 치솔을 2개나 주셔서 넘 좋아요~,0,https://phinf.pstatic.net/checkout.phinf/20250714_153/1752474000591S0fl9_JPEG/IMG_0186.jpeg?type=f300_300,선택1: 죽염 잇몸고 치약 120g 5개+칫솔 2개,죽염 잇몸고 치약 120g 5개+특별증정(칫솔 2개)
27,5,25.07.21.,with*****,마트에서 구매하다가 처음으로 주문해봅니다. 유효기간도 길고 편하네요,0,https://phinf.pstatic.net/checkout.phinf/20250721_300/1753023638199mclVg_JPEG/20250715_203644.jpg?type=f300_300,선택1: 죽염 잇몸고 치약 120g 5개+칫솔 2개,죽염 잇몸고 치약 120g 5개+특별증정(칫솔 2개)
