rank,rating,date,user,content,helpful_count,images,option_info,product_name
1,5,25.07.20.,kdy9***,아직 써보진 않았는데 홈스타 항상 믿고 씁니다. 락스와 세제 쓰다 이번에 한번 바꿔봐요,0,https://phinf.pstatic.net/checkout.phinf/20250720_106/1753009945524MmR0E_JPEG/20250720_201020.jpg?type=f300_300,옵션: 욕실용세정제 500ml4개+바곰싹 120ml,홈스타 맥스프레쉬 욕실용 세정제 500ml 4개+특별증정(홈스타 바르는 곰팡이 싹 120ml 1개)
2,5,25.07.19.,b1ac****,주방관리를 위해 첫 구매입니다. 효과가 있기를 바래봅니다,0,https://phinf.pstatic.net/checkout.phinf/20250719_293/1752888836496YKfxn_JPEG/1000077318.jpg?type=f300_300,옵션: 주방용세정제 500ml4개+바곰싹 120ml,홈스타 맥스프레쉬 욕실용 세정제 500ml 4개+특별증정(홈스타 바르는 곰팡이 싹 120ml 1개)
3,5,25.07.19.,b1ac****,발관리를 위해 첫 구매입니다. 효과가 있기를 바래봅니다,0,https://phinf.pstatic.net/checkout.phinf/20250719_217/17528888093062ViVc_JPEG/1000077320.jpg?type=f300_300,옵션: 욕실용세정제 500ml4개+바곰싹 120ml,홈스타 맥스프레쉬 욕실용 세정제 500ml 4개+특별증정(홈스타 바르는 곰팡이 싹 120ml 1개)
4,5,25.07.15.,hjh1***,싸게 잘 샀어요 쟁겨두고 두루두루 쓰기 좋아요,0,https://phinf.pstatic.net/checkout.phinf/20250715_181/1752581104472tXNxb_JPEG/1752581075636.jpg?type=f300_300,옵션: 뿌리는곰팡이싹500ml4개+바곰싹 120ml,홈스타 맥스프레쉬 욕실용 세정제 500ml 4개+특별증정(홈스타 바르는 곰팡이 싹 120ml 1개)
5,4,25.07.15.,khsh******,"독한냄새는 안나서 좋았어요, 다만 뿌리고나서 놔두면 곰팡이나 얼룩이 지워지는건 없었고 솔로 한번더 문질러줘야해요. 다른제품들은 뿌리고 놔두면 바로 하얘지긴하던데 그만큼 독한건가봐요 수전이나 샤워줄 세척할때쓰면 반짝거리게 닦입니다 그것도 좋아요",0,,옵션: 욕실용세정제 500ml4개+바곰싹 120ml,홈스타 맥스프레쉬 욕실용 세정제 500ml 4개+특별증정(홈스타 바르는 곰팡이 싹 120ml 1개)
6,5,25.07.20.,navy****,예전 제품보다 냄새가 덜 독하네요,0,https://phinf.pstatic.net/checkout.phinf/20250720_129/17529852702327OrIP_JPEG/1000003692.jpg?type=f300_300,옵션: 욕실용세정제 500ml4개+바곰싹 120ml,홈스타 맥스프레쉬 욕실용 세정제 500ml 4개+특별증정(홈스타 바르는 곰팡이 싹 120ml 1개)
7,5,25.07.18.,hero******,잘쓰고 재구매해서 사용하고있습니다,0,https://phinf.pstatic.net/checkout.phinf/20250718_200/1752844276977FFUGk_JPEG/1000025955.jpg?type=f300_300,옵션: 욕실용세정제 500ml4개+바곰싹 120ml,홈스타 맥스프레쉬 욕실용 세정제 500ml 4개+특별증정(홈스타 바르는 곰팡이 싹 120ml 1개)
8,4,25.07.18.,78aq*******,찌든때가 말끔이 깨끗해 지길,0,https://phinf.pstatic.net/checkout.phinf/20250718_39/1752788896678oFN2n_JPEG/1000183419.jpg?type=f300_300,옵션: 착붙는락스 500ml4개+바곰싹 120ml,홈스타 맥스프레쉬 욕실용 세정제 500ml 4개+특별증정(홈스타 바르는 곰팡이 싹 120ml 1개)
9,5,25.07.15.,junc****,안전하게 잘 도착했습니다.,0,https://phinf.pstatic.net/checkout.phinf/20250715_21/17525534085384z9XW_JPEG/1752553400353.jpg?type=f300_300,옵션: 욕실용세정제 500ml4개+바곰싹 120ml,홈스타 맥스프레쉬 욕실용 세정제 500ml 4개+특별증정(홈스타 바르는 곰팡이 싹 120ml 1개)
10,5,25.07.15.,ssam***,너무좋은상품입니다강추합니다,0,https://phinf.pstatic.net/checkout.phinf/20250715_119/17525743776039Lrel_JPEG/1752574357082.jpg?type=f300_300,옵션: 욕실용세정제 500ml4개+바곰싹 120ml,홈스타 맥스프레쉬 욕실용 세정제 500ml 4개+특별증정(홈스타 바르는 곰팡이 싹 120ml 1개)
