rank,rating,date,user,content,helpful_count,images,option_info,product_name
1,5,25.06.27.,6165***,가격도 저렴하고 배송도 빠르고 좋아요. 탄력모 와 미세모 두가지을 구입하여 탄력모는 남성 미세모는 여성 사용할려고요. 부드러워서 사용하기 좋고 잇몸에 무리도 안가고 참으로 좋으네요 많이 이용하여보세요,0,https://phinf.pstatic.net/checkout.phinf/20250627_101/17509800531971wu9b_JPEG/1000020799.jpg?type=f300_300,옵션선택: 탄력모 칫솔 10입 3개,페리오 토탈케어 미세모 칫솔 10입 3개
2,5,25.06.27.,6165***,미세모 와 탄력모 두가지 구입하였지요.  미세모는 여성 탄력모는 남성 가족이 구분해서 쓸수있게 구입하였지요. 타사보다 가격도 저렴하고 배송도 빠르고 좋아요 많이 이용하여보세요,0,https://phinf.pstatic.net/checkout.phinf/20250627_170/17509802821173d1yB_JPEG/1000020799.jpg?type=f300_300,옵션선택: 미세모 칫솔 10입 3개,페리오 토탈케어 미세모 칫솔 10입 3개
3,3,25.07.19.,jisu*******,괜찮은거 같은데 너무 빳빳해요. 그런데 또 쉽게 칫솔이 벌어지네요,0,https://phinf.pstatic.net/checkout.phinf/20250719_3/17529318887260MQe8_JPEG/1000007645.jpg?type=f300_300,옵션선택: 탄력모 칫솔 10입 3개,페리오 토탈케어 미세모 칫솔 10입 3개
4,5,25.07.09.,sshi***,배송빠르구요.. 페리오칫솔 항상사용하던거라 좋습니다,0,https://phinf.pstatic.net/checkout.phinf/20250709_34/1752042131375cqvdk_JPEG/1000028440.jpg?type=f300_300,옵션선택: 미세모 칫솔 10입 3개,페리오 토탈케어 미세모 칫솔 10입 3개
5,5,25.07.13.,mimi***,엄청 많이 왔어요 생각보다 헤드 솔 부분이 크네요,0,https://phinf.pstatic.net/checkout.phinf/20250713_95/1752392343396nxwKE_JPEG/20250710_123641.jpg?type=f300_300,옵션선택: 미세모 칫솔 10입 3개,페리오 토탈케어 미세모 칫솔 10입 3개
6,5,25.07.14.,myje****,늘쓰는 제품을 저렴하게 구입해 아주 좋습니다 재구매하러 곧 올께용,0,https://phinf.pstatic.net/checkout.phinf/20250714_46/1752482034706Wlavt_JPEG/1752482026877.jpg?type=f300_300,옵션선택: 탄력모 칫솔 10입 3개,페리오 토탈케어 미세모 칫솔 10입 3개
7,4,25.07.17.,area****,아이들 쓰는 칫솔인데 가성비가 좋은것 같아요,0,https://phinf.pstatic.net/checkout.phinf/20250717_52/1752746144492CqwcO_JPEG/tmp_6902999234160685486.jpg?type=f300_300,옵션선택: 탄력모 칫솔 10입 3개,페리오 토탈케어 미세모 칫솔 10입 3개
8,5,25.07.15.,lhy9*****,잘쓰고있어요 배송도 빠르네요,0,https://phinf.pstatic.net/checkout.phinf/20250715_145/1752572318472Afi47_JPEG/20250715_183543.jpg?type=f300_300,옵션선택: 탄력모 칫솔 10입 3개,페리오 토탈케어 미세모 칫솔 10입 3개
9,5,25.07.14.,sum7*****,자주자주 교체 해 주어야 하는 칫솔인데 부드럽게 잘 닦여서 좋습니다,0,https://phinf.pstatic.net/checkout.phinf/20250714_64/17524790944452Dqtu_JPEG/1752479086620.jpg?type=f300_300,옵션선택: 탄력모 칫솔 10입 3개,페리오 토탈케어 미세모 칫솔 10입 3개
10,3,25.07.09.,yu****,칫솔자체는 괜찮은데 잇몸이 좋지않라 기능성칫솔을 사용하다 이 제품을 주문하고 보니 아쉬운 점이 있습니다,0,https://phinf.pstatic.net/checkout.phinf/20250709_28/1752063536964NMySl_JPEG/1752063515062.jpg?type=f300_300,옵션선택: 미세모 칫솔 10입 3개,페리오 토탈케어 미세모 칫솔 10입 3개
