rank,rating,date,user,content,helpful_count,images,option_info,product_name
1,5,25.07.18.,456m***,"대용량이 있는줄 몰랐네요
이 제품은 쓰면 다른제품과 다르게 손이 가렵지 않아서 좋아요",0,https://phinf.pstatic.net/checkout.phinf/20250718_96/1752823653729q5wgr_JPEG/1000025097.jpg?type=f300_300,옵션: 오리지널 용기형 720ml 2개,세이프 주방세제 천연미네랄 오리지널 용기형 720ml 2개
2,5,25.07.10.,kd****,늘 사용하는 제품이예요 손에도 부드럽고 뽀득뽀득 설거지 하는 기분이 좋아요 잔향이 남지않아 좋아요,0,https://phinf.pstatic.net/checkout.phinf/20250710_255/1752097852131gmbG0_JPEG/1752097829434.jpg?type=f300_300,옵션: 오리지널 용기형 720ml 2개,세이프 주방세제 천연미네랄 오리지널 용기형 720ml 2개
3,5,25.07.19.,puri****,거품이 잘 나네요. 성분이 괜찮다고해서 믿고 사용하겠습니다!,0,https://phinf.pstatic.net/checkout.phinf/20250719_238/1752931844652BG9AD_JPEG/20250719_170453.jpg?type=f300_300,옵션: 오리지널 용기형 720ml 2개,세이프 주방세제 천연미네랄 오리지널 용기형 720ml 2개
4,5,25.07.11.,clsr****,"저희집 주방세제는 계속 세이프네요~
 천연미네랄. 저자극성.생분해성 높음.비건인증
또 구매할께요~",0,https://phinf.pstatic.net/checkout.phinf/20250711_26/1752207494026gJrra_JPEG/20250704_175911.jpg?type=f300_300,옵션: 오리지널 용기형 720ml 2개,세이프 주방세제 천연미네랄 오리지널 용기형 720ml 2개
5,5,25.07.08.,kyum*****,"날씨가 너무 더운데 당일 배송 미안하네요.
물류센터 관계자님 및 택배 기사님 감사합니다.",0,https://phinf.pstatic.net/checkout.phinf/20250708_247/1751981034104OmmtB_JPEG/20250708_215546.jpg?type=f300_300,옵션: 오리지널 용기형 720ml 2개,세이프 주방세제 천연미네랄 오리지널 용기형 720ml 2개
6,5,25.07.15.,vnff****,제품잘받았습니다감사합니다,0,https://phinf.pstatic.net/checkout.phinf/20250715_44/1752513485797ryMQs_JPEG/1000026169.jpg?type=f300_300,옵션: 오리지널 용기형 720ml 2개,세이프 주방세제 천연미네랄 오리지널 용기형 720ml 2개
7,5,25.07.15.,azza*****,오리그림이 넘 귀여워 구매해봄,0,https://phinf.pstatic.net/checkout.phinf/20250715_89/17525157147266aFWy_JPEG/image.jpg?type=f300_300,옵션: 마일드 용기형 720ml 2개,세이프 주방세제 천연미네랄 오리지널 용기형 720ml 2개
8,5,25.07.18.,woon*********,순~~해서 좋아요!,0,https://phinf.pstatic.net/checkout.phinf/20250718_233/1752818385020V52j4_JPEG/1000044562.jpg?type=f300_300,옵션: 오리지널 용기형 720ml 2개,세이프 주방세제 천연미네랄 오리지널 용기형 720ml 2개
9,5,25.07.13.,9097******,용량크고 용기도 좋아요!!,0,https://phinf.pstatic.net/checkout.phinf/20250713_223/17523816827056YD1X_JPEG/image.jpg?type=f300_300,옵션: 오리지널 용기형 720ml 2개,세이프 주방세제 천연미네랄 오리지널 용기형 720ml 2개
10,5,25.07.09.,shpa******,배송 빠르고 제품 좋아요,0,https://phinf.pstatic.net/checkout.phinf/20250709_1/1752052244625qszCg_JPEG/PayApp_20250709_181036_2117518888761726201.jpg?type=f300_300,옵션: 마일드 용기형 720ml 2개,세이프 주방세제 천연미네랄 오리지널 용기형 720ml 2개
11,5,25.07.09.,shpa******,배송 빠르고 제품 좋아요,0,https://phinf.pstatic.net/checkout.phinf/20250709_195/1752052219742ne2pB_JPEG/PayApp_20250709_181005_6432969582074610818.jpg?type=f300_300,옵션: 오리지널 용기형 720ml 2개,세이프 주방세제 천연미네랄 오리지널 용기형 720ml 2개
12,5,25.07.04.,brls****,순하고 잘 닦여서 좋아요,0,https://phinf.pstatic.net/checkout.phinf/20250704_244/1751617563740mOYDC_JPEG/IMG_9624.jpeg?type=f300_300,옵션: 오리지널 용기형 720ml 2개,세이프 주방세제 천연미네랄 오리지널 용기형 720ml 2개
13,5,25.07.03.,rich*****,사용하면 아주 깔끔하게 세척된느낌이 드는 세제 다른걸 쓰다가 다시 돌아왔어요,0,https://phinf.pstatic.net/checkout.phinf/20250703_283/17515038355847jyDi_JPEG/1000022523.jpg?type=f300_300,옵션: 오리지널 용기형 720ml 2개,세이프 주방세제 천연미네랄 오리지널 용기형 720ml 2개
14,5,25.07.11.,wjsd******,양가부모님들 잘 쓰고계십니다:),0,https://phinf.pstatic.net/checkout.phinf/20250711_89/1752232552197jim1c_JPEG/1000014502.jpg?type=f300_300,옵션: 오리지널 용기형 720ml 2개,세이프 주방세제 천연미네랄 오리지널 용기형 720ml 2개
15,5,25.07.04.,soon********,향도 자극적이지 않고 좋습니다,0,https://phinf.pstatic.net/checkout.phinf/20250704_196/1751621029235Ev4fB_JPEG/1751621019358.jpg?type=f300_300,옵션: 오리지널 용기형 720ml 2개,세이프 주방세제 천연미네랄 오리지널 용기형 720ml 2개
16,5,25.07.03.,mode******,천연세제라 걱정없이 씁니다 좋아요,0,https://phinf.pstatic.net/checkout.phinf/20250703_103/1751508464074CLJDg_JPEG/image.jpg?type=f300_300,옵션: 오리지널 용기형 720ml 2개,세이프 주방세제 천연미네랄 오리지널 용기형 720ml 2개
