rank,rating,date,user,content,helpful_count,images,option_info,product_name
1,5,25.06.29.,powe*****,"제가 3년 이상 사용하던 염색약입니다. 암모니아 냄세도 없고, 자극적이지 않습니다. 1회 분으로 나뉘어 포장되어 사용하기 편리하고, 특히 여성에 비해 짧은 머리의 남성이 사용하기에 적당량이라 생각됩니다. 사진으로 알 수 있듯이 3회 분량이 4개가 있어 무척 저렴한 가격입니다.",0,https://phinf.pstatic.net/checkout.phinf/20250629_174/1751172029140uwlWh_JPEG/KakaoTalk_20250629_133204726.jpg?type=f300_300,옵션: 리엔 흑모비책 프로폴리스 염색약(흑갈색)헤어지성새치사용효과아주 만족해요두피자극순해요,리엔 흑모비책 프로폴리스 염색약 흑갈색 12회분
2,5,25.07.18.,55****,재발 가격좀 올리지마요,0,https://phinf.pstatic.net/checkout.phinf/20250718_186/1752802496000H9rNX_JPEG/1752802454170.jpg?type=f300_300,옵션: 리엔 흑모비책 프로폴리스 염색약(흑갈색)헤어건성가는 모발사용효과아주 만족해요두피자극순해요,리엔 흑모비책 프로폴리스 염색약 흑갈색 12회분
3,5,25.07.15.,mb82***,배송은 하루만에 도착했어요.  아직 사용해 보질 않아 모르겠네요. 나이가 한 살씩 먹다보니 올해 앞머리쪽 부터 흰머리가 자꾸 생겨 부분 염색을 하는데 염색을 하고 나면 두피가 살짝 간지럽고 살짝 따끈 거리더라고요. 그래서 인터넷 찾아보다 평이 조아 믿고 구입하게 되었어요. 한달 사용해보고 후기 남길게요.,0,https://phinf.pstatic.net/checkout.phinf/20250715_111/1752582082227WVOcX_JPEG/1000002405.jpg?type=f300_300,옵션: 리엔 흑모비책 프로폴리스 염색약(흑갈색)헤어복합성탈모사용효과아주 만족해요두피자극보통이에요,리엔 흑모비책 프로폴리스 염색약 흑갈색 12회분
4,5,25.07.16.,ljsy***,나이들어 흰머리 관리하는것이 슬프지만 그래도 요것 사용하면서 편안하고 빠르게 염색 되어서 만족합니다.. 쟁겨두는 아이템입니다,0,https://phinf.pstatic.net/checkout.phinf/20250716_40/1752639669162ahi71_JPEG/1000011599.jpg?type=f300_300,옵션: 리엔 흑모비책 프로폴리스 염색약(흑갈색)사용효과아주 만족해요두피자극순해요,리엔 흑모비책 프로폴리스 염색약 흑갈색 12회분
5,5,25.07.09.,gjuw********,"가성비 최고
염색 색상이 넘 맘에 드네요
감사합니다",0,https://phinf.pstatic.net/checkout.phinf/20250709_24/1752069810304veXIH_JPEG/1000006151.jpg?type=f300_300,옵션: 리엔 흑모비책 프로폴리스 염색약(흑갈색)사용효과아주 만족해요두피자극순해요,리엔 흑모비책 프로폴리스 염색약 흑갈색 12회분
6,5,25.07.16.,went********,늘 사용하는 제품인데. 이번에 처음으로 대량 구매했네요. 잘 쓰겠습니다.,0,https://phinf.pstatic.net/checkout.phinf/20250716_21/1752652583291SQ6ng_JPEG/1752652554565.jpg?type=f300_300,옵션: 리엔 흑모비책 프로폴리스 염색약(흑갈색)사용효과아주 만족해요두피자극순해요,리엔 흑모비책 프로폴리스 염색약 흑갈색 12회분
7,5,25.07.19.,ch****,낱개 가 한박스에 합포 되어있어요 구성품 그대로 다 있고 개별 상품과 똑같습니다👍,0,https://phinf.pstatic.net/checkout.phinf/20250719_219/1752853069172tvs3n_JPEG/IMG_9924.jpeg?type=f300_300,옵션: 리엔 흑모비책 프로폴리스 염색약(흑갈색)헤어복합성새치사용효과아주 만족해요두피자극순해요,리엔 흑모비책 프로폴리스 염색약 흑갈색 12회분
8,5,25.07.08.,ogol****,"이거 너무 좋아요
강추입니다. 냄새도 안 독하고 소량으로 소분되어있어서 뿌리염색으론 짱입니다",0,https://phinf.pstatic.net/checkout.phinf/20250708_242/1751944567367lBAyY_JPEG/IMG_1828.jpeg?type=f300_300,옵션: 리엔 흑모비책 프로폴리스 염색약(자연갈색)헤어건성손상모윤기 부족사용효과아주 만족해요두피자극순해요,리엔 흑모비책 프로폴리스 염색약 흑갈색 12회분
9,5,25.06.15.,drea****,"금요일 주문했는데 토요일 도착했네요.
빠른배송 정말 좋습니다.

피부자극 없고 10분만에 흑색으로 염색 잘 되어 계속 이제품만 사용합니다.

자극없고 독한냄새 없어 매우 만족스러워요.",0,https://phinf.pstatic.net/checkout.phinf/20250615_286/17499505379564KYpv_JPEG/1000052542.jpg?type=f300_300,옵션: 리엔 흑모비책 프로폴리스 염색약(흑색)헤어건성볼륨 부족사용효과아주 만족해요두피자극순해요,리엔 흑모비책 프로폴리스 염색약 흑갈색 12회분
10,5,25.07.10.,nohs****,요즘 흰머리 새치가 너무 많이 생겨서 보기싫었다. 그래서 흙갈색을 구매하여 염색을 하니 너무 까매서 다음부턴 갈색을 섞어야겠다,0,https://phinf.pstatic.net/checkout.phinf/20250710_72/1752149237307sHzSa_JPEG/1752149225384.jpg?type=f300_300,옵션: 리엔 흑모비책 프로폴리스 염색약(흑갈색)사용효과아주 만족해요두피자극순해요,리엔 흑모비책 프로폴리스 염색약 흑갈색 12회분
