rank,rating,date,user,content,helpful_count,images,option_info,product_name
1,5,25.07.18.,psk5***,"향이 너무 좋아요
빨래하고 널으면 집에 향이 가득해요",0,https://phinf.pstatic.net/checkout.phinf/20250718_9/1752815926301UAKoG_JPEG/1000002561.jpg?type=f300_300,옵션: 프레시릴리 1.7L 3개,아우라 생화캡슐 초고농축 섬유유연제 리필1.7L 프레시릴리 3개
2,5,25.07.09.,gale***,"향이 좋네요.
많이 진득한 것 같은 흐름입니다.
다른 향들도 구매의사 있습니다.",0,https://phinf.pstatic.net/checkout.phinf/20250709_13/1752043885454bd8so_JPEG/17520438607661074975059195662867.jpg?type=f300_300,옵션: 프레시릴리 1.7L 3개,아우라 생화캡슐 초고농축 섬유유연제 리필1.7L 프레시릴리 3개
3,5,25.07.17.,sulo****,향기롭고 배송도 빨라서 편해요.,0,https://phinf.pstatic.net/checkout.phinf/20250717_107/1752733868050eEojl_JPEG/1752733849960.jpg?type=f300_300,옵션: 프레시릴리 1.7L 3개,아우라 생화캡슐 초고농축 섬유유연제 리필1.7L 프레시릴리 3개
4,5,25.06.13.,thwj********,저렴한 가격에 잘 샀습니다 일단 저는 여름이다보니 빨래할때 향이 좋으면 좋겠다 싶어 섬유유연제 향을 많이 고민하는데요 사용해보니 향이 너무 좋습니다 앞으로도 잘쓰겠습니다 감사합니다,0,https://phinf.pstatic.net/checkout.phinf/20250613_104/1749771117413lWWq7_JPEG/20250608_103032.jpg?type=f300_300,옵션: 프레시릴리 1.7L 3개,아우라 생화캡슐 초고농축 섬유유연제 리필1.7L 프레시릴리 3개
5,5,25.07.04.,jeon*********,아우라 보통 쓰다가 생화캡슐로 바뀌보고는 넘 좋아 계속 이 제품만 사용하고 있습니다 너무 좋습니다 최고!,0,https://phinf.pstatic.net/checkout.phinf/20250704_240/1751596613560z42D4_JPEG/1751596600251.jpg?type=f300_300,옵션: 프레시릴리 1.7L 3개,아우라 생화캡슐 초고농축 섬유유연제 리필1.7L 프레시릴리 3개
6,5,25.07.07.,sjhc******,향이 너무 좋아요 ~!!,0,https://phinf.pstatic.net/checkout.phinf/20250707_34/1751888424064sAffK_JPEG/PayApp_20250707_203952_916604246570516099.jpg?type=f300_300,옵션: 프레시릴리 1.7L 3개,아우라 생화캡슐 초고농축 섬유유연제 리필1.7L 프레시릴리 3개
7,5,25.07.14.,skat******,평소 쓰는제품이라 믿고 구매해요. 잘쓸께요.,0,,옵션: 프레시릴리 1.7L 3개,아우라 생화캡슐 초고농축 섬유유연제 리필1.7L 프레시릴리 3개
8,5,25.06.12.,swee********,향이좋아요! 배송도 빠르고 무거운데 집앞까지배송되서 좋아요,0,https://phinf.pstatic.net/checkout.phinf/20250612_254/1749724199530IDa6V_JPEG/20250612_191654.jpg?type=f300_300,옵션: 프레시릴리 1.7L 3개,아우라 생화캡슐 초고농축 섬유유연제 리필1.7L 프레시릴리 3개
9,5,25.07.01.,rood***,형이 오래가도 좋아요,0,https://phinf.pstatic.net/checkout.phinf/20250701_27/17513693590562EDh1_JPEG/image.jpg?type=f300_300,옵션: 프레시릴리 1.7L 3개,아우라 생화캡슐 초고농축 섬유유연제 리필1.7L 프레시릴리 3개
10,5,25.06.24.,6267***,"향기도 좋고,배송도 빨라서 좋아요",0,https://phinf.pstatic.net/checkout.phinf/20250624_192/1750765965409OL6GY_JPEG/1750765948489.jpg?type=f300_300,옵션: 피오니로즈 1.7L 3개,아우라 생화캡슐 초고농축 섬유유연제 리필1.7L 프레시릴리 3개
11,5,25.06.27.,hiju******,향 좋아서 계속 사용중입니다,0,https://phinf.pstatic.net/checkout.phinf/20250627_34/1750988970061sGh84_JPEG/1750988959600.jpg?type=f300_300,옵션: 프레시릴리 1.7L 3개,아우라 생화캡슐 초고농축 섬유유연제 리필1.7L 프레시릴리 3개
12,5,25.06.18.,toma****,잘받았어요 향이 좋고 오래가요,0,https://phinf.pstatic.net/checkout.phinf/20250618_235/1750248676876DXdot_JPEG/1750248646657.jpg?type=f300_300,옵션: 프레시릴리 1.7L 3개,아우라 생화캡슐 초고농축 섬유유연제 리필1.7L 프레시릴리 3개
13,5,25.07.10.,uass****,향이 오래가요 재구매했습니다,0,,옵션: 프레시릴리 1.7L 3개,아우라 생화캡슐 초고농축 섬유유연제 리필1.7L 프레시릴리 3개
14,5,25.06.23.,suuk***,아우라 최고 이 향 너무 좋음,0,https://phinf.pstatic.net/checkout.phinf/20250623_289/17506678967610DtUm_JPEG/IMG_7582.jpeg?type=f300_300,옵션: 프레시릴리 1.7L 3개,아우라 생화캡슐 초고농축 섬유유연제 리필1.7L 프레시릴리 3개
15,5,25.05.24.,smok***,"향이 은은하고 좋은 것 같습니다. 너무 달달한 향을 좋아하지 않아서.. 
아우라 섬유유연제가 미세플라스틱을 신경쓴 것 같아서 자주 사요. 아이가 운동을 자주 하는데 이 향기를 좋아합니다. ㅎㅎ",0,https://phinf.pstatic.net/checkout.phinf/20250524_14/1748073076130zQz5O_JPEG/1748073053379.jpg?type=f300_300,옵션: 프레시릴리 1.7L 3개,아우라 생화캡슐 초고농축 섬유유연제 리필1.7L 프레시릴리 3개
16,5,25.06.22.,akdm*****,상품 잘 받았습니다~^^,0,https://phinf.pstatic.net/checkout.phinf/20250622_158/1750569923018iCy8k_JPEG/1000123984.jpg?type=f300_300,옵션: 피오니로즈 1.7L 3개,아우라 생화캡슐 초고농축 섬유유연제 리필1.7L 프레시릴리 3개
17,5,25.06.21.,cw****,"향이 좋아요
장마철이나 날씨가 안좋은 날에는 은은한 향기가 오래가고 너무 좋습니다.",0,,옵션: 프레시릴리 1.7L 3개,아우라 생화캡슐 초고농축 섬유유연제 리필1.7L 프레시릴리 3개
18,5,25.06.11.,king****,배송빠르고 향 좋아요,0,https://phinf.pstatic.net/checkout.phinf/20250611_24/1749630830919zHCjo_JPEG/image.jpg?type=f300_300,옵션: 프레시릴리 1.7L 3개,아우라 생화캡슐 초고농축 섬유유연제 리필1.7L 프레시릴리 3개
19,5,25.06.15.,redp*****,향이 좋은 것 같아요,0,https://phinf.pstatic.net/checkout.phinf/20250615_20/1749992351743GqBQR_JPEG/20241020_070210.jpg?type=f300_300,옵션: 프레시릴리 1.7L 3개,아우라 생화캡슐 초고농축 섬유유연제 리필1.7L 프레시릴리 3개
20,5,25.07.01.,tlsd********,배송  빠르고  제품  좋아요,0,,옵션: 프레시릴리 1.7L 3개,아우라 생화캡슐 초고농축 섬유유연제 리필1.7L 프레시릴리 3개
