rank,rating,date,user,content,helpful_count,images,option_info,product_name
1,5,25.07.06.,bobe*******,"소포장으로 되어있어서 원하는 부위에 필요한 양만큼
사용할수있어서 매우 편리하구요 함께들어있는
헤어트리트먼트를 사용하면 머리결이 실크못지않게
부드럽게 찰랑찰랑거리네요
빠른배송또한 너무 만족하네요
오늘 새벽 1시58분에 구매했는데 저녁7시반?쯤에
도착해서 너무 놀랐네요
감사합니다^^",0,https://phinf.pstatic.net/checkout.phinf/20250706_109/1751801859096Rj5IK_JPEG/1000058474.jpg?type=f300_300,옵션: 리엔 흑모비책 프로폴리스 염색약(짙은갈색)헤어건성볼륨 부족가는 모발사용효과아주 만족해요두피자극순해요,리엔 흑모비책 프로폴리스 염색약 짙은갈색 12회분
2,5,25.07.05.,nwjs****,"민감한두피 가성비 믿을만한 브랜드~
남편은 짙은갈색 
난 자연 밝은갈색 혼합해서~쉐키쉐키
근 6~7년은 써 온듯하다
간편하고 혼자서도 흐르지 않고 깔끔하게 할 수 있다
이제 익숙해져서 다른 제품은 어색~
값이 조금 오르긴 했지만~ 만족
한달에 한 번 행사(염색) 리엔과 함께 변신 중~~~",0,https://phinf.pstatic.net/checkout.phinf/20250705_17/175170173962187JXm_JPEG/1000010296.jpg?type=f300_300,옵션: 리엔 흑모비책 프로폴리스 염색약(자연갈색)헤어복합성민감성 두피사용효과아주 만족해요두피자극순해요,리엔 흑모비책 프로폴리스 염색약 짙은갈색 12회분
3,5,25.07.19.,sf****,워낙 꾸준템이라.. 어머니 염색해드릴때 사용합니다 세 개로 소분되어있어서 좋아요 대용량인거치고 단품구매보다 가격적인 메리트는 거의 없으니 처음 사용해보시면 하나만 먼저 써 보시는 것도 좋을 것 같아요,0,https://phinf.pstatic.net/checkout.phinf/20250719_280/1752922314233jgzNy_JPEG/IMG_6097.jpeg?type=f300_300,옵션: 리엔 흑모비책 프로폴리스 염색약(짙은갈색)사용효과아주 만족해요두피자극보통이에요,리엔 흑모비책 프로폴리스 염색약 짙은갈색 12회분
4,5,25.07.05.,nwjs****,"이번엔 자연갈색 짙은갈색~
내꺼 남편꺼~
최소 6개월은 걱저없이 쓸수있는 수량이다
한달에 한 번 행사(염색) 리엔과 함께 변신중~~~
변신과 멋내기  동시에 진행중이다
가성비 믿을만한 브랜드 
6~7년 사용중인데 색상도 냄새 걱정도 없고 만족~",0,https://phinf.pstatic.net/checkout.phinf/20250705_173/1751702193880iFmRi_JPEG/1000010299.jpg?type=f300_300,옵션: 리엔 흑모비책 프로폴리스 염색약(짙은갈색)헤어복합성민감성 두피사용효과아주 만족해요두피자극순해요,리엔 흑모비책 프로폴리스 염색약 짙은갈색 12회분
5,5,25.07.20.,albe*******,항상 사용하는 제품으로 가성비는 좋습니다. 개별 박스 포장이 아니라서 사용하는데 좀 번거롭네요.,0,https://phinf.pstatic.net/checkout.phinf/20250720_95/17529757307918jowu_JPEG/tmp_2683326075153431588.jpg?type=f300_300,옵션: 리엔 흑모비책 프로폴리스 염색약(짙은갈색)헤어건성가는 모발사용효과아주 만족해요두피자극순해요,리엔 흑모비책 프로폴리스 염색약 짙은갈색 12회분
6,5,25.07.20.,hbl6*****,늘 사용하는 염색약이에요 가성비있고좋아요,0,https://phinf.pstatic.net/checkout.phinf/20250720_80/1753007601991cJvCw_JPEG/1753007579344.jpg?type=f300_300,옵션: 리엔 흑모비책 프로폴리스 염색약(짙은갈색)사용효과아주 만족해요두피자극순해요,리엔 흑모비책 프로폴리스 염색약 짙은갈색 12회분
7,5,25.07.15.,chls****,아버지께서 염색약을 사달라고 하셔 배송해드렸는데 너무 좋아하십니다👍,0,https://phinf.pstatic.net/checkout.phinf/20250715_13/1752578998043DsNpR_JPEG/1000044646.jpg?type=f300_300,옵션: 리엔 흑모비책 프로폴리스 염색약(짙은갈색)사용효과아주 만족해요두피자극순해요,리엔 흑모비책 프로폴리스 염색약 짙은갈색 12회분
8,4,25.07.16.,by****,오랫동안 사용 하고 있고 지금까지 트러블없이 염색잘되는것같아 앞으로도 계속 구매할것같아요,0,https://phinf.pstatic.net/checkout.phinf/20250716_83/1752625323729ocO95_JPEG/1752625297642.jpg?type=f300_300,옵션: 리엔 흑모비책 프로폴리스 염색약(짙은갈색)사용효과괜찮아요두피자극보통이에요,리엔 흑모비책 프로폴리스 염색약 짙은갈색 12회분
9,5,25.07.09.,ene0***,"매번 사용하던 거라 대용량으로 구매했어요
여행갈때 한두개 가져가기 좋아요",0,https://phinf.pstatic.net/checkout.phinf/20250709_296/1752024621939cqJmU_JPEG/IMG_9509.jpeg?type=f300_300,옵션: 리엔 흑모비책 프로폴리스 염색약(짙은갈색)사용효과괜찮아요두피자극보통이에요,리엔 흑모비책 프로폴리스 염색약 짙은갈색 12회분
10,5,25.07.17.,kimg*******,소분되어 있어서 한번에 두개정도만 쓸수잇어서 좋아요,0,https://phinf.pstatic.net/checkout.phinf/20250717_79/1752724475791YMN2U_JPEG/image.jpg?type=f300_300,옵션: 리엔 흑모비책 프로폴리스 염색약(짙은갈색)사용효과아주 만족해요두피자극순해요,리엔 흑모비책 프로폴리스 염색약 짙은갈색 12회분
