rank,rating,date,user,content,helpful_count,images,option_info,product_name
1,5,25.07.12.,ac****,"종종 마트에서 샀는데 한 번 사면 진짜 오래 쓸 수 있을 것 같아요
여기껀 냄새도 안나고 좋아요",0,https://phinf.pstatic.net/checkout.phinf/20250712_162/1752250800952tohya_JPEG/IMG_0223.jpeg?type=f300_300,옵션: 리엔 흑모비책 프로폴리스 염색약(흑색)헤어지성손상모가는 모발민감성 두피사용효과아주 만족해요두피자극보통이에요,리엔 흑모비책 프로폴리스 염색약 흑색 12회분
2,5,25.06.20.,litt*******,셀프로 새치염색하기 편해서~항상 이 제품만 구매하고 있어요. 자연갈색은 새치염색이 잘 되지 않아서 짙은갈색으로 구매하는데...거의 검정에 가깝답니다.,1,https://phinf.pstatic.net/image.nmv/shopnbuyer_2025_06_20_3713/c5MJbyZXC2_03.jpg?type=ffn300_300,옵션: 리엔 흑모비책 프로폴리스 염색약(짙은갈색)사용효과괜찮아요두피자극보통이에요,리엔 흑모비책 프로폴리스 염색약 흑색 12회분
3,5,25.07.09.,dw****,"염색이 아주 잘됩니다.
거품 염색도 써보고 했는데 역기 흑모비책이 저렴하고 가성비 좋아요~~
새치 염색에 아주 좋아요~",1,https://phinf.pstatic.net/checkout.phinf/20250709_27/1752030605420c7Fl6_JPEG/1000011766.jpg?type=f300_300,옵션: 리엔 흑모비책 프로폴리스 염색약(흑색)헤어복합성탈모윤기 부족새치사용효과아주 만족해요두피자극보통이에요,리엔 흑모비책 프로폴리스 염색약 흑색 12회분
4,5,25.07.15.,hmj0***,전에 자주 쓰던 제품이라 이번에 잘나온거 같아서 구매하게 됐어요,0,https://phinf.pstatic.net/checkout.phinf/20250715_132/1752583199247aKWLJ_JPEG/1000005637.jpg?type=f300_300,옵션: 리엔 흑모비책 프로폴리스 염색약(흑색)헤어지성새치사용효과아주 만족해요두피자극순해요,리엔 흑모비책 프로폴리스 염색약 흑색 12회분
5,5,25.07.14.,epqm***,저렴하게 잘 샀어요~,0,https://phinf.pstatic.net/checkout.phinf/20250714_288/1752494482540r5Lvl_JPEG/tmp_4307360462664168272.jpg?type=f300_300,옵션: 리엔 흑모비책 프로폴리스 염색약(흑색)사용효과아주 만족해요두피자극순해요,리엔 흑모비책 프로폴리스 염색약 흑색 12회분
6,5,25.07.09.,yoon*******,"평 좋고 소분포장 되어있어서 구매했어요!
새치 염색도 깔끔하게 되길",0,https://phinf.pstatic.net/checkout.phinf/20250709_161/1752047534217WlmDJ_JPEG/IMG_0258.jpeg?type=f300_300,옵션: 리엔 흑모비책 프로폴리스 염색약(흑색)헤어복합성탈모사용효과아주 만족해요두피자극순해요,리엔 흑모비책 프로폴리스 염색약 흑색 12회분
7,5,25.07.15.,luck********,두피에 자극적이지않고 손쉽게 혼자서도 셀프 염색하기에 좋습니다. 1회 용량으로도 뿌리 흰머리 염색에 충분하네요~~  염색후 지속기간은 3달 정도 되는듯 합니다. 저렴하게 다량으로 구매할 수 있어서 너무 만족합니다. ~~^^,0,,옵션: 리엔 흑모비책 프로폴리스 염색약(흑색)사용효과아주 만족해요두피자극순해요,리엔 흑모비책 프로폴리스 염색약 흑색 12회분
8,5,25.07.19.,bang*****,품질도 좋고 가격도 너무 좋네요,0,https://phinf.pstatic.net/checkout.phinf/20250719_135/1752881181994ly8Es_JPEG/1000005313.jpg?type=f300_300,옵션: 리엔 흑모비책 프로폴리스 염색약(흑색)헤어지성탈모사용효과아주 만족해요두피자극순해요,리엔 흑모비책 프로폴리스 염색약 흑색 12회분
9,5,25.07.11.,49wn***,부모님 새치 염색 이거로 해드리는데 대용량 가성비 좋아요🤍,0,https://phinf.pstatic.net/checkout.phinf/20250711_92/1752229297575RrNPX_JPEG/IMG_0728.jpeg?type=f300_300,옵션: 리엔 흑모비책 프로폴리스 염색약(흑색)사용효과아주 만족해요두피자극순해요,리엔 흑모비책 프로폴리스 염색약 흑색 12회분
10,5,25.07.12.,moon*******,가격이 합리적이라 좋습니다 잘쓸게오오,0,https://phinf.pstatic.net/checkout.phinf/20250712_145/17522911675739SByS_JPEG/image.jpg?type=f300_300,옵션: 리엔 흑모비책 프로폴리스 염색약(흑색)헤어건성손상모새치윤기 부족사용효과아주 만족해요두피자극순해요,리엔 흑모비책 프로폴리스 염색약 흑색 12회분
