rank,rating,date,user,headline,body,helpful_count,images
1,5,2025.04.08,양*헌,"최고의 사진기, 단 조금만 더 저렴했다면...!!","아이폰15 프로맥스, 갤럭시 S25 울트라에 이어 미15 울트라를 사용해봤네요.
카메라 센서 하나만 보고 구매했는데, 망원에서 차이가 확연하네요.
센서 크기가 커서 그런지 노이즈도 적고 훨씬 선명한 결과물을 보여줍니다.
s25 5배줌 렌즈와 확연한 체급차가 느껴져요(;;)
일상 촬영에서도 사진에 자연스러운 심도 표현이 들어가서, 사진에 깊이감이 있네요.
원래는 사진용으로 쓰려 했는데,  유심 옮겨서 메인폰으로 사용할까 고민중일정도로
만족스러워요.
실버크롬 색상도 완전 예쁜 것 같아요. 회사에서 직원들이 먼저 물어볼 정도였어요ㅋㅋ
결론 :사진용으로 최고입니다.  단, 여러분은 할인하거나 행사할 때 구매하세요!
전 첫날 구매 혜택을 못 받아 카메라 키트 따로 구매하느라, 총 180만원정도 지출했네요 ㅠㅠ",32.0,"https://thumbnail9.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/202504/8/7427910946855455151/90b6203a-9add-46d3-a521-f85980e40df5.jpg,https://thumbnail9.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/202504/8/7427910946855455151/5ded319b-a07c-4383-a8bb-8130c6c65b62.jpg,https://thumbnail8.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/202504/8/7427910946855455151/13d538ed-d4b9-4046-a5a9-4168852878b1.jpg,https://thumbnail9.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/202504/8/7427910946855455151/76a09160-822c-4ca5-847b-de4175ccd50a.jpg,https://thumbnail10.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/202504/8/7427910946855455151/60581e5f-ac60-4665-9b08-2b0e1ecddb44.jpg,https://thumbnail6.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/202504/8/7427910946855455151/99ebc83d-6fe7-46e8-9029-5e79a2d6ffbf.jpg"
2,5,2025.04.01,김*욱,25일자 구매자들 샤오미고객센터에 연락하면 가메라킷트 받을수 있는거로 압니다.사진은 전작 14울트라보다 밝고 디테일이 좋습니다.,"25일자 구매자들 샤오미고객센터에 연락하면 가메라킷트 받을수 있는거로 압니다.
사진은 전작 14울트라보다 밝고 디테일이 좋습니다.",12.0,"https://thumbnail7.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/202504/1/7047577799831305290/4b664cff-afdb-4501-9921-e0fe16dd071f.jpg,https://thumbnail10.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/202504/1/7047577799831305290/84b0e9ed-5087-457c-8641-c20823c848d1.jpg,https://thumbnail8.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/202504/1/7047577799831305290/42b338bc-f68d-4fe3-996b-6d6e17914364.jpg,https://thumbnail9.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/202504/1/7047577799831305290/99f053ba-a5df-45ed-948d-098b7e3ef12a.jpg,https://thumbnail6.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/202504/1/7047577799831305290/328d396a-5af9-489a-a09f-7298643108a3.jpg"
3,5,2025.06.01,이*원,전화되는 디카,"배터리 매우 오래가고, 충전속도 빠르고 성능 좋고, 1인치 센서가 주는 카메라의 감동. 단 통화녹음시 상대방 고지 및 새UI에 적응이 필요함",2.0,https://thumbnail9.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/202506/1/4787406841473181444/60990ea0-5ba2-4ff5-8355-d376ab37e611.jpg
4,5,2025.04.10,안*훈,skt kt는 omd 등록 필수,국내정발 단말기이지만 skt kt 는 omd등록 하셔야 5g 및 volte정상 작동 합니다. 유심만 끼우면 전파는 잡히는데 통화품질이 매우 떨어집니다. 대리점이나 통신사 고객센터에서 omd 코드 등록 하겠다고 하면됩니다. 개인적으로 유선으로 서류 주고 받고 하는 것 보다 직영점에 신분증 들고 방문하시는게 속편합니다. 일반 대리점은 잘 모르는 경우도 있습니다.,28.0,https://thumbnail6.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/202504/10/8819153487384116415/0bceb801-705d-4e1a-82ee-87a0c170cd64.jpg
5,5,2025.03.26,전*문,쿠팡 구입시 카메라 키트 구매 쿠폰 적용 구매후 30일이 지나야 가능카메라 키트가 목적이 아니었기에 기다렸다가 키트도 잘 사용해보겠습니다S25 울트라 안 부러워요 ㅎㅎ,"쿠팡 구입시 카메라 키트 구매 쿠폰 적용 구매후 30일이 지나야 가능
카메라 키트가 목적이 아니었기에 기다렸다가 키트도 잘 사용해보겠습니다
S25 울트라 안 부러워요 ㅎㅎ",15.0,
6,5,2025.07.01,이*진,만족합니당,갬성 충족되네여 카메라 대만족임당,,
7,5,2025.06.29,박민지22,,,,
8,5,2025.06.29,박민지22,,,,
9,5,2025.06.28,KOK********* *******,,,,
10,4,2025.06.26,송*섭,,,,
11,5,2025.05.20,유*태,,,,
12,5,2025.05.11,정*삼,,,,
13,5,2025.04.16,RAH*********,,,,
14,5,2025.04.08,김*섭,,,,
15,5,2025.04.05,이*명,,,,
16,5,2025.04.03,유*광,,,,
17,5,2025.03.27,이*동,,,,
18,4,2025.03.26,조*윤,,,,
19,5,2025.03.26,손*태,,,,
20,3,2025.03.27,이*집,,,,
