rank,rating,date,user,headline,body,helpful_count,images
1,5,2025.06.29,유*우,급하게 빠르게 충전할 때는 최고!!,"다만 10,000mAh여서 스마트폰 풀충전 이후에는 바로 충전시켜줘야한다",,
2,5,2025.05.28,고*석,"충전속도 빠르고, 들고 다니기 편리합니다. 아주 만족합니다.핸드폰이 2년이 넘어가다보니 배터리가 빨리 닳아서.. 필요했는데 딱이네요!","충전속도 빠르고, 들고 다니기 편리합니다. 아주 만족합니다.
핸드폰이 2년이 넘어가다보니 배터리가 빨리 닳아서.. 필요했는데 딱이네요!",1.0,
3,5,2025.04.02,강*정,진짜 빠른 충전기!!,"갤럭시 s23 약 2번 넘게 충전 가능해요! 선이 튀어나와있는거, 좀 무거운게 흠이에요 무게는 물 500ml 든 정도? 같아요 여행가서 급하게 필요해서 산건데 잘 썼어요~ 기본단자는 c타입입니다!",4.0,
4,5,2025.06.15,백*호,,,,
5,5,2025.06.09,박*준,,,,
6,4,2025.05.22,이5희,,,,
7,5,2025.05.21,신*평,,,,
8,5,2025.05.10,WU ******,,,,
9,5,2025.04.28,김*곤,,,,
10,5,2025.03.23,정*택,,,,
11,5,2025.03.18,WU ******,,,,
12,5,2025.02.28,선*태,,,,
13,5,2025.02.10,ZHA* *******,,,,
14,3,2025.05.17,이*우,,,,
15,3,2025.03.15,유*건,,,,
16,3,2025.03.14,조*연,,,,
