rank,rating,date,user,headline,body,helpful_count,images
1,5,2025.05.08,유유호야,와이파이 연결로 쉽게 조작 가능한 샤오미 스마트티비!,"쿠팡체험단 이벤트로 상품을 무료 제공받아 작성한 리뷰입니다.
이번에 쿠팡체험단으로 선택한 물품은 샤오미 FHD LED 43인치 스마트TV(스탠드형)이예요. 거실에만 티비가 1대 있는데 주말만 되면 서로 티비 보겠다며 싸우는 아이들때문에 이동형 티비라도 구매해야하나 하던차에 좋은 기회로 사용해보게 되었어요. 제가 생각했던 사이즈보다는 훨씬 더 커져버렸지만.. 티비는 거거익선?!이더라구요^^;; 샤오미는 집에 전기포트, 로봇청소기, 태블릿까지 사용 중이기도한 브랜드예요.
샤오미 L43MA-AFTWN 모델은 43인치 LED에 풀HD티비라고 판매페이지엔 되어있는데 박스표기나 티비 제품표기에는 '모니터'라고 되어있어요. 스탠드형이라 원하는 곳에 둘수 있어서 좋아요. wifi, 블루투스, 구글 등등 연결 가능한 스마트TV로 유트브, 넷플리스 등 OTT도 지원되는 부분이 너무 좋은거 같아요. 폰 화면도 무선으로 연결 가능하고, 와이파이만 연결해서 OTT를 큰 화면으로 볼수있는 부분이 최대 장점인거 같아요. 전원연결선은 뒷부분에 ACin이라 적힌 곳 위에 꽂는데가 있어요. 온모드 소비전력이 56.6W(정격75W)라 적혀있는데 한국에너지공단의 최저소비효율기준 만족제품이라고 하네요.
화면 엣지부분이 거의 없이 깔끔한 디자인에 메탈릭 프레임이라고 해요. 리모컨에도 넷플릭스, 유튜브 버튼이 있으니 바로 실행을 할수 있어서 편하고 AAA 건전지 2개가 들어가는데 별매로 따로 필요하네요. 리모컨이 깔끔해보이는 이유가 숫자판이 없어서였네요^^;; 유튜브 검색할 땐 리모컨에 음성인식으로 검색이 가능해요.
처음 연결할 때 로딩시간이 조금 걸리는데 다시 껐다켰을 땐 바로 화면이 나오고 마지막 실행한 부분이 나오네요. 화질도 이정도면 괜찮은거 같고 소리도 깔끔하게 잘 들려서 여러모로 만족스러운 제품이예요~^^",16.0,"https://thumbnail9.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/202505/8/6213151849535256145/8a9b65bb-b837-48f2-bad0-416c906c94d1.jpg,https://thumbnail7.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/202505/8/6213151849535256145/c19fd009-d1e9-42a1-9765-96628c392b33.jpg,https://thumbnail6.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/202505/8/6213151849535256145/0ecb11a6-d330-40b5-9b8d-08577b58ddca.jpg,https://thumbnail7.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/202505/8/6213151849535256145/ab9f6e9c-4011-42be-b4ff-1fa7305cbade.jpg,https://thumbnail7.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/202505/8/6213151849535256145/22d6ed0b-94f6-4f19-82e9-870a14898e28.jpg,https://thumbnail8.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/202505/8/6213151849535256145/0e8434c7-4726-4337-8a06-c12255586b36.jpg,https://thumbnail9.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/202505/8/6213151849535256145/27bc8882-f62d-486a-bae5-458a6f59419a.jpg,https://thumbnail9.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/202505/8/6213151849535256145/2d9aa61d-df1f-49b0-bf51-90acb945bd53.jpg,https://thumbnail9.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/202505/8/6213151849535256145/702925ae-d869-495f-a7a8-53a59a67ce7a.jpg,https://thumbnail8.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/202505/8/6213151849535256145/09edff00-5f77-4598-ab38-341b02556d04.jpg"
2,5,2025.06.21,이*정,거실에 딱! 가성비 끝판왕 샤오미 65인치 TV ✨,"30평대 거실에 설치했는데 크기감이 정말 딱 좋아요.
너무 크지도 작지도 않아서 시원시원하게 즐기기 좋아요.
4K UHD 화질도 아주 선명하고, 밝기도 좋아서 낮에도 쨍하게 잘 보여요!
게다가 이번에 세일 중이라 더 저렴한 가격에 구매해서 만족도 최고!
이 가격에 이 정도 성능이면 정말 가성비 괴물이라고 생각해요.
스마트 TV 기능도 잘 작동되고, OTT 앱도 리모컨으로 바로 실행돼서 편하더라고요.
또 하나 좋았던 건 방문 설치 서비스!
직접 설치해주셔서 번거로움 없이 바로 사용할 수 있었어요.
스탠드형이라 따로 벽걸이 고민도 필요 없었고요.
디자인도 깔끔하고 베젤도 얇아서 몰입감도 GOOD.
전체적으로 성능, 가격, 편의성 모두 만족스러운 제품이에요.
거실용 TV 고민 중이시라면 정말 강력 추천드립니다",2.0,"https://thumbnail9.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/202506/21/1899841322669586571/d4086b4e-a4c8-4739-a4bb-2c45c3705b57.jpg,https://thumbnail9.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/202506/21/1899841322669586571/e052b347-b73e-4ab2-a4ed-8e290bd9aa41.jpg,https://thumbnail7.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/202506/21/1899841322669586571/3e411f1f-8a4c-48f0-8def-bfa02b76f5ff.jpg,https://thumbnail6.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/202506/21/1899841322669586571/05cd3835-cf3b-45aa-b359-e27eb06a8368.jpg,https://thumbnail10.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/202506/21/1899841322669586571/04efafa8-b108-43b6-ae7e-6d3bbe1e6494.jpg"
3,5,2025.05.05,조*린,쿠팡체험단 이벤트로 상품을 무료 제공받아 작성한 리뷰입니다.아이가 태어나고 티브이를 처분하고 몇년 살다보니지금은 디즈나 넷플이나 볼게 너무 다양하게 잘 나오더라구요매번 탭을 보는것도 한계가 있고 이번에 기회에 아이들 시력도보호하고 다양하게 볼 여줄 경험을 하게 되었내요저희집 아이들은 아직 갓초딩입학한 아이들이라 리모콘 조작이나 화면 조작이 어려울줄 알았는데 티브이가 온날 설치하고옆에 앉아서 몇번 보더니 알아서 척척 하네요가르쳐주고 할 필요가 크게 없었어요  요즘 아이들이 금방 배우는것 같아요그리고 리모콘에  구글 음성검색도 되니 글자를 잘 몰라도음성으로 검색하니 아이들이 보고 싶은 만화 노래 동물등도쉽게 검색해서 보네요화면은 명암 밝기가 좀 밝은 느낌이지만게임용으로 한다고 해도 닌텐도 연결해서 마리오 카트등을 하는데크게 화질이 떨어진다거나 하는 느낌도 없었어요여자 아이들이라서 디즈니 공주시리즈를 자주 보는 편인데화질도 크게 나쁘지 않아요 음질도 아이들 위주로 보다보니저희집은 소리크게 나느게 중요한데 아주 잘 들려요 ㅎㅎ다만 켰을때 앱실행 시간은 조금 걸리는듯 하나그건 적응하니 좀 괜찮아 지는것 같아요그리고 가격이 아주 가성비가 너무 좋죠간단한 영상을 4K UHD LED 과 비교가 안되겠지만  탭보다 훨 좋네요ㅎㅎ처음엔 화면이 작을까 고민했지만 적당한것 같아요티브이라긴 보다 조금 큰 화질좋은 스마트 모니터라고 생각하면 좋을것 같습니다,"쿠팡체험단 이벤트로 상품을 무료 제공받아 작성한 리뷰입니다.
아이가 태어나고 티브이를 처분하고 몇년 살다보니
지금은 디즈나 넷플이나 볼게 너무 다양하게 잘 나오더라구요
매번 탭을 보는것도 한계가 있고 이번에 기회에 아이들 시력도
보호하고 다양하게 볼 여줄 경험을 하게 되었내요
저희집 아이들은 아직 갓초딩입학한 아이들이라 리모콘 조작이나 화면 조작이 어려울줄 알았는데 티브이가 온날 설치하고
옆에 앉아서 몇번 보더니 알아서 척척 하네요
가르쳐주고 할 필요가 크게 없었어요  요즘 아이들이 금방 배우는것 같아요
그리고 리모콘에  구글 음성검색도 되니 글자를 잘 몰라도
음성으로 검색하니 아이들이 보고 싶은 만화 노래 동물등도
쉽게 검색해서 보네요
화면은 명암 밝기가 좀 밝은 느낌이지만
게임용으로 한다고 해도 닌텐도 연결해서 마리오 카트등을 하는데
크게 화질이 떨어진다거나 하는 느낌도 없었어요
여자 아이들이라서 디즈니 공주시리즈를 자주 보는 편인데
화질도 크게 나쁘지 않아요 음질도 아이들 위주로 보다보니
저희집은 소리크게 나느게 중요한데 아주 잘 들려요 ㅎㅎ
다만 켰을때 앱실행 시간은 조금 걸리는듯 하나
그건 적응하니 좀 괜찮아 지는것 같아요
그리고 가격이 아주 가성비가 너무 좋죠
간단한 영상을 4K UHD LED 과 비교가 안되겠지만  탭보다 훨 좋네요ㅎㅎ
처음엔 화면이 작을까 고민했지만 적당한것 같아요
티브이라긴 보다 조금 큰 화질좋은 스마트 모니터
라고 생각하면 좋을것 같습니다",9.0,"https://video.coupangcdn.com/cloud/PRODUCTREVIEW/202505/5/2173061036625229047/f20de134-74f0-492a-90df-9fb2ff2bd29c/transcode/thumbnail-00001.png,https://thumbnail8.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/202505/5/2173061036625229047/e6a44708-f71f-492e-bdd9-ba0849ff351e.jpg,https://thumbnail10.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/202505/5/2173061036625229047/8519d9ab-4ea8-4bad-a896-798fafb42f5d.jpg,https://thumbnail9.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/202505/5/2173061036625229047/110b9911-f0fc-4fbf-ab27-91bb12693104.jpg"
4,5,2025.06.04,전*리,혼자 사는 자취생한테 맞는 가성비 TV,"혼자 자취하면서 유튜브나 넷플릭스, 디즈니+ 볼 용도로 샤오미 55인치 TV 샀어요. 가격은 42만 원대였고, 설치까지 다 해줘서 편했어요.
✅ 화질 좋아요
•4K 화질이라 화면 선명하고 색감도 자연스러워요.
•영화나 드라마 볼 때 몰입감 괜찮고, 화면도 크고 시야각도 넓어서 어디서 봐도 잘 보여요.
✅ 소리 괜찮아요
•스피커가 10W + 10W인데 생각보다 빵빵해요.
•방이나 원룸에서는 따로 스피커 안 달아도 충분해요.
✅ 스마트 TV 기능
•유튜브, 넷플릭스, 디즈니+ 다 깔려 있고 앱 추가도 가능해요.
•리모컨에 음성 검색 버튼 있어서 “넷플릭스 켜줘” 이런 식으로 말하면 바로 실행돼요.
•폰 화면 TV로 보내는 것도 쉽고 빠르게 돼요 (크롬캐스트 내장돼 있음).
✅ 디자인도 깔끔
•베젤 얇고 테두리 메탈이라 깔끔하고 고급스러워 보여요.
•무게도 10kg 정도라 혼자 옮기기도 괜찮았고, 스탠드 설치도 쉬워요.
❌ 아쉬운 점
•여러 앱 동시에 켜 놓으면 버벅일 수 있어요.
•큰 거실이라면 소리가 약하게 느껴질 수도 있어요.
총평
이 가격에 이만한 TV 찾기 힘들 것 같아요.
영상 많이 보는 자취생한테는 진짜 가성비 최고예요.
딱 ‘스마트 모니터 + 대형 화면 TV’ 이렇게 생각하면 딱 맞아요.",1.0,
5,5,2025.02.25,쁘니,"우수한 화질과 색감4K UHD 해상도와 HDR10 지원으로 선명하고 생동감 있는 화질을 제공합니다. 영화나 스포츠 중계를 시청할 때 몰입감이 뛰어나며, 색감도 자연스럽고 균형 잡혀 있습니다.스마트 기능의 편리함Google TV 기반의 운영체제로 Netflix, YouTube, Disney+ 등 주요 스트리밍 앱을 손쉽게 이용할 수 있습니다. 리모컨의 음성 인식 기능도 지원되어 검색이나 명령 입력이 편리합니다.세련된 디자인과 설치 용이성얇은 베젤과 깔끔한 디자인으로 어떤 인테리어에도 잘 어울립니다. 벽걸이형 모델로 설치가 간편하며, 공간 활용에 유리합니다.가성비 뛰어난 가격대동급의 타 브랜드 제품들과 비교했을 때, 이 가격대에서 제공하는 성능과 기능은 매우 경쟁력이 있습니다.❌ 단점내장 스피커의 한계내장 스피커의 출력이 다소 낮아, 큰 공간에서는 음량이 부족하게 느껴질 수 있습니다. 외부 스피커나 사운드바와의 연결을 고려하는 것이 좋습니다.앱 실행 속도일부 사용자는 앱 실행 시 약간의 지연을 경험할 수 있습니다. 특히 여러 앱을 동시에 실행하거나 멀티태스킹 시 속도 저하가 발생할 수 있습니다.스마트 기능의 제한일부 고급 스마트 기능이나 최신 앱의 지원이 부족할 수 있습니다. 특히 최신 게임 콘솔과의 호환성이나 고급 게임 모드 지원에 제한이 있을 수 있습니다.","우수한 화질과 색감
4K UHD 해상도와 HDR10 지원으로 선명하고 생동감 있는 화질을 제공합니다. 영화나 스포츠 중계를 시청할 때 몰입감이 뛰어나며, 색감도 자연스럽고 균형 잡혀 있습니다.
스마트 기능의 편리함
Google TV 기반의 운영체제로 Netflix, YouTube, Disney+ 등 주요 스트리밍 앱을 손쉽게 이용할 수 있습니다. 리모컨의 음성 인식 기능도 지원되어 검색이나 명령 입력이 편리합니다.
세련된 디자인과 설치 용이성
얇은 베젤과 깔끔한 디자인으로 어떤 인테리어에도 잘 어울립니다. 벽걸이형 모델로 설치가 간편하며, 공간 활용에 유리합니다.
가성비 뛰어난 가격대
동급의 타 브랜드 제품들과 비교했을 때, 이 가격대에서 제공하는 성능과 기능은 매우 경쟁력이 있습니다.
❌ 단점
내장 스피커의 한계
내장 스피커의 출력이 다소 낮아, 큰 공간에서는 음량이 부족하게 느껴질 수 있습니다. 외부 스피커나 사운드바와의 연결을 고려하는 것이 좋습니다.
앱 실행 속도
일부 사용자는 앱 실행 시 약간의 지연을 경험할 수 있습니다. 특히 여러 앱을 동시에 실행하거나 멀티태스킹 시 속도 저하가 발생할 수 있습니다.
스마트 기능의 제한
일부 고급 스마트 기능이나 최신 앱의 지원이 부족할 수 있습니다. 특히 최신 게임 콘솔과의 호환성이나 고급 게임 모드 지원에 제한이 있을 수 있습니다.",7.0,https://thumbnail7.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/202502/25/1706040281744184208/1b3ee520-1514-4839-a68b-12343c21497d.jpg
6,5,2025.05.11,윤*일,분리 원룸이지만 티비는 크게!,"디자인 - 깔끔
리모콘 디자인 - 더 깔끔
기능 - 필요한 것들만
사용법 - 너무 쉽죠
가성비 - 이것만한 티비가 없네요
무게 - 얇아서 너무 가벼워요
쿠팡 설치로 잘 받았습니다 빠르게 설치하고 티비 한 번
조져보니 너무 깔끔하네요 필요한 기능만 있고
이런 크기에 이런 성능이면 너무 가성비입니다
중소기업들 패널들도 결국 중국패널일테고
샤오미 라는 브랜드가 이젠 더이상 하자만 있는
그런 브랜드가 아니니 가성비로 사용하기엔 이만한게 없습니다
정말 추천~~~",7.0,"https://thumbnail9.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/202505/11/9083892786404576869/ca6ee95a-9031-4360-9f6a-de4b3f017df3.jpg,https://thumbnail9.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/202505/11/9083892786404576869/76cf0612-b70c-4079-9762-f3fc3afb8edb.jpg,https://thumbnail8.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/202505/11/9083892786404576869/f361288c-7487-42d7-8c3a-bdb8fe85e33a.jpg"
7,5,2025.05.20,조*지,"제품 설명디스플레이: 65인치 QLED 패널로 생생한 색감과 높은 명암비를 구현합니다.해상도: 4K UHD (3840x2160)로 선명한 화질을 제공합니다.HDR 지원: HDR 기술을 지원하여 더 넓은 밝기 범위와 생생한 색상을 표현합니다.스마트 기능: 다양한 스트리밍 앱과 인터넷 브라우징 기능을 지원하여 편리한 콘텐츠 소비가 가능합니다.디자인: 슬림한 베젤과 세련된 디자인으로 어떤 공간에도 잘 어울립니다.별점 5점★★★★★ (5/5)스마트TV를 구매한 후, 집에서의 영화 감상이 한층 업그레이드되었습니다.  선명한 화질과 생생한 색감 덕분에 마치 극장에 온 듯한 느낌을 받습니다.  스마트 기능도 직관적이고 사용하기 쉬워서 다양한 콘텐츠를 손쉽게 즐길 수 있습니다.  가격 대비 뛰어난 성능을 제공하는 이 제품을 강력히 추천합니다!","제품 설명
디스플레이: 65인치 QLED 패널로 생생한 색감과 높은 명암비를 구현합니다.
해상도: 4K UHD (3840x2160)로 선명한 화질을 제공합니다.
HDR 지원: HDR 기술을 지원하여 더 넓은 밝기 범위와 생생한 색상을 표현합니다.
스마트 기능: 다양한 스트리밍 앱과 인터넷 브라우징 기능을 지원하여 편리한 콘텐츠 소비가 가능합니다.
디자인: 슬림한 베젤과 세련된 디자인으로 어떤 공간에도 잘 어울립니다.
별점 5점
★★★★★ (5/5)
스마트TV를 구매한 후, 집에서의 영화 감상이 한층 업그레이드되었습니다.  선명한 화질과 생생한 색감 덕분에 마치 극장에 온 듯한 느낌을 받습니다.  스마트 기능도 직관적이고 사용하기 쉬워서 다양한 콘텐츠를 손쉽게 즐길 수 있습니다.  가격 대비 뛰어난 성능을 제공하는 이 제품을 강력히 추천합니다!",,
8,1,2025.03.24,ZHE** *******,이미지랑 전혀다른 모델.,이미지랑 전혀다른 모델로 스토리지 사양부터 판넬사양까지 맞는게 하나도 없어요.  그리고  서비스 센터에선 맨날 기다리라고만하고 이젠 연락도 안와요.^^  원래  별 기대도 하지않았음에도  고객응대에 감탄을 합니다. 따봉!!  다시확인 해보니 이미지를 싹다 바꿔 놓았네요 ㅋㅋㅋㅋ,31.0,"https://thumbnail9.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/202503/24/3089213409631340659/755cb92c-fb0d-456b-84cc-f278c9093e7b.jpg,https://thumbnail7.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/202503/24/3089213409631340659/cc55da27-d9de-45dc-bd9f-ab8d9e1b288b.jpg,https://thumbnail10.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/202503/24/3089213409631340659/507361e7-b902-49b6-a8a2-704cedafb0be.png,https://thumbnail7.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/202503/24/3089213409631340659/21460264-0f68-485a-9304-08e217733da8.png,https://thumbnail10.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/202503/24/3089213409631340659/73bfe57a-4945-4e09-b4ac-12670e3d08d1.png,https://thumbnail6.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/202503/24/3089213409631340659/1b190d4f-8413-4d98-b56b-13a526f6e3cc.png"
9,5,2025.06.17,정*민,기사님께서 설치해주시고 설명도 친절하게 해주시고 기존티비도 가져가주셨어요기존티비도 쿠팡에서 주문해서 설치받았는데 이번 설치하시는분이 더 전문적으로 해주셨어요티비성능은 말해모해~예요스마트 티비로 정말 스마트하네요요즘티비는 인터넷만 있으면 티비요금제가 필요없을듯 합니다티비 화면 선명하고 음질도 짱짱합니다영화보고싶어지는 음질이예요이가격에 가성비 최고예요,"기사님께서 설치해주시고 설명도 친절하게 해주시고 기존티비도 가져가주셨어요
기존티비도 쿠팡에서 주문해서 설치받았는데 이번 설치하시는분이 더 전문적으로 해주셨어요
티비성능은 말해모해~예요
스마트 티비로 정말 스마트하네요
요즘티비는 인터넷만 있으면 티비요금제가 필요없을듯 합니다
티비 화면 선명하고 음질도 짱짱합니다
영화보고싶어지는 음질이예요
이가격에 가성비 최고예요",,
10,5,2025.04.09,조*민,가성비최고.,"기존 거실tv가 50인치였어서 안그래도 바꿀까 고민중이었는데 골드박스에 떴길래 바로 구매했습니다.
구매 다음날 설치해주러 오셨는데 세상에,설치기사님이 너무 친절하셨네요.
벽뚫고 먼지뒷처리부터,사용방법도 하나하나 상세히 알려주시고 몇번이고 잘되는지 테스트해주신후에 돌아가셨어요.
설치시간은 한시간좀 안되게 걸린것같습니다.
처음엔 너무 클까싶었는데 막상 달아놓고보니 그냥 75인치 할껄..하는 아쉬움이 조금 생겼지만 그래도 가성비가 너무 좋아서 한동안 잘쓸듯싶네요.
화질은 꽤나 선명한 편이고 리모콘이 아직 익숙하진않지만 조작이 어렵진 않습니다.
샤오미제품은 처음 써보는데 가격대비 만족스럽네요.",10.0,https://thumbnail9.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/202504/9/6957377834375314831/69b83b3d-c18b-4b79-92f3-7f79a22caa96.jpg
