rank,rating,date,user,headline,body,helpful_count,images
1,5,2025.06.17,박카라,좋아요,"가격대비 성능이 좋습니다.
스탠드로 세우면 스탠드와 모니터 결합부위에 유격이 조금 있어서
좌우로 살짝 꺼떡거리는데 원하는 만큼 기울이면 그상태에서 멈춰있어서
불편하진 않아요.
사무용이나 서브모니터로 사기 좋은거 같아요.",,"https://thumbnail6.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/202506/17/4271287850173863518/2543b45d-e011-4c36-854f-ec5f284ad373.jpg,https://thumbnail7.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/202506/17/4271287850173863518/155fdd37-eee3-4578-b2c3-6d2fa4cfaf5f.jpg"
2,4,2025.05.03,박*주,처음에는 가격이 저렴했는데 시간이 갈수록 올라가긴합니다.,처음에는 가격이 저렴했는데 시간이 갈수록 올라가긴합니다.,1.0,
3,5,2024.12.26,HAN ****,가성비 높은 제품,"가격 비해 성능상 사무용 충족 합니다.
특히 눈 보호 기능 있어 장기간 사무에도 눈에 무리가 없구요.
암튼 만족스러운 구매였습니다.",2.0,
4,5,2024.11.23,박*주,샤오미 제품을 사용해본건 공기청정기에 이여 모니터를 구매해봤습니다.좋은점은1. 가격2. fhd ips3.주사율이 100hz4.화면이 부드러워요,"샤오미 제품을 사용해본건 공기청정기에 이여 모니터를 구매해봤습니다.
좋은점은
1. 가격
2. fhd ips
3.주사율이 100hz
4.화면이 부드러워요",1.0,
5,5,2024.10.08,Cherry,전에 쓰던게 말썽 부려서 이 제품으로 주문 했어요여자 혼자 설명서도 안보고 아주 쉽게 설치 할 수 있어서 좋았어요지인이 보고 자기가 사고 싶을만큼 좋다고 부러워 했어요 ㅎㅎ,"전에 쓰던게 말썽 부려서 이 제품으로 주문 했어요
여자 혼자 설명서도 안보고 아주 쉽게 설치 할 수 있어서 좋았어요
지인이 보고 자기가 사고 싶을만큼 좋다고 부러워 했어요 ㅎㅎ",,
6,4,2024.09.21,조*식,우측 상단 불량화소 발견 반품 귀찮아 그냥 쓰렵니다.,,,
7,5,2024.11.17,최*,사무용으로 구매했는데 좋아서 집것도 하나더사려구요!,,,
8,4,2025.05.03,박*주,처음에는 가격이 저렴했는데 시간이 갈수록 올라가긴합니다.,처음에는 가격이 저렴했는데 시간이 갈수록 올라가긴합니다.,,
9,4,2025.05.03,박*주,처음에는 가격이 저렴했는데 시간이 갈수록 올라가긴합니다.,처음에는 가격이 저렴했는데 시간이 갈수록 올라가긴합니다.,,
10,5,2025.06.25,신*호,,,,
11,5,2025.06.10,조*종,,,,
12,5,2025.06.03,김*형,,,,
13,5,2025.06.02,전*현,,,,
14,5,2025.05.28,김*임,,,,
15,4,2025.05.03,박*주,,,,
16,4,2025.05.03,박*주,,,,
17,5,2025.03.17,센소다인,,,,
18,4,2024.12.27,정*영,,,,
19,4,2024.11.01,김*주,,,,
20,5,2024.07.30,센소다인,,,,
