rank,rating,date,user,headline,body,helpful_count,images
1,5,2024.11.11,김*정,모니터 좋아요,"가격에 비해 좋네요.
그래픽사용도 하고 게임도 하고 사무도 같이 하는 환경인데  만족합니다.
다른 모니터도 바꿀까 생각중이예요.
가성비 좋네요
추천합니다.",,https://thumbnail8.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/202411/11/2960904902580125092/f8fc1af9-a03c-4316-bb2f-f3263a2cf568.jpg
2,1,2025.03.28,GUO ******,샤오미 모니터 안 살 겁니다.,"리뷰 많이 보고 괜찮다고 샀는데...가격대비 괜찮다고 생각하고... 산지 2주만에 모니터 위치 움겼다가 부디쳐뷰 많이 보고 괜찮다고 샀는데...가격대비 괜찮다고 생각하고... 산지 2주만에 모니터 위치 움겼다가 부딪혔다가 모니터 깨쪘어요..내가 잘 못한거도 있는데...왜 이렇게 약하지?많이 생각하고 있어요 집에서 삼성모니터는 그나마 든든하고....
문제는 수리는 못 합니다. 수리센터에 전화했는데...모니터는 수리 못 한다고...어이가 없네...티비는 어느 정도 수리 가능하다고... 더이상 샤오미 모니터는 안 살 겁니다 문제가 있으면 무조건 버려야 됩니다.",,
3,5,2024.08.16,김*준,샤오미라 불안했는데 생각보다 가성비 미쳤는데요? 144hz잘되고 밝기 조절도되고 흠잡을게 없어요,샤오미라 불안했는데 생각보다 가성비 미쳤는데요? 144hz잘되고 밝기 조절도되고 흠잡을게 없어요,3.0,
4,5,2024.08.07,성*철,받아보고 몇주간 사용해봤는데 나쁘지 않는것 같네요.개인적으론 만족합니다.,"받아보고 몇주간 사용해봤는데 나쁘지 않는것 같네요.
개인적으론 만족합니다.",1.0,
5,5,2024.06.24,이*형,색바램없이 화질 좋습니다 모험해봤는데 성공해서 기분이굿,,,
6,5,2024.09.16,JIN*******,가성비 미친 모니터,,,https://thumbnail10.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/202409/16/5141470127555761221/5a56fd5f-41df-42ce-9913-1906c444c6b0.jpg
7,5,2025.04.14,이*한,,,,
8,2,2024.08.27,유*호,,,,"https://thumbnail6.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/202408/27/7223139911270097210/8f368c09-4503-48be-8393-7f425041f8c0.jpg,https://thumbnail8.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/202408/27/7223139911270097210/b1b1834f-d28f-49b6-a7e8-83a4f994e446.jpg,https://thumbnail9.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/202408/27/7223139911270097210/b49ebcb4-1da4-4c8e-8a03-ad42429dc28b.jpg"
9,5,2025.02.22,이*원,,,,
10,5,2025.01.31,JIA********,,,,
11,5,2025.01.31,정*화,,,,
12,5,2025.01.28,도토돈,,,,
13,5,2024.11.28,alh****** **** *****,,,,
14,5,2024.10.22,이*제,,,,
15,5,2024.10.22,허*혁,,,,
16,5,2024.10.12,이*희,,,,
17,5,2024.09.08,호*석,,,,
18,5,2024.08.11,이*규,,,,
19,5,2024.08.06,이*민,,,,
20,3,2024.11.11,김*철,,,,
