rank,rating,date,user,headline,body,helpful_count,images
1,5,2025.04.01,요망진소비,내 돈 내산 찐 후기) 이 가격에 믿기지 않는 성능,".
.
(거짓 없는 솔직한 후기를 바탕으로 작성했습니다.)
구입하게 된 계기: 급하게 간단한 업무용 핸드폰이 필요한데 간단한 용도로만 사용할거라 가성비 휴대폰 찾던 와중에 괜찮아보여서 구입했습니다.
장점:
1. 디스플레이
블루 라이트 적용할 수 있어서 장시간 눈 피로가 적어요. 몰입감 넘치는 6.88 인치 비교적 큰 화면이라 답답함이 적네요~ 장시간 영상 시청하시는 분들 괜찮을 것 같아요!! 화질도 군더더기 없이 깔끔한 편이에요
+ + + 카메라도 화질도 생각보다 괜찮아서 조금 놀랐어요..!!
2. 가벼움
생각보다 가볍습니다. 장시간 들고 다녀도 손목이 전혀 아프지가 않아서 너무 좋네요ㅎㅎ
3. 배터리
최대 22시간 동영상 재생이 가능하다 하네요. 하루 종일 유튜브 봐도 배터리 길게 유지 가능하더라고요. 제가 전화를 오래 하는 편인데 배터리가 길게 유지가 돼서 저는 이 점이 매우 좋았어요!!
4. 음질
사실 가격이 싸서 음질은 조금 기대를 안 했는데 통화를 할 때 소리가 깨끗하게 잘 들려요!! 이 점도 만족하는 부분 중 하나입니다~
단점
1. 좀 느림
음.. 초기 화면을 켤 때 인터넷 연결이 더디는 것처럼 조금 느린 감이 있었어요ㅜㅜ 답답하신 분들은 패스하는 게 좋을 것 같네요..
2. 호불호 강한 디자인
자칫 촌스러워 보일 수 있는 디자인이에요 호불호가 있기 때문에 이 점 참고하시면 좋을 것 같아요(전 그럭저럭 입니다)
3. 케이스 고르기 애매
음 이건 진짜 같이 구성에 있었던 케이스 아니였음 진짜 고르기 애매했을 것 같네요
(단점이라곤.. 잘 생각해서 적었지만, 가격대 생각하면•••
딱히 크게 부각되게 느껴지는 건 아니랍니다~!!)
.
.
(총평: 대만족)
쿠팡으로 이전에 아이폰, 패드, 노트북, 컴퓨터 등등 전자기기는 쿠팡에서 구입하는 편인데, 이번엔 간단한 용도로 쓰이는 세컨드 폰이 필요해서 구입해 봤어요. 외관이나 성능 면에서는 호불호가 있을 순 있지만 10만 원 초반대에 중고도 아닌 새 휴대폰을 살 수 있는 점이 가장 만족해요. 간단한 업무용 or 웹서핑 or 유튜브 시청용 or 간단한 게임 이런 용도로 사용하기엔 괜찮아 보여요 극강에 가성비 저렴한 휴대폰 찾는다? 애매한 단점들은 크게 신경 안 쓴다? 이런 분들께 적극 추천드립니다. 저는 10만원대 최고 휴대폰 이라고 생각해요 매우 만족하고 있어요!
⋆⁺₊⋆ ☾⋆⁺₊⋆ ♡̷̷̷ ⋆⁺₊⋆ ☾⋆⁺₊⋆ ♡ ⋆⁺₊⋆ ☾⋆⁺₊⋆ ♡̷̷̷ ⋆⁺₊⋆
부족하지만 제 리뷰가 조금이나마 여러분께 도움이 되었다면 좋겠네요!
좋은 하루 보내세요~~^^
⋆⁺₊⋆ ☾⋆⁺₊⋆ ♡̷̷̷ ⋆⁺₊⋆ ☾⋆⁺₊⋆ ♡ ⋆⁺₊⋆ ☾⋆⁺₊⋆ ♡̷̷̷ ⋆⁺₊⋆",26.0,"https://thumbnail7.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/202504/1/3426074711641377406/941be988-967d-41bc-b571-7891394cf7b8.jpg,https://thumbnail6.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/202504/1/3426074711641377406/9f2ff58c-55c7-4de9-85d0-6db5d55c3d66.jpg,https://thumbnail9.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/202504/1/3426074711641377406/d161d7d5-19a6-4af9-8da0-4f867f845993.jpg,https://thumbnail9.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/202504/1/3426074711641377406/91ed9240-8871-480e-b200-1d264bb5eead.jpg,https://thumbnail6.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/202504/1/3426074711641377406/6daa24b7-ee07-4617-b13b-8c6293d761f1.jpg,https://thumbnail7.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/202504/1/3426074711641377406/25fcfb09-fa97-4469-b7f2-3b269f29e2cc.jpg,https://thumbnail6.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/202504/1/3426074711641377406/a604919e-6f24-4a18-91fb-185ded9d017e.jpg"
2,5,2025.03.04,박*수,업무용으로 사용하려고 샤오미 레드미 14C를 구매했어요✔️무게생각보다 굉장히 가벼워요보급형 스마트폰이지만 크기가 커서시원한 화면을 제공하면서도 무게가 부담스럽지 않아서한 손으로도 충분히 사용할 수 있었어요✔️디스플레이화면이 꽤 큽니다업무용으로 문서를 보거나간단한 업무 처리를 하기에도 불편함이 없을것 같아요✔️성능4GB 램이라서 느릴까 봐 걱정했는데처음 구글 계정을 연동할 때만 약간 느린 느낌이 있었고이후에는 일반적인 사용에서 큰 불편함 없이 원활하게 작동했어요그리고 무엇보다 이 금액에이 구성품이면 정말 알차다고 생각합니다기본 투명케이스와 충전기+케이블이 포함되어있어서따로 구매할 필요가 없더라구요우선 저는 케이스 같은 경우에는 혹시 몰라서 범퍼형으로 구매했구요제공하는 투명케이스가 엄청 슬림하고 좋은것 같아서 사용해보다가 갈아타야겠어요가성비를 고려했을 때 업무용으로 사용하기에 충분한 스마트폰입니다❗듀얼심 관련 통신사 연락이 올 수 있으니체크 하셔야합니다~,"업무용으로 사용하려고 샤오미 레드미 14C를 구매했어요
✔️무게
생각보다 굉장히 가벼워요
보급형 스마트폰이지만 크기가 커서
시원한 화면을 제공하면서도 무게가 부담스럽지 않아서
한 손으로도 충분히 사용할 수 있었어요
✔️디스플레이
화면이 꽤 큽니다
업무용으로 문서를 보거나
간단한 업무 처리를 하기에도 불편함이 없을것 같아요
✔️성능
4GB 램이라서 느릴까 봐 걱정했는데
처음 구글 계정을 연동할 때만 약간 느린 느낌이 있었고
이후에는 일반적인 사용에서 큰 불편함 없이 원활하게 작동했어요
그리고 무엇보다 이 금액에
이 구성품이면 정말 알차다고 생각합니다
기본 투명케이스와 충전기+케이블이 포함되어있어서
따로 구매할 필요가 없더라구요
우선 저는 케이스 같은 경우에는 혹시 몰라서 범퍼형으로 구매했구요
제공하는 투명케이스가 엄청 슬림하고 좋은것 같아서 사용해보다가 갈아타야겠어요
가성비를 고려했을 때 업무용으로 사용하기에 충분한 스마트폰입니다
❗듀얼심 관련 통신사 연락이 올 수 있으니
체크 하셔야합니다~",23.0,"https://thumbnail10.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/202503/4/2051097634918476396/f534a364-2963-4b2c-b02d-c4db74ce6482.jpeg,https://thumbnail7.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/202503/4/2051097634918476396/d4b86c91-d1c1-471e-bf8b-b1b11908b7b3.jpeg,https://thumbnail9.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/202503/4/2051097634918476396/6a5d9c43-b310-43f9-a49a-55d25299788f.jpeg,https://thumbnail10.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/202503/4/2051097634918476396/b32bb15f-c126-4ed8-9067-8602a03c8d98.jpeg,https://thumbnail7.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/202503/4/2051097634918476396/b627fe85-4a17-42b0-89fc-acc80eeeb948.jpeg,https://thumbnail7.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/202503/4/2051097634918476396/b7acfa30-d65c-421a-aedd-9881d06f639a.jpeg,https://thumbnail8.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/202503/4/2051097634918476396/293fad2e-40fa-4017-8b6b-42f90bd8b82a.jpeg,https://thumbnail10.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/202503/4/2051097634918476396/56f2ac13-03c2-451f-bf21-cbf0dfc9c92d.jpeg,https://thumbnail6.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/202503/4/2051097634918476396/b2d5b8de-9da9-4027-89e0-8436b818219e.jpeg,https://thumbnail9.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/202503/4/2051097634918476396/d241f3ad-1658-4f0a-a91d-82599118622e.jpeg"
3,5,2025.05.31,이민경,이게 11만원이라고?!?!,샤오미.. 10년 전쯤에 보조배터리 정말 잘 썼는데 핸드폰도 무시못하네요 이젠 ㅋㅋ 생긴 게 좀 불편하게 생겼고 카메라도 특이하게 커서 화소가 엄청 좋나보다 했는데 사진 화질은 진짜 안좋네요 ㅋㅋ 근데 그 외에는 사용하기 좋아요 세컨폰으로 써도 좋을 것 같아요 쿠팡에 이 폰 케이스도 꽤 다양하게 있기도 하고 같이 들어있는 기본 케이스만해도 폰을 튼튼하게 잘 감싸주는 모양이라 샤오미 잘 만들었구나 하고 다시 봤어요 ㅋㅋ 충전할때 화면도 멋지고요 아 그리고 크기가 꽤 커요 제가 큰 사이즈 폰을 좋아해서 아이폰16플러스 사용중인데 이거보다도 더 커요 동영상 보기에 딱 좋아요,1.0,"https://thumbnail6.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/202505/31/5692609041061664530/18bd0f3e-2941-46ca-b8e3-b5c0bac88a20.jpg,https://thumbnail6.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/202505/31/5692609041061664530/a8f44340-172b-45f1-a7e0-e7af75af2334.jpg,https://thumbnail8.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/202505/31/5692609041061664530/09ab1f6e-27ce-4fbd-b911-c680244c2bb7.jpg"
4,5,2024.11.17,김*아,폰 아주 괜찮은데요?,"이 폰으로 어떤걸 기대하고 사는지 저는 잘 모릅니다.
저는 기계치거든요...
일단 초 6, 중 1 아들 요걸로 2대 사서 바꿔줬어요
일전에 쓰던 것은 갤럭시 s10 5g 5년정도 썼는데 막판에 하도 깨먹어서 보험까지 다 쓰고 넘어왔습니다.
갤럭시 s10 5g 기종이 당시 메인폰이었어서 여태 써도 성능 너무 좋고 애들도 만족하며 썼어요.
우리집 애들은 아이폰 유행에 민감한 애들도 아니고...
오히려 게임 계정문제라던가... 다른 기기 호환같은거 따져 볼 때도 인터페이스가 안드로이드폰이 더 쉽고 낫다고 판단 한 것 같아요.
중 1 아들은 웹툰이나 영상을 많이 보다보니 무조건 화면 큰 걸 찾아서 레드미로 바꿔줬더니 완전 만족합니다.
학생이다보니 이용해보고 약간 느리면 그것 나름대로 좋겠다 생각했고 ㅎㅎ 막상 받아서 작은아이가 카트라이더도 돌려보고 했는데 너무 잘 되서 아이들 만족도 엄청 좋아요ㅋ
다만 카메라쪽이 크고 낯선 디자인이다보니 큰아이 말로는 떨어뜨렸을때 손상이 더 클 것 같다고....ㅋㅋ
단점이라고 한다면 케이스 고르기가 좀 난감하다는 거?
(이건 알리를 통해 해결해 볼 수 있을 것 같기도....)
30만원에 아이들 둘 다 새 폰으로 바꿔줘서 너무 만족스럽네요 ㅎ
간단한 게임과 영상, 웹툰정도 즐기시는 알뜰폰 유저분들은 만족하며 쓸 수 있을 것 같아요.
우리집 아이들은 알뜰폰 천원 요금제들 돌려쓰다가 이번에 처음 만원짜리 무제한 요금제 써봤을 정도라...ㅋ
폰 디자인은....가격만 봐도 감수할 수 있습니다 ㅎㅎ",41.0,"https://thumbnail7.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/202411/17/6489463321229217648/2c03319a-e053-437b-8178-70e0061f8d3d.jpg,https://thumbnail8.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/202411/17/6489463321229217648/29e1e1ec-736c-46de-af32-4cc389de3f43.jpg"
5,5,2025.04.08,김*민,"샤오미 가성비 맛집답게 이번에도 잘 뽑았음.레드미 14C, 가격 대비 성능 꽤 괜찮음.디자인은 솔직히 기대 안 했는데, 세이지그린 색상 실물 꽤 예쁨.약간 톤 다운된 그린이라 튀지 않고 세련된 느낌 줌.플라스틱 바디지만 마감 괜찮고, 들었을 때 가볍고 부담 없음.4GB 램이라 다중 작업 빡세게 돌리긴 무리지만,일상적인 용도 — 카톡, 인터넷, 유튜브, 간단한 앱 사용 — 전혀 문제 없음.MIUI 특유의 최적화 덕분인지, 생각보다 렉 없음.디스플레이는 6.71인치 HD+ 해상도인데, 이 가격대 기준 무난함.색감이나 밝기도 실내에서는 충분하고, 야외에서도 최대 밝기면 볼만함.스크롤이나 앱 전환 시 반응 나쁘지 않음.배터리는 5000mAh, 하루 충분히 버팀.영상이나 웹서핑 위주 사용 시 이틀도 가능함.충전은 10W라 좀 느린 편이지만, 보급형이라 이해 가능함.카메라는 기본 수준임.후면 50MP 메인 + 보조, 전면은 5MP.낮에는 쓸만한데, 밤이나 실내에서는 노이즈 꽤 있음.그래도 SNS용 간단 촬영이나 QR 찍는 용도면 충분함.지문 인식 센서도 있고, 마이크로 SD카드 슬롯 따로 있음, 3.5mm 이어폰 잭도 있음.실용성 측면에서 이런 거 챙겨준 거 꽤 좋음.","샤오미 가성비 맛집답게 이번에도 잘 뽑았음.
레드미 14C, 가격 대비 성능 꽤 괜찮음.
디자인은 솔직히 기대 안 했는데, 세이지그린 색상 실물 꽤 예쁨.
약간 톤 다운된 그린이라 튀지 않고 세련된 느낌 줌.
플라스틱 바디지만 마감 괜찮고, 들었을 때 가볍고 부담 없음.
4GB 램이라 다중 작업 빡세게 돌리긴 무리지만,
일상적인 용도 — 카톡, 인터넷, 유튜브, 간단한 앱 사용 — 전혀 문제 없음.
MIUI 특유의 최적화 덕분인지, 생각보다 렉 없음.
디스플레이는 6.71인치 HD+ 해상도인데, 이 가격대 기준 무난함.
색감이나 밝기도 실내에서는 충분하고, 야외에서도 최대 밝기면 볼만함.
스크롤이나 앱 전환 시 반응 나쁘지 않음.
배터리는 5000mAh, 하루 충분히 버팀.
영상이나 웹서핑 위주 사용 시 이틀도 가능함.
충전은 10W라 좀 느린 편이지만, 보급형이라 이해 가능함.
카메라는 기본 수준임.
후면 50MP 메인 + 보조, 전면은 5MP.
낮에는 쓸만한데, 밤이나 실내에서는 노이즈 꽤 있음.
그래도 SNS용 간단 촬영이나 QR 찍는 용도면 충분함.
지문 인식 센서도 있고, 마이크로 SD카드 슬롯 따로 있음, 3.5mm 이어폰 잭도 있음.
실용성 측면에서 이런 거 챙겨준 거 꽤 좋음.",2.0,
6,4,2025.06.05,서*미,스피커 성능과 위치가 맘에 안듬,"전체적으로 너무 훌륭합니다.
단. 팟케스트나 유투브 사람 말하는 것을 주로 듣는다면 상당히 신경쓰이는 노이즈가 있습니다.
이퀼라이저 기능도 음악에 한정되어서 여성이나 가는 목소리의 남성의 말하는 소리는 귀에 거슬립니다.
스피커 위치도 아래쪽이라 새워놓고 듣는다면 바닥면과 부딛쳐 더 노이즈가 심해집니다.
그것을 어떻게 방지해야할지 난감합니다.
그외 기능은 고사양 제품 못지않게 아주 좋은 제품입니다.
가격이 워낙 좋으니 추천합니다",,
7,4,2025.04.15,TSO* ******** *********,redmi 14c 128gb,나쁘지 않은 휴대폰이네요. 하지만 가격은 여전히 ​​만족스럽지 않습니다. 광고가 너무 많기 때문이죠. 광고는 어디에나 있습니다. 무엇을 열든 광고입니다! 휴대폰 자체는 스타일러스가 없는 갤럭시노트8의 기능을 갖춘 갤럭시S3 수준입니다. 카메라는 2000만 화소가 아니라 5000만 화소입니다. 배터리는 충전을 오래 유지하지 못합니다. 프로세서가 빠르지 않습니다. 이런 휴대폰의 최고 가격은 8만 5천~9만원이다. 장점 중 하나는 새 제품이라는 점이에요.,9.0,"https://thumbnail6.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/202504/15/5547954907868393581/f840ecd7-8e5a-47b2-aee6-951e6c9698af.jpg,https://thumbnail8.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/202504/15/5547954907868393581/a975d511-7ace-4c8d-8ba0-7318401437ed.jpg"
8,4,2025.04.27,이*희,저렴하니까 이해할게,"화면도 크고 폰도 크고 디자인도 이쁘고
케이스도 주고 충전기도주고 필름도 붙혀이있음
근데 좀 많이 느림...ㅋㅋ 속터짐 ㅋㅋㅋㅋ
통화연결음 갈때 핸드폰 물먹음소리났음
근데 막상 받으면 멀쩡함
핸드폰 떨어트린적 없는데 핸드폰이 저 난리
그래도 저렴하니까 이해되고 쓰다가 또 바꿀 용도로 쓰기 딱 좋고 업무폰으로는 아주 적합
핸드폰이 고장나서 메인폰으로 갈아탈라고 바꾼거였는데
메인으로 쓰다간 성질 나빠짐
결국 폰 두개로 번갈하면서 쓰는중
게다가 바로 배송오는 로켓이 되서 만족",2.0,
9,4,2025.06.25,김*주,"그제 어제 두대씩 총 4대 구입, 오늘보니 가격이 만원 떨어짐 ㅋㅋ 비트코인도 이렇게 안떨굽니다.","그제 어제 두대씩 총 4대 구입, 오늘보니 가격이 만원 떨어짐 ㅋㅋ 비트코인도 이렇게 안떨굽니다.",,
10,5,2025.05.29,주*현,"아이 핸드폰으로 구입, 자꾸 박살 내와서 세번째 구매입니다ㅠ 중고 핸드폰이랑 가격 차이가 없어 이왕이면 새걸로 구입했어요중고 핸드폰 보다  좋아요저는 만족합니다","아이 핸드폰으로 구입, 자꾸 박살 내와서 세번째 구매입니다ㅠ 중고 핸드폰이랑 가격 차이가 없어 이왕이면 새걸로 구입했어요
중고 핸드폰 보다  좋아요
저는 만족합니다",1.0,https://thumbnail10.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/202505/29/4922314139550666577/750c8c72-2da8-47e2-85af-eb8b507121d7.jpg
