rank,rating,date,user,headline,body,helpful_count,images
1,5,2025.06.06,정*택,딴거말고 이거사세요,"순정인데 가격도 착하고
사이즈도 딱 맞고
아주 만족스럽습니다.
타사제품 필름같이주는거 샀다가
필름 박살내고
케이스도 허술해서 아구가 잘 안 맞는데
샤오미가 제치라 그런지
아주 좋네요",,"https://thumbnail7.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/202506/6/2944662114668653478/b0623278-710f-4eb9-a4b8-669fc5efe4bd.jpg,https://thumbnail7.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/202506/6/2944662114668653478/0e7adb66-0c87-42cc-8dec-85e5ae498e83.jpg,https://thumbnail6.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/202506/6/2944662114668653478/c56a9dae-79d4-4199-8cd2-663499271405.jpg,https://thumbnail7.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/202506/6/2944662114668653478/cc3c6295-b8b5-41a8-ad39-734ab3dd70fe.jpg,https://thumbnail7.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/202506/6/2944662114668653478/bdf0a7de-4131-4c22-9904-56694258731d.jpg,https://thumbnail10.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/202506/6/2944662114668653478/423ff2a6-2707-4b47-8b61-0a84e783eeba.jpg,https://thumbnail9.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/202506/6/2944662114668653478/4b9d85ff-efd5-4d10-b520-4f67836c989a.jpg"
2,5,2025.04.03,이영실,"✅ 깔끔하고 실용적인 태블릿 커버!샤오미 레드미 패드 Pro를 구매하면서 함께 쓸 튼튼한 전용 커버를 찾다가 이 제품을 선택했는데요, 실제로 사용해보니 디자인, 보호력, 거치 기능까지 모두 만족스러운 제품이에요.✅ 슬림한 디자인 + 고급스러운 블랙 컬러✔ 군더더기 없이 깔끔한 외형으로 태블릿 본연의 디자인을 해치지 않아요✔ 블랙 컬러라 어떤 장소에서도 무난하게 사용할 수 있고, 지문이나 때가 눈에 잘 띄지 않아 실용적이에요✅ 자석 커버로 간편한 화면 ON/OFF 기능✔ 커버를 닫으면 자동으로 화면 꺼지고, 열면 바로 켜져서 전원 버튼 누를 필요 없이 스마트하게 사용 가능해요✔ 자석 힘도 적당해서 의도치 않게 열리거나 닫히는 일 없이 안정감 있게 유지돼요✅ 다양한 각도 거치 기능으로 활용도 높음✔ 커버를 접으면 영상 보기, 필기, 화상회의 등 다양한 각도로 세워서 사용 가능해요✔ 책상 위에서도 흔들림 없이 잘 고정돼서 스트레스 없이 사용 중이에요✅ 기기 보호력도 만족✔ 모서리와 뒷면까지 감싸주는 구조라 스크래치나 충격에서 태블릿을 잘 보호해줘요✔ 내부 안감도 부드러워서 디스플레이에 흠집 생길 걱정 없이 안심하고 닫을 수 있어요✅ 총평: 레드미 패드 Pro 사용자라면 필수템!샤오미 레드미 패드 Pro 전용 커버는 기본에 충실하면서도 실용적인 기능을 두루 갖춘 제품이에요.가볍고 튼튼하고, 자동 화면 기능과 각도 조절까지 편리해서 하루 종일 태블릿 쓰는 분들에게 강력 추천합니다!“깔끔하게 태블릿 보호하고 싶다면 이 커버 하나면 충분해요!”","✅ 깔끔하고 실용적인 태블릿 커버!
샤오미 레드미 패드 Pro를 구매하면서 함께 쓸 튼튼한 전용 커버를 찾다가 이 제품을 선택했는데요, 실제로 사용해보니 디자인, 보호력, 거치 기능까지 모두 만족스러운 제품이에요.
✅ 슬림한 디자인 + 고급스러운 블랙 컬러
✔ 군더더기 없이 깔끔한 외형으로 태블릿 본연의 디자인을 해치지 않아요
✔ 블랙 컬러라 어떤 장소에서도 무난하게 사용할 수 있고, 지문이나 때가 눈에 잘 띄지 않아 실용적이에요
✅ 자석 커버로 간편한 화면 ON/OFF 기능
✔ 커버를 닫으면 자동으로 화면 꺼지고, 열면 바로 켜져서 전원 버튼 누를 필요 없이 스마트하게 사용 가능해요
✔ 자석 힘도 적당해서 의도치 않게 열리거나 닫히는 일 없이 안정감 있게 유지돼요
✅ 다양한 각도 거치 기능으로 활용도 높음
✔ 커버를 접으면 영상 보기, 필기, 화상회의 등 다양한 각도로 세워서 사용 가능해요
✔ 책상 위에서도 흔들림 없이 잘 고정돼서 스트레스 없이 사용 중이에요
✅ 기기 보호력도 만족
✔ 모서리와 뒷면까지 감싸주는 구조라 스크래치나 충격에서 태블릿을 잘 보호해줘요
✔ 내부 안감도 부드러워서 디스플레이에 흠집 생길 걱정 없이 안심하고 닫을 수 있어요
✅ 총평: 레드미 패드 Pro 사용자라면 필수템!
샤오미 레드미 패드 Pro 전용 커버는 기본에 충실하면서도 실용적인 기능을 두루 갖춘 제품이에요.
가볍고 튼튼하고, 자동 화면 기능과 각도 조절까지 편리해서 하루 종일 태블릿 쓰는 분들에게 강력 추천합니다!
“깔끔하게 태블릿 보호하고 싶다면 이 커버 하나면 충분해요!”",,
3,5,2025.04.02,박*훈,"레드미 패드 Pro 쓰는 분이라면, 이 커버는 무조건입니다패드 구매하고 바로 함께 주문한 샤오미 레드미 패드 Pro 전용 커버 블랙인데요,써보니까 이건 진짜 패드 보호+실용성+감성까지 다 잡은 케이스입니다.먼저, 핏이 완벽하게 딱 맞아서 흔들림 없이 안정감 있게 장착되고, 내부는 부드러운 소재라서 스크래치 걱정도 없어요.외부는 튼튼하고 매트한 블랙이라 지문도 잘 안 묻고, 고급스럽고 깔끔한 인상 줍니다.무엇보다 스탠드 기능이 너무 실용적!영상 볼 때, 필기할 때, 화상 회의할 때도 각도 조절이 가능해서 무조건 편해요.자석 여닫이도 부드럽게 착 붙어서 가방 안에 넣고 다닐 때도 걱정 없고요.가성비 좋은 전용 액세서리 찾는 분들께 강력 추천드려요.이 커버 하나로 보호 + 실용 + 스타일 다 챙깁니다.","레드미 패드 Pro 쓰는 분이라면, 이 커버는 무조건입니다
패드 구매하고 바로 함께 주문한 샤오미 레드미 패드 Pro 전용 커버 블랙인데요,
써보니까 이건 진짜 패드 보호+실용성+감성까지 다 잡은 케이스입니다.
먼저, 핏이 완벽하게 딱 맞아서 흔들림 없이 안정감 있게 장착되고, 내부는 부드러운 소재라서 스크래치 걱정도 없어요.
외부는 튼튼하고 매트한 블랙이라 지문도 잘 안 묻고, 고급스럽고 깔끔한 인상 줍니다.
무엇보다 스탠드 기능이 너무 실용적!
영상 볼 때, 필기할 때, 화상 회의할 때도 각도 조절이 가능해서 무조건 편해요.
자석 여닫이도 부드럽게 착 붙어서 가방 안에 넣고 다닐 때도 걱정 없고요.
가성비 좋은 전용 액세서리 찾는 분들께 강력 추천드려요.
이 커버 하나로 보호 + 실용 + 스타일 다 챙깁니다.",,
4,3,2025.02.25,도림아저씨,커버가 잠금장치가 없어서 세워놓으면 뚜껑이 흘름,,,
5,5,2025.06.30,쿠니로,,,,
6,5,2025.06.11,조*일,,,,
7,5,2025.05.24,kuri,,,,
8,5,2025.05.14,변*인,,,,
9,5,2025.05.14,임*선,,,,
10,5,2025.05.03,허*석,,,,
