rank,rating,date,user,headline,body,helpful_count,images
1,5,2022.07.24,태슬라,넘 예쁘다.솔직히 넘 싸다. 깡패 두목이란 댓글 이해됨,"내돈내산 리뷰임을 미리 밝힙니다.
1. 제습기 구매이유:
온도+습도 둘다 적당해야 뽀송뽀송 하잖아요. 두마리 토끼 모두 잡을려고 수많은 방법을 고민하고 시도 해봤습니다. 왜 이렇게 집착하냐면 제가 체중이 좀 큰 편이여서 여름만 되면 느끼는 껀적껀쩍 찝찝함 때문이니다 ㅋㅋ
- 방법1: 에어컨 Only; 단점: 뽀송한 습도로 맞출려면 추울 정도로 온도를 엄청 낮춰야 한다 ㅠㅠ 또한 요즘같은 장마철에는 에어컨으로는 네가 원하는 습도까지 내려가지 않더군요. 참고로 22년형 엘사 휘ㅆ 에어컨 사용중입니다.
- 방법2: 에어컨+온풍기; 단점:에어컨으로 온도를 잡아주고 온풍기로 습도를 잡아주는꽤 좋은 해결책이였으나, 원하는 습도 55%~60% 까지 빨리 내려 주는데 넘 더워서 가정 찜질방 체험을 할수 있습니다 ㅋ 그리고 습도를 스마트하게 컨터롤 해줄수가 없어서 계속 켰다 끝다 수동으로 관리를 해야 합니다.
- 방법3: 에어컨+난방; 단점: 거의 온풍기 방안이랑 같은 장단점인데, 유일한 차이점은 전기세랑 가스비 차이 입니다.
- 최종 방법4: 에어컨+제습기 방안으로 결국 제가 원한는 여름철 특히 장마철 뽀송뽀송에 성공 했습니다  캬~ 새로운 세상이 열린것 같습니당~
2. 샤오미 제습기 구매이유: 최종 방안에서 쓰던 위X스 제습기가 고장나 이참에 제데로 골라 보자해서 몇날 며칠을 찾아보던중 샤오미에서 제습기를 출시했다 해서 여러모로 비교해보니 마음에 쏙 들더군요.
3. 배송: 쿠팡 로켓이니 당근 어제 주문해서 오늘 바로 도착해서 대만족이고
4. 첫인상 부터 말씀드리자면 사진에서 보는것 보다 기대이상으로 너무 많이 좋았습니다.  디자인+제질 그리고 그립감이 넘 좋아서인지 항공기 같은 느낌을 주면서 고급감을 줬습니다. 박스 포장 모두 제거 하고 느낀 첫인상은 프리미엄 입니다. 삼X 엘X 브랜드샵에서 자주 보는 고가 제품 같았습니다. 이제품 단가 책정 오류가 아닌가?  와~대박~~
5. 디자인: 시중 모든 제품중 가장 예쁘다. 디자인이 진짜 미쳤다. 군더더기 없는 깔끔한 디자인이여서 고급감을 줬다. 특히 기타 제습기에서 자주 보이는 싼티나는 바퀴 디자인. 바퀴있어서 이동하기 좋아서 좋은데 블랙칼라의 바퀴가 보여서 넘 싼티 난다. 건데 샤오미 제습기는 바퀴가 있는데 바퀴가 전혀 보이지 않아서 넘 예쁘다.
6. 제습성능: 10분만에 제 팔 피부가 뽀송해지는듯 ㅋ  넘 좋아서 데이타를 지켜 봤다. 약 한시간쯤 습도 77%에서  55%까지 습도를 잡아줬습니다.
7. 물통걱정: 유튜브에서 보니 물통 교체가 어렵다고 하셨는데 개인적으로는 빼고 제대로 닫겼는지 물리적으로 주는 직관적인  확실한 느낌이 넘 좋았습니다. 빼서 물버리기도 쉽든데...물통도 충분히 크고
연속배수 기능: 설명서 볼필요없이 설치하기도 넘 쉬웠는데요, 저는 여러방 둘러가면서 사용하느라 물통으로 사용하기로 했습니다.
8. 소음: 뎃글보니 소리걱정 많이 하시던데, 제가 사용해보니 넘 조용하고 기대 이상이였는데요. 체감으로는 에어컨이랑 선풍기 보다 훨씬 조용했습니다. 제품 설명을 자세히 보니 구조적으로 소음처리에 많이 신경을 쓰서 디자인 했더군요
9. 편의 기능: 물통차면 자동으로 꺼집니다.원하는 습도를 설정해 놓으면 자동으로 유지 합니다. Mi Home 어플에 연동되서 원하는데로 조절가능하고 실시간으로 현황을 체크 할수 있습니다.
10. 팁: 에어컨 24~25도로 해놓고 습도를 55~60% 설정해 놓으면 뽀송뽀송한 쾌적감을 느낄수 있습니다^^ 그리고 유튜브에서 얘기한 물통청소 할때 뚜껑 열기가 어렵다고 하셨는데, 이*훈 님 댓글 따라서 몇번해보니 익숙해져서 잘 됩니다 한쪽만 빼면 쉽게 빠져나옵니다. 참고로 저는 빼놨습니다.
이틀 사용후 추가 후기: 북향 집 필수 아이템, 어린이 있는 집도 필수 아이템 입니다. 와이프(임산부)가 넘 좋아합니다^^ 뽀송뽀송 신세계 랍니다.",137.0,"https://thumbnail7.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/202207/24/5221661111588186549/bf1e5da7-11c4-447e-9644-0a086893cfff.jpg,https://thumbnail9.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/202207/24/5221661111588186549/323859ce-6e1c-4182-ae50-deedf8937cc2.jpg,https://thumbnail9.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/202207/24/5221661111588186549/40ee5bb5-8fad-4906-a636-25572ef1c145.jpg,https://thumbnail9.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/202207/24/5221661111588186549/94d76074-8596-4fe6-8e43-d5f8d7de00d3.jpg,https://thumbnail10.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/202207/24/5221661111588186549/5700484e-3045-48d1-8a40-7ec36ca3a124.jpg"
2,5,2022.08.10,김*균,디자인 넘 깔끔하고 이쁩니다! 제습도 굿굿 :),"제습기를 쓰고 있는데 거실과 방을 왔다갔다 이동해서 쓰기 불편 하기도 하고 작년 여름에 보이던 벌레가 다시 보여 이동 없이 편하게 습도 관리 하려고 급 쿠팡으로 주문 했어요!
>>> 디자인의 깔끔함은 정말 샤오미!!
화이트의 심플함이 넘 좋아요 ^^
단아한 세련미가 뿜뿜입니다 ^^
>>>앱으로 제품을 컨트롤 할 수 있어서 너무 편합니다.
장마철에 날도 습해서 집을 비울 때 밖에서 칸트롤 할 수 있어서 너무 좋아요.
>>>사용 시 뜨거운 열기는 당연해요.
기존에 집에서 쓰던 제품보다 열기가 좀 더 강하다는 느낌은 있긴 한대요. 일주일 두고 사용해 보니 타 제품과 비슷합니다.
>>>물통 배출도 편하게 잘 되어 있어요.
다만 지금 쓰는 타 제품은 안에 세척이 가능 하도록 물을 버리면서 바로 열 수 있는데 샤오미 물통도 세척은 가능하나 바로 열수 있게 해 두진 않아서 청소는 바로바로 안해질 거 같긴 해여 ㅋㅋ
>>>습도 잘 잡아주고 버튼 터치감이 참 좋아요!
성능도 좋은데 디자인도 넘 마음에 들어서 집에 있는 타 제습기 처분하고 샤오미로 다시 사고 싶네요 ㅎㅎ ^^
에어컨 켜고 제습기 같이 틀어주면 습도 빨리 잘 잡히고 좋아용^^",29.0,"https://thumbnail9.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/202208/10/5526602170004647058/f4e9ea34-6be3-4c2d-836c-25c3f12e73a4.jpg,https://thumbnail7.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/202208/10/5526602170004647058/116636be-04c9-4a05-84bd-b1640eb07ee4.jpg,https://thumbnail6.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/202208/10/5526602170004647058/939f5dad-e7ed-4b5f-aeef-5fbdd87b9e76.jpg,https://thumbnail9.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/202208/10/5526602170004647058/fde2cb72-b237-4ef4-afef-88de256b7567.jpg,https://thumbnail10.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/202208/10/5526602170004647058/bd9f7e7b-cf43-48fc-a08c-8ce94912935d.jpg"
3,5,2024.05.06,춘춘밍밍,저는 샤오미찬양자라 벌써 샤오미제품만 5개에요진짜 대기업 부럽지않아요외관도 이쁘고 바퀴도 있고 연수배속효과 등등 있을거 다있어요소음은 거의 없다고 봐요그러니까 있는데 저희집 공기청정기 보다 소음이 없어요!에어컨 보다 소음도 없고! 청소기 소음은 절대 아닙니다!공기청정기 4단계정도 소음!그냥 웅웅 거리는 정도입니다 저는 거실에서 써서 그렇게 신경쓰비 않아요!제습력 짱짱이에요ㅠㅠ!!저는 호스연결해서 쓰고 있는데 기본호스는 짧아서 다이소가서 호스 연결해서 쓰고 있어요가성비 최고입니다어플 연동해서 쓰는것도 삶의 질이 달라져요+한달 후기기계 소음이 가끔 납니다!모드변경이나 전원버튼 사운드가 꽤 큽니다제습기능은 아주 좋아요ㅎㅎ 앱 연동해서 사용해서 매우 편리해요,"저는 샤오미찬양자라 벌써 샤오미제품만 5개에요
진짜 대기업 부럽지않아요
외관도 이쁘고 바퀴도 있고 연수배속효과 등등 있을거 다있어요
소음은 거의 없다고 봐요
그러니까 있는데 저희집 공기청정기 보다 소음이 없어요!
에어컨 보다 소음도 없고! 청소기 소음은 절대 아닙니다!
공기청정기 4단계정도 소음!
그냥 웅웅 거리는 정도입니다 저는 거실에서 써서 그렇게 신경쓰비 않아요!
제습력 짱짱이에요ㅠㅠ!!
저는 호스연결해서 쓰고 있는데 기본호스는 짧아서 다이소가서 호스 연결해서 쓰고 있어요
가성비 최고입니다
어플 연동해서 쓰는것도 삶의 질이 달라져요
+
한달 후기
기계 소음이 가끔 납니다!
모드변경이나 전원버튼 사운드가 꽤 큽니다
제습기능은 아주 좋아요ㅎㅎ 앱 연동해서 사용해서 매우 편리해요",17.0,"https://video.coupangcdn.com/cloud/PRODUCTREVIEW/202405/6/3240547379852292702/58d62584-5e17-438d-a941-f0b7d5e3528a/transcode/thumbnail-00001.png,https://thumbnail8.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/202405/6/3240547379852292702/61d9b4ad-daf8-4f3a-a84e-e4ec6a8fb340.jpg,https://thumbnail7.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/202405/6/3240547379852292702/6e11bf8a-b115-4d23-8502-f1e6d1eb3fe9.jpg,https://thumbnail6.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/202405/6/3240547379852292702/51b94735-ac0f-4e51-8f81-0fdf4a845739.jpg,https://thumbnail6.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/202405/6/3240547379852292702/b552929f-b490-4564-b069-dca5dfc1f0f8.jpg,https://thumbnail10.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/202405/6/3240547379852292702/2fc653c4-5513-4dd3-9be0-c2f9f0735e10.jpg"
4,5,2022.07.20,요다아부지,"가격대는 깡패, 디자인은 깡패 두목","쓰던 위X스 제습기가 고장나 몇날 며칠을 찾아보던중
마음에 쏙드는 제품은 샤오미 제습기 밖에 없더라고요.
진짜 수도 없이 찾아보며 결정한 제품입니다.
'이 가격'에 '이 정도' 제품은 진짜 찾기 힘듭니다.
특히 디자인은 넘사벽인듯.
'제습력'도 좋고 'mijia 어플'에 연동도 되서 실시간으로
조절도 가능하고  원하는 습도로 지정하여 사용 할 수
있습니다. 과거에는 중국제품이 wifi 잡을때 2G로만
잡히는 불편함이 있었는데  지금은 5G로도 바로
인식되네요.
'최적습도'는 55~60% 인데 원하는 습도 정도  지정하면
스스로 조절합니다.
에어컨이 있어도 제습기는 필수에요. 에어컨이 습도를
잡아준다고 생각하시는 분들이 많은데  습도 많은날
에어컨 하루종일 켜놔도 최적습도 절대 못맞춥니다.
집에 습도계 있으시면 한번 테스트 해보세요.
에어컨과 제습기의 작동 방식은 비슷하지만
성능은 넘사벽 수준입니다.  에어컨 제습기능은
냉방 보다 전기사용량 많은거 아시죠?
최적습도 맞추고 에어컨 24~25도로 해놓으면
쾌적함의 차원이 달라집니다.
(제습기에서 습기제거할때 열이 발생하기 때문에
방안 온도를 올립니다. 하지만 쾌적함을 맛보시면 진짜
안틀고는 못베겨요. 이점은 감안하시고 쓰셔야합니다.)
'크기'는 생각보다 크지만 바퀴가 달려있어 이동시
아주 편리합니다.
제습기는 '통' 비우기가 무척 귀찮은데 연속배수 호스도
동봉되어 있어 아주 좋습니다.
만듦새도 훌륭하고 전에쓰던 제습기보다 소음도
훨씬작아 아주 마음에 듭니다
적극 추천합니다.
※※※물통 세척하는법 ※※※※
물통 청소를 위해 뚜껑을 개봉해야 하는데
물통을 빼보면 손잡이가 달려있습니다.
손잡이를 약 35도 ~ 40도 쯤 들어올렸을때
뚜껑 홈에  손잡이에 달려있는 이빨이 보이거든요
거기에 맞춰서 손잡이에 힘을 가해 안쪽으로
당겨야 손잡이가 빠지면서 뚜껑을 개봉 할 수
있습니다. 처음에는 힘드니 조심조심 해보세요.
익숙해지면 별거 아닙니다.
ㅡㅡㅡㅡㅡㅡㅡ롱텀사용후기ㅡㅡㅡㅡㅡㅡㅡ
2023년 6월 22일 현재 고장 없이 잘 쓰고
있습니다.   장마가 와도 두렵지 않네요.
다만 전기세가 많이 올랐다는게 문제ㅎㅎㅎ
사용해보시면 후회 없을겁니다.",56.0,"https://thumbnail7.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/202207/20/6848915887774900095/ccba360e-594c-4a5f-9fd0-978914b1f6a3.jpg,https://thumbnail8.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/202207/20/6848915887774900095/86ee5009-ce42-4f12-91e9-279be1e55952.jpg,https://thumbnail8.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/202207/20/6848915887774900095/3ce012bc-78f9-4992-ab3f-7694fc1e5abf.jpg"
5,4,2023.07.25,이*열,"LG제습기와 같이 사용중입니다.소음/진동 - LG의 압승, 비교조차 안됨. 샤오미도 제습기 중에선 조용한 편이지만 압축기 소리가 작게 들려요. 밤에 틀어놓고 잘 수도 있겠지만 왠만하면 끄고 싶습니다. 반면에 LG는 너무 조용합니다.디자인 - 또이또이지만 샤오미가 살짝 나을 듯위생 - LG 상위모델에는 uv살균과 자동건조 기능이 있지만 LG의 자동건조 시간은 너무 짧음. (이 기능 하나로 기본 LG 모델보다 +10~20만원 비싼 LG 상위 모델을 선택해야 함) 반면 샤오미는 기본모델에도 40분 자동건조 기능이 있고 시간이 넉넉해서 라디에이터를 충분히 건조시킬 수 있을 것 같음. 그리고 LG는 사용 후 토출구 커버가 닫혀서 기계내 습도가 높아져서 세균 증식의 위험성이 있는 것 같은데 샤오미는 오픈형이라 기계내 습도도 낮출 수 있을 것으로 보임. 다만 오픈된 토출구로 먼지가 들어갈 수 있으니 여름철 사용 후 토출구 커버링이 필요해 보임.스마트 자동화 - LG는 삼성이나 샤오미 만큼 자동화  어플이 좋지않음... 샤오미의 압승기타 편리성 - 버튼 누를때나 물통 바꿀때는 LG가 편함. 샤오미는 물통이 뒤에 있어서 물통빼기 번거로움. 샤오미는 물이 얼마나 차 있는지 알수가 없음. LG는 딱봐도 보임. LG 제습기 옆에 지나갈때마다 많이 차 있는 물보고 우와~ 하면서 지나다님. 샤오미는 물통만이라도 투명으로 바꿨어야 함.제습력 - LG는 표기된 제습 용량이 샤오미보다 높음. 당연히 LG가 물통차는 속도가 빠른데, 사실 샤오미의 제습능력도 가정에서 사용하기엔 충분하긴 함.의견 - 샤오미 단점이 있긴해도 가격이 반값이라는 엄청난 장점이 있음. LG하나 살 돈으로 방 두군에데도 설치가 가능 함. 제습기와 같은 공간에서 생활하려면 (침실/아기있는 집) LG가 맞고, 효율과 갓성비로 사용하려면 샤오미가 나음.","LG제습기와 같이 사용중입니다.
소음/진동 - LG의 압승, 비교조차 안됨. 샤오미도 제습기 중에선 조용한 편이지만 압축기 소리가 작게 들려요. 밤에 틀어놓고 잘 수도 있겠지만 왠만하면 끄고 싶습니다. 반면에 LG는 너무 조용합니다.
디자인 - 또이또이지만 샤오미가 살짝 나을 듯
위생 - LG 상위모델에는 uv살균과 자동건조 기능이 있지만 LG의 자동건조 시간은 너무 짧음. (이 기능 하나로 기본 LG 모델보다 +10~20만원 비싼 LG 상위 모델을 선택해야 함) 반면 샤오미는 기본모델에도 40분 자동건조 기능이 있고 시간이 넉넉해서 라디에이터를 충분히 건조시킬 수 있을 것 같음. 그리고 LG는 사용 후 토출구 커버가 닫혀서 기계내 습도가 높아져서 세균 증식의 위험성이 있는 것 같은데 샤오미는 오픈형이라 기계내 습도도 낮출 수 있을 것으로 보임. 다만 오픈된 토출구로 먼지가 들어갈 수 있으니 여름철 사용 후 토출구 커버링이 필요해 보임.
스마트 자동화 - LG는 삼성이나 샤오미 만큼 자동화  어플이 좋지않음... 샤오미의 압승
기타 편리성 - 버튼 누를때나 물통 바꿀때는 LG가 편함. 샤오미는 물통이 뒤에 있어서 물통빼기 번거로움. 샤오미는 물이 얼마나 차 있는지 알수가 없음. LG는 딱봐도 보임. LG 제습기 옆에 지나갈때마다 많이 차 있는 물보고 우와~ 하면서 지나다님. 샤오미는 물통만이라도 투명으로 바꿨어야 함.
제습력 - LG는 표기된 제습 용량이 샤오미보다 높음. 당연히 LG가 물통차는 속도가 빠른데, 사실 샤오미의 제습능력도 가정에서 사용하기엔 충분하긴 함.
의견 - 샤오미 단점이 있긴해도 가격이 반값이라는 엄청난 장점이 있음. LG하나 살 돈으로 방 두군에데도 설치가 가능 함. 제습기와 같은 공간에서 생활하려면 (침실/아기있는 집) LG가 맞고, 효율과 갓성비로 사용하려면 샤오미가 나음.",26.0,
6,2,2023.03.28,이*웅,업소용 냉장고도 이보다 조용할 듯,"집 안에 전자식 온습도계 2개 아날로그 온습도계 1개 있어요.
보통 봄여름거을겨울 할거 없이 기본 습도 60~70% 사이를 왔다갔다하는 집이에요.
여름에는 비가 안와도 거즘 75프로 육박하구요.
올겨울 북극한파가 씨게 내려왔을때 결로가 많이 생겨 여름 오기전에 제습기 하나 장만해야겠다 싶어서 샀습니다.
솔직히 미홈 써보면 그 편리함... 넘사벽이죠 침대에 누워서 휴대폰만 깔딱깔딱하면 샤오미 기기는 컨트롤 가능하기때문에 샤오미 제품을 샀습니다만...
소음이 생각보다 너무 큽니다.
물론 제가 너무 민감한거일수도 있거나 제가 받은 제품이 불량일수도 있겠죠.
그런데 이건 커도 너무 커요.
물 꿀렁꿀렁 빠지는 소리는 그나마 참을만한데
응축기 돌아가는 소리인지 뭔지 엥엥거리는 소리가 너무 거슬립니다. 어차피 에어컨이랑 작동 원리는 비슷하니 실외기 소리랑 비슷한데
작은 실외기가 집안에서 열심히 돌고 있다고 생각하시면 됩니다.
개인적으로 아기가 있는 집에서는 애기 재울 때 절대 사용못할 것 같아요.
이 제품 리뷰중에 소음 크다는 상품평이 있었는데
그분 리뷰를 쫌더 마음에 담아둘걸 하는 생각이 드네요.
아무쪼록 제품 받고 30초만에 빡 돌아서 쓰는 리뷰라서 제습능력은 어느정도 되는지 잘 모르겠는데.
절대 조용하진 않습니다.
다만 미홈 어플을 통해서 본인이 집에 없을 때 미리미리 작동을 해서 집안 습도를 컨트롤 할 수 있는건 큰 장점이니 잠잘 때 쓰려는 분이 아니라면 구매하는 걸 고려해도 괜찮을 듯 싶네요.",30.0,
7,5,2022.08.03,김*훈,조용하고 좋음,성능 확실하고 샤오미 제품답지 않게 마감도 좋네요. 소음 이슈가 생각보다 있던데 귀뚜라미 소리가 아에 없진 않으나 신경쓰지 않고 사용하면 크게 거슬리는 수준은 아님(의식해야 인지됨) 또 다른 제습기들과 다르게 소음이 상당히 조용해서 놀랬음. 에어컨이나 자취방 세탁기 돌아가는 소리보다 적음. 컴프레셔 소리는 어쩔수없이 들리지만 다른 제습기에 비해 적은편,12.0,"https://thumbnail7.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/202208/3/1342161493139279887/19803ad7-fc7a-4df7-8492-1d37d7c46822.jpg,https://thumbnail6.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/202208/3/1342161493139279887/4a457abc-60e2-4331-9b8d-c4c21eb91bfb.jpg,https://thumbnail9.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/202208/3/1342161493139279887/075eced3-64e7-45cb-b708-3a6e7655751c.jpg,https://thumbnail9.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/202208/3/1342161493139279887/0a4055e4-f9fb-493f-9413-034da5bbe801.jpg"
8,3,2023.03.24,sunnyview,이뻐서 샀는데,"딱딱하고 고른 마루 아니면 옮길때 엌 하면 하고 비틀거리면서 자리잡고 밀어줘야해요 (저희집은 고르지만 장판) 무거워서 들고 옮기는건 힘들고 밀때 아주 잘 밀어서 옮겨야하는 이부분이 제일 속상함...
물 떨어지는 소리남
부드럽게 이동 안되는게 너무 아쉽고 물통 비우는건 원래 불편한거 알고 산거라 괜찮아요
그리고 뭔가 복잡함 버튼은 세개? 뿐인데 은근 직관적이지가 않아서 설명서나 어플이나 리뷰 잘 찾아봐야할듯ㅋㅋ 모양 보고 산거라서 대체로 만족해요
-----3달 써본 후기
국내 다른 브랜드 제습기 썼을때는 실리콘이 들어있는 부분이 있었음 (물통 뚜껑 부분) 여기에 냄새가 엄청 배이는데 이 제품은 실리콘이 없어서 꽤 오랜기간 썼는데 (음식할때 틀어져있던 경우도 있었음) 냄새가 안남 아직까지는..!! 무겁고 바퀴 불편한건 여전하지만 쓰면 쓸수록 이쁘고 냄새 안나서 만족스럽고 대신 물통 세척하려고 뚜껑을 열었는데 그뒤로는 뚜껑이 잘 빠져버림 물 비울때 손잡이 잡고 비우려다 분리되어서 물난리가 났던적 1번 있음(물론 결합 잘 시켜놓은 상태였음)
물통 밑에 잘 받쳐들고 물버리는거 추천합니다 그리고 물통에 물 진짜 빨리참ㅜㅜ 장마기간에 물통 4번비움..ㅎ",13.0,
9,5,2023.08.26,정*기,제습효과 좋습니다.,"기존 미홈을 쓰고 있어서 연결은 쉽게 했습니다.
제습능력 좋습니다.
번들로 들어있던 호스를 연결해서 안방 베란다 창문 앞쪽에
제습기를 두고 호스는 베란다로 빼서 물 비움 없이 편하게
자동가동되게 해놨습니다. 물통 청소 필요없이 매우 편합니다.
다른 고용량 제습기를 안써봐서 비교가 어려운데
송징 제습기가 소음이 크다 생각했는데
샤오미 제습기 소음의 절반 수준이네요..
송징or롯데 제습기 써본 분들은 아마 예상이 되실꺼 같습니다.
하지만 제습기는 잘때 켜두는 기기가 아닌건 아시죠?
자기 몇시간전에 자동으로 스케쥴 맞춰 놓으면
잘때쯤 최적의 습도로 뽀송뽀송한 느낌으로 주무실수 있습니다.
iot 기능이 있는 제습기는 이런 자동화가 장점인듯 싶네요.
lg처럼 고온건조가 아닌 일반건조만 되는게 아쉽긴 하지만
가격이 가격인지라..
그리고 박스와 박스안 스티로폼은 왠만하면 버리지마세요.
혹시라도 AS보낼때엔 이 제습기를 안전하게 넣어서
보낼수 있는 박스 찾기는 매우 어렵거나 불가능할듯 합니다.",5.0,
10,2,2023.06.13,김*진,"원래 리뷰같은거 잘 안 쓰는데...이건 꼭 필요해서 남깁니다.다들 잘 고민해보시길 바라요..시끄럽고 물통 불편하고 이런건 유튜브 후기봐서 아실테니 넘어가고,옷 말릴 목적으로 건조모드로 틀어놓으면 최대파워로 계속 돌아가야하는데, 몇시간 돌다보면 스스로 수면모드인양 조용히 돌아갑니다. 모드는 그대로 건조모드인데도요..그러면 전원 껐다가 다시 켜야 정상 작동합니다.평소에는 별로 상관없지만 하루종일 비오는날에는 몇시간마다 계속 모니터링해줘야해요.안그러면 첨에 제대로 돌아가다가 멋대로 거의 멈추다시피해서 방에 습도가 60% 넘어가서 꿉꿉해서 옷 제대로 안 마릅니다.집에 하루종일 있는 백수가 아니고서야 효과 제대로 보기 어렵습니다.단지 제습 자체만 원하는 경우에도 조금 돌다가 자기멋대로 수면모드로 바껴버겨서 많이 불편합니다.","원래 리뷰같은거 잘 안 쓰는데...
이건 꼭 필요해서 남깁니다.
다들 잘 고민해보시길 바라요..
시끄럽고 물통 불편하고 이런건 유튜브 후기봐서 아실테니 넘어가고,
옷 말릴 목적으로 건조모드로 틀어놓으면 최대파워로 계속 돌아가야하는데, 몇시간 돌다보면 스스로 수면모드인양 조용히 돌아갑니다. 모드는 그대로 건조모드인데도요..
그러면 전원 껐다가 다시 켜야 정상 작동합니다.
평소에는 별로 상관없지만 하루종일 비오는날에는 몇시간마다 계속 모니터링해줘야해요.
안그러면 첨에 제대로 돌아가다가 멋대로 거의 멈추다시피해서 방에 습도가 60% 넘어가서 꿉꿉해서 옷 제대로 안 마릅니다.
집에 하루종일 있는 백수가 아니고서야 효과 제대로 보기 어렵습니다.
단지 제습 자체만 원하는 경우에도 조금 돌다가 자기멋대로 수면모드로 바껴버겨서 많이 불편합니다.",11.0,
