rank,rating,date,user,headline,body,helpful_count,images
1,5,2025.06.26,구름과바다,설치 할줄몰라 고생했네요,앱을 깔아서 거기서 자동으로 잡아주네요 디자인도 이쁘고 원하는 운동도 있고 사용하기에 편하고 좋네요 일단 배터리가 오래 가서 좋아요,,"https://thumbnail6.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/202506/26/5593542593858784014/3307fc9f-7273-4596-a2fd-9e7a58d39875.jpg,https://thumbnail7.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/202506/26/5593542593858784014/c46f7249-3c3a-4fdd-a56e-02dc887dc8d9.jpg"
2,5,2025.06.26,서*원,두개째 구입,일단 화질 선명하고 밧데리는 일주일정도는 문제 없어요.,,https://thumbnail8.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/202506/26/2504773907873070895/5749108a-ffe6-4f78-99b3-7ccee9d800f1.jpg
3,5,2025.06.21,가즈아몽땅,비싼 스마트 워치 필요 없습니다,그동안 왜 비싼 워치들만 샀는지..ㅋ 가성비 너무 좋네요. 교체 베젤링도 구입했는는데.. 아직 배송 전 입니다... 기대됩니다.,,
4,5,2025.05.19,송*근,금요일 결재했는데 토요일 도착하네요역시나 쿠팡...3일 사용해본결과 밧데리 수명은 아주 깁니다.갤럭시만 쓰다가 넘어와서 사용법을 익히고 있지만이정도면 가성비 최고인거 같습니다.,"금요일 결재했는데 토요일 도착하네요
역시나 쿠팡...
3일 사용해본결과 밧데리 수명은 아주 깁니다.
갤럭시만 쓰다가 넘어와서 사용법을 익히고 있지만
이정도면 가성비 최고인거 같습니다.",1.0,https://thumbnail8.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/202505/19/3163815337258675288/53135669-6d48-4be5-89ee-bb75b312b8ce.jpeg
5,5,2025.03.30,민*식,GTR4에서 넘어왔네요,"어메이즈핏 GTR쓰다가 넘어왔는데 더 좋습니다
특히 알림올때 진동/진동+소리 모드가 가능해서 진동만 있던 어메이즈핏 GTR시리즈보다 알림 오는거나 전화오는거를 놓치지않을수있습니다
또한 노래 넣는 방식도 편한데 미 피트니스 앱에서
장치>앱>음악>음악 관리에서 추가하면 됩니다
어메이즈핏은 와이파이 연결을 해야하는데 샤오미 워치는 연결없이도 전송됩니다",5.0,https://thumbnail7.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/202503/30/6600347634696463784/dd1a9ebd-83ee-4191-aed2-6327128e1572.jpg
6,3,2025.04.01,이*현,그럭저럭,쓸만합니다. 켈럭시워치 정도로 크기가 좀 작았으면 좋았을것 같아요. 좀 투박해요.,1.0,
7,5,2025.04.23,이*민,외관 고급스럽고 베터리도 오래가고 좋아요~!,,,https://thumbnail9.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/202504/23/6939624652496755153/672d961f-8751-477a-84cb-df40a09452d2.jpg
8,5,2025.07.03,이*우,,,,
9,4,2025.06.25,최*훈,,,,https://thumbnail8.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/202506/25/1761376597175059210/1a344c51-7449-4a4d-99e8-e3f9202137fe.jpg
10,5,2025.06.20,신*국,,,,
11,5,2025.06.19,배*성,,,,
12,5,2025.06.15,김*민,,,,
13,5,2025.06.15,은하수,,,,
14,5,2025.06.15,윤*연,,,,
15,5,2025.06.04,박*훈,,,,
16,5,2025.06.04,임*석,,,,
17,5,2025.06.03,오*환,,,,
18,5,2025.06.02,TYA* ********* **********,,,,
19,5,2025.05.24,강*윤,,,,https://thumbnail6.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/202506/24/6202959358287879382/dc590018-dcdf-48ce-aefe-29e6d4b51434.jpg
20,5,2025.05.27,손*준,,,,
21,5,2025.05.24,김*수,,,,
22,5,2025.05.19,김*태,,,,
23,5,2025.05.19,김*광,,,,
24,5,2025.05.18,문*윤,,,,
25,5,2025.05.15,최*선,,,,
26,5,2025.05.14,서*애,,,,
27,5,2025.05.08,임*호,,,,
28,5,2025.05.05,원*호,,,,
29,5,2025.05.04,정*석,,,,
30,5,2025.05.03,명*돈,,,,
31,5,2025.05.02,남*긴,,,,
32,5,2025.05.01,김*준,,,,
33,5,2025.05.01,조*훈,,,,
34,5,2025.04.30,송*준,,,,
35,5,2025.04.20,한*희,,,,
36,5,2025.04.20,김*광,,,,
37,1,2025.05.31,김*두,,,,
