rank,rating,date,user,headline,body,helpful_count,images
1,5,2023.10.31,,"저의 세 번째 태블릿, 너무 만족합니다.","저는 태블릿 유목민이었습니다.
처음에는 뭣 모르고 초저가형 태블릿을 구매했고, 제한되는 것들과 점점 눈에 띄게 느려지는 속도, 맘에 들지 않는 디자인으로 인해 사용한 지 반년 만에 당근행을 했습니다.
그리고 두 번째로 사과패드 7세대를 구매했었는데, 중고라 그런지 충전 속도가 느려도 너무 느린겁니다.
아무리 정품 케이블이 아니라 해도 핸드폰은 다0소 케이블로 해도 잘만 충전되는데 태블릿은 완전 랜덤으로 꽂아도 1퍼도 하루종일 충전이 안되는 일이 발생...
그래서 세 번째로 미패드 6를 구매하게 되었습니다.
쿠팡 검색해서 상단에 있기에 들어왔는데 한국 정발한지는 얼마 안된 것 같았고, 일단 디자인은 매우 예뻤습니다.
사과 감성이 한 스푼 담겨 있는 부분이 참 마음에 들어 구매해봤어요.
점심 쯤 주문했는데 밤 12시 안되서 도착해버렸고요!
개봉을 해 보았습니다.
✔디자인✔은 말해뭐해 정말 예쁩니다.
각진 느낌의 바디가 너무 제 스타일이고 컬러도 상당히 잘 뽑았어요.
그레이, 블루, 골드 중 어떤걸 해도 만족이지만 전 블루를 했는데 블루 정말 예쁩니다.
✔성능✔도 생각보다 너무 좋습니다.
아마 샤오미패드를 피하는 분들의 이유 중 하나가 카톡이 연동되지 않는다는 것 때문일텐데, 카톡 연동 가능한 방법이 존재한답니다.
그레서 전 카톡도 폰이랑 연동해서 너무 잘 쓰는 중이고, 화면 넘김이나 제스처가 정말 부드러운 편입니다.
인터넷 속도도 매우 빠른 편이며 용량도 128GB로 이것저것 필요한 것들 다 설치해도 공간이 남아돕니다.
카메라 화질의 경우, 핸드폰보다는 나쁘지만 태블릿 치고 정말 좋은 편이라 생각듭니다.
음질 또한 마찬가지로 사방으로 퍼지는 느낌이 들면서 소리가 입체적으로 들립니다.
음악을 들어보니 귀가 상당히 편합니다.
그리고 ✔충전 속도✔가 정말 빠릅니다.
제가 사과패드 쓰면서 기대치가 낮아진건지 60%에서 완충까지 30분이 채 안 걸리는게 얼마나 놀라웠는지 모르겠습니다...
충전기도 동봉되어 있어서 따로 구입할 필요도 없고 C타입이라 굳이 충전기 챙겨가지 않아도 공용 충전기로도 충전 가능합니다.
제가 살면서 리뷰를 이렇게 길게 적어보는건 처음인데, 진짜 가격에 비해 너무 좋은 성능을 가지고 있어서 입이 떡 벌어지더군요.
샤오미에 대해 안 좋은 생각을 가지고 있던 저를 반성하며... 리뷰 마칩니다.
리뷰가 도움이 되셨다면 도움이 돼요 버튼 눌러주시면 감사하겠습니다!",107.0,"https://thumbnail6.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/202310/31/3624739379661746621/6d22e24e-74c8-4bcf-ae94-16ce4a3e6f56.jpg,https://thumbnail7.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/202310/31/3624739379661746621/82319b83-7c70-40bd-9795-5e451cd73284.jpg,https://thumbnail7.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/202310/31/3624739379661746621/c002908c-d4a1-4ca6-ae0b-f3f6268a8f3f.jpg,https://thumbnail8.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/202310/31/3624739379661746621/b557ba93-1553-412a-9f79-f665646199c4.jpg,https://thumbnail8.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/202310/31/3624739379661746621/a29ec35a-7f90-4267-907a-7856496c5662.jpg,https://thumbnail9.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/202310/31/3624739379661746621/9b8c6761-d191-49e6-b8d2-06bcc6533710.jpg"
2,5,2023.09.02,임*민,샤오미 미패드6 정발 정말 만족해요,"샤오미 미패드6 글로벌 정발 소식과 국내 전파인증 소식까지
하나도 빠짐없이 찾아보면서 정발하기만을 기다렸어요
최근 타브랜드 대형태블릿 내수롬 제품도 마지막까지 구매를 고려했고, 알리 사이트에서 유튜버들과 콜라보로 글로벌 정발모델을 할인판매할때까지도 꾹 참았습니다.
그 이유는 정발 제품이 가진 AS와 완벽 한글화 때문이었어요~
막상 받아서 빠르게 세팅하고보니 이보다 더 좋을수가 없습니다
이미 검증된 스냅870으 칩셋성능과 8기가의 넉넉한 램용량 덕분인지 모든 반응속도가 빠릿빠릿합니다.
번인현상없는 LCD도 좋고  배터리가 대용량으로 넉넉해서 최대144 주사율로 고정해서 쓰려고 합니다.
영상 컨텐츠 소비 및 음악감상용으로 최고의 머신이 될 것 같아서 너무 좋습니다. 강의용이나 선물용으로도 강추해요~",66.0,"https://thumbnail6.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/202309/2/6347987315417507401/eccb83c5-ec63-42f3-95f1-08d1d3997a27.jpg,https://thumbnail7.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/202309/2/6347987315417507401/c0edde81-1b5e-43be-bd1d-fa0b3c42ac5d.jpg,https://thumbnail6.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/202309/2/6347987315417507401/17284801-c3d3-418b-8acd-01e30447c10f.jpg,https://thumbnail7.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/202309/2/6347987315417507401/b2bdcd1b-2d23-4161-929f-7fdad65a3d78.jpg"
3,4,2023.09.08,스패너,음,샴페인 골드라 색상이 흠.. 고민하다가 이것 밖에 안남아 주문했는데 생각보다 훨 이쁘네요 각도에 따라 실버였다가 금색이었다 차이가 있어요. 다 너무 좋은데 카카오톡 연동이 안되는점 참고하시면 좋을 것 같아요 카카오톡에서 호환되는 기종은 갤럭시 또는 아이패드 뿐이더라고요.. 그래도 가성비 있는 제품인 만큼 잘 사용해 볼게요.,55.0,"https://thumbnail8.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/202309/8/1033530580832348474/a697dca6-60b7-4368-b355-bc9c5d804c2a.jpg,https://thumbnail7.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/202309/8/1033530580832348474/496c9fee-4461-4d3b-b9e5-ff43ccc09fa4.jpg,https://thumbnail10.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/202309/8/1033530580832348474/26908cd8-9f16-4df0-a9e4-1ef608201de7.jpg,https://thumbnail9.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/202309/8/1033530580832348474/2cfc2929-4155-40bb-92d2-05acb8e29f04.jpg,https://thumbnail10.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/202309/8/1033530580832348474/d23ba7b4-8879-4a1d-a515-0bf7a02b1799.jpg"
4,5,2024.03.04,박*규,음질이 진짜 놀랍고 화면 선명하고 사용하기 편리하고 생각보다 화면도 크고 배터리 오래 가고 뭐…이 가격에 이 정도면 구매 안 할 이유가 없다고 보네요.케이스 종류가 한정적이라는게 단점이라고 하던데 저는 심플한 디자인 좋아해서 크게 문제 되지 않았습니다.,"음질이 진짜 놀랍고 화면 선명하고 사용하기 편리하고 생각보다 화면도 크고 배터리 오래 가고 뭐…이 가격에 이 정도면 구매 안 할 이유가 없다고 보네요.
케이스 종류가 한정적이라는게 단점이라고 하던데 저는 심플한 디자인 좋아해서 크게 문제 되지 않았습니다.",6.0,"https://thumbnail10.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/202403/4/2775912220865980006/7306c0c0-cc0c-448a-b1d0-cdd218dbb524.jpg,https://thumbnail8.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/202403/4/2775912220865980006/ccb4fb40-d98f-4ef4-b768-e60b486732d1.jpg,https://thumbnail10.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/202403/4/2775912220865980006/f69c2d6f-4277-40b6-b8a7-3bfded4c03a7.jpg,https://thumbnail10.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/202403/4/2775912220865980006/a68bb952-6ff5-4851-a4c4-561b061763b9.jpg,https://thumbnail6.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/202403/4/2775912220865980006/7a520711-5c71-4d43-83b9-d97d8f0ae6a2.jpg,https://thumbnail6.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/202403/4/2775912220865980006/ebb846f4-c090-4c69-a425-ef024eb14874.jpg,https://thumbnail7.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/202403/4/2775912220865980006/fdb668c9-f1fb-48d2-b725-2d520b797a42.jpg,https://thumbnail7.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/202403/4/2775912220865980006/76845dc9-5d9c-473a-bcf8-8cc7cfd2eb90.jpg,https://thumbnail8.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/202403/4/2775912220865980006/b6b19184-8a09-4bed-b21f-627855d1c689.jpg"
5,5,2023.12.26,2자두,태블릿이 a7 있는데 어차피 영상보는용이라굳이 새태블릿 필요가없었는데너무 새태블릿이갖고싶었어요ㄴ크리스마스기도하고 연말이라 저한테쥬는 선물이라 생각하고 구입햇어요리뷰꼼꼼히 보니까 성능가격다 이게 너무좋은거같아서고민엄청하다가 구입 ^^아무래도 전에쓰던태블릿보다 화면도 크고아무래도 기본 성능차이가 많이나서 아주 빠르고 좋네요 ♡♡♡저에게 선물 잘했어요 뿌듯,"태블릿이 a7 있는데 어차피 영상보는용이라
굳이 새태블릿 필요가없었는데
너무 새태블릿이갖고싶었어요
ㄴ크리스마스기도하고 연말이라 저한테쥬는 선물이라 생각하고 구입햇어요
리뷰꼼꼼히 보니까 성능가격다 이게 너무좋은거같아서
고민엄청하다가 구입 ^^
아무래도 전에쓰던태블릿보다 화면도 크고
아무래도 기본 성능차이가 많이나서 아주 빠르고 좋네요 ♡♡♡
저에게 선물 잘했어요 뿌듯",16.0,"https://thumbnail7.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/202312/26/8586734830438053211/05479d39-a878-4f5d-9d42-a53b76523e06.jpg,https://thumbnail7.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/202312/26/8586734830438053211/be00ca15-27c6-4c59-b4b0-90a98d1784f7.jpg,https://thumbnail10.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/202312/26/8586734830438053211/38e7c645-7991-45cd-a758-35be2f0c19c3.jpg,https://thumbnail8.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/202312/26/8586734830438053211/e54240fa-d91b-461b-a60e-b91a302a759d.jpg"
6,5,2024.12.08,이*수,다른거 다 필요 없음돠!!!,"거의 대부분 태블릿은 아이들 유튜브용이나 게임용일텐데...
유튜브용이라면 저렴한거 뭘사도 상관없지만
게임용이라면 중국내수용 이런거보다 이게 훨 나을듯합니다
할인에 쿠팡캐쉬에 40약간 안되게 샀는데...
반글화필요없고 업데이트 다 받아도되고~
게임 빠릿하고!!
태클라m40 네오탭zpro12 갤탭s9fe 써봤지만
갤탭은 펜기능 빼면 미패드6한테 조금 못미치지않나 싶네요!
물론 가격은 비슷하고 as장점이 있는 갤탭이라 개인적 견해라고 못밖고 리뷰남깁니다!
아이들겜 다 돌아갑니다! 로블록스 고사양기준입니다!
헬리오99는 버벅거리는게 많았어요~
어른들 게임도 어지간한거 다 돌아가구요!
아직은 젠8 2세대보다 870이 더 여유롭게 돌아가는것 같네요!
싱글코어~멀티코어 몇점 이런거 모르고 그냥 아들이 쓰다가 렉걸리거나 버퍼링 심하면 갖고와서 보여주는데 미패드는 그런거 아직 1도 없었네요
블루투스 키보드, 마우스하면 어진간한 게이밍 노트북 성능입니다!",3.0,
7,5,2023.11.14,최*환,아이패드 에어 5세대와 비교,"아이패드5세대가 너무 오래써서 배터리를 교환하려고  보니까 너무 비싸서 보니까 네이버에서 배터리와 수리셋트를 6만원에 팔기에 구매해서 뒤를 뜯었는데 이건 생각보다 접점이 하나가 아니라 3개이고 그것도 나란히가아닌 90도 각도로 다달라서 도저히 수리할 자신이 없어서 사설 수리 업체에 맡겼더니 이것저것 많이 끊어져서 15만원 든다고...
도합21만원에 마음고생까지. 정식 교환비용이 18만원인데..ㅠㅠ  게다가 교환한 배터리가 기존에 다된 배터리와 별반 다를 바가 없어서 주변에 알아보니까 갤럭시S7+와 비슷하다고 해서 알아보니 80만원 정도라..이제는 이렇게 많은돈 쓰기가 싫어서 리퍼제품을 보던중에 쿠팡에서 샤오미 패드6를 판매하고 가격도 획기적으로 저렴한데다가 사양도 더 좋아서 구매했어요.
써보니까 모든게 시원하게 빠르고 화면 구성도 세로는 같고 가로가 4cm길어서 유트브 볼 때 답답함을 덜 느끼네요.
아주 만족 스럽습니다.
그리고 아이패드처럼 병적으로 비밀번호 관리를 요구하지도 않아서 더 좋아요!^^",31.0,https://thumbnail10.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/202311/14/6829579580730123354/00f1b477-8464-481f-ac32-9a72c39d9fbd.jpg
8,5,2023.09.05,김*화,고민고민하지마 일단 샤,"태블릿을 난생 처음 구입했습니다.
처음엔 갤탭을 고민했는데요.
성능대비 가격에서 미패드6가 압도적이면서도 훨씬 더 저렴했기에, 국내정발 출시하자마자 구입했습니다.
배송도 쿠팡로켓배송으로 하루도 안 걸려 오고 엄청 빨랐네요.
실제상품 받고 만족감 엄청납니다.
깔끔한 디스플레이에 가볍고 견고하네요.
성능도 끊김없이 플레이가 가능해서 더는 바랄게 없습니다.
좋은 상품 감사합니다.",21.0,"https://thumbnail8.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/202309/5/1874812788028566723/6cf9252b-1879-493b-a623-cd429f7149f1.jpg,https://thumbnail9.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/202309/5/1874812788028566723/bad1b293-67c1-4135-ab4e-0b34b80a22d8.jpg,https://thumbnail6.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/202309/5/1874812788028566723/65e6ff77-4554-49b7-a332-761bf0993542.jpg"
9,5,2023.10.15,오*현,마음에 쏙 듭니다,"중국 패드는 첨 사용해보는데 너무 좋네요 일단 정발이라는점
게임/영상/간단한 작업/전자책/화질/깔끔한 디자인/속도/사운드 배터리 충전속도 이만하면 모두 만족합니다.
용량. 넉넉하게 8ram 용량256
게임같은 경우(원신,배그,각종 에뮬)스펙 때문에
스트레스 받을일 없었구요
유튭 영상/ 영화감상 깔끔하고 화질 선명하고 좋으며
전자책 보는데 지장 없었어요. 단 영화볼땐 화질이 약간 어두운 느낌. 투명젤케이스와 강화유리 붙이고 끝~
아쉬운점은 악세사리 선택폭이 좁다라는점
전용 악세사리는 가격이 좀 비쌈
전체적 디자인 다 아는 그 심플함.내구성이 좋아보임.
게임을 오랫동안 해보면서 뜨겁다 정도의 발열도 없었고 미지근한정도. 할인으로 구매 가격이 합리적이었음
안드만쓰다가 miui쓰니까 첨엔 약간 불편했는데 적응댐
굿초이스",21.0,https://thumbnail9.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/202310/15/4123417834166686544/0ecf3aa1-2d6b-4633-91b0-af2ac16e8587.jpg
10,5,2023.09.08,이*준,가성비 좋고 전반적으로 만독도는 높습니다.,"스펙상의 내용 말고 7일 사용 후 후기 남깁니다.
1. 외관 : 마감 훌륭한 편임. 조잡하다는 느낌은 전혀 없음
2. 배터리 : 갤럭시탭에 비하면 배터리가 30% 정도 빨리 닳는 느낌은 있음
3. 성능 : 만족스러우며 영상 시청, 문서, 웹서핑 등에서는 매우 빠름
4. 한글화 등의 전체적인 면에서도 이정도면 불편함 없으며 가격대비 적극 추천합니다.
장점
1. 합리적인 가격
2. 선명하고 높은 주사율의 디스플레이
3. 풍부한 사운드
단점
1. 하이엔드 모델에 비교한다면 성능이 부족함
2. OLED 디스플레이가 아닌 IPS LCD 디스플레이
3. 타사 태블릿(갤럭시, 아이패드)에 비하면 편의성은 좀 부족한편(원핸드 오퍼레이션, 국내 사용자에 특화된 삼성의 설정/어플 등). 케이스/필름 구매 선택지가 좁음.",18.0,
