rank,rating,date,user,headline,body,helpful_count,images
1,5,2025.06.25,조*래,자녀용 태블릿으로 괜찮음,"보급형 태블릿 사용하다가 너무 느려서 바꿔주려고 샀습니다.
나름 성능 보고 심사숙고해서 구매했는데, 기대한 만큼의 퍼포먼스가 나오고 화면도 깨끗하게 잘 나와서 자녀가 매우 만족하고 있습니다.",1.0,
2,5,2025.06.04,고*혁,가성비 태블릿,갤럭시탭 울트라를 쓰다가 너무 커서 작은 태블릿을 찾다 발견했는데 배터리도 오래가고 화질도 좋고 주변인들에게 추천하고 다닙니다,,
3,5,2025.05.16,김*민,화면비 3대2는 신입니다,,,
4,4,2025.04.13,전*진,빠른배송정말좋아 요,빠른배송정말좋아 요,4.0,
5,5,2025.06.25,BUP***** ***********,,,,https://thumbnail8.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/202506/25/1695403542967439175/6c61502c-164b-4eab-bc29-3cd42ce3a7ce.jpg
6,5,2025.06.25,백*종,,,,
7,5,2025.06.22,Oli** *******,,,,
8,5,2025.06.16,김*모,,,,
9,5,2025.06.14,TSO* ******,,,,
10,4,2025.06.03,박*호,,,,
11,5,2025.06.02,티*우,,,,
12,5,2025.06.01,이*인,,,,
13,5,2025.05.16,조*희,,,,
14,5,2025.05.14,이*철,,,,
15,5,2025.05.14,이*철,,,,
16,5,2025.05.13,Ivan,,,,
17,5,2025.05.13,박*권,,,,
18,5,2025.05.12,서*기,,,,
19,5,2025.05.08,Put** **** ***** ********,,,,
20,5,2025.05.06,한*협,,,,
21,5,2025.04.30,강*,,,,
22,5,2025.04.29,박*수,,,,
23,5,2025.04.29,박*수,,,,
24,5,2025.04.27,MUM**** ******** ******* ****,,,,
25,5,2025.04.11,김*태,,,,
26,5,2025.04.07,HON* *******,,,,
27,5,2025.04.05,Cao********,,,,
28,5,2025.03.31,김*,,,,
29,5,2025.03.29,신*혁,,,,
30,5,2025.03.25,Tog** *******,,,,
