rank,rating,date,user,headline,body,helpful_count,images
1,5,2025.06.15,소원,"쿠팡체험단 이벤트로 상품을 무료 제공받아 작성한 리뷰입니다.포코 라인 중 실용성을 앞세운 M 시리즈 제품이에요.메신저, 전화, 동영상, 음악 등 기본적인 기능 위주로 사용하기에 괜찮고20만원대 폰 중에서는 가성비가 꽤 괜찮은 편입니다.구성품은 기본 케이스, C타입 충전케이블, SIM핀, 설명서, 보증서가 포함되어 있고공기계라 기존에 쓰던 유심 바로 꽂아 쓰면 됩니다.무게는 약 190g으로 가볍지도 무겁지도 않은 편이고화면은 6.67인치라 영상 볼 때 편해요.기본 케이스가 포함되어있고, 보호필름이 부착되어 있어따로 구매해서 붙일 필요가 없는 것도 장점입니다.배터리 용량은 5110mAh로 넉넉한 편이고45W 고속충전 지원하지만 충전기는 별도 구매해야 합니다.충전 속도는 30분에 약 60%, 1시간이면 거의 완충 가능해요.배터리 수명은 1600회 충전 사이클 이후에도 80% 이상 유지된다고 해서매일 한 번 충전한다고 계산해도약 4년 정도는 안정적으로 사용할 수 있다고 보면 될 것 같아요.자주 방전시키지만 않는다면 배터리 성능 저하 크게 걱정 안 해도 될 듯합니다.무선충전은 지원되지 않습니다.램 8GB에 저장공간 256GB로 기본 용량도 넉넉한 편이고,만약 부족하다면 SD카드로 추가 확장도 가능합니다.듀얼 SIM 지원해서 유심1+유심2 또는 유심1+SD카드 조합으로 쓸 수 있어요.카메라 성능은 무난하고오디오는 듀얼 스피커가 들어있어 괜찮은 편이에요쿨링 시스템도 있어 발열 걱정은 크게 안 해도 될 것 같습니다.방수·방진은 IP64 등급으로 생활방수 수준이라 물튀김 정도는 괜찮지만샤워나 물에 오래 노출되는 상황은 피하는 게 좋을 것 같아요.","쿠팡체험단 이벤트로 상품을 무료 제공받아 작성한 리뷰입니다.
포코 라인 중 실용성을 앞세운 M 시리즈 제품이에요.
메신저, 전화, 동영상, 음악 등 기본적인 기능 위주로 사용하기에 괜찮고
20만원대 폰 중에서는 가성비가 꽤 괜찮은 편입니다.
구성품은 기본 케이스, C타입 충전케이블, SIM핀, 설명서, 보증서가 포함되어 있고
공기계라 기존에 쓰던 유심 바로 꽂아 쓰면 됩니다.
무게는 약 190g으로 가볍지도 무겁지도 않은 편이고
화면은 6.67인치라 영상 볼 때 편해요.
기본 케이스가 포함되어있고, 보호필름이 부착되어 있어
따로 구매해서 붙일 필요가 없는 것도 장점입니다.
배터리 용량은 5110mAh로 넉넉한 편이고
45W 고속충전 지원하지만 충전기는 별도 구매해야 합니다.
충전 속도는 30분에 약 60%, 1시간이면 거의 완충 가능해요.
배터리 수명은 1600회 충전 사이클 이후에도 80% 이상 유지된다고 해서
매일 한 번 충전한다고 계산해도
약 4년 정도는 안정적으로 사용할 수 있다고 보면 될 것 같아요.
자주 방전시키지만 않는다면 배터리 성능 저하 크게 걱정 안 해도 될 듯합니다.
무선충전은 지원되지 않습니다.
램 8GB에 저장공간 256GB로 기본 용량도 넉넉한 편이고,
만약 부족하다면 SD카드로 추가 확장도 가능합니다.
듀얼 SIM 지원해서 유심1+유심2 또는 유심1+SD카드 조합으로 쓸 수 있어요.
카메라 성능은 무난하고
오디오는 듀얼 스피커가 들어있어 괜찮은 편이에요
쿨링 시스템도 있어 발열 걱정은 크게 안 해도 될 것 같습니다.
방수·방진은 IP64 등급으로 생활방수 수준이라 물튀김 정도는 괜찮지만
샤워나 물에 오래 노출되는 상황은 피하는 게 좋을 것 같아요.",2.0,"https://thumbnail7.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/202506/16/2877799279535169961/4ca62983-a8ac-49b5-8e8f-ab232daedb99.jpg,https://thumbnail6.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/202506/16/2877799279535169961/abfa60cf-e143-43af-b971-4d1970eaa84b.jpg,https://thumbnail7.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/202506/16/2877799279535169961/6b6a5ef0-6b87-4192-879a-82f0211b5b9e.jpg,https://thumbnail8.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/202506/16/2877799279535169961/f146e5b8-50ff-4992-bd26-df0f778265da.jpg,https://thumbnail6.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/202506/16/2877799279535169961/c6a389c8-b019-401f-87ae-8d84a2dc0bb7.jpg,https://thumbnail6.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/202506/16/2877799279535169961/21f5a472-762e-48e5-a8a2-9449fed92291.jpg,https://thumbnail10.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/202506/16/2877799279535169961/5ef263f1-3f84-4bd0-b1b2-eed9b960f757.jpg,https://thumbnail9.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/202506/16/2877799279535169961/3d6f0df5-917b-49e7-a3a2-2cb25ef3f88b.jpg,https://thumbnail9.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/202506/16/2877799279535169961/468be271-c602-4fce-b0b2-e10351f2fb0a.jpg"
2,5,2025.05.22,유물,"쿠팡체험단 이벤트로 상품을 무료 제공받아 작성한 리뷰입니다.⚫️ 샤오미 포코 M7 PRO✅ - 주목!✔️ - 참고!⚫️⚫️⚫️⚫️<선택동기>⚫️⚫️⚫️⚫️✔️ 휴대폰이 한 대다 보니업무용으로 쓸만한 폰이하나 더 있으면 좋겠다고 생각했는데마침 좋은 기회로 선택했습니다!⚫️⚫️⚫️⚫️<배송>⚫️⚫️⚫️⚫️✅ 쿠팡 로켓배송으로,쿠팡박스에 휴대폰 박스가 담겨 배송되었습니다!⚫️⚫️⚫️⚫️<평가>⚫️⚫️⚫️⚫️✅ 구성품케이스, C타입 케이블, sim핀, 설명서, 보증서✅ 통신사 등록SKT 유심이랑 알뜰폰 유심을 끼워봤는데둘 다 껐다키고 비행기모드를 여러번해도안테나가 안뜨더라고요!그래서 통신사로 전화를 하시거나지점에 방문해서 등록을 하셔야 할 것 같습니다:)✅ 품질전반적으로 가성비가 좋고양호한 편인 듯…? 해요디스플레이는 막 자글자글 하거나 그렇지 않고스피커도 짱짱하고 좋습니다:)✅ 듀얼유심, sd카드심 트레이에 보면SIM 슬롯이 앞 뒤 두개가 있습니다!sd카드 슬롯도 있어서용량 확장이 가능합니다:)✅ 보호필름 붙어 있는가?휴대폰에 필름이 부착되어 나와서따로 필름을 구하지 않으셔도 됩니다!✅ 무게190g입니다!제가 아이폰 14프로맥스를 쓰는데이 폰이 240g이라비교해보면 가벼운 것 같아요!⚫️⚫️⚫️⚫️<그래서 추천하냐?>⚫️⚫️⚫️⚫✅ 가성비 좋은 휴대폰으로 추천드려요!*제품 구매를 위해 리뷰를 참고하실 때,높은 별점의 리뷰만으로는제품의 단점, 문제점을 알기 어려울 수 있습니다!그러므로 높은 별점의 리뷰와 낮은 별점의 리뷰도 같이 보시는 것을 추천드립니다:)- 도움이 되었다면 도움이 돼요를 눌러주세요!","쿠팡체험단 이벤트로 상품을 무료 제공받아 작성한 리뷰입니다.
⚫️ 샤오미 포코 M7 PRO
✅ - 주목!
✔️ - 참고!
⚫️⚫️⚫️⚫️<선택동기>⚫️⚫️⚫️⚫️
✔️ 휴대폰이 한 대다 보니
업무용으로 쓸만한 폰이
하나 더 있으면 좋겠다고 생각했는데
마침 좋은 기회로 선택했습니다!
⚫️⚫️⚫️⚫️<배송>⚫️⚫️⚫️⚫️
✅ 쿠팡 로켓배송으로,
쿠팡박스에 휴대폰 박스가 담겨 배송되었습니다!
⚫️⚫️⚫️⚫️<평가>⚫️⚫️⚫️⚫️
✅ 구성품
케이스, C타입 케이블, sim핀, 설명서, 보증서
✅ 통신사 등록
SKT 유심이랑 알뜰폰 유심을 끼워봤는데
둘 다 껐다키고 비행기모드를 여러번해도
안테나가 안뜨더라고요!
그래서 통신사로 전화를 하시거나
지점에 방문해서 등록을 하셔야 할 것 같습니다:)
✅ 품질
전반적으로 가성비가 좋고
양호한 편인 듯…? 해요
디스플레이는 막 자글자글 하거나 그렇지 않고
스피커도 짱짱하고 좋습니다:)
✅ 듀얼유심, sd카드
심 트레이에 보면
SIM 슬롯이 앞 뒤 두개가 있습니다!
sd카드 슬롯도 있어서
용량 확장이 가능합니다:)
✅ 보호필름 붙어 있는가?
휴대폰에 필름이 부착되어 나와서
따로 필름을 구하지 않으셔도 됩니다!
✅ 무게
190g입니다!
제가 아이폰 14프로맥스를 쓰는데
이 폰이 240g이라
비교해보면 가벼운 것 같아요!
⚫️⚫️⚫️⚫️<그래서 추천하냐?>⚫️⚫️⚫️⚫
✅ 가성비 좋은 휴대폰으로 추천드려요!
*제품 구매를 위해 리뷰를 참고하실 때,
높은 별점의 리뷰만으로는
제품의 단점, 문제점을 알기 어려울 수 있습니다!
그러므로 높은 별점의 리뷰와 낮은 별점의 리뷰도 같이 보시는 것을 추천드립니다:)
- 도움이 되었다면 도움이 돼요를 눌러주세요!",14.0,"https://thumbnail8.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/202505/23/1396063115851667959/0879be57-02d3-4b4f-8888-ece28490ea18.jpg,https://thumbnail6.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/202505/23/1396063115851667959/acfb26b3-3431-4744-8220-0b4ffd0678a8.jpg,https://thumbnail6.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/202505/23/1396063115851667959/3115fc3b-7a1a-4b73-bec7-804e7a24dd4b.jpg,https://thumbnail7.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/202505/23/1396063115851667959/e0ba64a2-b477-4ee4-b05f-eddc1efea92f.jpg,https://thumbnail7.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/202505/23/1396063115851667959/74ea45ca-b2ca-4acb-a3c0-487108e8e0af.jpg,https://thumbnail8.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/202505/23/1396063115851667959/bf6c572d-8652-47f1-b827-4fb3fb3e0fba.jpg,https://thumbnail10.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/202505/23/1396063115851667959/e9080e3a-664a-492d-864b-d28b9281d1f4.jpg,https://thumbnail6.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/202505/23/1396063115851667959/ee861870-00e2-41d3-a01d-44232182d553.jpg,https://thumbnail10.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/202505/23/1396063115851667959/0e2b11a1-dea2-4bff-8633-0bc855ee74be.jpg,https://thumbnail9.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/202505/23/1396063115851667959/3040400d-df4a-4b52-a60f-a85bcf157bbc.jpg"
3,5,2025.05.26,박*민,"홍미노트 11프로 쓰다가 포코M7 PRO를 써봤습니다.큰 성능 차이는 못 느꼈으나 전체적으로 약간은 빠르고 가벼워서 좋았습니다.가성비로 쓰기에 좋고, 활용도를 높이려면 홍미노트 14프로나 포코 X7 프로를 구입하세요.장점-5G 지원하고 와이파이 6라서 빠른 인터넷 속도가 가능해요.-저장공간 256GB 넉넉해서 파일 저장 편리해요.-그린 컬러가 세련되고 독특한 디자인이에요.-6.67인치 화면 디스플레이로 영상 시청이 즐거워요.-배터리 용량이 커서 오래 사용할 수 있어요.-빠른 충전 지원으로 충전 시간 단축돼요.-쿨링 시스템으로 발열 걱정 적어요.-가성비 뛰어난 스마트폰으로 추천해요.-무게가 가벼워 휴대하기 편리해요.-보호 필름이 기본으로 붙여있어서 따로 안 붙여도 돼요.-카메라가 화소는 작지만 만족할만한 화질입니다.단점-충전기가 안 들어 있어서 별도로 구매해야 합니다.-무선 충전 지원 안 돼서 아쉬워요.-일부 앱 호환성 문제가 있을 수 있어요.-일부 기능이 글로벌 버전과 차이날 수 있어요.","홍미노트 11프로 쓰다가 포코M7 PRO를 써봤습니다.
큰 성능 차이는 못 느꼈으나 전체적으로 약간은 빠르고 가벼워서 좋았습니다.
가성비로 쓰기에 좋고, 활용도를 높이려면 홍미노트 14프로나 포코 X7 프로를 구입하세요.
장점
-5G 지원하고 와이파이 6라서 빠른 인터넷 속도가 가능해요.
-저장공간 256GB 넉넉해서 파일 저장 편리해요.
-그린 컬러가 세련되고 독특한 디자인이에요.
-6.67인치 화면 디스플레이로 영상 시청이 즐거워요.
-배터리 용량이 커서 오래 사용할 수 있어요.
-빠른 충전 지원으로 충전 시간 단축돼요.
-쿨링 시스템으로 발열 걱정 적어요.
-가성비 뛰어난 스마트폰으로 추천해요.
-무게가 가벼워 휴대하기 편리해요.
-보호 필름이 기본으로 붙여있어서 따로 안 붙여도 돼요.
-카메라가 화소는 작지만 만족할만한 화질입니다.
단점
-충전기가 안 들어 있어서 별도로 구매해야 합니다.
-무선 충전 지원 안 돼서 아쉬워요.
-일부 앱 호환성 문제가 있을 수 있어요.
-일부 기능이 글로벌 버전과 차이날 수 있어요.",12.0,"https://thumbnail10.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/202505/26/1263872385543485666/5637364f-6daf-45e9-b2db-f53c86b39d50.jpeg,https://thumbnail9.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/202505/26/1263872385543485666/6d44f881-2040-42a2-a10e-253137f5eb35.jpeg,https://thumbnail8.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/202505/26/1263872385543485666/fc6ed5fb-ae42-4ccd-ba8a-ad7bbff85dca.jpeg,https://thumbnail6.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/202505/26/1263872385543485666/50fe0ea4-5ca1-4657-ad82-783af731cfba.jpeg,https://thumbnail9.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/202505/26/1263872385543485666/4e8e1977-4153-4bf8-91c7-56db1a51142e.jpeg,https://thumbnail7.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/202505/26/1263872385543485666/007218ac-2c2f-4a59-a181-ad07b711e456.jpeg,https://thumbnail9.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/202505/26/1263872385543485666/97166cf6-f2c0-48db-97ce-f8860bcfb662.jpeg,https://thumbnail8.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/202505/26/1263872385543485666/e85d5b94-40e4-4a39-b883-a6fccc1fe678.jpeg,https://thumbnail10.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/202505/26/1263872385543485666/528ffd09-2d4a-4e16-ab6b-a1d7eee63c56.jpeg,https://thumbnail9.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/202505/26/1263872385543485666/e7a1c95e-037d-484b-8bff-44fa52aa97ee.jpeg"
4,4,2025.05.22,김*철,"M6 Pro 에서는 업그레이드, 하지만 ..","Poco M6 Pro 쓰다가 이걸 쓰면 약간의 업그레이드가 맞습니다.
성능은 확실히 업그레이드, 근데 카메라는 다운그레이드 ..
대체 샤오미 인지 포코인지 모르겠지만 다음 모델이 나올때 마다 좋아지는건지, 나빠지는건지 모르겠습니다.
무게는 막상 들어 보면 M7 Pro 가 이전세대 보다 무겁고 좀 더 두께감이 느겨지나, 내구성은 좀 좋아진거 같습니다. 특히 후면.
다만 GPU 가 MALI 나 Adreno 가 아니라서 3D mark 대부분을 돌려 볼 방법이 없습니다. 대체 ... 이걸로 무슨 게임을 하라는건지?
아직 케이스도 없고, 뭐 하나 부가적인걸 구할 방법이 극내엔 없으나 알* 엔 참 많더군요.
딱 지금 할인가에 적당한 성능 입니다.
듀얼sim 되지만, 후면을 sd카드와 공유 합니다.
내장 256 이 부족하면 sd카드 사용가능 합니다.
다만 이거 하나만 써야 하는 조건이면 좀 더 많이 생각 해 봐야 하고 ..
서브폰 정도면 이만한게 또 있을까? 싶습니다.
geekbench6 기준 redmi note 12 pro 인 dimensity 1080 정도 성능 나옵니다.
다만 .. ""gpu"" 가 PowerVR 이라서 vulkan API 지원 안되는게 너무 많습니다...",10.0,"https://thumbnail10.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/202505/22/6122741252470848733/ef248f20-8d2e-4ca1-90a4-5866f42b086e.jpg,https://thumbnail10.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/202505/22/6122741252470848733/ce32593e-777f-45c3-ab24-2179744c3f76.jpg,https://thumbnail8.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/202505/22/6122741252470848733/5bca5aac-e980-4e3a-b2ea-3c28376f816e.jpg,https://thumbnail9.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/202505/22/6122741252470848733/92a63ffb-a256-411e-9886-4c76cf8b02e0.jpg"
5,5,2025.05.22,김*민,중급기로 유튜브4K영상 안됩니다.녹화 1080p 끝,중급기로 유튜브4K영상 안됩니다.녹화 1080p가 한계고 포코 x7 프로가 점수가 100만점 넘는데.이건 45만점의 갤럭시 a25성능입니다.가성비는 좋은듯요.,5.0,
6,5,2025.05.19,김*영,가격대비 만족합니다,"헌데 충전기 어뎁터를 빼버린거는 좀 아쉽네요 x7이나 14c는 충전기 넣어주던데
쬐끔 아쉽네요",6.0,
7,3,2025.07.03,구*복,유심 미인식,"사용중인 유심을 인식하지 못하여 현재 사용치 못하고 있어요.
국내 판매 상품이라면 유심 인식 가능하게끔 하여 판매 했으면 하네요.",,
8,5,2025.05.21,강*림,가성비 좋다 가성비 좋다 가성비 좋다 가성비 좋다,가격 공홈에서 사라 곤홈에서 사라 공홈에서 사라,5.0,https://thumbnail10.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/202505/21/4042269002018504013/1a6da0a5-3955-445e-9932-c010e246fca2.jpeg
9,4,2025.06.17,박*수,,,,
10,5,2025.06.08,양*봉,,,,
