rank,rating,date,user,headline,body,helpful_count,images
1,5,2025.03.23,모두가행복,동급 최강의 이발기,"✔ 샤오미 헤어 클리퍼 전문가용 이발기는 정밀한 커팅력과 안정적인 모터 성능을 갖춘 전문가용 이발기로, 셀프커트와 전문가용 모두에 적합한 고성능 제품이에요.
✔ 강력한 고속 모터 탑재로 머리카락을 빠르고 정확하게 커팅할 수 있어, 두꺼운 모발도 끊김 없이 부드럽게 이발 가능해요.
✔ 스테인리스 스틸과 세라믹 이중 칼날 구조로 내구성이 뛰어나고, 장시간 사용에도 열감이 적어 쾌적하게 사용할 수 있어요.
✔ 정밀 조절 다이얼이 내장되어 있어 0.5mm 단위로 커트 길이 조절이 가능하며, 다양한 스타일링에 유연하게 대응할 수 있어요.
✔ 저소음 설계로 작동 시 소음이 적어, 아이 이발이나 민감한 반려동물 이발에도 부담 없이 사용할 수 있어요.
✔ 인체공학적 디자인으로 손에 착 감기는 그립감이 뛰어나, 오랜 시간 사용해도 손목에 무리가 가지 않아요.
✔ USB Type-C 충전 방식을 지원하여 편리하게 충전 가능하고, 완충 시 오랜 사용 시간을 자랑해요.
✔ LED 배터리 표시등이 탑재되어 배터리 잔량 확인이 쉬워, 갑작스러운 방전을 예방할 수 있어요.
✔ 코드리스 무선 사용이 가능해 장소의 제약 없이 자유롭게 사용 가능하며, 충전 중 유선 사용도 가능해서 언제든지 이발할 수 있어요.
✔ 다양한 길이의 빗살 가이드(가드캡) 포함으로, 초보자도 쉽게 균형 잡힌 커트가 가능해요.
✔ 분리형 커팅날로 세척이 간편하며 위생적인 관리가 가능해, 오래도록 청결하게 사용할 수 있어요.
✔ 헤어 전문가뿐 아니라 셀프 이발을 자주 하는 분들에게도 최적화된 디자인으로 사용법이 직관적이고 실용적이에요.
✔ 샤오미 특유의 미니멀하고 고급스러운 외관 디자인으로, 욕실이나 드레스룸에 두어도 깔끔하게 어울려요.
✔ 튼튼한 내구성과 안정적인 성능으로 오랜 기간 사용할 수 있어, 가정용과 전문가용 모두 만족할 수 있어요.
✔ 가성비와 성능을 동시에 갖춘 스마트한 전문가용 이발기로, 정밀한 이발 퀄리티를 원하시는 분들에게 강력 추천하는 제품입니다!
리뷰가 도움이 되셨다면 ♥도움이돼요♥ 한번씩 꼭 부탁드립니다!
마지막으로 항상 행복하시고, 부자되시고, 가족분들 화목하시고,
건강하시고, 하시는 일도 더 잘되시기를 진심으로 기원합니다♥",1.0,"https://thumbnail6.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/202503/25/6061381413504243789/cce6d6fe-a6b4-47b3-95c2-b7d4bc0dcec6.jpg,https://thumbnail10.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/202503/25/6061381413504243789/f9e0c4bd-207e-4f4d-bb3c-694eed990cc1.jpg,https://thumbnail9.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/202503/25/6061381413504243789/136813ed-322e-4211-9f6e-c4404567619c.jpg,https://thumbnail10.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/202503/25/6061381413504243789/7eee626e-9419-442b-ba6a-c0b41e7996f7.jpg,https://thumbnail8.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/202503/25/6061381413504243789/675defce-2afd-4665-b22b-37373a83c417.jpg,https://thumbnail8.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/202503/25/6061381413504243789/b3d027cb-bb18-4eb0-8328-cd59d562be68.jpg,https://thumbnail7.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/202503/25/6061381413504243789/4dc33231-02ed-4b31-ba3f-4eace05c4b0b.jpg,https://thumbnail7.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/202503/25/6061381413504243789/c6460972-5018-41dc-9694-b414db65a715.jpg,https://thumbnail7.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/202503/25/6061381413504243789/cfaec194-cd20-421f-8858-08345b24c448.jpg,https://thumbnail9.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/202503/25/6061381413504243789/8e4dfa53-8349-4699-a7d0-f084e8a0ce3f.jpg"
2,5,2025.03.05,김정욱,c타입 충전이라 너무 편한 4번째 이발기,"쿠팡에서 이발기만 4번째 구매입니다. 기존 이발기가 고장나서
집에서 손쉽게 이발할 수 있는 헤어 클리퍼를 찾다가 샤오미 전문가용 LFQ03KL을 구매했습니다.
여러 브랜드의 이발기와 비교해 본 결과, 디자인과 성능, 가격까지 고려했을 때
가장 합리적인 선택이라고 생각했습니다. 사용해본 후기를 상세하게 남겨보겠습니다.
먼저 패키징부터 깔끔하고 고급스러워 신뢰감을 주었습니다. 구성품도 충실한 편입니다.
기본 구성품
1. 샤오미 LFQ03KL 본체
2. 가이드 빗 (여러 가지 길이 조절 가능)
3. 청소용 브러시
4. 윤활유
5. 충전 케이블 및 어댑터
이발기 본체는 미니멀하면서도 고급스러운 느낌이 강합니다.
블랙 컬러의 심플한 디자인이 돋보이며, 손에 쥐었을 때
묵직한 느낌이 안정감을 주었습니다.
✅ 사용감 및 성능
1. 강력한 모터와 예리한 블레이드
가장 만족스러웠던 부분은 강력한 모터와 정밀한 블레이드였습니다.
두꺼운 모발도 끊김 없이 부드럽게 잘립니다. 이전에 사용하던
저가형 이발기는 몇 번씩 같은 부분을 지나가야 깔끔하게 정리되었지만,
이 제품은 한 번만 지나가도 정확하게 잘리는 게 느껴졌습니다.
특히, 전문가용으로도 사용할 수 있을 만큼 정교한
컷팅이 가능하여 다양한 스타일링을 시도해볼 수 있습니다.
2. 긴 배터리 수명 & 무선 사용 가능
무선 및 유선 사용이 모두 가능하다는 점도 매우 만족스러웠습니다.
한 번 완충하면 최대 3시간 연속 사용이 가능하기 때문에
여러 번 충전할 필요 없이 편하게 사용할 수 있습니다.
USB-C 충전 방식이라 기존에 사용하던 충전기와도 호환이 되어 편리합니다.
유선으로도 사용할 수 있어서 급하게 사용할 때 배터리가 부족하더라도 문제없이 이용할 수 있습니다.
3. 저소음 설계
소음이 굉장히 적은 편이라서 강아지 털을 다듬을 때도 부담이 없습니다.
예민한 분들도 거슬리지 않을 정도의 소음 수준이라 가정용으로 적합합니다.
✅추천 대상
✔️ 셀프 이발을 자주 하시는 분 – 손쉽게 전문가급 이발을 원하신다면 만족할 만한 제품입니다.
✔️ 아이들 머리를 조용히 다듬고 싶은 부모님 – 소음이 적고, 날이 부드러워 자극 없이 사용할 수 있습니다.
✔️ 전문 이발사 또는 바버샵 운영자 – 강력한 모터와 정밀한 컷팅이 가능해 전문가용으로도 손색이 없습니다.
✔️ 가성비 좋은 헤어 클리퍼를 찾는 분 – 이 가격대에서 이런 성능을 제공하는 제품은 찾기 어렵습니다.
최종 평가 및 총평
장점:
✅ 강력한 모터로 부드러운 컷팅 가능
✅ 예리한 블레이드로 다양한 스타일 연출 가능
✅ 긴 배터리 지속 시간 & 유무선 사용 가능
✅ 저소음 설계로 조용한 사용 가능
✅ 가이드 빗 포함으로 길이 조절 용이
⚠️ 단점:
❌ 파워 조절이 안됨
❌ 다소 묵직한 무게감
❌ 완전 충전 시간이 오래 걸림
종합적으로 볼 때, 샤오미 LFQ03KL은 가성비와 성능을 모두 만족시키는 제품입니다.
가격 대비 성능이 훌륭하며, 전문가용 못지않은 컷팅력과 편의성을 제공하여
만족스러운 사용 경험을 제공합니다. 특히 무선 사용 가능하고 소음이
적다는 점에서 가정용으로도 강력 추천드립니다. 가장 좋은점은
충전기가 c타입이라는게 매우 마음에 듭니다~!!!",3.0,"https://video.coupangcdn.com/cloud/PRODUCTREVIEW/202503/5/4415491612274120154/d79c1c1c-636d-4493-a8ec-e6d00ef1e1e1/transcode/thumbnail-00001.png,https://thumbnail10.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/202503/5/4415491612274120154/ef73dcdb-189a-4d31-928c-36fae576dcd0.jpeg,https://thumbnail8.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/202503/5/4415491612274120154/4849364b-aa10-4c2e-af85-ebb0d2f80d30.jpeg,https://thumbnail7.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/202503/5/4415491612274120154/e38259a8-edaa-43dd-b0c7-d736b8dad553.jpeg,https://thumbnail8.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/202503/5/4415491612274120154/f51ffaea-c670-4cef-8081-62621f01f368.jpeg,https://thumbnail7.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/202503/5/4415491612274120154/348dcbcb-8f0a-42b1-b861-f519bb03cfd9.jpeg,https://thumbnail10.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/202503/5/4415491612274120154/eb9b82a4-853e-4e69-b792-edac12e99120.jpeg,https://thumbnail7.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/202503/5/4415491612274120154/b2b0c4cd-d593-48b5-bc6d-b1076c04eeef.jpeg,https://thumbnail6.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/202503/5/4415491612274120154/330490bc-4efd-441f-8ff9-45f6958e7c81.jpeg,https://thumbnail7.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/202503/5/4415491612274120154/e2d71f5c-cd41-49cd-b3d3-81de48811c60.jpeg"
3,5,2024.06.30,솔직해봐요,진짜 좋아요,"집에서 남편 머리 10년째 담당하고 있는 주부입니다
이전에 쓰던 바리깡이 관리도 어렵고 방전도 잘되니 버리고 남편을 미용실로 보내려고 하니 싫다고해서 이번엔 샤오미로 구매해봤어요
샤오미 바리깡을 처음 사용해보고 너무 놀랐어요
제가 지금까지 몰랐던 사실..
지금껏 사용했던 바리깡의 절삭력은 진짜 안좋은거였다는 사실입니다.
저는 제가 미용사가 아니라서 기계를 잘 못다루고 못자르는구나 생각하고 지금껏 이발을 해주었어요
이전제품은 새제품일때도 절삭력이 원래 그렇구나 하고 사용해왔는데요 (머리 뜯김.머리카락밀림. 층이지는 현상)제 똥손을
탓했었어요
샤오미이발기 신세계입니다
그립감너무 좋구요 절삭력이 진짜 우수해요 한번씩 쓱쓱 밀어도 밀리거나 씹히는거 없이 깔끔하게 이발이 되니 기분좋게 뚝딱 이발했어요
진동소음도 딱 듣기 좋은소음이구요!
세척하기 편리해요 방수래요~~~생각도 못했는데 방수라니
샤오미 진짜 왜케 좋아요
주문전에 참고 하세요✔️
저는 보자기랑 스펀지를 따로 구매하려고 했는데
구성품으로 들어있더라구요 보자기도 어찌나 맘에 드는지
큼직하니 성인남자가 쏙 들어갑니다
그밖의 머리핀도 있어요~
제품에 동그란 다이얼이 있어요
그것은 날길이를 조절하는 다이얼이구요
뒷면에 길쭉한 위아래 조절하는것이 있어요 그것이 머리카락의 길이를 조절하는거예요
(주의!! 실수로 대머리를 만들 수 있으니 꼭꼭 조심하세요)
절삭력최고 가성비갑입니다 강략추천드려요~~~~",26.0,"https://thumbnail7.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/202406/30/369851316272310676/bca75bea-8711-4a58-81ff-ed0526d9fb42.jpg,https://thumbnail7.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/202406/30/369851316272310676/e0f42c56-6a72-477d-9727-2f4d47031a8e.jpg,https://thumbnail8.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/202406/30/369851316272310676/f5547b53-c554-430b-95f4-555946e35953.jpg,https://thumbnail9.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/202406/30/369851316272310676/efbde4c9-7edd-48e7-a432-421d19e9a808.jpg,https://thumbnail8.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/202406/30/369851316272310676/9d81bd20-7b69-4357-91d3-9eab66aca4b7.jpg,https://thumbnail7.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/202406/30/369851316272310676/97167268-c3af-4dcd-a92b-bdf0b1b9a76f.jpg,https://thumbnail9.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/202406/30/369851316272310676/38aa9d70-c2e2-4d52-82c2-d646db6df7cb.jpg,https://thumbnail6.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/202406/30/369851316272310676/d9b20006-b8f8-4abf-9c25-264ec095ba37.jpg,https://thumbnail8.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/202406/30/369851316272310676/67562424-9f0c-4ba7-86fa-dc48ee2f9096.jpg,https://thumbnail6.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/202406/30/369851316272310676/65a7bbf1-6e48-4093-bf59-14303d464665.jpg"
4,5,2025.06.10,서*원,샤오미 클리퍼 하나면 나는 곧 동네 이발 장인!!!,"별점: ★★★★★
제목: 인생 첫 셀프 이발, 망할 줄 알았는데… 이발소 사장님 긴장하셔야겠어요 ✂️
코로나 시국에 처음 셀프 이발 도전했다가 거울 속 내 모습 보고 울 뻔한 사람, 접니다. 그 트라우마 때문에 한동안 도전 안 했는데… 샤오미 전문가용 헤어 클리퍼는 다르더라고요.
처음엔 “전문가용? 이 가격에? 설마~” 했는데, 막상 써보니 이 정도면 저도 곧 미용사 자격증 딸 듯합니다.
⸻
✔️ 소리부터 다릅니다. “위이잉~” 하는 순간 집중력 급상승 ㅋㅋ
전원 버튼을 누르는 순간, 그윽하고 부드러운 모터 소리가 들려요. 왠지 그 소리만으로도 이발사 장인 모드 ON됩니다.
조용해서 밤에도 눈치 안 보고 쓸 수 있고, 이웃이 경찰 부르는 일도 없습니다 (※중요).
⸻
✔️ 컷팅력이 어마무시. 머리카락을 “고민 없이 싹둑”
칼날이 예리해서 머리카락을 밀리는 느낌 없이 쭉쭉 잘라줘요. 그냥 기분 좋은 썰리는 맛(?)이 있습니다.
어느새 머리 모양은… 어라? 나름 깔끔하네? 친구가 “미용실 다녀왔어?” 라길래 제가 직접 했다고 하니 3초간 정적이 흐르더라고요. 만족이라는 뜻입니다. ㅋㅋ
⸻
✔️ 길이 조절도 간편하고 무선이라 자유로움 만렙
3mm부터 12mm까지 가이드 빗을 교체하면 초보도 안전하게 셀프 컷 가능!
특히 무선이라 화장실이든 베란다든 TV 보면서든 어디서나 가능. (단, 흘린 머리카락 치우는 건 역시 내 몫…)
⸻
✔️ 배터리는 미친 듯이 오래가고, 충전은 순식간!
한 번 충전하면 몇 번은 그냥 쓰고, 고속 충전이라 미용실 가는 시간보다 빠르게 충전돼요.
이쯤 되면 이발기 아니라 거의 전기차입니다.
✔️✔️✔️ 총평
“이발기 하나로 인생이 바뀐다”는 말이 실감날 줄 몰랐습니다.
이젠 머리카락이 거슬리면 바로 들고 나와 자릅니다. 미용실 예약? 노노!
샤오미 클리퍼 하나면 나는 곧 동네 이발 장인! (단, 뒷머리는 아직도 아슬아슬… 누가 좀 도와줘요 )",2.0,"https://thumbnail8.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/202506/10/1696592983411043394/446ce557-00a3-4cb9-b0be-3fd7b899e96c.jpeg,https://thumbnail7.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/202506/10/1696592983411043394/7b702236-00c6-4ef2-b361-88b8b2f1ae26.jpeg,https://thumbnail7.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/202506/10/1696592983411043394/d0ab763c-2623-4b7f-9647-7d2bf9ccdda8.jpeg"
5,5,2025.03.21,어푸어푸족,"일본 거주, 셀프컷용 구매","일본에서 이발비가 워낙 비싸다 보니,
구레나룻이나 옆머리, 뒷머리 목덜미 정리는 셀프로 하려고 이발기를 알아보다가
믿고 쓰는 샤오미 제품이라서 선택했어요. 결론은 대만족이에요.
일단 크기도 너무 크지 않아서 한 손에 잡기 편하고,
정밀하게 손이 가는 대로 컨트롤하기가 쉬워서
구레나룻 정리나 옆머리 라인 따라 다듬는 데 아주 유용해요.
날이 부드럽게 지나가고, 머리카락이 잡아당겨지지 않아서 깔끔하게 커팅돼요.
특히 뒷머리 목덜미 쪽이 지저분해 보일 때 셀프로 정리해주면
전체적으로 훨씬 깔끔한 인상을 줄 수 있어서 혼자 사는 입장에서는 진짜 유용해요.
길이 조절도 쉽고, 빗살 가이드도 다양하게 들어 있어서
원하는 스타일에 맞춰 손쉽게 세팅 가능해요.
무선 충전 방식이라 거추장스럽지 않고, 충전도 오래가서 한 번 충전해두면 여러 번 사용할 수 있어요.
디자인도 미니멀해서 욕실이나 책상 위에 두어도 전혀 부담스럽지 않아요.
전문가용이라는 이름이 괜히 붙은 게 아니라,
정확하고 부드럽게 커팅되고 마감도 깔끔해서
이제는 굳이 미용실 가야 하나 싶을 정도로 만족스러워요.
혼자서도 충분히 깔끔하게 관리할 수 있는 좋은 이발기예요~ 잘 쓰고 있어요!
아 그리고 전압도 충전식이라 일본 110V인데도 전혀 문제가 없이 잘 작동돼요.",3.0,"https://thumbnail9.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/202503/24/460888017025782444/c7b44b2f-e7d8-4ad0-adf4-a48b096f95bd.jpg,https://thumbnail7.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/202503/24/460888017025782444/f7e6663e-3b1f-4cd9-91f0-6324f9e4b98d.jpg,https://thumbnail10.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/202503/24/460888017025782444/90d016fe-800b-4a1a-ac30-f2265c90513b.jpg,https://thumbnail9.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/202503/24/460888017025782444/62cf2de7-9777-431c-ab5a-ba16ac6d81ff.jpg"
6,5,2024.06.14,까칠한늑대,진짜 샤오미의 이발기입니다.,"강아지털이 뭉치고 길어서 싹다 밀어볼려고 반신반의하고 구매했습니다.
-장점-
반신반의 했지만 진짜 잘 밀립니다.
캡을 끼워서 미리 수를 조절할 수 있고 클리퍼 자체에서도 조절이 가능합니다.
한번 작동하고 10분이상? 써도 괜찮은거 보니까 내구성이 좋아보입니다.
처음에 블레이드? 를 어떻게 빼는지 몰랐는데 설명서를 보니 빼는게 쉽습니다.
분리가 가능하니까 세척이나 터는게 수월합니다.
오일 부족 알림이 있어서 부족할때 뿌려줄 수 있을 것 같습니다.
이것은 나중에 문제가 될 수도 있겟지만 충전하면서 사용이 가능합니다.
그리고 C타입 충전이라 호환성이 좋아보입니다.
-단점-
진짜 조금 배려가 있었다면 파우치 하나 정도 넣어줬다면.. 진짜 좋았을 것 같습니다.
빗살캡? 이라고 하는 미리수 조절 캡이 조금 부실해보입니다. 금방 망가질 것 같은…
-총평-
이만원 후반에 구매했지만, 많은 제품을 써본 것은 아니지만 만듦새가 진짜 좋습니다.
배터리도 진짜 오래가고 충전하면서 사용 가능하니 강추합니다.",5.0,"https://thumbnail9.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/202406/14/5689431771273820311/64f44244-041e-423e-bf85-6eb9762cada2.jpg,https://thumbnail9.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/202406/14/5689431771273820311/4ada2f35-7070-44f9-91cb-89a2f5fff05b.jpg,https://thumbnail10.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/202406/14/5689431771273820311/92ba9063-f575-45e0-b8bc-abfe7f8cbae7.jpg,https://thumbnail6.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/202406/14/5689431771273820311/85121131-ec43-4b1f-8eeb-54704431bad9.jpg,https://thumbnail10.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/202406/14/5689431771273820311/d5d9306d-95b3-40cc-aeb1-6219618996c4.jpg,https://thumbnail9.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/202406/14/5689431771273820311/3637d921-7aeb-4595-bdd9-da1efff2138b.jpg,https://thumbnail8.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/202406/14/5689431771273820311/3c2e6dcf-ecc0-42be-b752-056c43ca650f.jpg,https://thumbnail9.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/202406/14/5689431771273820311/11f766db-b8d8-4601-8d29-56499bd492d7.jpg,https://thumbnail7.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/202406/14/5689431771273820311/dc3f937d-389b-4587-94a4-50ae4ed00bf5.jpg,https://thumbnail9.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/202406/14/5689431771273820311/f1af3578-263e-45eb-a257-0d0810b74531.jpg"
7,4,2025.05.26,이*림,#꼼꼼한 포장#오일 없음#청소 불편,"부드럽고 조용한 모터와
절삭력은 굉장히 좋으나
.
꼼꼼하게 머리 고정 핀에
미용실 케이프까지 있는데도
정작 필수 요소인 오일이 없고
.
내부 구조가 청소하기 불편함",2.0,"https://thumbnail8.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/202505/26/4971754014912916088/e7aaf098-31e0-4e08-adc9-77645cfc4aac.jpg,https://thumbnail9.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/202505/26/4971754014912916088/3907cf42-ce0f-402c-a27c-59bcacbc20c1.jpg,https://thumbnail9.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/202505/26/4971754014912916088/67d8418f-a6fa-410b-a897-80f5641df2fa.jpg,https://thumbnail8.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/202505/26/4971754014912916088/0c91c4cc-1f48-4a59-be76-30fe2624ca3a.jpg"
8,5,2024.09.24,중1이웃집,안녕하세요중1아들은 머리를 짧게 자릅니다. 처음 자른날는 미용실에 갔습니다. 군대가는 아들을 보는 느낌이었습니다.그리고 반년이 지나가니 삭발을 굳이 미용실에서 해여하나 생각이 들았습니다.그리고 쿠팡에서 검색하다 찾은 제품입니다사용을 해보니 우선 튼튼합니다변기 위쪽에서 바닥으로 떨어졌는데 고장나지 않았습니다.그리고 머리가 잘 잘라집니다.한가지 아쉬운 점은 전문가용은 아니라는 느낌입니다.사용초반에는 쥐파먹은 느낌이 많이들었습니다.1.7mm로 하는거 아니면 너무 쥐파먹은 느낌이 심합니다.사춘기가 오긴오는거 같은데 아직 외모에는 관심없는 중1이라다행입니다. 안그럼 불호령이 내려질만합니다.그래도 미용실 비용은 빠졌기에 만족합니다전문가용아니라는점 꼭 알고 구매하셨으면 좋겠습니다댜들 막족스러운 반삭하시길 바랍니다.,"안녕하세요
중1아들은 머리를 짧게 자릅니다. 처음 자른날는 미용실에 갔습니다. 군대가는 아들을 보는 느낌이었습니다.
그리고 반년이 지나가니 삭발을 굳이 미용실에서 해여하나 생각이 들았습니다.
그리고 쿠팡에서 검색하다 찾은 제품입니다
사용을 해보니 우선 튼튼합니다
변기 위쪽에서 바닥으로 떨어졌는데 고장나지 않았습니다.
그리고 머리가 잘 잘라집니다.
한가지 아쉬운 점은 전문가용은 아니라는 느낌입니다.
사용초반에는 쥐파먹은 느낌이 많이들었습니다.
1.7mm로 하는거 아니면 너무 쥐파먹은 느낌이 심합니다.
사춘기가 오긴오는거 같은데 아직 외모에는 관심없는 중1이라
다행입니다. 안그럼 불호령이 내려질만합니다.
그래도 미용실 비용은 빠졌기에 만족합니다
전문가용아니라는점 꼭 알고 구매하셨으면 좋겠습니다
댜들 막족스러운 반삭하시길 바랍니다.",6.0,"https://thumbnail10.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/202409/24/3882401692799036278/9494bc66-efe5-4ad0-9a62-ae95faf66447.jpg,https://thumbnail8.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/202409/24/3882401692799036278/70aad64b-7046-49ad-af25-05a7082f197c.jpg,https://thumbnail10.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/202409/24/3882401692799036278/c149d444-7b90-4382-a787-9c86e7259f43.jpg,https://thumbnail8.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/202409/24/3882401692799036278/5db85510-279d-4776-a6d2-eb6d4739e8c7.jpg"
9,5,2024.05.21,김*선,가성비 좋아요 샤오미 제품이면 무난해요,"집에서 남편 이발용으로 구매했어요
컷트할 때 둘러주는 천도 있고, 머리카락 털어주는 스펀지도 같이 있어요! 클리퍼에 꽂는 빗은 3가지인데 장모, 중간, 단모 이렇게 사용하면 될 것 같네요 ㅎㅎ 가성비도 좋고 집에서 사용하기에 깔끔해요 디자인도 예쁘네요",1.0,"https://thumbnail6.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/202405/21/3202000008271469971/348dca7e-ca47-4b84-aa4e-df88a7675483.jpg,https://thumbnail9.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/202405/21/3202000008271469971/c4d81231-0368-4bb3-b201-b75b24ea970c.jpg,https://thumbnail8.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/202405/21/3202000008271469971/fa21421e-59ee-421a-b403-99cf7bdbf5a7.jpg,https://thumbnail10.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/202405/21/3202000008271469971/e535db6a-3f93-433c-a0f6-864c843ba7d7.jpg,https://thumbnail9.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/202405/21/3202000008271469971/61923f9f-12c6-4e5d-ad9c-384ea0a2c586.jpg"
10,5,2023.11.10,Gentle맨,아주 굿,"가격에 비해 소음도 너무 작고,씹히는 현상없이 잘 짤리고 마감처리도 깔끔하고 아주 탄탄하게 만들었네요.
7~8만대 바리깡에 전혀 꿀리지 않을 정도입니다. 애완견 용으로는 모르겠습니다, 애완동물 안키워서, 사람이 쓰기에는 아주 가성비 굿입니다.
전문가용으로는 감히 답변못하겠네요. 어차피 전문가들은 최소 20~30만 이상짜리 제품들 사용하니…  가정용으로는 충분하다고 생각합니다. 현재 두번째 머리 잘랐는데 아직도 충전할 필요도 없고요.
바리깡은 제일 먼저 씹힘현상 없이 부드럽게 잘 잘려야하고 그다음 안정성이라 생각하는데 엄청 부드럽게 잘리고 발열도 거의 없다고 말할정도입니다(개인적 생각) 한 15~20분 내외로 사용했는데도 뜨겁지 않고 그냥 아주 약간의 미온수 같은느낌의 온도 정도라해야 되나 전혀 불편함이 없습니다.
마지막으론 약간의 견의를 드리겠습니다.
쿠팡 포장박스를 뜯으니 그냥 본체 하얀색박스째로 포장해서 보냈는데 사진에처럼 한쪽에 찍혀서 찢어져 왔습니다. 다행이
안에 물건은 전혀 손상이 없어서 다행인데 왠만하면 물건 발송하실때 위에 다른 박스로 포장하시거나 뽁뽁이라도 감아서 보내주시면 좋을거 같아요 괜히 택배 물건을 엘레비이터 앞에서 툭툭 던지고가는분들 만나서 안에 물건 문제생기면 서로 판매자나 고객이나 시간낭비에 스트레스입니다.
그리고 물건 내용물에 오일이 없으면 없다고 표시해주세요 그러면 물건구매할때 바로 알고 오일 별도로 같이 구마할수 있잖아요. 오일이 작은거 다른 상품들처럼 따라 오는줄 알았는데 없어서 따로 또 이틀 기다려서 구매하게 되었네요 ㅜㅜ
총체적으로 제품에 대해서는 아주 만족합니다. 완성도가 아주 좋다고 봅니다.",20.0,https://thumbnail8.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/202311/10/8735628636773972383/e0fc4d3d-c295-4386-8343-bac5218af56c.jpg
